Local Product Name (RAW),Local Pack Code (RAW),Generic Name (RAW),WHO ATC Code (RAW),Formulation (RAW),Strength Size (RAW),Fill Size (RAW),Customized 1 - Composition (RAW),Marketing Authority / Company Name (RAW),Effective Start Date (RAW),Effective End Date (RAW),Public with VAT Price (RAW),Pharmacy Purchase Price (RAW),Local Pack Description (RAW),Local Product Name (EN),Local Pack Code (EN),Generic Name (EN),WHO ATC Code (EN),Formulation (EN),Strength Size (EN),Fill Size (EN),Customized 1 - Composition (EN),Marketing Authority / Company Name (EN),Effective Start Date (EN),Effective End Date (EN),Public with VAT Price (EN),Pharmacy Purchase Price (EN),Local Pack Description (EN),Reimbursable Status,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,VAT Percent,detail_url
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51041?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51060?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51059?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51066?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/54761?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56626?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56625?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56628?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51069?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56627?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51073?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51071?t:ac=overview
