Registration No,Product Name,Holder
MAL05101675AZ,Hyomide Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05121148AZ,Muposten Ointment 2%w/w,STERILINE SDN. BHD.
MAL05121152AZ,VALPARIN XR 500 TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL05121153AZ,Zocol 150mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL05121206X,Pi Kang Shuang Cream,WELLMETECH PHARMACEUTICAL INDUSTRIES SDN BHD
MAL06011683AZ,Motidom Oral Suspension 1mg/ml,IMEKS PHARMA SDN. BHD.
MAL06011684AZ,Hirapine Tablet 200mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL06011717AZ,Alpranax Tablet 0.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06011719X,GNC Vitamin C 500 with Rose Hips Timed Release,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL06011722XCR,OCEAN HEALTH BUFFERED C-500 WITH CITRUS BIOFLAVONOIDS CHEWABLE TABLETS,HYPHENS PHARMA SDN. BHD.
MAL06011731TCR,SPIROGRASS Chewable Tablet 250mg,GANO EXCEL INDUSTRIES SDN BHD
MAL06011903XS,Strepsils Lemon & Herb Sugar Free Lozenges,RB (HEALTH) MALAYSIA SDN BHD
MAL06021257X,Dofomin 500mg Tablet,IMEKS PHARMA SDN. BHD.
MAL06021262X,UNI-PAIN OINTMENT,UNIMED SDN. BHD.
MAL06030822AZ,Metasone Ointment 0.1%w/w,STERILINE SDN. BHD.
MAL06030848X,Saferon Chewable Tablet,Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd.
MAL06030882T,Easy Pha-max FISH OIL CHEWABLE,HERBAL SCIENCE SDN. BHD.
MAL06041463AZ,Flexin 20 mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL06051290AZ,N-bac cream,PRIME PHARMACEUTICAL SDN. BHD.
MAL06051301XZ,CANEZIN CREAM 1%W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06051302AZ,MECANDIN CREAM 2% W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06051304AZ,Re-liv oral lotion,PRIME PHARMACEUTICAL SDN. BHD.
MAL06051310AZ,Melocam Tablet 7.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06051319AZ,Glevate Cream 0.05%,Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd.
MAL06051328AZ,ANPRODEX TABLETS 2 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06051366T,WH Spirulina 200mg Chewable Tablet,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL06051380TC,Elken Spirulina Chewable 200mg,ELKEN SDN. BHD.
MAL06051410XZ,Flavettes Vitamin C Orange 500mg,Duopharma Marketing Sdn. Bhd.
MAL06051420XZ,Adazol suspension,PRIME PHARMACEUTICAL SDN. BHD.
MAL06051423T,WHP Chlorella 250mg Chewable Tablet,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL06051442TC,TAI FONG ZHEN ZHU AN CHUANG MEI RONG CREAM,SMART WELLMIN SDN BHD
MAL06051568XZ,Champs Vitamin C Chewable 100mg (Natural Orange Flavour),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06051585XZ,HEXIDIN CREAM 1%,Noripharma Sdn. Bhd.
MAL06061318AZ,Bevarate-N cream,PRIME PHARMACEUTICAL SDN. BHD.
MAL06061321AZ,MINACORT CREAM,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06061327AZ,Covasc Tablet 5mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06061337T,WHP Spirulina 250mg Chewable Tablet,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL06061370XZ,C-CHEWABLE,VIVA LIFE SCIENCE SDN. BHD.
MAL06061371T,BioCare SpirulinaCol Chewable Tablet,TST (ASIA) SDN. BHD.
MAL06061399XZ,CEBION ORANGE CHEWABLE TABLETS,PROCTER & GAMBLE (MALAYSIA ) SDN.BHD.
MAL06061514AZ,DB Sodium Bicarbonate 8.4% w/v Injection,DUOPHARMA (M) SENDIRIAN BERHAD
MAL06061524XC,GESB Liniment Oil,GAMAT EMAS SDN BHD
MAL06061531X,Three Legs White Balsem,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL06061546X,M-zole Chewable Tablet,WINWA MEDICAL SDN. BHD.
MAL06061674ARZ,"Suxamethonium Chloride-Fresenius 100mg/2ml, Injection",FRESENIUS KABI MALAYSIA SDN. BHD
MAL06061675AZ,Pentasa Sachet Prolonged Release Granules 1g,Ferring Sdn. Bhd.
MAL06061679XZ,Flavettes Neuroforte Tablet,Duopharma Marketing Sdn. Bhd.
MAL06061693AZ,Fleming Oral Suspension 228.5mg/5mL,HEALOL PHARMACEUTICALS SDN. BHD.
MAL06061696AZ,Ciprocep Tablet 500mg,IMEKS PHARMA SDN. BHD.
MAL06061699AZ,Proezine Tablet 25mg Film Coated,Duopharma Marketing Sdn. Bhd.
MAL06071054AZ,"Cipmax Eye Drops 0.3%W/V, 5 ml bottle",PHARMAFORTE (MALAYSIA) SDN. BHD.
MAL06071061AZ,Doproct Suppository,IDAMAN PHARMA SDN. BHD.
MAL06071073AZ,IMEXA POWDER FOR ORAL SUSPENSION 200mg/5ml,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.
MAL06071074AZ,Disuf Ointment 2% w/w,HOVID BERHAD
MAL06071075AZ,ANZACK TABLETS 20 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06071077AZ,Sonap Forte Caplet 550mg,IMEKS PHARMA SDN. BHD.
MAL06071112X,Nova Cal - 300 D Chewable Tablet,NOVA LABORATORIES SDN. BHD.
MAL06071120XZ,Nova Vit - C Chewable tablet,NOVA LABORATORIES SDN. BHD.
MAL06071126X,Juvita Multivitamins plus Calcium Chewable Tablet (For Children),NOVA LABORATORIES SDN. BHD.
MAL06071127X,Champs Multivitamin Pineapple Flavour Chewable Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06071128X,Champs Multivitamin Strawberry Flavour Chewable Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06071299TC,J.B. Cream for Skin Problem,JIN BIN CORPORATION SDN. BHD.
MAL06081196AZ,Cephanmycin Capsule 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06081203AZ,BETAC 20MG TABLETS,KOMEDIC SDN BHD
MAL06081206AZ,LAMITOR 100MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06081207AZ,LAMITOR 50MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06081211AZ,Supirocin Ointment,Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd.
MAL06081217AZ,Metasone Cream 0.1% w/w,STERILINE SDN. BHD.
MAL06081240X,Collagen Plus Enzyme Chewable Tablet,HERBAL SCIENCE SDN. BHD.
MAL06091353AZ,BACTIGEN EYE DROPS 0.3%W/V,UNIMED SDN. BHD.
MAL06091354AZ,IOBET EYE DROPS 0.5% W/V,UNIMED SDN. BHD.
MAL06091363XZ,Dyna Paracetamol Suspension (Pink),DYNAPHARM (M) SDN. BHD.
MAL06091374XRS,INTRALIPID 20%,FRESENIUS KABI MALAYSIA SDN. BHD
MAL06091382ARZ,Menopur Powder for Injection and Solvent 75 IU,Ferring Sdn. Bhd.
MAL06091404AZ,RABUGEN 5 mg/ 5 mL Suspension,MEDISPEC (M) SDN. BHD.
MAL06091408AZ,Yucomy Shampoo 2%w/w,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06091431XC,Kordel's Glucosamine 550 Capsule,CAMBERT(M) SDN. BHD.
MAL06091453X,M-zole Suspension,WINWA MEDICAL SDN. BHD.
MAL06091463XC,BioGaia Probiotic drops,Pharma Ace Sdn. Bhd.
MAL06091506X,Three Legs Green Balsem,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL06100555AZ,"Androgel 50mg, gel of testosterone 1%",BREGO LIFE SCIENCES SDN. BHD
MAL06100579AZ,N/A,N/A
MAL06100580AZ,N/A,N/A
MAL06100668T,Herbanika Cream (30g),MISB RESOURCES SDN. BHD.
MAL06100732X,BAGES ( CREAM),MEDISPEC (M) SDN. BHD.
MAL06111294ACSZ,Pyronium Injection 200mcg/ml,IMEKS PHARMA SDN. BHD.
MAL06111295AZ,Beclate-100 Inhaler (CFC Free),CIPLA MALAYSIA SDN BHD
MAL06111302ACZ,Triopon Suspension 125.0mg/5ml,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL06111364X,Naftate Cream,SUNWARD PHARMACEUTICAL SDN. BHD.
MAL06111398AZ,Tracidol Capsule 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06111463T,PALAMAS HERBAL OINTMENT,HERBAL LAND MANUFACTURING SDN BHD
MAL06111499AZ,Sinu-C Suspension,WINWA MEDICAL SDN. BHD.
MAL06121025ACZ,Tracidol 100 mg prolonged release capsule,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06121027AZ,FLUCOZOLE (100 MG CAPSULES),SPG PHARMA (MALAYSIA) SDN BHD
MAL06121028AZ,FLUCOZOLE (200 MG CAPSULES),SPG PHARMA (MALAYSIA) SDN BHD
MAL06121030AZ,FLUCOZOLE (50 MG CAPSULES),SPG PHARMA (MALAYSIA) SDN BHD
MAL06121051AZ,CIPROXOL ( Ciprofloxacin 0.2%w/v Intravenous Infusion BP ),AIN MEDICARE SDN. BHD.
MAL06121052X,Cartril-S 500mg Capsule,Duopharma Marketing Sdn. Bhd.
MAL06121054X,Cartril-S 1500mg Powder,Duopharma Marketing Sdn. Bhd.
MAL06121057XZ,Kidz PCM 250 Suspension ( Strawberry ),WINWA MEDICAL SDN. BHD.
MAL07010898AZ,Momate Cream 0.1% w/w,Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd.
MAL07010899AZ,Momate Ointment 0.1%w/w,Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd.
MAL07010903AZ,Fucid Cream 2 %w/w,PAHANG PHARMACY SDN. BHD.
MAL07010916AR,"SMOFLIPID 20% , emulsion for infusion",FRESENIUS KABI MALAYSIA SDN. BHD
MAL07010926AZ,DIAZON 2% w/w Cream,MEDISPEC (M) SDN. BHD.
MAL07010938XZ,A-zole Suspension (Strawberry) 200mg/5ml,WINWA MEDICAL SDN. BHD.
MAL07010939XZ,Noxworm Suspension ( Chocolate ) 200mg/5ml,WINWA MEDICAL SDN. BHD.
MAL07010955XZ,Kidz PCM 250 Suspension ( Orange ),WINWA MEDICAL SDN. BHD.
MAL07010960ARZ,FRESOFOL 1% MCT/LCT EMULSION FOR INJECTION OR INFUSION,FRESENIUS KABI MALAYSIA SDN. BHD
MAL07010961AZ,Nufen Suspension 100mg/5ml,STERILINE SDN. BHD.
MAL07010962ARZ,FRESOFOL 2% MCT/LCT EMULSION FOR INJECTION OR INFUSION,FRESENIUS KABI MALAYSIA SDN. BHD
MAL07010965AZ,Bacitracin-N Ointment,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07010967X,Sebitar Scalp Cleansing Treatment,EGO PHARM MALAYSIA SDN. BHD.
MAL07010970X,Nafine cream 1%w/w,PRIME PHARMACEUTICAL SDN. BHD.
MAL07010979AZ,Winofen Suspension 2%w/v (Orange),WINWA MEDICAL SDN. BHD.
MAL07010991AZ,Deqben Lozenge,WINWA MEDICAL SDN. BHD.
MAL07010995X,Wintinea Lotion,WINWA MEDICAL SDN. BHD.
MAL07011011TC,HURIX'S ALOE VERA HAEMOCARE CREAM PLUS,JIN BIN CORPORATION SDN. BHD.
MAL07021392AZ,Nasehaler (Mometasone Furoate Nasal Spray 50 mcg),CIPLA MALAYSIA SDN BHD
MAL07021524XCR,Appeton Essentials Fish Oil With Omega-3,KOTRA PHARMA (M) SDN. BHD.
MAL07021536XZ,Champs Vitamin C Chewable 100mg (Strawberry),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL07021538X,"Huxley""s Wintogeno Extra Cream",DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07031079AZ,SW Minoxidil Lotion 3% w/v,SUNWARD PHARMACEUTICAL SDN. BHD.
MAL07031137ACZ,Lofral 5mg Tablet,MEPHARM (MALAYSIA) SDN. BHD.
MAL07031138ACZ,Lofral 10mg Tablet,MEPHARM (MALAYSIA) SDN. BHD.
MAL07031273XZ,THELBAN SUSPENSION 200MG / 5 ML,MEDISPEC (M) SDN. BHD.
MAL07031274X,Homecare Davmorid Film Coated Tablet,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07050005AZ,Fucid Ointment 2%w/w,PAHANG PHARMACY SDN. BHD.
MAL07050013AZ,Doproct Rectal Ointment,IMEKS PHARMA SDN. BHD.
MAL07050026AZ,Terasin Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07050027AZ,Terasin Tablet 2mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07050041AZ,Timazol Tablet 5mg,IMEKS PHARMA SDN. BHD.
MAL07050095ACRZ,AGGRASTAT 0.25mg/ml CONCENTRATE FOR INFUSION,Aspen Medical Products Malaysia Sdn Bhd
MAL07050225XZ,Avadol suspension 250 mg/5ml (Orange),AV MANUFACTURING SDN.BHD
MAL07050226XZ,Avadol suspension 250 mg/5ml (Strawberry),AV MANUFACTURING SDN.BHD
MAL07050894AZ,Diclac� 150 ID modified-release tablet,IMEKS PHARMA SDN. BHD.
MAL07050906AZ,Avaphen Cough Syrup (Raspberry Flavour),AV MANUFACTURING SDN.BHD
MAL07050915T,EARTHRISE Spirulina Natural 500mg Chewable Tablet,Spring Pharma Sdn Bhd
MAL07050954X,Air-X SF Tablet,IMEKS PHARMA SDN. BHD.
MAL07050977X,Mentholatum Deep Heating Rub Extra Strength Cream,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL07061382AZ,INTRIL SR 1.5 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07061564X,Appeton Essentials MV21G + Selenium,KOTRA PHARMA (M) SDN. BHD.
MAL07061565X,Appeton Essentials MV21 Caplet,KOTRA PHARMA (M) SDN. BHD.
MAL07061568XCZ,Metacin Tablet 650mg,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL07061569XCZ,METACIN TABLET 500MG,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL07061572XZ,Enerlyte Oral Rehydration Salts (Natural),Duopharma Marketing Sdn. Bhd.
MAL07061578X,N-cobal 0.5mg film-coated tablet,AV MANUFACTURING SDN.BHD
MAL07061587X,Donna Forte Capsule 500mg,Duopharma Marketing Sdn. Bhd.
MAL07081476AZ,Serenata Tablets 50mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07081522T,Lionball Piles Cream,NANG HIN MEDICAL SDN. BHD.
MAL07081523AZ,Actapin 5 mg Tablet,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07081524AZ,Actapin 10 mg Tablet,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07081548XZ,UPHAMOL TABLET 500 MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL07081581T,ESSENCO HARUAN CREAM,MAJOR INTEREST SDN BHD
MAL07081598AZ,Ceretam Oral solution 20% w/v,AV MANUFACTURING SDN.BHD
MAL07081616AZ,Ceretam 800mg Film-Coated Tablet,AV MANUFACTURING SDN.BHD
MAL07081640TC,SR Cosmetic EziBreathe Chewable Tablet,SR Cosmetics
MAL07081653X,Appeton Essentials Teengrow,KOTRA PHARMA (M) SDN. BHD.
MAL07081670XCSZ,POLYLAB ACRIFLAVINE LOTION 0.4%,POLYLAB BIOTECH SDN. BHD.
MAL07082838ACZ,Bugesic Oral Suspension 100MG/5ML,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL07082844AZ,Keto Injection 30mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07082851AZ,Duolin Metered Dose Inhaler,CIPLA MALAYSIA SDN BHD
MAL07082980X,Simcone-T Sugar Free Chewable Tablet 80mg,IMEKS PHARMA SDN. BHD.
MAL07082983XZ,Neurobine Film Coated Tablet,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07082985X,Condropil capsule,AV MANUFACTURING SDN.BHD
MAL07082988XCSZ,POLYLAB CALAMINE LOTION,POLYLAB BIOTECH SDN. BHD.
MAL07082993AZ,FLUHALT FOR ORAL SUSPENSION 60 mg/ 5 ml,RANBAXY (MALAYSIA) SDN. BHD.
MAL07090893AZ,UNIDERM CREAM 0.05% W/W,MEDISPEC (M) SDN. BHD.
MAL07090894ACZ,Bonair HFA Inhaler 100mcg/actuation,STERILINE SDN. BHD.
MAL07090897AZ,Seroflo-125 inhaler,CIPLA MALAYSIA SDN BHD
MAL07090898AZ,Seroflo -250 Inhaler,CIPLA MALAYSIA SDN BHD
MAL07090903AZ,QUINTOR 500 Tablet,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07090921AZ,Flomist Aqueous Nasal Spray 50 mcg,CIPLA MALAYSIA SDN BHD
MAL07090926AZ,Omiflu Capsule 75mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL07090928AZ,Elosone Cream 0.1%w/w,HOE PHARMACEUTICALS SDN. BHD.
MAL07090938AZ,Elosone Ointment 0.1%w/w,HOE PHARMACEUTICALS SDN. BHD.
MAL07090939AZ,Elosone Lotion 0.1%w/v,HOE PHARMACEUTICALS SDN. BHD.
MAL07090944T,Mayinglong Ointment,BUMARI SDN. BHD.
MAL07090972T,CHAMPS E NATBERRY PLUS CHEWABLE TABLET,Duopharma Marketing Sdn. Bhd.
MAL07091040ACZ,Iomeron 350 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07091058X,Conart capsule,AV MANUFACTURING SDN.BHD
MAL07091072XZ,Axcel Paracetamol - 500 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL07101253AZ,Axcel Cimetidine 200 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL07101371XS,REDOXON Double Action Vitamin C & Zinc Chewable Tablets,BAYER CO. (MALAYSIA) SDN. BHD.
MAL07122779AZ,Moxiclav 1G F.C Tablets,KOMEDIC SDN BHD
MAL07122833X,Coenzyme Q10 75mg,HERBAL SCIENCE SDN. BHD.
MAL07122841X,Homecare Guafensin Syrup 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07122844AZ,Melashine Cream 4%.W/W,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07122846AZ,Melomet Cream 0.1% W/W,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124602ACZ,Fenosup Lidose 160 mg Capsule,HYPHENS PHARMA SDN. BHD.
MAL07124607AZ,Clarimycin Film Coated Tablet 250mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124609AZ,Clarimycin Film Coated Tablet 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124618AZ,FLUCONOL (Fluconazole 2mg/mL Intravenous Infusion),AIN MEDICARE SDN. BHD.
MAL07124630AZ,Clamentin Film Coated Tablet 625mg.,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124643AZ,Axcel Clobetasol 0.05% Ointment,KOTRA PHARMA (M) SDN. BHD.
MAL07125186X,Freederm Lotion,WINWA MEDICAL SDN. BHD.
MAL07125187X,Dermasolve Cream,WINWA MEDICAL SDN. BHD.
MAL08010687ACZ,Iopamiro 300 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL08010688ACZ,Iopamiro 370 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL08010691ACZ,Aerocort HFA Metered Dose Inhaler,CIPLA MALAYSIA SDN BHD
MAL08010699AZ,MUROZIN OINTMENT 2% W/W,Abio Marketing Sdn Bhd
MAL08010705AZ,NEVIREX (Nevirapine Oral suspension 50mg/5ml),UNIMED SDN. BHD.
MAL08010715AZ,Vizomet Cream 0.1% w/w,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.
MAL08010720TC,Tai Fong Aloe Vera Plus Pi Fu Cream,SMART WELLMIN SDN BHD
MAL08010722TC,Tai Fong Mostic Cream,SMART WELLMIN SDN BHD
MAL08010732TC,ENSO Xiao Yan Pi Fu Cream,SIHAT MESRA SDN. BHD.
MAL08010737XZ,Vinodine Spray,UNIMED SDN. BHD.
MAL08010740AZ,Axcel Clobetasol 0.05% Cream,KOTRA PHARMA (M) SDN. BHD.
MAL08010771ACZ,VELOXIN TABLET 25/50mg,PHARM-D SDN. BHD.
MAL08010787XC,"Kordel""s Kid""s Multivitamins Plus Lysine Chewable Tablet",NUVANTA SDN. BHD.
MAL08010798X,LicoDeq Throat Lozenge,WINWA MEDICAL SDN. BHD.
MAL08021472AZ,Vesyca Injection 25mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08021489TC,Anson XianLin Cream,SIHAT MESRA SDN. BHD.
MAL08021506AZ,Ciproflo 2mg/ml solution for IV Infusion,AVERROES PHARMACEUTICALS SDN. BHD.
MAL08021517X,Ridsil Ointment,WINWA MEDICAL SDN. BHD.
MAL08021518X,Dermasolve Ointment,WINWA MEDICAL SDN. BHD.
