Drug Code,Drug Code URL,licId,Name of the drug,Name of drug (Chinese),Ingredient name/ingredient content,Gauge quantity,Single compound,Price,Effective date,Effective start date,Effective end date,Pharmacists,dosage form,Classification of medicines,Taxonomy group name,ATC code
A023352100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023352,01023352,"SATINMIN TABLETS ""S.C."" (CARBINOXAMINE)","""十全""全敏舒錠（縮蘋酸卡比諾沙明）",CARBINOXAMINE MALEATE 4 MG,,單方,0.27,89.04.01- 迄今,89.04.01,,十全實業股份有限公司,錠劑,一般學名藥,"CARBINOXAMINE , 一般錠劑膠囊劑 , 4.00 MG",R06AA08
A023743100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023743,01023743,PARAMMINE TABLETS,順安寧錠,DIMENHYDRINATE 50 MG CAFFEINE ANHYDROUS 40 MG,,複方,0.53,111.01.01- 迄今,111.01.01,,元宙化學製藥股份有限公司,錠劑,一般學名藥,"DIPHENHYDRAMINE 50MG + CAFFEINE 40MG, 一般錠劑膠囊劑,",R06AA52
A024239100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024239,01024239,"NEWTASE TABLETS ""CHINTENG""",胃化錠,LIPASE 5 MG NEWLASE 10 MG DIASTASE BIO- 30 MG,,複方,0.57,111.01.01- 迄今,111.01.01,,井田國際醫藥廠股份有限公司,錠劑,一般學名藥,"BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG, 一般錠劑膠囊劑,",A09AA02
A024714100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024714,01024714,"BIODASE TABLETS ""H.S.""","""華興""滋化錠",DIASTASE BIO- 30 MG NEWLASE 10 MG LIPASE 5 MG,,複方,0.57,111.01.01- 迄今,111.01.01,,華興化學製藥廠股份有限公司,錠劑,一般學名藥,"BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG, 一般錠劑膠囊劑,",A09AA02
A024921100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024921,01024921,"LEPOTIN TABLETS 1MG ""WELCAN"" (CLEMASTINE)","""衛肯""立保停錠１毫克",CLEMASTINE (FUMARATE) 1 MG,,單方,0.71,90.04.01- 迄今,90.04.01,,衛肯生技製藥股份有限公司,錠劑,一般學名藥,"CLEMASTINE , 一般錠劑膠囊劑 , 1.00 MG",R06AA04
A024958100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024958,01024958,"MINLICK TABLETS (CLEMASTINE) ""SPC""",〝信隆〞敏立克錠１毫克（延胡所酸可利汀）,CLEMASTINE (FUMARATE) 1 MG,,單方,0.60,87.10.01- 迄今,87.10.01,,信隆藥品工業股份有限公司,錠劑,一般學名藥,"CLEMASTINE , 一般錠劑膠囊劑 , 1.00 MG",R06AA04
A025149100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025149,01025149,"LICHANYU TABLETS ""HONTEN""","""豐田"" 利腸兒錠",DIASTASE BIO- 30 MG NEWLASE 10 MG LIPASE 5 MG,,複方,0.48,88.07.01- 迄今,88.07.01,,豐田藥品股份有限公司,錠劑,一般學名藥,"BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG, 一般錠劑膠囊劑,",A09AA02
A025624100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025624,01025624,"PLOCON TABLETS 3MG ""Y.Y."" (PIPRINHYDRINATE)",〝應元〞普抗敏錠3公絲（匹普林奈）,PIPRINHYDRINATE 3 MG,,單方,0.64,103.07.01- 迄今,103.07.01,,應元化學製藥股份有限公司,錠劑,一般學名藥,"PIPRINHYDRINATE , 一般錠劑膠囊劑 , 3.00 MG",R06AA07
A025778100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025778,01025778,"Tri-Zyme Tablets ""CHEN TA""","""成大""三化錠",DIASTASE BIO- 30 MG NEWLASE 10 MG LIPASE 5 MG,,複方,0.57,111.01.01- 迄今,111.01.01,,成大藥品股份有限公司,錠劑,一般學名藥,"BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG, 一般錠劑膠囊劑,",A09AA02
A026041100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026041,01026041,"CHUSELIN CAPSULES 250MG (TRANEXAMIC ACID) ""Y.S.""","""岳生""止血寧膠囊250公絲（妥內散敏）",TRANEXAMIC ACID 250 MG,,單方,1.27,106.04.01- 迄今,106.04.01,,岳生生技股份有限公司,膠囊劑,一般學名藥,"TRANEXAMIC ACID , 一般錠劑膠囊劑 , 250.00 MG",B02AA02
A023668212,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023668,01023668,"CLEMASTINE INJECTION ""Y.Y.""","""應元""克雷滿汀注射液",CLEMASTINE (FUMARATE) 1 MG/ML,2 ML,單方,3.77,90.04.01- 迄今,90.04.01,,應元化學製藥股份有限公司,注射劑,一般學名藥,"CLEMASTINE , 注射劑 , 2.00 MG",R06AA04
A026319212,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026319,01026319,"DICYCLOMINE HCL INJECTION 10MG/ML ""S.Y.""","""壽元""胃息寧注射液１０公絲/公撮（待克明）",DICYCLOMINE HCL 10 MG/ML,2 ML,單方,6.40,103.07.01- 迄今,103.07.01,,壽元化學工業股份有限公司,注射液,一般學名藥,"DICYCLOMINE , 注射劑 , 20.00 MG",A03AA07
A0270441G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027044,01027044,"ANTIBLEED CAPSULES 250MG ""T.F.""","""大豐""止血抗炎膠囊２５０毫克",TRANEXAMIC ACID 250 MG,,單方,1.50,100.03.01- 迄今,100.03.01,,大豐製藥股份有限公司,膠囊劑,一般學名藥,"TRANEXAMIC ACID , 一般錠劑膠囊劑 , 250.00 MG",B02AA02
A027374100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027374,01027374,"ARTINE TABLETS 2MG ""H.L.""","""華琳""阿定錠2毫克",TRIHEXYPHENIDYL HCL (=BENZHEXOL HYDROCHLORIDE) 2 MG,,單方,0.80,103.07.01- 迄今,103.07.01,,華琳實業有限公司,錠劑,一般學名藥,"TRIHEXYPHENIDYL , 一般錠劑膠囊劑 , 2.00 MG",N04AA01
A027432100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027432,01027432,"DARVINE TABLETS 1.34MG (CLEMASTINE FUMARATE) ""WEIDAR""","""衛達""達敏錠１．３４毫克（延胡索酸可利汀）",CLEMASTINE (FUMARATE) 1 MG,,單方,0.79,107.05.01- 迄今,107.05.01,,衛達化學製藥股份有限公司,錠劑,一般學名藥,"CLEMASTINE , 一般錠劑膠囊劑 , 1.00 MG",R06AA04
