"#","Registration No / Notification No","Product Name","Holder"
"25","MAL12115079ACRZ","Benlysta Powder for Solution for Infusion 120mg","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"26","MAL12115076ACZ","Zinforo 600mg Powder for Concentrate for Solution for Infusion","PFIZER (MALAYSIA) SDN. BHD."
"27","MAL15025046HAC","PharMox 575 Water Soluble Powder 57.5%","F.E. VENTURE SDN. BHD."
"28","MAL12075061T","Liow Phui Yee Traditional Herbal Powder","G&G Century (M) Sdn Bhd"
"29","MAL16045059AZ","Aurotaz-P Powder for Injections 4.5 g","HEALOL PHARMACEUTICALS SDN. BHD."
"30","MAL12085008NC","BiO-LiFE A.B ADULT GOLD PRE & PRO POWDER","BIO-LIFE MARKETING SDN. BHD."
"31","MAL12115069X","Live-well OsteSAMIN 1500 Powder","PAHANG PHARMACY SDN. BHD."
"32","MAL13055038TC","TRITICUM WHEAT 2.5GM POWDER","Hb Herbalist Sdn Bhd"
"33","MAL12085005NC","BiO-LiFE A.B JUNIOR PRE & PRO POWDER","BIO-LIFE MARKETING SDN. BHD."
"34","MAL13115222X","PICO-SALAX Powder for Oral Solution","Ferring Sdn. Bhd."
"35","MAL13125025T","Origin Tongkat Ali Powder Plus","THE ORIGIN FOODS SDN. BHD."
"36","MAL12105075X","NOR ACETYLCYSTEINE 200mg Powder for Oral Solution","Noripharma Sdn. Bhd."
"37","MAL12045023X","ARTHRO-S Powder for Oral Solution","Noripharma Sdn. Bhd."
"38","MAL13065007TC","Herbalcity Yiduhuo Powder","HERBALCITY MARKETING"
"39","MAL15045149HAC","DOXIVEEX 500mg/g water soluble powder","F.E. VENTURE SDN. BHD."
"40","MAL12105024TC","BioCare Cordyceps 350mg Powder","TST HEALTH CARE SDN BHD"
"41","MAL14125077X","UNI-ISABGOL (Ispaghula Husk Oral Powder)","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"42","MAL13085060ACRZ","Mycamine 50 mg/vial powder for solution for infusion","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"43","MAL14055128TC","CSL WIND-HEAT, COLD POWDER","Gab Sdn Bhd"
"44","MAL13065046XC","Live-well™ OsteSAMIN™ Plus CHONDROITIN & MSM Powder","PAHANG PHARMACY SDN. BHD."
"45","MAL14055165X","hovid Cosamine Powder 1417mg","HOVID BERHAD"
"46","MAL14125125AZ","Pantoprazole Sandoz 40mg Powder for Solution for Injection","SANDOZ PRODUCTS MALAYSIA SDN. BHD."
"47","MAL16105028AZ","Merosan 0.5g Sterile Powder For Injection","MEDISPEC (M) SDN. BHD."
"48","MAL16105029AZ","Merosan 1g Sterile Powder For Injection.","MEDISPEC (M) SDN. BHD."
"49","MAL13055046T","Shou Hsing Brand Watermelon Frost Plus Powder","BIOFACT LIFE SDN. BHD."
"50","MAL14055021X","hovid Cosamine Plus Forte Powder","HOVID BERHAD"
"51","MAL13025033ARZ","IMOJEV� Powder and diluent* for suspension for injection Japanese encephalitis vaccine (live, attenuated) * 0.4 % Sterile Sodium chloride solution","ZUELLIG PHARMA SDN. BHD."
"52","MAL13035034TC","CHOON KENG YIN OLD MAN BRAND ZHONG PA PI YUK HERBAL POWDER","Choon Keng Yin Medical Hall"
"53","MAL14055047AZ","ELIGARD 45MG POWDER & SOLVENT FOR SOLUTION FOR INJECTION","DCH AURIGA (MALAYSIA) SDN. BHD."
"54","MAL14055046AZ","ELIGARD 22.5MG POWDER & SOLVENT FOR SOLUTION FOR INJECTION","DCH AURIGA (MALAYSIA) SDN. BHD."
"55","MAL14055045AZ","ELIGARD 7.5MG POWDER & SOLVENT FOR SOLUTION FOR INJECTION","DCH AURIGA (MALAYSIA) SDN. BHD."
"56","MAL14015011ACRZ","Seebri Breezhaler 50mcg Inhalation Powder Hard Capsule","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"57","MAL14085017AZ","Zynomax Powder For Oral Suspension 200mg/5ml","Duopharma Marketing Sdn. Bhd."
"58","MAL13035004N","B-Can Vescent Powder (Plain)","UNISON NUTRACEUTICALS SDN. BHD."
"59","MAL16065021ARZ","CELOVAN Powder for Solution for Injection/Infusion 500 mg","MYLAN HEALTHCARE SDN. BHD."
"60","MAL16035010HAC","Prima Tylo 50 Powder","Prima Inter-chem Sdn. Bhd."
"61","MAL13085066ACZ","Nimenrix Powder and Solvent for Solution for Injection","PFIZER (MALAYSIA) SDN. BHD."
"62","MAL13055070X","OSTEOACTIV 3-in-1 Joint Formula Powder","WINWA MEDICAL SDN. BHD."
"63","MAL16045070TC","NCHK XI GUA XIANG (POWDER)","NCHK MEDICINE ENTERPRISE SDN BHD"
"64","MAL15045157ACRZ","RIBOMUSTIN 100MG/VIAL POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION","JOHNSON & JOHNSON SDN. BHD."
"65","MAL13125024ACZ","Colomycin Injection 1 million International Units, POWDER FOR SOLUTION FOR INJECTION, INFUSION, OR INHALATION","DCH AURIGA (MALAYSIA) SDN. BHD."
"66","MAL13045019N","B-Can Vescent Powder (Mixed Berry Flavour)","UNISON NUTRACEUTICALS SDN. BHD."
"67","MAL14105056TC","CHONG CAO NIU HUANG COUGH POWDER PLUS","WYKON MEDICAL SDN. BHD."
"68","MAL13075055T","Citriplex powder","Esprit Care Sdn. Bhd."
"69","MAL14035022N","Glutavescent Powder (Mango Flavour)","UNISON NUTRACEUTICALS SDN. BHD."
"70","MAL13115097T","MILLENNIUM POWDER GOLD EDITION","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"71","MAL13115098T","MILLENNIUM POWDER (NEW FORMULATION)","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"72","MAL14115015ARZ","MENOPUR multidose 600IU Powder and Solvent for Solution for Injection","Ferring Sdn. Bhd."
"73","MAL15015063HA","Sumox 50% Water Soluble Powder","LAI NGIT SEN SDN. BHD."
"74","MAL14115016ARZ","MENOPUR multidose 1200IU Powder and Solvent for Solution for Injection","Ferring Sdn. Bhd."
"75","MAL14125169HA","Erythra 5.5 Water Soluble Powder","LAI NGIT SEN SDN. BHD."
"76","MAL13125039TC","SP Plus Yureweiqin Powder","SP PLUS ENTERPRISE"
"77","MAL13125058X","Cosamine Plus Forte M Powder","HOVID BERHAD"
"78","MAL15045086N","Glutavescent Powder (Lychee Flavour)","UNISON NUTRACEUTICALS SDN. BHD."
"79","MAL14065005TC","VALENS Gucil Powder","PHARM-D SDN. BHD."
"80","MAL14075032ACRZ","Kadcyla 100 mg powder for concentrate for solution for infusion","ROCHE (MALAYSIA) SDN. BHD."
"81","MAL14075031ACRZ","Kadcyla 160 mg powder for concentrate for solution for infusion","ROCHE (MALAYSIA) SDN. BHD."
"82","MAL14095006T","Toku Tsuru JIANG ZAO YANG ZHONG SAN powder","YANLING NATURAL HYGIENE SDN. BHD."
"83","MAL14085032T","Toku Tsuru CHAI HU DA YUAN YIN Plus powder","YANLING NATURAL HYGIENE SDN. BHD."
"84","MAL14095033T","Toku Tsuru SHI WEI BU XUE TANG powder","YANLING NATURAL HYGIENE SDN. BHD."
"85","MAL14095056X","flexijoint 3-in-1 Joint Care Powder","WINWA MEDICAL SDN. BHD."
"86","MAL16075013T","YL Run Hou Powder","YANLING NATURAL HYGIENE SDN. BHD."
"87","MAL14055026T","Toku Tsuru PU JI GU JIN YIN powder","YANLING NATURAL HYGIENE SDN. BHD."
"88","MAL14125090T","Toku Tsuru FENG HAN QU RE SAN Powder","YANLING NATURAL HYGIENE SDN. BHD."
"89","MAL15055027T","Wai Gan Feng Han Powder","YANLING NATURAL HYGIENE SDN. BHD."
"90","MAL14095065TC","Bioresis Bio BG Mas-Active Extract Powder","BIORESIS SDN. BHD."
"91","MAL16025041ACRZ","IMIPENEM /CILASTATIN  Kabi 500 mg/ 500 mg, Powder for solution for infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"92","MAL16015069AZ","Fludarabine Kabi 50mg Lyophilized Powder for Solution for Injection or Infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"93","MAL16095025ACZ","Medixon Powder for Injection 500 mg","AVERROES PHARMACEUTICALS SDN. BHD."
"94","MAL14055105T","NUTRIACT POWDER","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"95","MAL14055106T","NUTRIACT II POWDER","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"96","MAL14015036T","KINOHIMITSU SKY GRASS Powder 2.5g","Kino Biotech (M) Sdn Bhd"
"97","MAL14125094T","DXN Mycove G Powder","DXN PHARMACEUTICAL SDN. BHD."
"98","MAL17055015AZ","Merozan 500mg powder for solution for injection or infusion","PAHANG PHARMACY SDN. BHD."
"99","MAL14125110N","Marinox Life Bifido-C Powder (Orange Flavour)","UNISON NUTRACEUTICALS SDN. BHD."
"100","MAL16115035ACSZ","Cetrotide 0.25 mg powder and solvent for solution for injection","MERCK SDN. BHD."
"101","MAL15055016N","Synova Powder","FURLEY BIOEXTRACTS SDN. BHD."
"102","MAL14115017ARZ","Relvar Ellipta 100/25 micrograms inhalation powder, pre-dispensed","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"103","MAL14115018ARZ","Relvar Ellipta 200/25 micrograms inhalation powder, pre-dispensed","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"104","MAL15055034AZ","CEFTAZIDIME-ZHIJUN 500mg Powder for Injection","MEDISPEC (M) SDN. BHD."
"105","MAL15095033ARZ","Anoro Ellipta 62.5/25 micrograms inhalation powder, pre-dispensed","GLAXOSMITHKLINE PHARMACEUTICAL SDN. BHD."
"106","MAL14055180XCZ","Betadine Dry Powder Spray 2.5% w/w","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"107","MAL15045011T","Liang Ge San Powder C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"108","MAL14125138NC","KidsBiotics Powder","GERMAX SDN. BHD."
"109","MAL15015118ACRZ","Remsima Powder for Concentrate for Solution for Infusion","CELLTRION HEALTHCARE MALAYSIA SDN. BHD."
"110","MAL15025045ACRZ","Ultibro Breezhaler 110/50mcg Inhalation Powder Hard Capsule","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"111","MAL15055035AZ","CEFTAZIDIME-ZHIJUN 1.0g Powder for Injection","MEDISPEC (M) SDN. BHD."
"112","MAL15045085ACRZ","Adcetris 50mg, powder for concentrate for solution for infusion","Takeda Malaysia Sdn Bhd"
"113","MAL18056175HA","Convenia 80mg/ml Powder For Solution For Injection For Dogs and Cats","Zoetis Malaysia Sdn. Bhd."
"114","MAL14095048T","DXN Poria S Powder","DXN PHARMACEUTICAL SDN. BHD."
"115","MAL15015026N","BON BIOTICS POWDER","UNISON NUTRACEUTICALS SDN. BHD."
"116","MAL14125060NC","Vitamode Lacidofil  powder","MEDISPEC (M) SDN. BHD."
"117","MAL15015038NC","FLEXIGEN POWDER","MEGA LIFESCIENCES SDN. BHD."
"118","MAL14125140N","EnerGlo Lutein & Zeaxanthin Plus Powder","WINWA MEDICAL SDN. BHD."
"119","MAL15125023TC","FERWHITE BEAUTY POWDER","VIHSDIA ENTERPRISE"
"120","MAL15105024TC","Yang Pi Powder","NANG HIN MEDICAL SDN. BHD."
"121","MAL14105076TC","CSL PEARL WATERMELON COMPOUND POWDER","Gab Sdn Bhd"
"122","MAL15015027NC","UNICITY CALCIUM MAGNESIUM PLUS POWDER","UNICITY IMPORTS MALAYSIA SDN. BHD."
"123","MAL15045159ACRZ","RIBOMUSTIN 25MG/VIAL POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION","JOHNSON & JOHNSON SDN. BHD."
"124","MAL14125142N","METAPLUZ Oral Powder (Apple Flavour)","WINWA MEDICAL SDN. BHD."
"125","MAL15025024NC","BiO-LiFE A.B. JUNIOR PRE & PRO (CHOCOLATE FLAVOR) POWDER","BIO-LIFE MARKETING SDN. BHD."
"126","MAL16055004NC","Health123 FortiFlex Powder","EU YAN SANG (1959) SDN.BHD."
"127","MAL16065047AZ","DexaMedica Meropenem 0.5 g Powder for Injection","AVERROES PHARMACEUTICALS SDN. BHD."
"128","MAL16065053AZ","DexaMedica Meropenem 1 g Powder for Injection","AVERROES PHARMACEUTICALS SDN. BHD."
"129","MAL17107023ARZ","Piperacillin/Tazobactam Kabi 2g/0.25g Powder for Solution for Infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"130","MAL15125035AZ","Pospenem Powder for Solution for Injection 500mg","FIRST PHARMACEUTICAL SDN. BHD."
"131","MAL15125036AZ","Pospenem Powder for Solution for Injection 1g","FIRST PHARMACEUTICAL SDN. BHD."
"132","MAL15105008NCR","NuvaPro Powder","NUVANTA SDN. BHD."
"133","MAL16025006NC","BIOS LIFE PROBIONIC (POWDER)","UNICITY IMPORTS MALAYSIA SDN. BHD."
"134","MAL16035032N","FINE HYALURONIC ACID & COLLAGEN PLUS POWDER","Cason Group Sdn. Bhd."
"135","MAL15055041HX","Efendazole 8%w/w Oral Powder","Rhone Ma Malaysia Sdn Bhd"
"136","MAL16025049HA","Dicox 0.5% Premix Powder","Y.S.P. INDUSTRIES (M) SDN. BHD."
"137","MAL15055039HXC","Coolic Plus 800mg/g Water Soluble Powder","F.E. VENTURE SDN. BHD."
"138","MAL15105010NCR","Kordel's Protect Probiotic Powder","CAMBERT(M) SDN. BHD."
"139","MAL15055004N","USANA PROBIOTIC Powder","UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD."
"140","MAL15045103N","Innolac Powder","PROPHARM (M) SDN. BHD."
"141","MAL18056173ACRZ","Meropenem Kabi 500mg powder for solution for injection or infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"142","MAL18056172ACRZ","Meropenem Kabi 1g powder for solution for injection or infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"143","MAL16105048ARZ","Signifor LAR 20mg powder and solvent for suspension for injection","FTA PHARMA SDN. BHD."
"144","MAL16105049ARZ","Signifor LAR 40mg powder and solvent for suspension for injection","FTA PHARMA SDN. BHD."
"145","MAL16105050ARZ","Signifor LAR 60mg powder and solvent for suspension for injection","FTA PHARMA SDN. BHD."
"146","MAL15045104NC","MEGA FIBER POWDER","MEGA LIFESCIENCES SDN. BHD."
"147","MAL15095035ARSZ","HERCEPTIN VIAL 440MG POWDER FOR CONCENTRATE","ROCHE (MALAYSIA) SDN. BHD."
"148","MAL18056176AZ","METREX (Pemetrexed Lyophilised Powder for Injection 500mg/Vial)","UNIMED SDN. BHD."
"149","MAL15015023N","Nova Memogen Oral Powder","NOVA LABORATORIES SDN. BHD."
"150","MAL15075031NC","COLLAWELL COLLAGEN HYDROLYSATE 10,000mg POWDER","Nael & Newk Nutra Health Sdn. Bhd."
"151","MAL15055021NC","COLLAWELL Collagen Hydrolysate Complex Powder","Nael & Newk Nutra Health Sdn. Bhd."
"152","MAL16045049ARZ","Fraizeron 150mg Powder for Solution for Injection","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"153","MAL17085068AZ","Foster Nexthaler 100 micrograms/6 micrograms per dose inhalation powder","Orient Europharma (M) Sdn Bhd"
"154","MAL16035028NC","Resvenus Collagen Plus Powder","Resvenus Niaga Sdn. Bhd."
"155","MAL16015034AZ","XEOMIN powder for solution for injection 100 LD50 units","TT Medical Management Sdn Bhd"
"156","MAL16085051AZ","Wilate 500, 500 IU VWF/500 IU FVIII, Powder and Solvent for Solution for Injection","Pharmaniaga Marketing Sdn Bhd"
"157","MAL16085052AZ","Wilate 1000, 1000 IU VWF/1000 IU FVIII, Powder and Solvent for Solution for Injection","Pharmaniaga Marketing Sdn Bhd"
"158","MAL18071005AZ","Vaxcel Esomeprazole 40mg Powder for Injection","KOTRA PHARMA (M) SDN. BHD."
"159","MAL17035039AZ","CITABOL (Gemcitabine Powder for Solution for Infusion 200 mg/vial)","UNIMED SDN. BHD."
"160","MAL17107081ACRZ","Cefazolin-AFT Powder for Injection 1g","AFT PHARMACEUTICALS (SE ASIA) SDN BHD"
"161","MAL17107082ACRZ","Cefazolin-AFT Powder for Injection 500mg","AFT PHARMACEUTICALS (SE ASIA) SDN BHD"
"162","MAL17035044AZ","CITABOL ( Gemcitabine Powder for Solution for Infusion 1000 mg/vial)","UNIMED SDN. BHD."
"163","MAL17107024ARZ","Piperacillin/Tazobactam Kabi 4g/0.5g Powder for Solution for Infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"164","MAL16015033AZ","XEOMIN powder for solution for injection 50 LD50 units","TT Medical Management Sdn Bhd"
"165","MAL16025050HA","Florcol-S Premix Powder 20%","Y.S.P. INDUSTRIES (M) SDN. BHD."
"166","MAL16015013NC","Appeton Essentials Collagen Plus Effervescent Powder","KOTRA PHARMA (M) SDN. BHD."
"167","MAL17107021AZ","TIGAR 50 (Tigecycline Powder for Solution for Infusion 50mg/Vial)","UNIMED SDN. BHD."
"168","MAL16105008NC","Vivox9 Fish Collagen Powder","FIATEC BIOSYSTEM SDN. BHD."
"169","MAL15045105NC","MEGA PRO AMINO POWDER","MEGA LIFESCIENCES SDN. BHD."
"170","MAL16085029AZ","NovoEight 500IU Powder and Solvent for Solution for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"171","MAL16085031AZ","NovoEight® 250IU Powder and Solvent for Solution for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"172","MAL16085030AZ","NovoEight 1000IU Powder and Solvent for Solution for Injection","NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD."
"173","MAL16025001NC","BiO-LiFE TriActive Powder","BIO-LIFE MARKETING SDN. BHD."
"174","MAL16025011NC","BiO-LiFE TriActive Forte Powder","BIO-LIFE MARKETING SDN. BHD."
"175","MAL18046174AZ","ARCHIFAR 500MG POWDER FOR SOLUTION FOR INJECTION/INFUSION","KOMEDIC SDN BHD"
"176","MAL16015061NC","DM Aesthetics Marine Collagen + Acerola Cherry Extract powder","DM AESTHETICS SDN BHD"
"177","MAL16015005NC","GreenLife JUNIOR PRE & PROBIOTICS POWDER","GROWAY (MALAYSIA) SDN. BHD."
"178","MAL18046173AZ","ARCHIFAR 1G POWDER FOR SOLUTION FOR INJECTION/INFUSION","KOMEDIC SDN BHD"
"179","MAL16065032N","Reneogen Powder","Wells Products Industry Sdn Bhd"
"180","MAL18026195ACZ","Cefepime-AFT Powder for Injection 1g","AFT PHARMACEUTICALS (SE ASIA) SDN BHD"
"181","MAL17075016AZ","ACCORD BORTEZOMIB 3.5 (Bortezomib powder for solution for injection 3.5 mg/vial)","ACCORD HEALTHCARE SDN.BHD."
"182","MAL17035028AZ","Sylvant 100mg Powder for Concentrate for Solution for Infusion","LINK HEALTHCARE SDN. BHD."
"183","MAL17035027AZ","Sylvant 400mg Powder for Concentrate for Solution for Infusion","LINK HEALTHCARE SDN. BHD."
"184","MAL16045056ACRSZ","Desferal 500mg Powder for Solution for Injection","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"185","MAL16025021NC","Pro-4S powder","Md Healthcare Sdn Bhd"
"186","MAL17107083AZ","Accord Pemetrexed 100mg powder for concentrate for solution for infusion","ACCORD HEALTHCARE SDN.BHD."
"187","MAL17107084AZ","Accord Pemetrexed 500mg powder for concentrate for solution for infusion","ACCORD HEALTHCARE SDN.BHD."
"188","MAL16035034NC","LAC Taut NUWHITE Powder","LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD."
"189","MAL16105006N","+P MAXIFLEX   10g Powder","HEALOL PHARMACEUTICALS SDN. BHD."
"190","MAL18026186AZ","Abilify Maintena 400 mg powder and solvent for prolonged-release suspension for injection","Lundbeck Malaysia Sdn. Bhd."
"191","MAL17075006AZ","EPIROL Epirubicin Hydrochloride Powder for Solution for Injection 10mg","UNIMED SDN. BHD."
"192","MAL17075022AZ","EPIROL Epirubicin Hydrochloride Powder for Solution for Injection 50mg","UNIMED SDN. BHD."
"193","MAL16035036N","AVONYS POWDER","FURLEY BIOEXTRACTS SDN. BHD."
"194","MAL18026193ACZ","hovid Oxaliplatin 50mg Powder for Concentrate for Solution for Infusion","HOVID BERHAD"
"195","MAL18026192ACZ","hovid Oxaliplatin 100mg Powder for Concentrate for Solution for Infusion","HOVID BERHAD"
"196","MAL17025031ACZ","Entyvio 300mg Powder for Concentrate for Solution for Infusion","Takeda Malaysia Sdn Bhd"
"197","MAL16095028NC","BLINQ BEAU POWDER","BLINQ SISTARZ SDN BHD"
"198","MAL16115013NC","Whitegi Powder","FIATEC BIOSYSTEM SDN. BHD."
"199","MAL16115022NC","Tiens Soy Lecithin with Calcium Powder","TIENS HEALTH DEVELOPMENT (MALAYSIA) SDN. BHD."
"200","MAL16075045NC","C-Well BIO MAMORU Powder","Advanced & Leading Pharmacy Alliance Sdn Bhd"
"201","MAL16075047NC","GOUCH TART CHERRY PLUS POWDER (BLACKCURRANT PEACH FLAVOUR)","NATURES SCIENCEUTICALS SDN BHD"
"202","MAL18016082X","Axcel Glucosatin Dry Powder for Oral Solution","KOTRA PHARMA (M) SDN. BHD."
"203","MAL18086137ARZ","Kyprolis (carfilzomib) powder for solution for infusion 60mg/vial","Amgen Biopharmaceuticals Malaysia Sdn Bhd"
"204","MAL16095021NC","Mobithron P Powder (Lemon Flavor)","BREGO LIFE SCIENCES SDN. BHD"
"205","MAL18106016AZ","PODOXRED (PEMETREXED) Powder for Concentrate for Solution for Infusion 500mg","Dr. Reddy`s Laboratories Malaysia Sdn. Bhd."
"206","MAL18106017AZ","PODOXRED (PEMETREXED) Powder for Concentrate for Solution for Infusion 100mg","Dr. Reddy`s Laboratories Malaysia Sdn. Bhd."
"207","MAL17035019X","HoraLAX Powder for Oral Solution 350g","HOVID BERHAD"
"208","MAL18016051AZ","Avoxred (Azacitidine) powder for suspension for injection 100 mg/vial","Dr. Reddy`s Laboratories Malaysia Sdn. Bhd."
"209","MAL18116082ARZ","Pamorelin 11.25 mg powder for suspension for injection.","Orient Europharma (M) Sdn Bhd"
"210","MAL18026178AZ","MYBORTE 3.5mg (Bortezomib Powder For Solution for Injection 3.5mg/vial)","Dr. Reddy`s Laboratories Malaysia Sdn. Bhd."
"211","MAL18056161AZ","Redtibin (Decitabine) Powder for Injection 50mg/vial","Dr. Reddy`s Laboratories Malaysia Sdn. Bhd."
"212","MAL18116083ARZ","Pamorelin 22.5 mg powder for suspension for injection.","Orient Europharma (M) Sdn Bhd"
"213","MAL17085028HAC","Apra 100g/225g Soluble Powder","Uni-hana Sdn. Bhd."
"214","MAL17025007T","VITAHERB Golden Flaxseed 7g Powder","WINWA MEDICAL SDN. BHD."
"215","MAL17015032TC","CSL CLEAR COUGH & PHLEGM POWDER","Gab Sdn Bhd"
"216","MAL16125024ACRZ","Zerbaxa 1.5g powder for solution for injection","MERCK SHARP & DOHME (MALAYSIA) SDN. BHD."
"217","MAL16115043HX","Fementic Premix Powder 8% w/w","Y.S.P. INDUSTRIES (M) SDN. BHD."
"218","MAL17025029HA","TP-NEOCIN 500 WSP NEOMYCIN SULPHATE 500MG/G POWDER","Thye Pharma Sdn. Bhd"
"219","MAL16105042HA","TP-SQ 250 WSP Sulfaquinoxaline 250 mg/g Powder","Thye Pharma Sdn. Bhd"
"220","MAL17035004T","Yi Shi Yuan Zi Yin An Shen Fine Powder","Yi Si Yuan Trading Sdn. Bhd."
"221","MAL16125014T","Yi Shi Yuan Suan Zao Ren Tang Fine Powder","Yi Si Yuan Trading Sdn. Bhd."
"222","MAL17075031HA","TP-Amoclavu WSP Amoxicilln & Clavulanate Potassium 300/75 mg/g Powder","Thye Pharma Sdn. Bhd"
"223","MAL16105043HA","Rhotarsin 20WSP Powder for Oral Solution 20%w/w","Rhone Ma Malaysia Sdn Bhd"
"224","MAL16095026HX","Flubenzole 5% w/w Premix Powder","Nam Pharma Sdn. Bhd."
"225","MAL19971492TC","ZENG YOU SHAN KAR SAU SUA POWDER","ECOLITE BIOTECH MANUFACTURING SDN BHD"
"226","MAL19985433T","DAIFONAI HERBAL BATH (HERBAL POWDER)","YOKNESS SDN. BHD."
"227","MAL19962029T","UNIFLEX SHE TAN CHAN PE MO POWDER","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"228","MAL19963090T","POH KIAN CHUAN PEI SHE TAN CHAN PE MO POWDER 1GM","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"229","MAL19963229T","THREE POINTS HUI CHUN TAN (POWDER","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"230","MAL19992030T","PAO YING TAN (CAP BURUNG LAYANG-LAYANG) POWDER 750MG","CHING CHING MEDICINE MANUFACTURER"
"231","MAL19990896T","GREATWALL FU FANG CHEN CHU HO CHOU SAN POWDER","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"232","MAL19990924T","MEE TAO CHIN HONG SAN (POWDER)","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"233","MAL19989000T","POH KIAN PAO YING TAN (POWDER) 400MG","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
