q_letter,local_pack_code,drug_id,generic_name,brand_name_strength_dosage,mfr_code,manufacturer_name,price_type,exfactory_price_raw,amount_moh_pays_raw,exfactory_price,reimbursable_price,public_with_vat,copay,interchangeable,limited_use,therapeutic_notes_requirements,qa_notes,detail_url
a,02540452,02540452,ABIRATERONE ACETATE,PRZ-Abiraterone 250mg Tab,PRZ,Pharmaris Canada Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02540452
a,02477114,02477114,ABIRATERONE ACETATE,Reddy-Abiraterone 250mg Tab,DRR,Dr. Reddy's Laboratories Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02477114
a,02533251,02533251,ABIRATERONE ACETATE,Reddy-Abiraterone 500mg Tab,DRR,Dr. Reddy's Laboratories Inc.,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02533251
a,02486393,02486393,ABIRATERONE ACETATE,Sandoz Abiraterone 250mg Tab,SDZ,Sandoz Canada Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02486393
a,02521644,02521644,ABIRATERONE ACETATE,Sandoz Abiraterone 500mg Tab,SDZ,Sandoz Canada Inc.,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02521644
a,02371065,02371065,ABIRATERONE ACETATE,Zytiga 250mg Tab,JAN,Janssen Inc.,UNIT,35.5230,7.6563,35.5230,7.6563,38.3648,30.7085,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02371065
a,02457113,02457113,ABIRATERONE ACETATE,Zytiga 500mg Tab,JAN,Janssen Inc.,UNIT,71.0460,15.3125,71.0460,15.3125,76.7297,61.4172,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02457113
a,02460203,02460203,ABOBOTULINUM TOXIN A,Dysport Therapeutic 300U/Vial Pd Inj-Vial Pk,IPS,Ipsen Limited,PACK,385.5600,385.5600,385.5600,385.5600,416.4048,30.8448,NO,YES,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02460203
a,02456117,02456117,ABOBOTULINUM TOXIN A,Dysport Therapeutic 500U/Vial Pd Inj-Vial Pk,IPS,Ipsen Limited,PACK,642.6000,642.6000,642.6000,642.6000,694.0080,51.4080,NO,YES,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02456117
a,02293269,02293269,ACAMPROSATE CALCIUM,Campral 333mg DR Tab,MYL,Mylan Pharmaceuticals ULC,UNIT,0.9976,0.9976,0.9976,0.9976,1.0774,0.0798,NO,YES,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02293269
a,02190885,02190885,ACARBOSE,Glucobay (Not a Benefit) 50mg Tab,BAY,"Bayer Inc., Consumer Care Division",UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02190885
a,02190893,02190893,ACARBOSE,Glucobay (Not a Benefit) 100mg Tab,BAY,"Bayer Inc., Consumer Care Division",UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02190893
a,02494086,02494086,ACARBOSE,Mar-Acarbose 100mg Tab,MAR,Marcan Pharmaceuticals Inc.,UNIT,0.2053,0.2053,0.2053,0.2053,0.2217,0.0164,YES,YES,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02494086
a,02494078,02494078,ACARBOSE,Mar-Acarbose 50mg Tab,MAR,Marcan Pharmaceuticals Inc.,UNIT,0.1348,0.1348,0.1348,0.1348,0.1456,0.0108,YES,YES,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02494078
a,02147602,02147602,ACEBUTOLOL HCL,Apo-Acebutolol 100mg Tab,APX,Apotex Inc.,UNIT,0.1871,0.1871,0.1871,0.1871,0.2021,0.0150,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02147602
a,02147610,02147610,ACEBUTOLOL HCL,Apo-Acebutolol 200mg Tab,APX,Apotex Inc.,UNIT,0.2808,0.2808,0.2808,0.2808,0.3033,0.0225,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02147610
a,02147629,02147629,ACEBUTOLOL HCL,Apo-Acebutolol 400mg Tab,APX,Apotex Inc.,UNIT,0.5348,0.5348,0.5348,0.5348,0.5776,0.0428,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02147629
a,01926578,01926578,ACEBUTOLOL HCL,Sectral (Not a Benefit) 400mg Tab,SAV,Sanofi Aventis Pharma,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01926578
a,01926551,01926551,ACEBUTOLOL HCL,Sectral (Not a Benefit) 200mg Tab,SAV,Sanofi Aventis Pharma,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01926551
a,01926543,01926543,ACEBUTOLOL HCL,Sectral (Not a Benefit) 100mg Tab,SAV,Sanofi Aventis Pharma,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01926543
a,02204525,02204525,ACEBUTOLOL HCL,Teva-Acebutolol 200mg Tab,TEV,Teva Canada Limited,UNIT,0.2808,0.2808,0.2808,0.2808,0.3033,0.0225,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02204525
a,02204517,02204517,ACEBUTOLOL HCL,Teva-Acebutolol 100mg Tab,TEV,Teva Canada Limited,UNIT,0.1871,0.1871,0.1871,0.1871,0.2021,0.0150,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02204517
a,02204533,02204533,ACEBUTOLOL HCL,Teva-Acebutolol 400mg Tab,TEV,Teva Canada Limited,UNIT,0.5348,0.5348,0.5348,0.5348,0.5776,0.0428,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02204533
a,02229977,02229977,ACETAMINOPHEN,Apo-Acetaminophen Caplets 500mg,APX,Apotex Inc.,UNIT,0.0149,0.0149,0.0149,0.0149,0.0161,0.0012,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02229977
a,02229873,02229873,ACETAMINOPHEN,Apo-Acetaminophen Caplets 325mg,APX,Apotex Inc.,UNIT,0.0114,0.0114,0.0114,0.0114,0.0123,0.0009,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02229873
a,00544981,00544981,ACETAMINOPHEN,Apo-Acetaminophen Tab 325mg,APX,Apotex Inc.,UNIT,0.0114,0.0114,0.0114,0.0114,0.0123,0.0009,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00544981
a,00545007,00545007,ACETAMINOPHEN,Apo-Acetaminophen Tab 500mg,APX,Apotex Inc.,UNIT,0.0149,0.0149,0.0149,0.0149,0.0161,0.0012,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00545007
a,00013668,00013668,ACETAMINOPHEN,Atasol Forte Tab (Not a Benefit) 500mg,HOR,Frank W. Horner Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00013668
a,00293482,00293482,ACETAMINOPHEN,Atasol Tab (Not a Benefit) 325mg,HOR,Frank W. Horner Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00293482
a,01938088,01938088,ACETAMINOPHEN,Jamp Acetaminophen 325 Caplets 325mg,JPC,Jamp Pharma Corporation,UNIT,0.0114,0.0114,0.0114,0.0114,0.0123,0.0009,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01938088
a,01939122,01939122,ACETAMINOPHEN,Jamp Acetaminophen 500 Caplets 500mg,JPC,Jamp Pharma Corporation,UNIT,0.0149,0.0149,0.0149,0.0149,0.0161,0.0012,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01939122
a,00482323,00482323,ACETAMINOPHEN,Novo-Gesic Forte Tab 500mg,NOP,Novopharm Ltd.,UNIT,0.0149,0.0149,0.0149,0.0149,0.0161,0.0012,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00482323
a,00389218,00389218,ACETAMINOPHEN,Novo-Gesic Tab 325mg,NOP,Novopharm Ltd.,UNIT,0.0114,0.0114,0.0114,0.0114,0.0123,0.0009,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00389218
a,00631353,00631353,ACETAMINOPHEN,Atasol (Not a Benefit) 80mg/mL O/L,HOR,Frank W. Horner Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00631353
a,02027801,02027801,ACETAMINOPHEN,Pediatrix 80mg/mL O/L,RPH,Ratiopharm Inc.,UNIT,0.1436,0.1436,0.1436,0.1436,0.1551,0.0115,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02027801
a,00642401,00642401,ACETAMINOPHEN,Tempra (Not a Benefit) 80mg/mL O/L,MJS,Mead Johnson Canada,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00642401
a,02230434,02230434,ACETAMINOPHEN,ACET 120 120mg Sup,PEN,"Pendopharm, Division of Pharmascience Inc.",UNIT,0.5367,0.5367,0.5367,0.5367,0.5796,0.0429,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02230434
a,02230436,02230436,ACETAMINOPHEN,ACET 325 325mg Sup,PEN,"Pendopharm, Division of Pharmascience Inc.",UNIT,0.6625,0.6625,0.6625,0.6625,0.7155,0.0530,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02230436
a,02230437,02230437,ACETAMINOPHEN,ACET 650 650mg Sup,PEN,"Pendopharm, Division of Pharmascience Inc.",UNIT,0.7608,0.7608,0.7608,0.7608,0.8217,0.0609,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02230437
a,01919407,01919407,ACETAMINOPHEN,Abenol (Not a Benefit) 650mg Sup,PEN,"Pendopharm, Division of Pharmascience Inc.",UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01919407
a,01919393,01919393,ACETAMINOPHEN,Abenol (Not a Benefit) 325mg Sup,PEN,"Pendopharm, Division of Pharmascience Inc.",UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01919393
a,01919385,01919385,ACETAMINOPHEN,Abenol (Not a Benefit) 120mg Sup,PEN,"Pendopharm, Division of Pharmascience Inc.",UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01919385
a,00653241,00653241,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,Teva-Lenoltec No.2 300mg & 15mg & 15mg Tab,TEV,Teva Canada Limited,UNIT,0.0933,0.0933,0.0933,0.0933,0.1008,0.0075,YES,NO,YES,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00653241
a,00653276,00653276,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,Teva-Lenoltec No.3 300mg & 15mg & 30mg Tab,TEV,Teva Canada Limited,UNIT,0.0980,0.0980,0.0980,0.0980,0.1058,0.0078,YES,NO,YES,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00653276
a,02163934,02163934,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,Tylenol with Codeine No. 2 (Not a Benefit) 300mg & 15mg & 15mg Tab,JAN,Janssen Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,YES,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02163934
a,02163926,02163926,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,Tylenol with Codeine No. 3 (Not a Benefit) 300mg & 15mg & 30mg Tab,JAN,Janssen Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,YES,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02163926
a,00816027,00816027,ACETAMINOPHEN & CODEINE PHOSPHATE,PMS-Acetaminophen With Codeine 160mg & 8mg/5mL O/L,PMS,Pharmascience Inc.,UNIT,0.1370,0.1370,0.1370,0.1370,0.1480,0.0110,YES,NO,YES,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00816027
a,02163942,02163942,ACETAMINOPHEN & CODEINE PHOSPHATE,Tylenol With Codeine Elixir (Not a Benefit) 160mg & 8mg/5mL O/L,JAN,Janssen Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,YES,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02163942
a,00666130,00666130,ACETAMINOPHEN & CODEINE PHOSPHATE,Empracet-30 (Not a Benefit) 300mg & 30mg Tab,BWE,Burroughs Wellcome Inc.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,YES,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=00666130
