IDLicitacion,NombreLicitacion,Tipo,Estado,FechaPublicacion,Descripcion,Moneda,TipoPresupuesto,TipoMonto,MontoLicitacion,Organismo
1469-105-L125,“SERVICIO DE MEDIA TRAINNING PARA  FUNCIONARIOS DE LA UNIVERSIDAD DE TALCA”,L1,Adjudicada a uno o varios proveedores,04/06/2025 17:17:54,"La Universidad de Talca, a través de su Dirección de Comunicaciones Corporativas, realiza el presente llamado para la contratación de un servicio de media training. El objetivo es proporcionar herramientas de comunicación efectivas a los funcionarios designados como voceros de esta casa de estudios.",CLP,NO PUBLICADO,ESTIMADO,Menor a 100 UTM,UNIVERSIDAD DE TALCA
553953-6-LE25,CONTRATACION DE PROVEEDORES ODONTOLOGICOS BIENESTAR XI,LE,Adjudicada a uno o varios proveedores,09/05/2025 15:13:42,"Se requiere contratar con personas naturales o jurídicas, servicios de atención odontológica para los funcionarios de la Dirección Regional de Aysén de la Junta Nacional de Jardines Infantiles afiliados al Servicio de Bienestar y sus cargas legales, que sean prestados en centros o clínicas dentales, ubicados en las diferentes comunas de la Región de Aysén.",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,JUNTA NACIONAL DE JARDINES         INFANTILES
5251-84-CO25,SUITE DE PRODUCTIVIDAD O SOFTWARE DE OFICINA,CO,Adjudicada a uno o varios proveedores,15/05/2025 18:34:10,"Nuestro objetivo principal es asegurar la renovación anual de las licencias de la suite de productividad, garantizando que los estudiantes de la Universidad Tecnológica Metropolitana UTEM puedan continuar utilizando estas herramientas esenciales en sus actividades académicas y de investigación. Estas licencias son fundamentales para el desarrollo de sus estudios, facilitando el acceso a software de vanguardia que mejora su aprendizaje y productividad. Además, es crucial que los funcionarios de la UTEM dispongan de estas licencias para llevar a cabo sus funciones administrativas y académicas de manera eficiente. La adquisición debe cubrir la totalidad de las licencias necesarias, sin aceptar propuestas parciales, para asegurar la continuidad y eficiencia en el desarrollo de las funciones académicas y administrativas de la universidad.",USD,PUBLICADO,ESTIMADO,"56.000,00",UNIVERSIDAD TECNOLOGICA METROPOLITANA
2279-54-LE25,SP 345 SERVICIO DE CAPACITACION CURSO DE CHOCOLATERIA,LE,Adjudicada a uno o varios proveedores,27/05/2025 10:49:18,Servicio de Capacitación Curso de Chocolatería Fina Gourmet según lo solicitado en bases técnicas,CLP,PUBLICADO,DISPONIBLE,15.000.000,MUNICIPALIDAD DE PUDAHUEL
1233613-72-CO25,HABILITACIÓN DE ESPACIOS ESCUELA JUAN LADRILLEROS,CO,Adjudicada a uno o varios proveedores,10/06/2025 09:29:01,HABILITACIÓN DE ESPACIOS ESCUELA JUAN LADRILLEROS SEGÚN REX N° 1263,CLP,PUBLICADO,DISPONIBLE,24.000.000,Servicio Local de Educación Pública Magallanes
1298354-10-L125,ADQU. JUEGO MODULAR DE PATIO PARA ESC. CARMEN BAJO,L1,Adjudicada a uno o varios proveedores,15/05/2025 17:05:51,"Que, la Corporación Municipal de Melipilla requiere la adquisición de juego infantil modular para el patio de Pre-básica para la Escuela Carmen Bajo con el objetivo de complementar las obras que se están ejecutando en el mismo recinto referente al proyecto “Conservación Escuela Carmen Bajo” financiado por la Dirección de Educación Pública, mejoras que irán en directo beneficio de los alumnosas, lo que aporta dinamismo, recreación y bienestar para los niños y niñas de la comuna de Melipilla. Que, en este contexto, resulta indispensable para la Corporación Municipal de Melipilla la Adquisición de juego infantil modular para la Escuela Carmen Bajo.",CLP,NO PUBLICADO,DISPONIBLE,Menor a 100 UTM,CORP MUNICIPAL MELIPILLA PARA LA ED SALUD
621-373-LE25,ATRACURIO BESIL 50 MG5 ML SOL.INYAMFAM 1000020849,LE,Adjudicada a uno o varios proveedores,16/04/2025 14:30:50,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,17.749.294,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
4074-26-LE25,ADQ PROGRAMA PEDAGOGICO ALUMNOS DE LICEO LASI,LE,Adjudicada a uno o varios proveedores,05/06/2025 12:17:19,"SE REQUIERE ADQUIRIR PROGRAMA PEDAGOGICO PARA ALUMNOS DE PRIMERO Y SEGUNDO MEDIO EN ASIGNATURAS DE LENGUAJE Y MATEMATICAS DEL LICEO P. LUIS SALDES I., INSERTO EN SU PLAN DE ACCIÓN “ESTRATEGIAS PEDAGOGICAS AL SERVICIO DE LA GESTIÓN INTEGRAL DEL APRENDIZAJE”, SEGÚN LO DETALLADO EN CLÁUSULA 14.",CLP,PUBLICADO,DISPONIBLE,23.000.000,I MUNICIPALIDAD DE YUMBEL
1004823-12-LE25,SERVICIOS DE INTERNET RED DE DATOS Y WIFI EN LA SEDE ILLAPEL DEL CENTRO DE FORMACIÓN TÉCNICA ESTATAL DE LA REGIÓN DE COQUIMBO,LE,Adjudicada a uno o varios proveedores,26/05/2025 17:42:00,"SERVICIOS DE INTERNET, RED DE DATOS Y WIFI EN LA SEDE ILLAPEL DEL CENTRO DE FORMACIÓN TÉCNICA ESTATAL DE LA REGIÓN DE COQUIMBO",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,CENTRO DE FORMACION TECNICA DE LA REGION DE COQUIMBO
621-39-LR25,ENALAPRIL 10 MG CMCM REC 1000020627,LR,Adjudicada a uno o varios proveedores,15/01/2025 12:35:01,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,5.299.936.113,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
2324-63-LE25,LICITACION PÚBLICA N°  44 de 2025 “SERVICIO DE ARRIENDO DE MAQUINARIA PESADA CAMION TOLVA Y CAMION CON CAMA BAJA”.    ,LE,Adjudicada a uno o varios proveedores,16/05/2025 10:21:52,"LICITACION PÚBLICA N°  44 de 2025 “SERVICIO DE ARRIENDO DE MAQUINARIA PESADA, CAMION TOLVA Y CAMION CON CAMA BAJA”.    ",CLP,PUBLICADO,ESTIMADO,32.326.000,I MUNICIPALIDAD DE PUERTO MONTT
4590-14-LE25,Neumáticos para Vehículos y Maquinaria correspondiente al Parque de Maquinarias de la Provincia de Cachapoal,LE,Adjudicada a uno o varios proveedores,15/05/2025 17:07:18,Neumáticos para Vehículos y Maquinaria correspondiente al Parque de Maquinarias de la Provincia de Cachapoal ,CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
621-255-LR25,INSUL DEGLU 100UML SOL.INY LAPIZ DES+AG 1000020830,LR,Adjudicada a uno o varios proveedores,18/03/2025 14:34:30,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,14.689.394.316,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
5615-57-L125,REPARACIONES Y ACCESORIOS PARA MAQUINARIA DIMAO,L1,Adjudicada a uno o varios proveedores,13/06/2025 15:26:20,"REPARACIONES Y ACCESORIOS PARA MAQUINARIA DIMAO REQUERIMIENTOS DE ADMINISTRACION N° 96 Y 97 DEL 07/05/2025, N°98 DEL 09/05/2025,  TERMINOS DE REFERENCIA.",CLP,PUBLICADO,DISPONIBLE,4.300.000,Ilustre Municipalidad de El Carmen
2703-185-L125,SC 11343 - 11346 Fármacos Talafarmacia.,L1,Adjudicada a uno o varios proveedores,29/05/2025 15:36:28,SC 11343 - 11346 Fármacos Talafarmacia.,CLP,PUBLICADO,DISPONIBLE,6.800.000,I MUNICIPALIDAD DE TALAGANTE
3267-15-L125,Adquisición de Buzos y Poleras para Alumnos Comuna de Río Hurtado,L1,Adjudicada a uno o varios proveedores,29/05/2025 11:55:33,"“Adquisición de Buzo Deportivo y Poleras para alumnos de los diferentes Establecimientos Educacionales”, lo anterior con el objetivo de adquirir lo necesario para realizar la entrega del buzo deportivo modelo jogger y poleras a los alumnos del Pro-Retención de los Establecimientos Educacionales dependientes del Departamento de Educación.",CLP,PUBLICADO,DISPONIBLE,4.694.800,I MUNICIPALIDAD DE RIO HURTADO
771555-12-LE25,Plan de Acción Cambio Climático Comuna de RH,LE,Adjudicada a uno o varios proveedores,13/06/2025 16:10:07,Plan de Acción Cambio Climático Comuna de Rio Hurtado,CLP,PUBLICADO,DISPONIBLE,13.090.000,I MUNICIPALIDAD DE RIO HURTADO
621-367-LQ25,FOSFOSODA SOLUCION ORAL FRASCO 45 ML 1000020918,LQ,Adjudicada a uno o varios proveedores,15/04/2025 14:55:22,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,213.666.193,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
1057474-12-LE25,MANTENCIONES PREVENTIVAS Y CORRECTIVAS CALDERAS ,LE,Adjudicada a uno o varios proveedores,10/04/2025 11:59:00,El objeto de la presente Licitación es la contratación del “SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CALDERA Y BOMBAS DE ELEVACIÓN DE AGUA DEL SSMN”,CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,SERVICIO DE SALUD METROPOLITANO NORTE
621-349-LR25,ACIDO IBANDRONICO 150 MG CM REC 1000021105,LR,Adjudicada a uno o varios proveedores,14/04/2025 15:09:00,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,1.659.057.362,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
3933-3-L125,“PROYECTORES PARA LICEO BICENTENARIO JUAN SCHLEYER” FONDOS BICENTENARIO ,L1,Adjudicada a uno o varios proveedores,27/05/2025 09:45:45,“PROYECTORES PARA LICEO BICENTENARIO JUAN SCHLEYER” FONDOS BICENTENARIO ,CLP,NO PUBLICADO,DISPONIBLE,Menor a 100 UTM,I MUNICIPALIDAD DE FREIRE
561704-18-LE25,DESARROLLO DE HABILIDADES SUPERIORES B-13,LE,Adjudicada a uno o varios proveedores,16/04/2025 15:41:35,"complementar proceso de licitación que sustenta las bases administrativas, estas reglamentan la operatoria mínima necesaria para la correcta ejecución del servicio y además cautelar un estricto cumplimiento del contrato. Es decir, detalla y regula el contrato de Capacitación para el Desarrollo de Habilidades Superiores en la Enseñanza, para el Liceo Domingo Herrera Rivera B-13, perteneciente a la Corporación Municipal de Desarrollo Social de Antofagasta, además, fortalecer competencias pedagógicas de los docentes y asistentes de la educación en el desarrollo e implementación de habilidades superiores del pensamiento, mediante el diseño de actividades de aprendizaje innovadoras, en el uso de estrategias didácticas efectivas, y la integración de prácticas de evaluación y metacognición que promuevan el pensamiento crítico, creativo y reflexivo en los estudiantes, favoreciendo su desarrollo integral y aprendizaje profundo",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,CORP MUNICIPAL DE DESARROLLO SOCIAL DE A
4999-16-CO25,Sistema informático carrera funcionaria,CO,Adjudicada a uno o varios proveedores,16/05/2025 16:19:12,"El Departamento de Salud, requiere para la planificación de compras año 2025 la compra de: Sistema informático carrera funcionaria, para el desarrollo de las actividades y funciones propias en la atención primaria de salud de los usuarios de los establecimientos de salud de San Pedro de Atacama.",CLP,NO PUBLICADO,DISPONIBLE,Igual o superior a 100 UTM e inferior a 1000 UTM,I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA
2341-19-L125,ADQ 199 _ SP 6 _ DIR. OBRAS-DPTO. INSPECCION DE OBRAS _ SERVICIO DE DEMOLICION DE CONSRUCCION EMPLAZADA EN 2DO. PISO,L1,Adjudicada a uno o varios proveedores,15/05/2025 10:46:15,"Demolición de ampliación de vivienda emplazada en 2° piso, sin permiso de edificación (Panamericana Sur 0796).",CLP,PUBLICADO,ESTIMADO,6.799.351,I MUNICIPALIDAD DE SAN BERNARDO
