detail_url,brand_full,brand_name,pack_presentation,ddd_text,currency,price_per_day,price_per_week,price_per_month,price_per_six_months,reimbursed_per_day,extra_payment_per_day,table_type,unit_type,unit_amount
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 0,7 ml INJECTIEVLOEISTOF 125 mg / ml",ORENCIA,"0,7 ml INJECTIEVLOEISTOF 125 mg / ml",,€,183.95,,,,0.0,183.95,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 1 ml INJECTIEVLOEISTOF 125 mg / ml",ORENCIA,1 ml INJECTIEVLOEISTOF 125 mg / ml,,€,262.79,,,,0.0,262.79,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,"ORENCIA , 250 mg POEDER VOOR OPLOSSING VOOR INFUSIE 250 mg",ORENCIA,250 mg POEDER VOOR OPLOSSING VOOR INFUSIE 250 mg,,€,355.42,,,,0.0,355.42,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,"VERZENIOS ,
        TABLET 100 mg",VERZENIOS,TABLET 100 mg,"0,3 g",€,111.06,777.42,,,0.0,111.06,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,"VERZENIOS ,
        TABLET 150 mg",VERZENIOS,TABLET 150 mg,"0,3 g",€,73.96,517.72,,,0.0,73.96,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,"VERZENIOS ,
        TABLET 50 mg",VERZENIOS,TABLET 50 mg,"0,3 g",€,221.45,,,,0.0,221.45,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,"GENERIEK ,
        TABLET 1000 mg",GENERIEK,TABLET 1000 mg,1 g,€,29.51,206.57,885.3,,0.0,29.51,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,"GENERIEK ,
        TABLET 250 mg",GENERIEK,TABLET 250 mg,1 g,€,110.85,775.95,,,0.0,110.85,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,"ZYTIGA ,
        TABLET 250 mg",ZYTIGA,TABLET 250 mg,1 g,€,54.88,384.16,,,0.0,54.88,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,"GENERIEK ,
        TABLET 500 mg",GENERIEK,TABLET 500 mg,1 g,€,66.23,463.61,,,0.0,66.23,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,"ZYTIGA ,
        TABLET 500 mg",ZYTIGA,TABLET 500 mg,1 g,€,69.12,483.84,,,0.0,69.12,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abrocitinib,"CIBINQO ,
        TABLET 100 mg",CIBINQO,TABLET 100 mg,"0,15 g",€,67.35,471.45,,,0.0,67.35,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abrocitinib,"CIBINQO ,
        TABLET 200 mg",CIBINQO,TABLET 200 mg,"0,15 g",€,31.28,218.96,938.4,,0.0,31.28,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abrocitinib,"CIBINQO ,
        TABLET 50 mg",CIBINQO,TABLET 50 mg,"0,15 g",€,134.89,944.23,,,0.0,134.89,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acalabrutinib,"CALQUENCE ,
        TABLET 100 mg",CALQUENCE,TABLET 100 mg,"0,2 g",€,164.36,,,,0.0,164.36,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acamprosaat,"CAMPRAL ,
        MAAGSAPRESISTENTE TABLET 333 mg",CAMPRAL,MAAGSAPRESISTENTE TABLET 333 mg,2 g,€,1.23,8.61,36.9,223.86,1.23,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acebutolol,"GENERIEK ,
        TABLET 400 mg",GENERIEK,TABLET 400 mg,"0,4 g",€,0.44,3.08,13.2,80.08,0.44,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aceclofenac,"GENERIEK ,
        OMHULDE TABLET 100 mg",GENERIEK,OMHULDE TABLET 100 mg,"0,2 g",€,0.32,2.24,9.6,58.24,0.32,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aceclofenac,"BIOFENAC ,
        OMHULDE TABLET 100 mg",BIOFENAC,OMHULDE TABLET 100 mg,"0,2 g",€,0.35,2.45,10.5,63.7,0.35,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acenocoumarol,"GENERIEK ,
        TABLET 1 mg",GENERIEK,TABLET 1 mg,5 mg,€,0.09,0.63,2.7,16.38,0.09,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetazolamide,"DIAMOX ,
        TABLET 250 mg",DIAMOX,TABLET 250 mg,"0,75 g",€,0.64,4.48,19.2,116.48,0.64,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetazolamide,"DIAMOX , 500 mg POEDER VOOR INJECTIEVLOEISTOF 500 mg",DIAMOX,500 mg POEDER VOOR INJECTIEVLOEISTOF 500 mg,,€,14.6,,,,14.6,0.0,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__bij_paracetamolintoxicatie_,"FLUIMUCIL , 25 ml CONCENTRAAT VOOR OPLOSSING VOOR INFUSIE 200 mg / ml",FLUIMUCIL,25 ml CONCENTRAAT VOOR OPLOSSING VOOR INFUSIE 200 mg / ml,,€,26.13,,,,0.0,26.13,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"GENERIEK ,
        BRUISTABLET 200 mg",GENERIEK,BRUISTABLET 200 mg,"0,5 g",€,0.49,3.43,14.7,89.18,0.0,0.49,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL ,
        BRUISTABLET 200 mg",FLUIMUCIL,BRUISTABLET 200 mg,"0,5 g",€,0.56,3.92,16.8,101.92,0.0,0.56,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"GENERIEK ,
        GRANULAAT 200 mg",GENERIEK,GRANULAAT 200 mg,"0,5 g",€,0.75,5.25,22.5,136.5,0.0,0.75,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"GENERIEK ,
        POEDER VOOR ORAAL GEBRUIK 200 mg",GENERIEK,POEDER VOOR ORAAL GEBRUIK 200 mg,"0,5 g",€,0.43,3.01,12.9,78.26,0.0,0.43,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL ,
        ZUIGTABLET 200 mg",FLUIMUCIL,ZUIGTABLET 200 mg,"0,5 g",€,0.65,4.55,19.5,118.3,0.0,0.65,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL ,
        DRANK 20 mg / ml",FLUIMUCIL,DRANK 20 mg / ml,"0,5 g",€,0.79,5.53,23.7,143.78,0.0,0.79,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL ,
        DRANK 40 mg / ml",FLUIMUCIL,DRANK 40 mg / ml,"0,5 g",€,0.52,3.64,15.6,94.64,0.0,0.52,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"GENERIEK ,
        BRUISTABLET 600 mg",GENERIEK,BRUISTABLET 600 mg,"0,5 g",€,0.31,2.17,9.3,56.42,0.0,0.31,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"BISOLBRUIS ,
        BRUISTABLET 600 mg",BISOLBRUIS,BRUISTABLET 600 mg,"0,5 g",€,0.57,3.99,17.1,103.74,0.0,0.57,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL ,
        BRUISTABLET 600 mg",FLUIMUCIL,BRUISTABLET 600 mg,"0,5 g",€,0.6,4.2,18.0,109.2,0.0,0.6,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"HOESTBRUISTABLET HTP ,
        BRUISTABLET 600 mg",HOESTBRUISTABLET HTP,BRUISTABLET 600 mg,"0,5 g",€,0.27,1.89,8.1,49.14,0.0,0.27,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"LIVSANE ,
        BRUISTABLET 600 mg",LIVSANE,BRUISTABLET 600 mg,"0,5 g",€,0.36,2.52,10.8,65.52,0.0,0.36,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"GENERIEK ,
        POEDER VOOR ORAAL GEBRUIK 600 mg",GENERIEK,POEDER VOOR ORAAL GEBRUIK 600 mg,"0,5 g",€,0.28,1.96,8.4,50.96,0.0,0.28,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL ,
        TABLET 600 mg",FLUIMUCIL,TABLET 600 mg,"0,5 g",€,0.64,4.48,19.2,116.48,0.0,0.64,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,"FLUIMUCIL , 4 ml VERNEVELVLOEISTOF 100 mg / ml",FLUIMUCIL,4 ml VERNEVELVLOEISTOF 100 mg / ml,,€,13.12,,,,0.0,0.66,verpakking,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"GENERIEK ,
        BRUISTABLET 200 mg",GENERIEK,BRUISTABLET 200 mg,"0,5 g",€,0.49,3.43,14.7,89.18,0.0,0.49,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL ,
        BRUISTABLET 200 mg",FLUIMUCIL,BRUISTABLET 200 mg,"0,5 g",€,0.56,3.92,16.8,101.92,0.0,0.56,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"GENERIEK ,
        GRANULAAT 200 mg",GENERIEK,GRANULAAT 200 mg,"0,5 g",€,0.75,5.25,22.5,136.5,0.0,0.75,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"GENERIEK ,
        POEDER VOOR ORAAL GEBRUIK 200 mg",GENERIEK,POEDER VOOR ORAAL GEBRUIK 200 mg,"0,5 g",€,0.43,3.01,12.9,78.26,0.0,0.43,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL ,
        ZUIGTABLET 200 mg",FLUIMUCIL,ZUIGTABLET 200 mg,"0,5 g",€,0.65,4.55,19.5,118.3,0.0,0.65,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL ,
        DRANK 20 mg / ml",FLUIMUCIL,DRANK 20 mg / ml,"0,5 g",€,0.79,5.53,23.7,143.78,0.0,0.79,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL ,
        DRANK 40 mg / ml",FLUIMUCIL,DRANK 40 mg / ml,"0,5 g",€,0.52,3.64,15.6,94.64,0.0,0.52,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"GENERIEK ,
        BRUISTABLET 600 mg",GENERIEK,BRUISTABLET 600 mg,"0,5 g",€,0.31,2.17,9.3,56.42,0.0,0.31,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"BISOLBRUIS ,
        BRUISTABLET 600 mg",BISOLBRUIS,BRUISTABLET 600 mg,"0,5 g",€,0.57,3.99,17.1,103.74,0.0,0.57,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL ,
        BRUISTABLET 600 mg",FLUIMUCIL,BRUISTABLET 600 mg,"0,5 g",€,0.6,4.2,18.0,109.2,0.0,0.6,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"HOESTBRUISTABLET HTP ,
        BRUISTABLET 600 mg",HOESTBRUISTABLET HTP,BRUISTABLET 600 mg,"0,5 g",€,0.27,1.89,8.1,49.14,0.0,0.27,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"LIVSANE ,
        BRUISTABLET 600 mg",LIVSANE,BRUISTABLET 600 mg,"0,5 g",€,0.36,2.52,10.8,65.52,0.0,0.36,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"GENERIEK ,
        POEDER VOOR ORAAL GEBRUIK 600 mg",GENERIEK,POEDER VOOR ORAAL GEBRUIK 600 mg,"0,5 g",€,0.28,1.96,8.4,50.96,0.0,0.28,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL ,
        TABLET 600 mg",FLUIMUCIL,TABLET 600 mg,"0,5 g",€,0.64,4.48,19.2,116.48,0.0,0.64,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,"FLUIMUCIL , 4 ml VERNEVELVLOEISTOF 100 mg / ml",FLUIMUCIL,4 ml VERNEVELVLOEISTOF 100 mg / ml,,€,13.12,,,,0.0,0.66,verpakking,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,"ASPRO ,
        BRUISTABLET 500 mg",ASPRO,BRUISTABLET 500 mg,3 g,€,1.46,10.22,43.8,265.72,0.0,1.46,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,"GENERIEK ,
        TABLET 500 mg",GENERIEK,TABLET 500 mg,3 g,€,0.78,5.46,23.4,141.96,0.0,0.78,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,"ASPIRINE ,
        TABLET 500 mg",ASPIRINE,TABLET 500 mg,3 g,€,1.08,7.56,32.4,196.56,0.0,1.08,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,"GENERIEK ,
        POEDER VOOR INJECTIEVLOEISTOF 500 mg",GENERIEK,POEDER VOOR INJECTIEVLOEISTOF 500 mg,,€,16.35,,,,16.35,0.0,parenteralia,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur__als_trombocytenaggregatieremmer_,"ASPIRINE ,
        TABLET 100 mg",ASPIRINE,TABLET 100 mg,1 TB,€,0.16,1.12,4.8,29.12,0.0,0.16,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur__als_trombocytenaggregatieremmer_,"GENERIEK ,
        DISPERGEERBARE TABLET 30 mg",GENERIEK,DISPERGEERBARE TABLET 30 mg,1 TB,€,0.07,0.49,2.1,12.74,0.07,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur__als_trombocytenaggregatieremmer_,"GENERIEK ,
        DISPERGEERBARE TABLET 80 mg",GENERIEK,DISPERGEERBARE TABLET 80 mg,1 TB,€,0.05,0.35,1.5,9.1,0.05,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur__als_trombocytenaggregatieremmer_,"GENERIEK ,
        TABLET 80 mg",GENERIEK,TABLET 80 mg,1 TB,€,0.05,0.35,1.5,9.1,0.05,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_metoclopramide,"MIGRAFIN ,
        POEDER VOOR ORAAL GEBRUIK 900/10 mg",MIGRAFIN,POEDER VOOR ORAAL GEBRUIK 900/10 mg,3 stuks,€,23.59,165.13,707.7,,23.59,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_metoclopramide,"ASPIRINE C ,
        BRUISTABLET 400/240 mg",ASPIRINE C,BRUISTABLET 400/240 mg,,€,3.95,,,,0.0,0.4,verpakking,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_ascorbinezuur,"MIGRAFIN ,
        POEDER VOOR ORAAL GEBRUIK 900/10 mg",MIGRAFIN,POEDER VOOR ORAAL GEBRUIK 900/10 mg,3 stuks,€,23.59,165.13,707.7,,23.59,0.0,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_ascorbinezuur,"ASPIRINE C ,
        BRUISTABLET 400/240 mg",ASPIRINE C,BRUISTABLET 400/240 mg,,€,3.95,,,,0.0,0.4,verpakking,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,"GENERIEK ,
        TABLET 250/250/50 mg",GENERIEK,TABLET 250/250/50 mg,"5,99 stuks",€,0.47,3.29,14.1,85.54,0.0,0.47,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,"APC TABLET ,
        TABLET 250/250/50 mg",APC TABLET,TABLET 250/250/50 mg,"5,99 stuks",€,0.8,5.6,24.0,145.6,0.0,0.8,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,"GENERIEK ,
        POEDER VOOR DRANK 500/30 mg",GENERIEK,POEDER VOOR DRANK 500/30 mg,"5,99 stuks",€,3.98,27.86,119.4,724.36,0.0,3.98,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,"GENERIEK ,
        POEDER VOOR DRANK 500/50 mg",GENERIEK,POEDER VOOR DRANK 500/50 mg,"5,99 stuks",€,2.51,17.57,75.3,456.82,0.0,2.51,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,"CITROSAN ,
        POEDER VOOR DRANK 500/50 mg",CITROSAN,POEDER VOOR DRANK 500/50 mg,"5,99 stuks",€,3.86,27.02,115.8,702.52,0.0,3.86,Per dag Per week Per maand Per half jaar,,
https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,"ROTER ,
        POEDER VOOR DRANK 500/50 mg",ROTER,POEDER VOOR DRANK 500/50 mg,"5,99 stuks",€,3.2,22.4,96.0,582.4,0.0,3.2,Per dag Per week Per maand Per half jaar,,
