PCID,Package Number,Country,Company,Product Group,Local Product Name,Generic Name,Indication,Pack Size,Effective Start Date,Effective End Date,Currency,Ex Factory Wholesale Price,Ex Factory Wholesale Price Less Rebate,Ex Factory Hospital Price,Ex Factory Hospital Price Less Rebate,Pharmacy Purchase Price,Pharmacy Purchase Price Less Rebate,Public without VAT Price,Public Without VAT Price Less Rebate,Public with VAT Price,Public With VAT Price Less Rebate,VAT Percent,Reimbursable Status,Reimbursable Price,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,Package Notes,Discontinued,Region,WHO ATC Code,Therapeutic Areas,Presentation,Marketing Authority,Local Pack Description,Formulation,Fill Unit,Fill Size,Pack Unit,Strength Size,Strength Unit,Brand Type,Import Type,Combination Molecule,Source,Quality Control Source,Quality Control Notes,Client,Client Pack Description,LOCAL_PACK_CODE,APPROVAL_DT,DDD Value,DDD Unit,Import Price
1322211,,BELARUS,"Gedeon Richter Plc., Hungary Manufacturer of finished dosage form: Gedeon Richter Plc., Hungary Manufacturer performing filling/packaging: Gedeon Richter Plc., Hungary Issuance of authorization for the release of the medicinal product: Gedeon Richter Plc., Hungary",Normodipine,Normodipine,Amlodipine,,,08-10-2019,,BYR,13.02,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C08CA01,,,,tablets 10 mg in blisters in packaging No. 10x3,,,,,,,,,,PRICENTRIC,,,,,4811/2000/05/10/15/17/19,,,,"3,88 EUR"
2037333,,BELARUS,"Viatris Pharmaceuticals LLC, Puerto Rico/ Pfizer Manufacturing Deutschland GmbH, Germany Manufacturer of the finished dosage form: Viatris Pharmaceuticals LLC, Puerto Rico # KM 1.9 Road 689 Vega Baja, Puerto Rico 00693 Manufacturer performing filling/packaging: Pfizer Manufacturing Deutschland GmbH, Germany # Mooswaldallee 1, 79090 Freiburg Issue of marketing authorization for the medicinal product: Pfizer Manufacturing Deutschland GmbH, Germany # Mooswaldallee 1, 79090 Freiburg Quality control: Pfizer Manufacturing Deutschland GmbH, Germany # Mooswaldallee 1, 79090 Freiburg",LIPRIMAR ST,LIPRIMAR ST,Atorvastatin,,,11-12-2024,,BYR,12.88,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"C10AA05
                        
оригинальное",,,,"film-coated tablets, 10 mg in blisters in packaging No. 10x3",,,,,,,,,,PRICENTRIC,,,,,3682/98/04/04/08/09/14/16/19/22/24/24,,,,"3,96 USD"
2160116,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of finished dosage form: Lekpharm SOOO, Republic of Belarus Manufacturer performing packaging/packaging: Lekpharm SOOO, Republic of Belarus Issuance of permission to release the medicinal product: Lekpharm SOOO, Republic of Belarus Quality control: Lekpharm SOOO, Republic of Belarus",MELDONIUM-LF,MELDONIUM-LF,Meldonium,,,28-09-2022,,BYR,22.9,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C01EB22,,,,capsules 500mg in a blister pack No. 10x6,,,,,,,,,,PRICENTRIC,,,,,482752,,,,
2161521,,BELARUS,"World Medicine Ilac San. Ve Tic. AS, Turkey/Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus Manufacturer of finished dosage form: World Medicine Ilac San. Ve Tic. AS, Turkey Manufacturer performing filling/packaging: World Medicine Ilac San. Ve Tic. AS, Turkey (packaging), Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus (packaging) Issuance of permission to release the medicinal product: Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus Quality control: Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus Other participants in production: Quality control of products in bulk: World Medicine Ilac San. Ve Tic. AS, Turkey",LOXIDOL-REB,LOXIDOL-REB,Meloxicam,,,31-10-2023,,BYR,11.56,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,M01AC06,,,,solution for intramuscular injection 15 mg/1.5 ml in ampoules in package No. 3x1,,,,,,,,,,PRICENTRIC,,,,,315501,,,,
2160519,,BELARUS,"Manufacturer: Merck Healthcare KGaA, Germany; Manufacturer of finished dosage form: Merck Healthcare KGaA, Germany; Manufacturer performing filling/packaging: Merck Healthcare KGaA, Germany; Issuance of permission to release medicinal product: Merck Healthcare KGaA, Germany",CONCOR,CONCOR,Bisoprolol,,,26-06-2020,,BYR,13.4,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"C07AB07
                        
оригинальное",,,,"film-coated tablets, 5 mg in blisters in packaging No. 10x3",,,,,,,,,,PRICENTRIC,,,,,476/94/99/04/04/08/09/12/15/17/18/20,,,,"4,16 USD"
2169259,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of finished dosage form: Lekpharm SOOO, Republic of Belarus Manufacturer performing packaging/packaging: Lekpharm SOOO, Republic of Belarus Issuance of permission to release the medicinal product: Lekpharm SOOO, Republic of Belarus",AMLODIPIN,AMLODIPIN,Amlodipine,,,04-07-2019,,BYR,4.15,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C08CA01,,,,5 mg tablets in a blister pack No. 10x6,,,,,,,,,,PRICENTRIC,,,,,31612,,,,
2038727,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of finished dosage form: Lekpharm SOOO, Republic of Belarus Manufacturer performing packaging/packaging: Lekpharm SOOO, Republic of Belarus Issuance of permission to release the medicinal product: Lekpharm SOOO, Republic of Belarus Quality control: Lekpharm SOOO, Republic of Belarus",MOLSIDOMIN-LF,MOLSIDOMIN-LF,Molsidomine,,,26-07-2023,,BYR,1.87,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C01DX12,,,,2mg tablets in a blister pack No. 10x3,,,,,,,,,,PRICENTRIC,,,,,132788,,,,
2160438,,BELARUS,"Hemomont doo, Montenegro Manufacturer of finished dosage form: Hemomont doo, Montenegro Manufacturer performing filling/packaging: Hemomont doo, Montenegro Issuance of permission to release the medicinal product: Hemofarm AD, Republic of Serbia Other participants in production: Hemomont doo, Montenegro - quality control",Snoop,Snoop,Xylometazoline,,,,,BYR,10.86,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,R01AA07,,,,nasal spray 0.1% in polyethylene bottles 15 ml with a spray valve in package No. 1,,,,,,,,,,PRICENTRIC,,,,,10963/21,,,,"3,10 EUR"
2160631,,BELARUS,"Corden Pharma Fribourg SA, Switzerland/ Vifor (International) Inc., Switzerland Manufacturer of finished dosage form: Corden Pharma Fribourg SA, Switzerland Manufacturer performing filling/packaging: Corden Pharma Fribourg SA, Switzerland Issuance of marketing authorization for the medicinal product: Vifor (International) Inc., Switzerland Quality control: Vifor (International) Inc., Switzerland",Maltofer,Maltofer,ferric oxide polymaltose complexes,,,08-09-2023,,BYR,21.24,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"B03AB05
                        
оригинальное",,,,chewable tablets 100 mg in blisters in packaging No. 10x3,,,,,,,,,,PRICENTRIC,,,,,6978/04/10/15/19/20/23,,,,"6,54 USD"
2161502,,BELARUS,"HBM Pharma sro (HBM Pharma s.r.o.), Slovakia / Kalceks JSC, Latvia Manufacturer of finished dosage form: HBM Pharma sro (HBM Pharma s.r.o.), Slovakia Manufacturer performing filling/packaging: HBM Pharma sro (HBM Pharma s.r.o.), Slovakia Issuance of authorization for the release of the medicinal product: Kalceks JSC, Latvia Other participants in the production: HBM Pharma sro (HBM Pharma s.r.o.), Slovakia; Grindeks JSC, Latvia - quality control",AUXILENE,AUXILENE,Dexketoprofen,,,,,BYR,12.17,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,M01AE17,,,,injection solution / concentrate for preparation of infusion solution 50 mg/2 ml in 2 ml ampoules in blister pack No. 5x1,,,,,,,,,,PRICENTRIC,,,,,10864/20,,,,"3,62 EUR"
2037561,,BELARUS,"Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer of the finished dosage form: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer performing packaging/packaging: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Issuance of a permit for the release of a medicinal product: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus",LIZINOPRIL,LIZINOPRIL,Lisinopril,,,06-07-2020,,BYR,2.67,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C09AA03,,,,5 mg tablets in a blister pack No. 10x6,,,,,,,,,,PRICENTRIC,,,,,20/07/1854,,,,
2160616,,BELARUS,"Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer of the finished dosage form: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (Workshop No. 4), Borisov, Minsk region, 222518 Manufacturer performing filling/packaging: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (Workshop No. 4), Borisov, Minsk region, 222518 Issuance of a permit for the release of a medicinal product: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (Workshop No. 4), Borisov, Minsk region, 222518 Quality control: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (Workshop No. 4), Borisov, Minsk region, 222518",ZOPIKLON,ZOPIKLON,Zopiclone,,,23-04-2024,,BYR,4.26,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,N05CF01,,,,film-coated tablets 7.5 mg in a blister pack No. 10x3,,,,,,,,,,PRICENTRIC,,,,,331390,,,,
1322260,,BELARUS,"Pfizer Italia SRL, Italy Manufacturer of finished dosage form: Pfizer Italia SRL, Italy Manufacturer performing filling/packaging: Pfizer Italia SRL, Italy Issuance of authorization for the release of the medicinal product: Pfizer Italia SRL, Italy Quality control: Pfizer Italia SRL, Italy",Sermion,Sermion,Nicergoline,,,28-02-2024,,BYR,22.39,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"C04AE02
                        
оригинальное",,,,"film-coated tablets, 10 mg in blisters in packaging No. 25x2",,,,,,,,,,PRICENTRIC,,,,,2160/96/01/06/11/15/16/22/24,,,,"6,89 USD"
2037469,,BELARUS,"Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Manufacturer of the finished dosage form: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Manufacturer performing filling/packaging: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Issuance of a permit for the release of the medicinal product: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Other participants in the production: Holden Medical Laboratories Pvt. Ltd., India - manufacturer of granulated tablet mass",LISINOPRIL PHARMLAND,LISINOPRIL PHARMLAND,Lisinopril,,,11-10-2019,,BYR,4.84,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C09AA03,,,,tablets 20 mg in a blister pack No. 10x3,,,,,,,,,,PRICENTRIC,,,,,51793,,,,
2160653,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of the finished dosage form: Lekpharm SOOO, Republic of Belarus # 1. Logoisk, Minskaya Street, 2A 2. Logoisk, Minskaya Street, 2A/4 3. Logoisk, Minskaya Street, 2A/8 Manufacturer performing filling/packaging: Lekpharm SOOO, Republic of Belarus # Logoisk, Minskaya Street, 2A/4 Issuance of a permit for the release of a medicinal product: Lekpharm SOOO, Republic of Belarus # Logoisk, Minskaya Street, 2A/4 Quality control: Lekpharm SOOO, Republic of Belarus # Logoisk, Minskaya Street, 2A/4",PHENIBUT-LF,PHENIBUT-LF,Phenibut,,,23-10-2024,,BYR,9.22,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,N06BX22,,,,tablets 250 mg in a blister pack No. 10x2,,,,,,,,,,PRICENTRIC,,,,,486436,,,,
2160577,,BELARUS,"Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer of the finished dosage form: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (workshop No. 4), Borisov, Minsk region, 222518 Manufacturer performing filling/packaging: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (workshop No. 4), Borisov, Minsk region, 222518 Issuance of a permit for the release of a medicinal product: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64, Borisov, Minsk region, 222518 Quality control: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus # ul.Chapayeva, 64A (workshop No. 4), Borisov, Minsk region, 222518",FLUKANAZOL,FLUKANAZOL,Fluconazole,,,11-12-2024,,BYR,10.64,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,J02AC01,,,,capsules 150 mg in a blister pack No. 1x2,,,,,,,,,,PRICENTRIC,,,,,24/12/1127,,,,
2037330,,BELARUS,"Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer of the finished dosage form: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer performing packaging/packaging: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Issuance of a permit for the release of a medicinal product: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Quality control: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus",AMLODIPIN,AMLODIPIN,Amlodipine,,,31-01-2023,,BYR,1.41,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C08CA01,,,,5 mg tablets in a blister pack No. 10x3,,,,,,,,,,PRICENTRIC,,,,,23/01/1532,,,,
2037384,,BELARUS,"Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer of the finished dosage form: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer performing packaging/packaging: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Issuance of a permit for the release of a medicinal product: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Quality control: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus",Bisoprolol,Bisoprolol,Bisoprolol,,,15-12-2023,,BYR,1.91,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C07AB07,,,,"film-coated tablets, 2.5 mg in a blister pack No. 10x3",,,,,,,,,,PRICENTRIC,,,,,29943,,,,
2160683,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of finished dosage form: Lekpharm SOOO, Republic of Belarus Manufacturer performing packaging/packaging: Lekpharm SOOO, Republic of Belarus Issuance of permission to release the medicinal product: Lekpharm SOOO, Republic of Belarus",SPIRONOLACTONE-LF,SPIRONOLACTONE-LF,Spironolactone,,,,,BYR,7.89,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C03DA01,,,,tablets 100 mg in a blister pack No. 10x3,,,,,,,,,,PRICENTRIC,,,,,367513,,,,
2037380,,BELARUS,"Pharmtechnologiya LLC, Republic of Belarus Manufacturer of finished dosage form: Pharmtechnologiya LLC, Republic of Belarus Manufacturer performing packaging/packaging: Pharmtechnologiya LLC, Republic of Belarus Issuance of permission to release the medicinal product: Pharmtechnologiya LLC, Republic of Belarus Quality control: Pharmtechnologiya LLC, Republic of Belarus",BISOPROLOL FT,BISOPROLOL FT,Bisoprolol,,,21-06-2022,,BYR,4.85,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C07AB07,,,,"film-coated tablets, 10 mg in a blister pack No. 10x5",,,,,,,,,,PRICENTRIC,,,,,174,,,,
2160725,,BELARUS,"HBM Pharma sro (HBM Pharma s.r.o.), Slovakia Manufacturer of finished dosage form: HBM Pharma sro (HBM Pharma s.r.o.), Slovakia Manufacturer performing filling/packaging: HBM Pharma sro (HBM Pharma s.r.o.), Slovakia Issuance of permission to release the medicinal product: Grindeks JSC, Latvia Quality control: Grindeks JSC, Latvia",MILDRONAT,MILDRONAT,Meldonium,,,21-12-2023,,BYR,39.33,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"C01EB22
                        
оригинальное",,,,solution for intravenous administration 100 mg/ml in 5 ml ampoules in a 5x2 cell package,,,,,,,,,,PRICENTRIC,,,,,8647/08/13/17/19/22/23,,,,"11,71 EUR"
2160705,,BELARUS,"World Medicine Ilac San. Ve Tic. AS, Turkey / Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus Manufacturer of finished dosage form: World Medicine Ilac San. Ve Tic. AS, Turkey Manufacturer performing filling/packaging: World Medicine Ilac San. Ve Tic. AS, Turkey (packaging), Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus (packaging) Issuance of permission to release the medicinal product: Foreign Production and Trade Unitary Enterprise Reb-Pharma, Republic of Belarus Other participants in production: Quality control: World Medicine Ilac San. Ve Tic. AS, Turkey",LOXIDOL-REB,LOXIDOL-REB,Meloxicam,,,,,BYR,9.68,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,M01AC06,,,,tablets 15 mg in a blister pack No. 10x1,,,,,,,,,,PRICENTRIC,,,,,437186,,,,
DUPLICATE,,BELARUS,"Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Manufacturer of the finished dosage form: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Manufacturer performing filling/packaging: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Issuance of a permit for the release of the medicinal product: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Other participants in the production: Holden Medical Laboratories Pvt. Ltd., India - manufacturer of granulated tablet mass",LISINOPRIL PHARMLAND,LISINOPRIL PHARMLAND,Lisinopril,,,11-10-2019,,BYR,4.84,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C09AA03,,,,tablets 20 mg in a blister pack No. 15x2,,,,,,,,,,PRICENTRIC,,,,,51793,,,,
