Registration No,Product Name,Holder
MAL19911524X,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL21026126NC,"Janipro Aladants Alpha Lipoic Acid, Resveratrol, B Complex + Vitamin A, C, E, Zinc, Selenium with Curcuma Longa & Probiotic L. Reuteri Capsule",Janipro (M) Sdn Bhd
MAL20013455AZ,SII Diphtheria and Tetanus Vaccine Adsorbed (Pediatric)-10 doses,SM PHARMACEUTICALS SDN. BHD.
MAL19973681AZ,OPTIMOL EYE DROP 0.5%,DUOPHARMA (M) SENDIRIAN BERHAD
MAL17085007AZ,VENLIFT ER 150 MG CAPSULE,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07124602ACZ,Fenosup Lidose 160 mg Capsule,HYPHENS PHARMA SDN. BHD.
MAL20021157AZ,AXCEL FLEMIN JUNIOR EXPECTORANT,KOTRA PHARMA (M) SDN. BHD.
MAL19987401X,AXE BRAND HEAT OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19992773AZ,INFUSOL D5,AIN MEDICARE SDN. BHD.
MAL16115039AZ,Prelica Capsule 75mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014355AZ,INFUSOL D30,AIN MEDICARE SDN. BHD.
MAL19921172XZ,ARFEN 250 SUPPOSITORIES,KOMEDIC SDN BHD
MAL19940037AZ,VOREN GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20076030ACZ,Uphalexin Capsule 500mg,Duopharma Marketing Sdn. Bhd.
MAL21036070NC,"Janipro BZY B Complex + Vitamin C, E, Zinc With Curcuma Longa & Probiotic L. Plantarum Capsule",Janipro (M) Sdn Bhd
MAL20014358AZ,INFUSOL HMK,AIN MEDICARE SDN. BHD.
MAL19971835AZ,Borymycin Capsule 100mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09042434AZ,RIVADEM 1.5MG CAPSULES,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL20076054XC,Lyzodase Oral Liquid,Vismedic Sdn. Bhd.
MAL20116002ACRZ,Nocdurna Oral Lyophilisate for Sublingual 25 mcg,Ferring Sdn. Bhd.
MAL20020262AZ,ALLAVIN EXPECTORANT,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20014330ACZ,AMIOHEXAL 200,IMEKS PHARMA SDN. BHD.
MAL07091058X,Conart capsule,AV MANUFACTURING SDN.BHD
MAL19950161AZ,ACUGESIC CAPSULE 50MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL14115013AZ,Salbutamol-G Expectorant,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19993047AZ,INFUSOL HM,AIN MEDICARE SDN. BHD.
MAL06061531X,Three Legs White Balsem,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL05072030AZ,Sonap 275mg Caplet,IMEKS PHARMA SDN. BHD.
MAL18106136AZ,Medikinet MR 5mg Hard Capsules,HYPHENS PHARMA SDN. BHD.
MAL23036031XC,Lyzodase Troche,Vismedic Sdn. Bhd.
MAL21106022AZ,Pregal 75mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL19993049AZ,INFUSOL RG,AIN MEDICARE SDN. BHD.
MAL20001622XZ,Three Legs Povidone Iodine,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19910073AZ,DIPRODIN ELIXIR,KOTRA PHARMA (M) SDN. BHD.
