Registration No,Product Name,Registration No (verified),Holder,Holder Address,Phone No,Manufacturer,Manufacturer Address
MAL05041855ACSZ,Salmax CR Tablet 4mg,MAL05041855ACSZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05041880AZ,Aseptone Syrup 5mg/ml,MAL05041880AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05041940AZ,MUCO-AID LIQUID,MAL05041940AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL05041947XZ,GNC Folic Acid 800 mcg,MAL05041947XZ,GNC LIVEWELL MALAYSIA SDN. BHD.,"UNIT 30-01 LEVEL 30. TOWER A, VERTICAL BUSINESS SUITE, AVENUE 3, BANGSAR SOUTH NO.8 JALAN KERINCHI 59200 KUALA LUMPUR MALAYSIA",0327839191,Nutra Manufacturing LLC,"1050 WOODRUFF ROAD, GREENVILLE, SOUTH CAROLINA, 29607 UNITED STATES"
MAL05041949AZ,Tidact Capsule 300mg,MAL05041949AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL05051054AZ,Enoxin Tablet 500mg,MAL05051054AZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05051063AZ,Metazine Tablet 20mg,MAL05051063AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL05051076AZ,Driminate Suppository 50mg,MAL05051076AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL05051105ACZ,Simtec Tablet 10mg,MAL05051105ACZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05061485AZ,Condep Injection 50mg/ml (3ml vial),MAL05061485AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL05061552AZ,Frotin Pessaries,MAL05061552AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,MAL05061555XZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05072029AZ,SOMIDEM TABLET 10 MG,MAL05072029AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL05072030AZ,Sonap 275mg Caplet,MAL05072030AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Sriprasit Pharma Co. Ltd.,"216 MOO 6 SUANLUANG, KRATHUM BAEN, SAMUT SAKHON 74110 THAILAND"
MAL05092215ACZ,"Metoclopramide-hameln 5 mg/ml Injection, 2ml",MAL05092215ACZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Mefar Ilac Sanayii A.S.,"RAMAZANOGLU MAH. ENSAR CAD. NO : 20 KURTKOY / PENDIK, TR 34906 ISTANBUL TURKEY TR 34906 TURKEY"
MAL05092217AZ,Medoflucon 150 mg capsules,MAL05092217AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,"Medochemie Ltd., (Central Factory)","KONSTANTINOUPOLEOS 1-10, LIMASSOL, 3011 CYPRUS"
MAL05092228AZ,Tidact Gel 1%,MAL05092228AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL05101665AZ,Dapril 20mg tablets,MAL05101665AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"NO. 40, VSIP II STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, BINH DUONG INDUSTRY-SERVICE-URBAN COMPLEX, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM"
MAL05101666AZ,Dapril 5mg tablets,MAL05101666AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL05101667AZ,KLERIMED 250MG TABLET,MAL05101667AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"40, STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, HOA PHU WARD, THU DAU MOT TOWN, BINH DUONG PROVINCE, VIETNAM"
MAL05101672AZ,Magurol 2mg tablets,MAL05101672AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL05101673AZ,Magurol 4 mg tablets,MAL05101673AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"NO. 40, VSIP II STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, BINH DUONG INDUSTRY-SERVICE-URBAN COMPLEX, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM"
MAL05101675AZ,Hyomide Tablet 10mg,MAL05101675AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL05121152AZ,VALPARIN XR 500 TABLET,MAL05121152AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD,INDRAD - 382721 INDIA
MAL05121153AZ,Zocol 150mg Capsule,MAL05121153AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL06011683AZ,Motidom Oral Suspension 1mg/ml,MAL06011683AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. PHARMA CO LTD,"101 SOI LADPRAO 124 (SAWATDIKAN) , LADPRAO ROAD, PHLAPPHLA, WANGTHONGLANG, , BANGKOK 10310 THAILAND"
MAL06011684AZ,Hirapine Tablet 200mg,MAL06011684AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL06011717AZ,Alpranax Tablet 0.5mg,MAL06011717AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL06011719X,GNC Vitamin C 500 with Rose Hips Timed Release,MAL06011719X,GNC LIVEWELL MALAYSIA SDN. BHD.,"UNIT 30-01 LEVEL 30. TOWER A, VERTICAL BUSINESS SUITE, AVENUE 3, BANGSAR SOUTH NO.8 JALAN KERINCHI 59200 KUALA LUMPUR MALAYSIA",0327839191,NUTRA MANUFACTURING INC,"1050 WOODRUFF ROAD, GREENVILLE, SC 29607 UNITED STATES"
MAL06021257X,Dofomin 500mg Tablet,MAL06021257X,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. CHEMICALS (1979) LTD.,"280 SOI SABAIJAI, SUTHISARNWINIJAI ROAD, SAMSENNOK, HUAY-KWANG, BANGKOK 10310, THAILAND"
MAL06041463AZ,Flexin 20 mg Capsule,MAL06041463AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL06051302AZ,MECANDIN CREAM 2% W/W,MAL06051302AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL06051310AZ,Melocam Tablet 7.5mg,MAL06051310AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL06051328AZ,ANPRODEX TABLETS 2 MG,MAL06051328AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL06051410XZ,Flavettes Vitamin C Orange 500mg,MAL06051410XZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL06051568XZ,Champs Vitamin C Chewable 100mg (Natural Orange Flavour),MAL06051568XZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL06061327AZ,Covasc Tablet 5mg,MAL06061327AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL06061514AZ,DB Sodium Bicarbonate 8.4% w/v Injection,MAL06061514AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL06061524XC,GESB Liniment Oil,MAL06061524XC,GAMAT EMAS SDN BHD,"NO 1-3, TINGKAT 2, JALAN DANAU LUMAYAN, DANAU LUMAYAN BUSINESS PARK, CHERAS, 56000 KUALA LUMPUR MALAYSIA",03-91713344,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),"NO. 78, JALAN KILANG MIDAH TAMAN MIDAH 56000 KUALA LUMPUR MALAYSIA"
MAL06061531X,Three Legs White Balsem,MAL06061531X,SYARIKAT WEN KEN DRUG SDN. BHD.,"NO. 24, JALAN LAMBAK, TAMAN JOHOR 81200 JOHOR BAHRU MALAYSIA",072371115,SYARIKAT WEN KEN DRUG SDN. BHD.,"NO. 24, JALAN LAMBAK TAMAN JOHOR 81200 JOHOR BAHRU MALAYSIA"
MAL06061674ARZ,"Suxamethonium Chloride-Fresenius 100mg/2ml, Injection",MAL06061674ARZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,Fresenius Kabi Manufacturing SA (Pty) Ltd.,"6 GIBAUD ROAD, KORSTEN, 6020 PORT ELIZABETH - SOUTH AFRICA"
