Russian,English
????????,Nystatin
??????,Mannitol
??????????,Cefotaxime
???????? 99mTc,Pentatech 99mTc
???????,Efkuriya
?????????,Fluimucil
?????????-????,Lamivudine-Vial
??????,Faspic
??????,Ziagen
????????,Fortazim
???????? ??,URAPIDIL J
????????????? ????????,Levetiracetam Solopharm
???????????? ??,Cabozantinib J
????????? ??,ERTAPENEM J
?????? ???????????,Choline alfoscerate
??????????,Vinpocetine
?????????,Etamsylate
????????????-????,Dexamethasone-KRKA
?????????,Bisacodyl
??????????,Bronchoxol
??????????,Azathioprine
???????,Foradil
???????,Naropin
"??????? ???? ????????? ??????? ??? ???????????? ?????????????? ????????, ?????????? ??????? SARS-CoV-2",Sputnik Light is a vector vaccine for the prevention of coronavirus infection caused by the SARS-CoV-2 virus.
???????? ????????,Flatocin Solopharm
??????????? ???????,Valproic acid
??????,Gleevec
???????® 1.75,Maninil® 1.75
"???????? ??????????????? ????????? ??????? ??? ???????????? ?????????????? ????????, ?????????? ??????? SARS-CoV-2",Salnavak: A combined vector vaccine for the prevention of coronavirus infection caused by the SARS-CoV-2 virus.
???????,Octanate
??????????????-???,Ciprofloxacin-FPO
????????,Hemoctin
????????®-250,Sustanon®-250
????????????-????,Oxaliplatin-Teva
????????,Topamax
?????????,Androgel
????,Omez
????????? ?-? ?????`?,Omeprazole Dr. Reddy's
???????????,Doxycycline
???????,Ketorol
?????????-????,Omeprazole-Teva
???????,Avelox
????????????,Rivaroxaban
???????,Sumamed
????????®,Noxafil®
??????????????,Dexketoprofen
????????????-?????,Metronidazole-ESKOM
????????,CardiASK
??????,OTESLA
???????,Pegasus
???????,Kevzara
???????®,Kevzara®
????®,Enap®
???????? ?????,Ethanol
?????????? ????????,Lisinopril Organica
?????,Arlette
??????????,Diclofenac
???????????,Paracetamol
?????????,Amiodarone
???????®,Ketolac®
?????????,Ambroxol
??????????,Ciprolacer
???????,Veremed
??????????,Metrolaker
???????? ? ?????????? ??????,Imipenem and Cilastatin Jodas
????????? ??????,Meropenem Jodas
????????,NOVAKLAV
?????????? ??,Semaglutide J
?????????? 20000,Pancreatin 20000
????????? ???????,Loratadine Renewal
?????????,Neipilept
????????®,Eralfon®
?????????®,NEYPILEPT®
??????? ??? ?????,Nurofen for children
???????,Unithiol
??????,Zinnat
???????,Eniksum
???????®,Eniksum®
?????????-????,Acyclovir-AKOS
?????????,Metformin
??????? ?????,Glucose Brown
???????®,Respium®
????????,Oncotron
???????????,Uromitexan
???????????®,Uromitexan®
??????????,Risperidone
????????,Ultrix
???????? ??????? ?????????? ???????????????? ????????????,Ultrix Inactivated split influenza vaccine
????????® ??????? ?????????? ???????????????? ????????????,Ultrix® Inactivated split influenza vaccine
????????,Oncaspar
????????®,Oncaspar®
?????-????,Mesna-LENS
????????????-????,Mitoxantrone-LENS
??????????,Polyglucin
???????? ???????,Hartmann solution
???????,Chlorosol
?????????,Isoniazid
???????,Acesol
?????????????,Rheopolyglucin
????????,Lidocaine
??????????,Oxacillin
?????????,Ifosfamide
??????????,Gentamicin
?????????????,Benzyl benzoate
????????????,Chlorhexidine
????????????,Streptomycin
?????? ?????? ?????,Sodium chloride Brown
???????,Cerezyme
??????,Lugol's solution
???????? ????????,Hydrogen peroxide
?????????,Acyclovir
?????????,Ethambutol
????????,Pentacin
?????????,Darunavir
????????®,ZINCAZOL®
??????? ???????? ????????,Bismuth tripotassium dicitrate
????????? 300,Berlition 300
???????????-??,Rivastigmine-ET
?????????,Furosemide
????????????? ?????,Levetiracetam Canon
?????????,Gliatilin
????????,Kvamatel
?????????®,ALBUREX®
??????????,Irinotecan
???????®,Betadine®
??????????-?????,Formisonide native
???????,Mitotane
?????????,Privideen
?????????? ????????,Fluconazole Medisorb
??????????? ????????,Paracetamol Medisorb
????????? ??,Metformin MS
?????????????,Nitroglycerine
??????????,Fluoxetine
?????????? ????????,Lisinopril Medisorb
????????? ????????,Olanzapine Medisorb
????????? ????????,Ivabradin Medisorb
?????????? ????????,Fingolimod Medisorb
???????? ????????,Asparkam Medisorb
????? ?????,Potassium iodide
??????????-????,Vincristine-Teva
??????????,Megadexan
????????????????? ??????? ????????,Acetylsalicylic acid Medisorb
?????????? ??,Drotaverine MS
???-??????,ASC-cardio
????????? 99mTc,Bromezida 99mTc
???????? 99m?c,Pirfotech 99mTc
???????? 99mTc,Technefor 99mTc
????????®,Perineva®
???????????,Levomycetin
??????????-??,Betahistine-SZ
??????????????,Valganciclovir
?????????,Seroquel
???????®,Sewella®
??????????,Umifenovir
??????,Iressa
?????????,Faslodex
??????®,Smecta®
?????????,Ambrobene
????????,Casodex
????????,Zoladex
????????? ???????,Seroquel Prolong
????????®,Mexicor®
?????????®,OKTRETEX®
??????????-??,Bisoprolol-SZ
?????????,Rispolept
?????????,Reamberin
?????????®,Reamberin®
????????,Vivitrol
?????????,Physiotenz
?????????????-??,Dapagliflozin-SZ
???????,Timolol
??????? ?????,Timolol bufus
???????,Duphalac
????????????,Carbamazepine
????????????????? ??????? ??????,Acetylsalicylic acid Cardio
??????????????,Xylometazoline
?????????????? ?????,Xylometazoline Bufus
??????? ?????,Quatran xylo
????? ??????,Potassium chloride
??????????-????,Fluorouracil-DEKO
??????????®,Dorzoculin®
??????????-??,Dorzolamide-SZ
??????? ?????? ????????? ????? ?????,"Yellow fever vaccine, live, dry"
"????? ??????, 223Ra","Radium chloride, 223Ra"
???????????? ???????,Ascorbic acid
???????,varicose veins
????????®,Hexicon®
????????,Losartan
?????????-????,Meropenem-DEKO
?????? ??????? ? ??????????,Lugol's solution with glycerin
????????? ?????,Metformin Canon
????????? ?????,Lamivudine Canon
????????? ?????,Tenofovir Canon
?????????? ?????,Atazanavir Canon
????????? ?????,Efavirenz Canon
????????,Ferrocin
???????? ???????,Atropine sulfate
????????,Reveliza
?????????????? ?????????????? ?? ????????? ????? ?????? ??????,Liquid anti-rabies immunoglobulin from horse blood serum
?????????????? ??????,Pyridostigmine bromide
????????????? ???????,Tranexamic acid
???????,Cefepime
?????????? ???,Etanercept PSC
???????????-???,Paracetamol-ECO
???????????-??????,Paracetamol-ECOlab
????????????????? ???????,Acetylsalicylic acid
?????????,Sulpiride
???? ??? ????????,Water for injection
??????????,Cefuroxime
????????,Metocard
?????????,Diapaglyph
????? 10000,Creon 10000
?????????,Loperamide
?????? ?????????????,Sodium bicarbonate
?????????,Thrombopol
??????? ????????????????? ???????? ?????????????? "125",Madopar 125 fast-acting dispersible tablets
???????® "250",MADOPAR® "250"
??????? "250",Madopar "250"
??????? ??? "125",Madopar GSS "125"
???????® ??? "125",MADOPAR® GSS "125"
?????????,Xalvobin
??????,Telzir
?????????,Tecentriq
???????,Zavedos
??????,Etomid
????????,Protomids
?????,Ecox
????????,Macroside
???????,Kapocin
???????,Oflomak
??????,Klenil
??????,Atimos
?????????? ???????,Vilprafen Solutab
???????,Maklevo
"?????????® ??????? ??? ???????????? ????????, ?????????, ??????? ???????????? ???????????????? ??????????????? ??????","Infanrix® Acellular three-component adsorbed liquid vaccine for the prevention of diphtheria, tetanus, and whooping cough"
??????????® ???????®,Vilprafen® Solutab®
?????????? ?®,Mircludex B®
??????????,Pyridoxine
?????????®,Tecentriq®
?????,Klion
?????????,Simvacard
??????????? ???????,Simvastatin Zentiva
??????????? ??????,Simvastatin Sanofi
??????????-??????®,Mexidolin-Ferein®
??????????,Droperidol
?????????,Retabolil
????????,Thiolepta
??????????? ?????-????,Azithromycin Forte-AKOS
?????????????? ?????,Alfacalcidol Canon
????? ???????????,Potassium permanganate
?????????????,Clarithromycin
???????® ??????? ?????? ???????? ? ????????????????,Havrix® inactivated hepatitis A vaccine
??????,Azicide
??????????? ???????,Azithromycin Zentiva
??????????? ??????,Azithromycin Sanofi
????????,Cyclodol
????????????-????????,Amitriptyline-Grindeks
?????????,Warfarex
????????,Renagel
?????????? ????????,Lisinopril Grindeks
?????????,Axastrol
???????,Tsiramza
????????????? ????????,Benzyl benzoate Grindeks
???????????? ????????,Amitriptyline Grindeks
???????®,IVAKARD®
????????,Omniscan
??????????,Vilprafen
???????,Ditilin
???????????,Clotrimazole
?????????,Piracetam
???????,Simdax
?????????? ?????????? ??????,Isosorbide mononitrate retard
???????,Tezalom
????????????-??????,SUXAMETHONIUM-BIOLEK
???-????,Bar-VIPS
?????????,Loratadine
?????? ??????,Omelar Cardio
????????? ??????,Amlodipine Cardio
????????? ?????,Leflobact FORTE
?????????,Nifedipine
??????????,Fluconazole
?????????-???,Nifedipine-FPO
????????? ??????????,Piracetam Obolenskoye
???????????? ?????,Suxamethonium iodide
??????????,Betahistine
????????,Ursoprim
??????????-OBL,Fluconazole-OBL
?????????,Epitropil
???????????? ???????,Amitriptyline Nycomed
?????????,Aprotinin
???????????????? ?????,Hydroxycarbamide medak
?????? ?,Pleasel N
?????????????,Imbioglobulin
???????????-????,Carboplatin-Teva
????????,Taxotere
????????,NovoNorm
?????????,Vinelbin
????????,Algeron
??????????? ????,Bicalutamide Kabi
????????? ???????,Amlodipine Zentiva
????????? ??????,Amlodipine Sanofi
?????????? ????,Anastrozole Kabi
?????,Lirta
????????,Lazolvan
???????? ?????,Abacavir Canon
????????? ???? ?????,Metformin Long Canon
?????????,Cholitylin
?????????? ?????,Betahistine Canon
?????????? ????? ?????,Vinpocetine Forte Canon
?????????,Ziflucort
?????????,Megaflox
????????????-OBL,Atorvastatin-OBL
??????????,Duspatalin
?????????? ?????,Drotaverine forte
??????????-???,Diclofenac-FPO
?????,Dutan
???????,Urdoksa
?????????,Quetitex
??????????-OBL,Bisoprolol-OBL
?????????????-OBL,Clarithromycin-OBL
????????????-?????,ATORVASTATIN-ALIUM
???????????-OBL,Azithromycin-OBL
?????????-OBL,Cetirizine-OBL
????????,Mipexol
????????,Warfarin
??????????? ??????,Enoxaparin sodium
?????,Diara
?????? [III] ????????? ?????????? ????????,Iron [III] hydroxide sucrose complex
????????-OBL,Warfarin-OBL
?????????,Dupixent
?????????,ERLOTINIB
?????????????,Veroshpilakton
??????? "125",Madopar "125"
?????????? ?????? ??????????,Diclofenac retard Obolenskoye
??????????-OBL,Metoprolol-OBL
?????????????? ?????,Moxifloxacin Canon
???????????-???®,Perindopril-FPO®
?????????,Verapamil
??????????-???®,Vinpocetine-FPO®
??????,Ibuprofen
?????????,Linezolid
?????????-???????,Ibuprofen-Akrikhin
???????,Zemplar
????????,Asparkam
????????? ????????,Anaprilin Medisorb
???????,Heparin
??????? ?,Agemfil A
????????????? ?????-????,Levofloxacin Forte-AKOS
?????????????,Hydrocortisone
???????????-????,Ceftriaxone-AKOS
?????????????-????,Hydrocortisone-AKOS
????????? ?????,Enalapril FORTE
????????? 1000,Clavamox 1000
?????????,Enalapril
????????,Atenolol
????????????????? ????????? ????,Benzylpenicillin sodium salt
??????????,Pilocarpine
??????????,Tobramycin
????????-????,Lidocaine-AKOS
?????????-????,Cefazolin-AKOS
??????????,Sulzoncef
???????,Rinorus
?????????,Meropenem
????????????,Norepinephrine
????????????-????,Norepinephrine-AKOS
????????-1,Bicillin-1
??????????-????,Ketoprofen-AKOS
??????????,Ketoprofen
?????????,Ketorolac
???????,Amlorus
???????????,Prednisolone
?????????,Anaprilin
?????????-????,Amlodipine-AKOS
?????????,Acecardol
????????,Ofloxacin
????????,Mikomax
???????,Cefosin
???????,Cephurus
?????????? ???????,Ofloxacin Zentiva
???????,Cubicin
?????????? ??????,Ofloxacin Sanofi
???????®,Cubicin®
????????????,AMOXICILLIN
????????,Varivax
???????????,Capecitover
????????????-????,Amoxicillin-AKOS
????????,Albumen
?????????,Tecfidera
??????????,Ribomustine
?????????-??????,Rifabutin-Ferein
?????????-??????®,Rifabutin-Ferein®
???????,Erleada
????????,Mannitol
???????®300,RinGlar®300
???????,Leucite
?????????,Stiglatra
??????????,REMDESIVIR
????????,Ginipral
????????,Xymelin
????-???????,Depo-Provera
????????,Tacrosel
???????????®-IgG,Gabriglobin®-IgG
????????????-???,Metronidazole-UBF
????????? ????????,Metformin Medisorb
???????????-?????,Methotrexate-Ebeve
???????,Mabthera
????????????,Phenobarbital
??????????,Pancreatin
????????? ???????,Protamine sulfate
???????,Rocephin
???????????? ????????,Rivaroxaban Medisorb
???? ?????,Omez Insta
????????,Tramadol
?????????? ???????,Carvedilol Zentiva
?????????? ??????,Carvedilol Sanofi
??????????? ?????????????????,Adriblastin rapidly dissolving
??????,Lasix
???????,Eglonil
????????,Sertican
???????????® ?????????? ?????????????????,Adriblastin® NovaMedica fast-dissolving
?????????,Didanosine
????????,Diprivan
?????????????? ????????,Immunoglobulin Sigardis
??????,Rubida
??????????,Cephalexin
???????????? ????????,ATORVASTATIN AVEXIMA
???????????? ????????????,Platyphylline hydrotartrate
??????????? ???????,Levomycetin Actitab
????????,Diflazon
????????,Priorix
??????????,Senadeksin
??????????,Mercazolil
?????????,Triftazin
??????????,Tropicamide
?????,Zolin
??????,Cetax
?????????,Lamivudine
?????????,Zidovudine
?????????,Phenigidine
"?????????? ??????? 10-????????? ?????????????? ??????????????, ??????????????? ? D-????????? ???????????? Haemophilus influenza?, ??????????? ? ??????????? ????????????, ???????????????","Synflorix 10-valent pneumococcal polysaccharide vaccine, conjugated with D-protein of non-typeable Haemophilus influenzae, tetanus and diphtheria toxoids, adsorbed"
?????????,Nevirapine
?????????-??,Amlodipine-ZT
???????,Abaggio
????????+?????????,Abacavir+Lamivudine
????????,Abacavir
????????,Aprotex
?????????-??????,Metformin-Richter
???????,Mezaton
?????? ? ??????? ??? ???????????? ???????? ? ??????????????,Euvax B recombinant vaccine for the prevention of hepatitis B
???????????,Simvastatin
????????,Akineton
???????,Anfibra
????????,Cancidas
??????????,Alendronate
??????,Amosin
????-?????????,Vero-ifosfamide
????-???????????,Vero-pipecuronium
?????????,Veroclast
????-???????????,Vero-methotrexate
????-??????????,Vero-Epirubicin
????????,Hirokaine
?????????? ?????,Alendronate Canon
????????? ???????,Flemoklav Solutab
????????? ???????®,Flemoklav Solutab®
????????? ????,EUCAZOLIN AQUA
??????? ?????????-??????? ????????????? ?????,Live culture mumps-measles vaccine
??????® ?????,Exhol® Forte
?????????,Octretex
?????????®,Memantal®
???????,Clexane
???????®,Clexane®
?????????,Mydriacyl
???????????-??????,Haloperidol-Richter
?????????? ? ???? 30/70,Rosinsulin M mix 30/70
????-??????????,Verovancomycin
?????????? ??????? ??? ???????????? ???????????? ????????????????,Polimilex is an inactivated vaccine for the prevention of poliomyelitis.
??????,Latran
????????,Mexifin
?????????,Isacardine
???????? ??,Naklofen SR
?????????,NovoSeven
????????,Parlazin
????????,Zilacomb
?????????,Tenofovir
???? ????????,Toby Podhaler
???????,Tartseva
??????????,Telbivudine
?????????®,Claructam®
?????????,Sultasin
???????????? ????????,Vildagliptin Medisorb
??????????-????,Ceftazidime-AKOS
????????? 6,Tetraspan 6
????????? ???????,Ketorolac Renewal
????????? ???????,Indapamide Renewal
??????????? ???????????,Ketoanalogues of amino acids
???????,Omnipack
???????,Idrinol
?????????,Cardionate
???????,Vazomag
???????,Melfor
?????????-????????,Meldonium-Binergia
?????????,Meldonium
?????????-????????,Meldonium-SOLOpharm
?????????-????,Meldonium-DEKO
????????? ????????,Meldonium Organics
????????,Mildovel
?????????-???????,Meldonate-Lekpharm
?????????-?????,Meldonium-ESCOM
???????,Milgen
???????????,Angiocardil
?????????,Mildronate
???????????®,Angiocardil®
???????®,PANZYGA®
???????,Vipidia
??????,Ultop
??????,Klacid
????????????????? ???????-???,Acetylsalicylic acid-UBF
???????? ???????,Lipoic acid
??????????-???,Drotaverine-UBF
??????????,Cavinthazole
????????-???,Asparkam-UBF
????????-L,Asparkam-L
?????????-OBL,Omeprazole-OBL
???????????????,Methylergobrevin
???????????,Azithromycin
????????,Blocktran
?????? ??4 ? ????????,Dianil PD4 with glucose
????????,Relanium
?????????,Indapamide
????????,Betaserk
???????,Tricor
????????,Duphaston
???-????? ?,PAS-Fatol N
??????? ????????,Hartmann's solution
???????,Eremphat
????????,Flugard
???????????,Cyfloxinal
???-????? 400,EMB-Fatol 400
??????? ???????,Ringer's solution
??????????,Ropivacaine
????????????,Emtricitabine
????????-???,Aminosol-Neo
???????-???,Hepasol-Neo
????????-??? ?,Aminosol-Neo E
???-???????,Iso-Eremphat
???????,Pirafat
??????????,Propafenone
??????,Petekha
????????,Novotax
??????,Azaran
???????????????? ???????,Aminosalicylic acid
?????????,Carboxim
?????????®,Carboxim®
???????,Cereton
?????????-????,Captopril-AKOS
??????? ??? ?????? ???????,Salamol Eco Easy Breathing
??????????,Lisinopril
????????????????? ??????? ??,Acetylsalicylic acid MS
??????????,Gelatinol
???????? ?,Hexicon D
????????,Metipred
????????? ??-????,Metformin MV-Teva
????????,Nitrocor
?????????,Methject
?????????? ?????,Irinotecan medac
???????????-????,Temozolomid-Teva
????????????,Atorvastatin
????????? ?????,Loperamide STADA
?????????? ?????,Fluconazole STADA
?????????,Alprostan
??????????-????,Vancomycin-Teva
????????,Kemoplat
???????,Trental
????????? ???????,Alprostan Zentiva
??????????? ??????,Voriconazole Sandoz
??????????-????,Tamsulosin-Teva
????????????? ??????????,Chlorhexidine bigluconate
??????????-??,Pregabalin-SZ
??????,Tienam
??????? ????? ??,Insuman Basal GT
??????? ????? ??,Insuman Rapid GT
?????????? ???,Partobulin SDF
???????,Ranisan
?????????,Ranitidine
?????????-??????,Ranitidine-Verein
?????????-????,Ranitidine-LekT
??????,Zoxon
?????????-????,Ranitidine-AKOS
?????????-????,Ranitidine-Akri
???????? ??????,Ventolin Nebules
?????????? ???????,Doxazosin Zentiva
?????????-???????,Ranitidine-Akrikhin
??????? 2?,Tobrex 2X
?????????? ??????,Doxazosin Sanofi
?????????,Dilatrend
???????,Nimotope
??????????,Lenvatinib
?????????-?????,Verapamil-ESKOM
???????®,Yakvinus®
?????????-?????,Dasatinib-native
????????? + ?????????-????,Zidovudine + Lamivudine-Vial
????????? ???????,Anaprilin Renewal
???????????????,Bifidumbacterin
?????????? ?,Prestarium A
????????,Coraxan
??????????,Valdoxan
????????? ????? 20 000,"Pancreatin Forte 20,000"
?????????????-??,Sulfasalazine-EN
??????????,Drotaverine
??????????????,Cyanocobalamin
?????????-??????,Piracetam-Richter
???????,Atrians
??????,Zofran
??????,Histak
??????,Aciloc
??????-??????? ??????,Caffeine sodium benzoate
?????? ???????,Magnesium sulfate
??????,Thiamine
??????????????,Pentoxifylline
????????????? ???,Fosamprenavir PSK
????/???? 17,KAPD/DPKA 17
???????????,Methotrexate
??????? ?????? ???? ????? ???????????????,Live attenuated measles vaccine
?????????????? ???????? ??????????,Normal human immunoglobulin
??????,Atoris
???????,Tavanic
????????????? ???????,Clarithromycin Zentiva
?????????-???,Captopril-FPO
?????????,Memantal
????-??????????,Vero-Vincristine
????????,Bozenex
???????????-???,Paracetamol-UBF
???????? ???????,Folic acid
????????+??????????-????,Imipenem+Cilastatin-Vial
??????????,Rituximab
?????????®,Rituxara®
????????,Suksilep
???????????-?????,Aminophylline-Escom
?????????-?????,Ketorolac-ESKOM
???????????-?????,Procainamide-Escom
????????-?????,Euphyllin-ESKOM
?????????,Vectibix
??????,Prolia
??????,Repata
????????,Rexetin
??????????-?????,Diclofenac-Escom
?????????-?????,Etamzilat-ESKOM
??????????-?????,Ketoprofen-Eskom
?????????,Octolipen
?????????,Captopril
??????? ???????????? ?????,Live tularemia vaccine
??????????,Venofundin
???????,Tautax
??????,Azafen
???????? ????,Zolafren Quick
?????????,Clopixol
?????????? ??????? 300,ROSINSULIN GLARGINE 300
??????? ???? 50,Humalog Mix 50
???????,Humalog
????????,Hexicon
??????????,Rifampicin
????????+[??????????],Imipenem+[Cilastatin]
??????????-????,Sevoflurane Vial
?????????-?????,Nilotinib-native
????????????-?????,Oxaliplatin-Ebewe
??????,Supero
???????,Occitan
??????????,Sennaplant
????????,Vasotenz
?????????,Tremonorm
???????? ?,Diclonat P
????????,Topsaver
?????????????,Mercaptopurine
???????????-????,Salbutamol-MHPP
????????,Glucophage
??????,Xylene
????????????-????,Metronidazole-LekT
????????????????? ???????-????,Acetylsalicylic acid-LekT
????????,Olumiant
??????????? ???,Sandostatin Lar
???????,Kalumid
????????,Epiterra
???????????,Salbutamol
?????????? ?????,Lisinopril STADA
?????????,Cordinorm
???????,Flexen
????????,Tsisagast
??????????-????,Pancreatin-LekT
??????? ??? ??????????????? ??????? ? ???????? ? ?????? ??????????? ???????,Peritoneal dialysis solution with glucose and low calcium content
???????,Ribapeg
????????,Rileptid
???????,Mamifol
??????,Acizol
????????,Memoriel
???????,Delecite
???????????-????,Paracetamol-LekT
????????,Combivir
???????,Mimpara
????????,Neupogen
????????,Aminazine
?????????? ?????,Carvedilol Stada
?????????,Hunterase
?????????????,Metoclopramide
???????,Alexan
???????????-????,Clopidogrel-Teva
?????????? ?????,Pilocarpine bufus
?????????? ????????? ????,Cefazolin sodium salt
???????,Tevanat
?????????-????,Olanzapine-Teva
?????????? ??????,Docetaxel Sandoz
?????????®,MILDRONATE®
?????????????? ???????? ?????? ????????? ??????????,Human immunoglobulin against tick-borne encephalitis
???????,Midolat
??????,Leobag
???????????? 200,Plasmastabil 200
??????????-??,Gadodiamide-TL
???????? ??,Repronat VM
????????? ???????,Meldonium Velpharm
????????? ?????,Meldonium Canon
?????????-????????,MELDONIUM-MosPharma
??????????? ???????????,Pilocarpine hydrochloride
??????????-???,Pilocarpine-DIA
??????????? ??????,Carbalepsin retard
?????????,Omeprazole
???????,Ostalon
????????,Listenon
?????,Ednit
???????,Proscar
???????,Ursodes
????????????,Dexamethasone
??????? ?.?.,Emoklot D.I.
?????????,Fluanxol
????????,Digoxin
?????????,Mexiprim
????????? ?????,Gastenorm Forte
????????? ????? 10000,Gastenorm Forte 10000
????????,Tsiprobay
?????????????-40,Rheopolyglucin-40
???????,Orfadin
????????? ???????????????? ?????-??????? ??? ???????????? ??????,Vaxigrip is an inactivated split-dose vaccine for the prevention of influenza.
?????????-?????,Ibrutinib-native
???????,Depakine
??????????? ??,Paracetamol MS
????????,Kefsepim
????????,Pronoran
???????????? ??,Metronidazole MS
???????????? ??,Atorvastatin MS
???????? ??,Diabeton MV
???????? ?????,Korsavin Forte
??????????-??,Vinpocetine-SZ
?????????-??,Piracetam-SZ
?????,Zokor
??????????,Cyclohemalis
???????????-?????,Ondansetron-Eskom
??????????????-?????,Pentoxifylline-ESCOM
????????,Recormon
???????-?????,Glucose-Escom
??????,Eprex
???????-???,Timolol-DIA
?????????-????????,Loratadine-Hemofarm
?????????,Prosterid
?????? ??,Azafen MV
????????,Exjiva
???????????-?????,Lenalidomide-native
???????????,Platyphylline
?????????? ???????????? ?????????????,Human leukocyte interferon
?????????-???,Captopril-STI
????????,Betaclav
?????????-???,Captopril-UBF
???????????-???,Levomycetin-UBF
????????-???,Atenolol-UBF
??????????? ?????????,Ampicillin trihydrate
??????????-???,Diclofenac-UBF
????????-???,Diphenhydramine-UBF
????????-250,Sustanon-250
?????????? ??????,Heloplasm balance
???????? ?????????,Propofol Fresenius
?????????? ????,Ceftazidime Kabi
"??????? 160 ??????? ??? ???????????? ???????? ? ????????????????, ???????????????","Avaxim 160 is an inactivated, adsorbed vaccine for the prevention of hepatitis A."
"??????? 80 ??????? ??? ???????????? ???????? ? ????????????????, ???????????????","Avaxim 80 is an inactivated, adsorbed vaccine for the prevention of hepatitis A."
???????????-????,Ademetionine-Vial
?????????-??????,Omeprazole-Richter
???????,Ketanov
????????,Cordarone
????????,Mononine
??????,Diclac
???????,Quinel
???????? ???????? ?????,Hydrogen peroxide bufus
???????,Diroton
???????????,Nitrosorbide
?????????-???,Enalapril-UBF
????????,Exjade
??????? ??-???,Torendo Ku-tab
??????????,Neorondex
??????????,Spazoverine
????????,Penzital
?????????,Ciprodox
????????,Clonidine
?????????? ????????,Ketoprofen Organica
????????????,Novocainamide
????????®,Ferrocin®
???????????,Perindopril
????????,Micrasim
???????????-IgG,Gabriglobin-IgG
?????????,Augmentin
??????,Tramadol
???????????? N8-800,OLICLINOMEL N8-800
????????,Advagraf
??????????-????,Irinotecan-Teva
????????,Setronon
??????????????,Actaparoxetine
???????????-????,Ondansetron-Teva
???????,Benacap
?????????,Histamel
???-???????,Neo-Bronchol
?????,Thorin
???????,Rebetol
??????????????-????????,Moxifloxacin-Alvogen
?????????,Astroglyph
???????????-??,Perindopril-SZ
????????????,Desmopressin
????????????,Syndroxocin
???????® ????,Nebolin® caps
?????????-???,Oxytocin-MEZ
????????,Promedol
???????,Ketamine
????????????,Amitriptyline
????????,Naloxone
????????,Fentanyl
?????????,Adrenalin
????????-??????,Losartan-Richter
???????? 40,Dextran 40
????? ? ?????? ???????????,Potassium and magnesium aspartate
??????????-????,Tacrolimus-Teva
?????? ?????,Glycine Forte
????????????????? ???????????? ????,Benzylpenicillin novocaine salt
????????? ??????,Thiopental sodium
????????? ??????,Sodium thiopental
??????????-????,Vinpocetine-AKOS
????????,Cavinton
????????????,Gelmindazole
?????????? ?????,Vinorelbine medak
?????,Iglib
???????,Vikasol
?????????,Maxicaine
???????-?,Roferon-A
??????,Alimta
???????? ??????? ?????????? ???????????????? ???????????????,MicroFlu Inactivated whole-virion influenza vaccine
??????,Humira
????????,Aperomides
????????,Bifinorm
??????,Heptor
????????,Xarelto
??????,Nebido
??????,Goodluck
????? ?????,Zocor Forte
???????????? ???????????,Bleomycetin hydrochloride
