REGNO,Holder
MAL23016075NC,Janipro (M) Sdn Bhd
MAL08042250X,KOTRA PHARMA (M) SDN. BHD.
MAL09102913AZ,PHARM-D SDN. BHD.
MAL19860825AZ,KOMEDIC SDN BHD
MAL05023177XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19016090ACRZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970681ARZ,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20013492XRZ,21ST CENTURY PRODUCTS SDN. BHD.
MAL20014360AZ,AIN MEDICARE SDN. BHD.
MAL19970235XC,SYARIKAT MYP SDN. BHD.
MAL07061565X,KOTRA PHARMA (M) SDN. BHD.
MAL19940037AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06071077AZ,IMEKS PHARMA SDN. BHD.
MAL19950161AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014361AZ,AIN MEDICARE SDN. BHD.
MAL11120007X,HYPHENS PHARMA SDN. BHD.
MAL05032522AZ,Duopharma Marketing Sdn. Bhd.
MAL05032527XCR,IMEKS PHARMA SDN. BHD.
MAL19989041XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21026132NC,Janipro (M) Sdn Bhd
MAL09100308X,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20026015NC,Janipro (M) Sdn Bhd
MAL07082985X,AV MANUFACTURING SDN.BHD
MAL05121153AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19940371AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08082444XZ,AV MANUFACTURING SDN.BHD
MAL19016091ACRZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL21036030AZ,CELESTEMAL PHARMA SDN. BHD.
MAL07061572XZ,Duopharma Marketing Sdn. Bhd.
MAL20076034ACZ,Asumed Biotech Sdn. Bhd.
MAL19046021NC,Janipro (M) Sdn Bhd
MAL13035064AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19992203XC,SYARIKAT MYP SDN. BHD.
MAL06121025ACZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20031731AZ,MEPHARM (MALAYSIA) SDN. BHD.
MAL06091374XRS,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20091871AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19950395ARZ,EGO PHARM MALAYSIA SDN. BHD.
MAL20000872X,ROSLIND ENTERPRISE (M) SDN. BHD.
MAL19860465AZ,KOMEDIC SDN BHD
MAL18116121NC,Janipro (M) Sdn Bhd
MAL19911426X,KOTRA PHARMA (M) SDN. BHD.
MAL20040092AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09042435AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17107076ACRZ,Ferring Sdn. Bhd.
MAL06061531X,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL22026016X,AIN MEDICARE SDN. BHD.
MAL17107016AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06121030AZ,SPG PHARMA (MALAYSIA) SDN BHD
MAL19992773AZ,AIN MEDICARE SDN. BHD.
MAL19992768AZ,AIN MEDICARE SDN. BHD.
MAL11085007XZ,AIN MEDICARE SDN. BHD.
MAL19912631XZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20041269AZ,N/A
MAL20013455AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19962087AZ,AIN MEDICARE SDN. BHD.
MAL20020262AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20014217AZ,KOTRA PHARMA (M) SDN. BHD.
MAL20036016NC,Janipro (M) Sdn Bhd
MAL18056152AZ,Duopharma Marketing Sdn. Bhd.
MAL19046121TC,Janipro (M) Sdn Bhd
MAL07061587X,Duopharma Marketing Sdn. Bhd.
MAL17085005AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL18056088XC,JWP Medical Sdn. Bhd.
MAL08111949XR,N/A
MAL20000738AZ,SPG PHARMA (MALAYSIA) SDN BHD
MAL19992771AZ,AIN MEDICARE SDN. BHD.
MAL20066138TC,Janipro (M) Sdn Bhd
MAL20014358AZ,AIN MEDICARE SDN. BHD.
MAL19890682AZ,KOMEDIC SDN BHD
MAL19993044AZ,AIN MEDICARE SDN. BHD.
MAL20014356AZ,AIN MEDICARE SDN. BHD.
MAL17085007AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06121028AZ,SPG PHARMA (MALAYSIA) SDN BHD
MAL19920581XS,Leung Kai Fook Medical Sdn. Bhd.
MAL04125501X,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL18016139ARZ,N/A
MAL19056129X,AV MANUFACTURING SDN.BHD
MAL05092217AZ,KOMEDIC SDN BHD
MAL19096031X,AV MANUFACTURING SDN.BHD
MAL14115013AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05092228AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014330ACZ,IMEKS PHARMA SDN. BHD.
MAL19860458AZ,KOMEDIC SDN BHD
MAL19911524X,Leung Kai Fook Medical Sdn. Bhd.
MAL18106136AZ,HYPHENS PHARMA SDN. BHD.
MAL19880308AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10100126AZ,KOMEDIC SDN BHD
MAL19973702AZ,KOTRA PHARMA (M) SDN. BHD.
MAL09042434AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06100579AZ,N/A
MAL19991903AZ,KOTRA PHARMA (M) SDN. BHD.
MAL10070594AZ,N/A
MAL19900461AZ,KOMEDIC SDN BHD
MAL20020722X,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL19986084T,BIO-PHARMACEUTICALS SDN. BHD.
MAL19930530AZ,Ferring Sdn. Bhd.
MAL19900462AZ,KOMEDIC SDN BHD
MAL06051410XZ,Duopharma Marketing Sdn. Bhd.
MAL19860535AZ,KOMEDIC SDN BHD
MAL08061682X,Duopharma Marketing Sdn. Bhd.
MAL20021017X,AV MANUFACTURING SDN.BHD
MAL09062132X,KOTRA PHARMA (M) SDN. BHD.
MAL20001062XZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19870139AZ,AIN MEDICARE SDN. BHD.
MAL16065023AZ,AIN MEDICARE SDN. BHD.
MAL20040802AZ,IMEKS PHARMA SDN. BHD.
MAL20033496AZ,MEPHARM (MALAYSIA) SDN. BHD.
MAL19920731AZ,AIN MEDICARE SDN. BHD.
MAL19890329AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20076030ACZ,Duopharma Marketing Sdn. Bhd.
MAL19920267X,MEPHARM (MALAYSIA) SDN. BHD.
MAL19950126XC,TERAPUTICS SDN BHD
MAL19871961AZ,KOMEDIC SDN BHD
MAL07061564X,KOTRA PHARMA (M) SDN. BHD.
MAL19985560AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20116002ACRZ,Ferring Sdn. Bhd.
MAL19921172XZ,KOMEDIC SDN BHD
MAL08042478AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014201AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19993046AZ,AIN MEDICARE SDN. BHD.
MAL05061555XZ,Duopharma Marketing Sdn. Bhd.
MAL20021164AZ,IMEKS PHARMA SDN. BHD.
MAL20086021X,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL10120020ACZ,N/A
MAL08051617XZ,KOTRA PHARMA (M) SDN. BHD.
MAL20000381AZ,AIN MEDICARE SDN. BHD.
MAL19912398XR,N/A
MAL19860396AZ,KOMEDIC SDN BHD
MAL06121052X,Duopharma Marketing Sdn. Bhd.
MAL20034832X,IMEKS PHARMA SDN. BHD.
MAL20020899ARZ,N/A
MAL05041947XZ,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL19993049AZ,AIN MEDICARE SDN. BHD.
MAL19890545AZ,Lundbeck Malaysia Sdn. Bhd.
MAL12025062X,Duopharma Marketing Sdn. Bhd.
MAL20034631ACZ,MEPHARM (MALAYSIA) SDN. BHD.
MAL20016165NC,Janipro (M) Sdn Bhd
MAL20076014ARZ,HYPHENS PHARMA SDN. BHD.
MAL20013182X,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930601AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19992765AZ,AIN MEDICARE SDN. BHD.
MAL20031761ARZ,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20066102TC,Janipro (M) Sdn Bhd
MAL19870561AZ,N/A
MAL06111398AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19912381XZ,EGO PHARM MALAYSIA SDN. BHD.
MAL07090926AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20041064X,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987985AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07122833X,HERBAL SCIENCE SDN. BHD.
MAL19986502XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20031763X,N/A
MAL17085006AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19870958AZ,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20076029ACZ,Duopharma Marketing Sdn. Bhd.
MAL20041268AZ,N/A
MAL19992766XZ,AIN MEDICARE SDN. BHD.
MAL20016152XC,SYARIKAT MYP SDN. BHD.
MAL18106133AZ,HYPHENS PHARMA SDN. BHD.
MAL19912973ACZ,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL04010359XZ,Duopharma Marketing Sdn. Bhd.
MAL16125011N,AV MANUFACTURING SDN.BHD
MAL19961701AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19984857XZ,KOTRA PHARMA (M) SDN. BHD.
MAL19973681AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900415AZ,N/A
MAL19872182AZ,AIN MEDICARE SDN. BHD.
MAL20040058AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19026066NCR,Janipro (M) Sdn Bhd
MAL20002297XR,21ST CENTURY PRODUCTS SDN. BHD.
MAL20040810AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06081196AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19860568AZ,KOMEDIC SDN BHD
MAL19984028AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20034570XZ,Duopharma Marketing Sdn. Bhd.
MAL20031943AZ,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19912644XZ,N/A
MAL19987004AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20012752XR,21ST CENTURY PRODUCTS SDN. BHD.
MAL20013984AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19026072NC,Janipro (M) Sdn Bhd
MAL19860041ACZ,N/A
MAL19920729AZ,AIN MEDICARE SDN. BHD.
MAL19985903ACZ,IMEKS PHARMA SDN. BHD.
MAL19983954X,Syarikat Minyak Afiat Sdn Bhd
MAL19860789AZ,KOMEDIC SDN BHD
MAL19912674X,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19991436AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900076AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19913162XR,EGO PHARM MALAYSIA SDN. BHD.
MAL16115039AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05041940AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20061563AZ,MEPHARM (MALAYSIA) SDN. BHD.
MAL07021524XCR,KOTRA PHARMA (M) SDN. BHD.
MAL20014216AZ,KOTRA PHARMA (M) SDN. BHD.
MAL20021425X,Duopharma Marketing Sdn. Bhd.
MAL21066033XZ,AIN MEDICARE SDN. BHD.
MAL19046045TC,Janipro (M) Sdn Bhd
MAL20031764X,BIO-PHARMACEUTICALS SDN. BHD.
MAL20001834X,IMEKS PHARMA SDN. BHD.
MAL20001622XZ,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19992399AZ,N/A
MAL20021157AZ,KOTRA PHARMA (M) SDN. BHD.
MAL06011719X,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL12050012XZ,EGO PHARM MALAYSIA SDN. BHD.
MAL20013996ACZ,MEPHARM (MALAYSIA) SDN. BHD.
MAL09111765XZ,Duopharma Marketing Sdn. Bhd.
MAL18086102AZ,N/A
MAL07124602ACZ,HYPHENS PHARMA SDN. BHD.
MAL19871957AZ,KOMEDIC SDN BHD
MAL19912626X,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06041463AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19921171XZ,KOMEDIC SDN BHD
MAL20021183X,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL19890246AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19993078AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19920728AZ,AIN MEDICARE SDN. BHD.
MAL20000380AZ,AIN MEDICARE SDN. BHD.
MAL19985971AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL21036070NC,Janipro (M) Sdn Bhd
MAL06091506X,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL20021439X,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL08111816XC,CAMBERT(M) SDN. BHD.
MAL19991202XZ,KOTRA PHARMA (M) SDN. BHD.
MAL19987358XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19051007AZ,N/A
MAL19970979AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18116116NC,Janipro (M) Sdn Bhd
MAL19985172AZ,DUOPHARMA (M) SENDIRIAN BERHAD
MAL23036031XC,Vismedic Sdn. Bhd.
MAL20116003ACRZ,Ferring Sdn. Bhd.
MAL19990579AZ,SPG PHARMA (MALAYSIA) SDN BHD
MAL19076033NC,Janipro (M) Sdn Bhd
MAL19986450AZ,MEPHARM (MALAYSIA) SDN. BHD.
MAL05041949AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19921576AZ,IMEKS PHARMA SDN. BHD.
MAL21106022AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19993045AZ,AIN MEDICARE SDN. BHD.
MAL19871725AZ,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL19950735AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17107075ACRZ,Ferring Sdn. Bhd.
MAL07010967X,EGO PHARM MALAYSIA SDN. BHD.
MAL20014355AZ,AIN MEDICARE SDN. BHD.
MAL20002296XRZ,21ST CENTURY PRODUCTS SDN. BHD.
MAL06100555AZ,BREGO LIFE SCIENCES SDN. BHD
MAL06061524XC,GAMAT EMAS SDN BHD
MAL06121027AZ,SPG PHARMA (MALAYSIA) SDN BHD
MAL20091870AZ,SM PHARMACEUTICALS SDN. BHD.
MAL20040963AZ,Ferring Sdn. Bhd.
MAL19986556XC,WENG HARNG ENTERPRISE
MAL05061552AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20034830X,IMEKS PHARMA SDN. BHD.
MAL06091408AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL10012456XZ,KOTRA PHARMA (M) SDN. BHD.
MAL07081653X,KOTRA PHARMA (M) SDN. BHD.
MAL20002288X,Duopharma Marketing Sdn. Bhd.
MAL19940741X,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17107028AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20102065AZ,PHARM-D SDN. BHD.
MAL19910845AZ,N/A
MAL19940292AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05032545AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19046130NCR,Janipro (M) Sdn Bhd
MAL21046075NC,Janipro (M) Sdn Bhd
MAL19861523AZ,SPG PHARMA (MALAYSIA) SDN BHD
MAL19910073AZ,KOTRA PHARMA (M) SDN. BHD.
MAL20046133X,Goodmaid Chemicals Corp. Sdn. Bhd.
MAL20020795AZ,SM PHARMACEUTICALS SDN. BHD.
MAL19046022NC,Janipro (M) Sdn Bhd
MAL04030533X,Duopharma Marketing Sdn. Bhd.
MAL21026139NC,Janipro (M) Sdn Bhd
MAL19971835AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20013171XC,21ST CENTURY PRODUCTS SDN. BHD.
MAL19940036AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.
