Registration No,Product Name,Holder
MAL20034832X,MUCIL 200,IMEKS PHARMA SDN. BHD.
MAL19911524X,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19940741X,AXOL LIQUID 3MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940037AZ,VOREN GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20034830X,MUCIL 100,IMEKS PHARMA SDN. BHD.
MAL19910073AZ,DIPRODIN ELIXIR,KOTRA PHARMA (M) SDN. BHD.
MAL19912626X,POTCIT MIXTURE,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL10070594AZ,N/A,N/A
MAL19961701AZ,TYMIDIN 200,SM PHARMACEUTICALS SDN. BHD.
MAL19890545AZ,FLUANXOL DEPOT INJ 20MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL19051007AZ,N/A,N/A
MAL20016152XC,Geliga Balm Cap Kris,SYARIKAT MYP SDN. BHD.
MAL20013996ACZ,MESPORIN-1000 I.V. VIALS,MEPHARM (MALAYSIA) SDN. BHD.
MAL10012456XZ,APPETON ACTIV-C (STRAWBERRY),KOTRA PHARMA (M) SDN. BHD.
MAL19991903AZ,AXCEL FLEMIN EXPECTORANT,KOTRA PHARMA (M) SDN. BHD.
MAL19983954X,MINYAK HANGAT AFIAT (LINIMENT),Syarikat Minyak Afiat Sdn Bhd
MAL19921171XZ,ARFEN 125 SUPPOSITORIES,KOMEDIC SDN BHD
MAL19920581XS,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19973681AZ,OPTIMOL EYE DROP 0.5%,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19992203XC,GELIGA AROMA,SYARIKAT MYP SDN. BHD.
MAL20001834X,SIMCONE,IMEKS PHARMA SDN. BHD.
