"#","Registration No / Notification No","Product Name","Holder"
"25","MAL07090898AZ","Seroflo -250 Inhaler","CIPLA MALAYSIA SDN BHD"
"26","MAL07082851AZ","Duolin Metered Dose Inhaler","CIPLA MALAYSIA SDN BHD"
"27","MAL08010691ACZ","Aerocort HFA Metered Dose Inhaler","CIPLA MALAYSIA SDN BHD"
"28","MAL08051745ACZ","Budecort 200 mcg/dose Inhaler (CFC FREE)","CIPLA MALAYSIA SDN BHD"
"29","MAL09082796AZ","AZMASOL 100MCG/DOSE HFA METERED DOSE INHALER","BEXIMCO HEALTHCARE MALAYSIA SDN.BHD."
"30","MAL09082797AZ","DECOMIT 50 MCG/DOSE HFA METERED DOSE INHALER.","BEXIMCO HEALTHCARE MALAYSIA SDN.BHD."
"31","MAL10043686AZ","Ipracip 20mcg per Actuation HFA Metered Dose Inhaler","CIPLA MALAYSIA SDN BHD"
"32","MAL09122778ACZ","Hovid Ventamol CFC-Free Metered Dose Inhaler 100mcg/actuation","HOVID BERHAD"
"33","MAL10021809AZ","Flohale 125mcg Inhaler CFC Free","CIPLA MALAYSIA SDN BHD"
"34","MAL12030002AZ","SAL 100 (SALBUTAMOL 100MCG/ACTUATION HFA METERED DOSE INHALER)","UNIMED SDN. BHD."
"35","MAL11030001AZ","Asthavent CFC free Inhaler (Salbutamol Pressurised Inhalation BP 100 mcg/actuation)","CIPLA MALAYSIA SDN BHD"
"36","MAL19912594X","EAGLE BRAND NASAL INHALER","EAGLE PHARMA (M) SDN. BHD."
"37","MAL19056114AZ","SALTAMOL 100 mcg/dose HFA METERED DOSE INHALER","MEDISPEC (M) SDN. BHD."
"38","MAL20026061AZ","Arite Beclometasone 100mcg/actuation Metered Dose Inhaler","KOTRA PHARMA (M) SDN. BHD."
"39","MAL19046080TC","Hurix's Coolfresh Nasal Inhaler","JIN BIN CORPORATION SDN. BHD."
"40","MAL20076031AZ","Arite Beclometasone 50mcg/actuation Metered Dose Inhaler","KOTRA PHARMA (M) SDN. BHD."
"41","MAL19076157TC","Hurix's Sinuscare Nasal Inhaler","JIN BIN CORPORATION SDN. BHD."
"42","MAL20016217T","Hurix's Coldaway Nasal Inhaler","J.B. PHARMACY GROUP SDN. BHD."
"43","MAL20056036TC","Hurix's MoRelief Nasal Inhaler","JIN BIN CORPORATION SDN. BHD."
"44","MAL20056077TC","Hurix's Shubee Inhaler","J. B. M. H. SDN. BHD."
"45","MAL20106012X","Poy-Sian Brand Mark II Inhaler","NANG HIN MEDICAL SDN. BHD."
"46","MAL22096030ACZ","CP Pharma Salbutamol CFC-Free Metered Dose Inhaler 100mcg/actuation","Hovid Pharmacy Sdn. Bhd."
"47","MAL22116026AZ","Budeten� Inhaler 200mcg","TENANG PHARMA SDN. BHD."
"48","MAL23056025AZ","Becloten� Inhaler 100mcg","TENANG PHARMA SDN. BHD."
"49","MAL24056098AZ","BIOSONIDE 200 mcg HFA Metered Dose Inhaler","BIOCARE MANUFACTURING SDN. BHD."
