PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
,ARGENTINA,Garden House Argentina,ACEITE DE PESCADO GARDEN HOUSE,fish oil,2026-01-23,12340.00,,,,20 caps. (VL)
,ARGENTINA,Garden House Argentina,ACEITE DE PESCADO GARDEN HOUSE,fish oil,2026-01-23,16350.00,,,,30 caps (VL)
,ARGENTINA,Garden House Argentina,ACEITE DE PESCADO GARDEN HOUSE,fish oil,2026-01-23,30920.00,IMPORTED,,,60 caps (VL)
,ARGENTINA,Sanitas,ACEITE DE RICINO EWE,"ricinoleico,evil.triglicerido",2026-01-21,5070.00,,,,fco.x 30 ml (VL)
,ARGENTINA,Sanitas,ACEITE DE RICINO EWE,"ricinoleico,evil.triglicerido",2026-01-21,7050.00,,,,fco.x 50 ml (VL)
,ARGENTINA,Siegfried,ACEMUK DIA Y NOCHE,acetylcysteine+paracet.+asoc.,2026-01-22,14443.56,PAMI-only,,7045.64,comp.eferv.x 16
,ARGENTINA,Siegfried,ACEMUK L,acetylcysteine+thyrothricin+asoc.,2026-01-22,11862.30,PAMI-only,,5575.86,comp.x 20
,ARGENTINA,IBC,ACICLOVIR PHARMAVIAL 500,acyclovir,2025-10-06,4724747.76,,,,500 mg f.a.x 100 E.H. (VL)
,ARGENTINA,Drawer,ACIDO AMINOCAPROICO DRAWER,"aminocaproico, evil.",2025-08-04,3030838.72,,,,a.x 100 x 10 ml
,ARGENTINA,A.M. Farma Activ,ADELGAR SILUETA A.M.,medicinal herbs,2026-01-02,4500.00,,,,blist.x 20 x 10 comp.each (VL)
,ARGENTINA,Gemepe,ADENOSINA GEMEPE,adenosine,2025-06-27,781469.40,,,,3 mg/ml a.x 100 x 2 ml
,ARGENTINA,Elea,ADERMICINA CUIDADO FACIAL,cosmetic product,2025-11-26,19500.00,,,,Day serum x50ml 25%off (VL)
,ARGENTINA,Elea,ADERMICINA CUIDADO FACIAL,cosmetic product,2025-11-26,19500.00,,,,night serum x50ml 25%off (VL)
,ARGENTINA,Savant Generic,ADESIAL,"bendamustine,chlorh.",2022-10-11,178740.00,,,,100 mg f.a.x 1
,ARGENTINA,Savant Generic,ADESIAL,"bendamustine,chlorh.",2022-10-11,55620.00,,,,25 mg f.a.x 1
,ARGENTINA,Biol,ADHESOL BIOL,neutral resins,2025-02-06,8484.30,,,,liquid x 30 ml (VL)
,ARGENTINA,Biol,ADHESOL BIOL,neutral resins,2025-12-22,26098.49,,,,liquid x 92 ml (VL)
,ARGENTINA,Rossmore Pharma,ADIKAN,esomeprazole,2024-08-06,33117.56,IOMA,9351.87,23765.69,20 mg capsules x 14 (VL)
,ARGENTINA,Rossmore Pharma,ADIKAN,esomeprazole,2024-08-06,64428.48,IOMA,14936.79,49491.69,20 mg capsules x 28 (VL)
,ARGENTINA,Rossmore Pharma,ADIKAN,esomeprazole,2024-08-06,64428.48,IOMA,36493.05,27935.43,20 mg capsules x 42 (VL)
,ARGENTINA,Rossmore Pharma,ADIKAN,esomeprazole,2024-08-06,46910.66,IOMA,19643.81,27266.85,40 mg capsules x 14 (VL)
,ARGENTINA,Rossmore Pharma,ADIKAN,esomeprazole,2024-08-06,92425.79,IOMA,25051.07,67374.72,40 mg capsules x 28 (VL)
,ARGENTINA,Rossmore Pharma,ADIKAN,esomeprazole,2024-08-06,92425.79,IOMA,61137.39,31288.40,40 mg capsules x 42 (VL)
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,7228.00,,,,G15hipert.cl.sod.20%20ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,509616.27,,,,G50 sulf.mag. a.x50 x5ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,509616.27,,,,G51 sulf.mag. a.x100x5ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,30833.28,,,,G52 sulf.mag.x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,32320.10,,,,G55 copper sulfide x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,39559.30,,,,G57 zinc sulfide x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,30833.29,,,,G58 chlor.chromium x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,30833.29,,,,G59 sulf.mang.x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,30833.29,,,,G60 molib.amon.x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,36606.20,,,,G62 selenous acid x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,26977.84,,,,G63 fosf.sod.x 10ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,26977.84,,,,G65 fosf.pot.x 10 ml
,ARGENTINA,Rivero,ADITIVOS PARENTERALES,soluc.parent/fisiol/glucos/others,2024-09-02,33724.87,,,,parent.gliserof.sodx20ml
,ARGENTINA,Drawer,ADRENALINA DRAWER,adrenalin,2025-08-04,759107.29,,,,a.x 100 x 1 ml
,ARGENTINA,Fabra,ADRENOL FORTE,sulfamethoxazole+trimethoprim,2025-12-17,16878.00,IOMA,5535.25,11342.75,comp.x 10
,ARGENTINA,Ariston,ADROMUX,"Ibandronic, ac.",2026-01-05,47441.41,IOMA,18625.68,28815.73,150 mg comp.x 1
,ARGENTINA,Ariston,ADROMUX,"Ibandronic, ac.",2026-01-05,114818.68,IOMA,47337.63,67481.05,150 mg tablets x 3
,ARGENTINA,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recombin.,2026-01-19,4935619.00,IMPORTED,,,1000 IU fco.amp.liof.x 1
,ARGENTINA,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recombin.,2026-01-19,1233905.67,IMPORTED,,,250 IU fco.amp.liof.x 1
,ARGENTINA,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recombin.,2026-01-19,2467809.14,IMPORTED,,,500 IU fco.amp.liof.x 1
,ARGENTINA,Takeda Argentina S.A.,ADYNOVATE 1000 BAXJECT III,pegylated recombining coagulation factor VIII,2026-01-19,4935617.38,IMPORTED,,,vial x1+water p/inj+disp.
,ARGENTINA,Takeda Argentina S.A.,ADYNOVATE 1500 BAXJECT III,pegylated recombining coagulation factor VIII,2026-01-19,7403426.08,IMPORTED,,,vial x1+water p/inj+disp.
,ARGENTINA,Takeda Argentina S.A.,ADYNOVATE 3000 BAXJECT III,pegylated recombining coagulation factor VIII,2026-01-19,14806853.27,IMPORTED,,,vial x1+water p/inj+disp.
,ARGENTINA,Takeda Argentina S.A.,ADYNOVATE 500 BAXJECT III,pegylated recombining coagulation factor VIII,2026-01-19,2467808.32,IMPORTED,,,vial x1+water p/inj+disp.
,ARGENTINA,Patejim,AEROCAMARA AEROSPACER ADULTO,anatomical facial or mouth mask,2025-11-03,37000.00,,,,bi valved w/masc.x 1 (VL)
,ARGENTINA,Patejim,AEROCAMARA AEROSPACER ADULTO,anatomical facial or mouth mask,2025-11-03,24000.00,,,,esp.cam.c/buccal peak x 1 (VL)
,ARGENTINA,Patejim,AEROCAMARA AEROSPACER INFANTIL,anatomical facial or mouth mask,2025-11-03,37000.00,,,,bi valved w/masc.x 1 (VL)
,ARGENTINA,Patejim,AEROCAMARA AEROSPACER JUVENIL,anatomical facial or mouth mask,2025-11-03,37000.00,,,,bi valved w/masc.x 1 (VL)
,ARGENTINA,Patejim,AEROCAMARA AEROSPACER LACTANTE,anatomical facial or mouth mask,2025-11-03,37000.00,,,,bivalved with mask x 1 (VL)
,ARGENTINA,Patejim,AEROCAMARA AEROSPACER TRAQUEOTOMIA,anatomical facial or mouth mask,2025-11-03,46000.00,,,,cam.c/adapt.a traqueot. (VL)
,ARGENTINA,Cassara,AEROMED CASSARA,anatomical facial or mouth mask,2026-01-19,19030.00,,,,aerosol spacer x 1
,ARGENTINA,Patejim,AEROPAFF AEROCAMARA VALVULADA,anatomical facial or mouth mask,2024-02-27,12500.00,,,,c/masc.lac/inf/ad.c/pico (VL)
,ARGENTINA,Patejim,AEROSPACER PACK,anatomical facial or mouth mask,2025-11-03,42000.00,,,,aerocam.infantil+estuche (VL)
,ARGENTINA,Adium,AEROTINA RAPIDA ACCION,loratadine,2026-01-19,7210.78,IOMA,903.84,6306.94,10 mg bl. capsules x 7 (VL)
,ARGENTINA,Lab Internacional Argentino,AEROVIA ATLAS,anatomical facial or mouth mask,2025-10-06,26179.59,,,,aero camera x 1
,ARGENTINA,Lab Internacional Argentino,AEROVIAL HFA,budesonide,2025-10-06,30948.03,IOMA,14228.02,16720.01,aer.x 200 ds.+adap.buc.
,ARGENTINA,Cetus,AFEME,dexchlorpheniramine,2025-10-31,9636.47,IOMA,2892.31,6744.16,comp.x 20
,ARGENTINA,Biotechno Pharma,AFLIMET,donepezil,2024-01-24,38243.00,IOMA,25764.91,12478.09,10 mg comp.rec.x 30
,ARGENTINA,Biotechno Pharma,AFLIMET,donepezil,2024-01-24,33524.00,IOMA,21598.65,11925.35,5 mg comp.rec.x 30
,ARGENTINA,Biosidus S.A.U.,AGALZYME,agalsidase beta,2026-01-23,10485600.00,,,,35 mg active ingredient x 1
,ARGENTINA,Biosidus S.A.U.,AGALZYME,agalsidase beta,2026-01-23,1497942.86,,,,5 mg f.a. x 1
,ARGENTINA,Elea,AGAROL CHICLE,sodium picosulfate,2025-10-20,6523.92,,,,fruit blister x 12 (VL)
,ARGENTINA,Elea,AGAROL GELCAPS,sodium picosulfate,2026-01-06,13763.05,,,,5 mg soft capsules x 10 (VL)
,ARGENTINA,Elea,AGAROL GELCAPS,sodium picosulfate,2026-01-06,24849.72,,,,5 mg soft capsules x 20 (VL)
,ARGENTINA,Natufarma,AGIAL,hydr.collag.+magnesium+hyalur.ac.+assoc.,2025-11-01,28774.00,,,,env. x 300 g (VL)
,ARGENTINA,Natufarma,AGIAL FORMULA CON CURCUMA,type II collagen+asoc.,2025-11-01,20012.00,,,,comp. x 30 (VL)
,ARGENTINA,Elea,AGIOLAX,plantago ovata+cassia angustif,2026-01-19,37866.68,PAMI-only,,10906.53,env.x 100 g
,ARGENTINA,Elea,AGIOLAX,plantago ovata+cassia angustif,2026-01-19,83202.59,PAMI-only,,22104.08,env.x 250 g
,ARGENTINA,Ariston,AGRELID,anagrelide,2026-01-05,331242.21,,,,0.5 mg capsules x 100
,ARGENTINA,Ariston,AGRELID,anagrelide,2026-01-05,446049.65,,,,1 mg capsules x 100
,ARGENTINA,Rigecin,AGUA DESTILADA ESTERILIZADA RIGECIN,water for injections,2025-09-02,661866.00,,,,100 a. x 10ml
,ARGENTINA,Rigecin,AGUA DESTILADA ESTERILIZADA RIGECIN,water for injections,2025-09-02,378741.00,,,,100 a. x 5ml
,ARGENTINA,Rigecin,AGUA DESTILADA ESTERILIZADA RIGECIN,water for injections,2025-09-02,207277.08,,,,12 sachets x 500ml
,ARGENTINA,Rigecin,AGUA DESTILADA ESTERILIZADA RIGECIN,water for injections,2025-09-02,111511.00,,,,4 sachets x 2000ml
,ARGENTINA,Rigecin,AGUA DESTILADA ESTERILIZADA RIGECIN,water for injections,2025-09-02,142687.76,,,,8 sachets x 1000ml
,ARGENTINA,Laboratorios Tecsolpar,AGUA ESTERIL PARA INYECTABLES,soluc.parent/fisiol/glucos/others,2026-01-02,9989.15,IMPORTED,,,a.plastic x 10 ml
,ARGENTINA,Laboratorios Tecsolpar,AGUA ESTERIL PARA INYECTABLES,soluc.parent/fisiol/glucos/others,2026-01-02,7219.74,IMPORTED,,,a.plastic x 5 ml
,ARGENTINA,B. Braun,AGUA INYECTABLE BP,soluc.parent/fisiol/glucos/others,2024-11-15,3714.20,IMPORTED,,,a.plastic x 10 ml
,ARGENTINA,B. Braun,AGUA INYECTABLE BP,soluc.parent/fisiol/glucos/others,2024-11-15,2807.30,IMPORTED,,,a.plastic x 5 ml
,ARGENTINA,LKM,AGUCORT,oseltamivir,2026-01-12,181498.00,PAMI-only,,10735.28,chapters x 10
,ARGENTINA,Lab Internacional Argentino,AIRCOSALM,salbutamol,2018-10-11,181.17,IOMA,5288.67,0.00,fco.x 20 ml
,ARGENTINA,Biofactor,AIRSALBU HFA,salbutamol,2024-11-01,16058.62,IMPORTED,,,aer.x 12.5 ml/250 doses
,ARGENTINA,Lafarmen,AJO MAS VITAMINA C,garlic+vit.c,2025-10-29,28500.00,,,,blister pack x 150 (VL)
,ARGENTINA,Lafarmen,AJO MAS VITAMINA C,garlic+vit.c,2025-10-29,10000.00,,,,blister pack x 60 (VL)
,ARGENTINA,Tuteur,ALAMUR,"zoledronic,ac.",2026-01-01,835357.98,,,,4mg/5ml fco.a.x 1
,ARGENTINA,Everex,ALAPIDIUM,procarbazine,2025-12-23,8673714.42,,,,50 mg capsules x 50
,ARGENTINA,Sanitas,ALCOHOL EN GEL EWE,ethyl alcohol+asoc.,2026-01-21,3750.00,,,,fco.x 100 ml (VL)
,ARGENTINA,Sanitas,ALCOHOL EN GEL EWE,ethyl alcohol+asoc.,2026-01-21,2500.00,,,,fco.x 60 ml (VL)
,ARGENTINA,Sanitas,ALCOHOL EN GEL EWE C/BOMBA,ethyl alcohol+asoc.,2026-01-21,6590.00,,,,fco.x 250 ml (VL)
,ARGENTINA,Sanitas,ALCOHOL EN GEL EWE C/BOMBA,ethyl alcohol+asoc.,2026-01-21,9610.00,,,,fco.x 500 ml (VL)
,ARGENTINA,Sanitas,ALCOHOL EN GEL EWE REP. S/BOMBA,ethyl alcohol+asoc.,2026-01-21,5140.00,,,,fco.x 250 ml (VL)
,ARGENTINA,E. J. Gezzi,ALCOHOL EN GEL GEZZI,ethyl alcohol,2025-07-11,2599.90,,,,env.x 100 g (VL)
,ARGENTINA,E. J. Gezzi,ALCOHOL EN GEL GEZZI,ethyl alcohol,2025-07-11,1899.90,,,,env.x 50 g (VL)
,ARGENTINA,E. J. Gezzi,ALCOHOL EN SPRAY GEZZI,ethyl alcohol,2024-03-05,2999.90,,,,env.x 120 ml (VL)
,ARGENTINA,Alcon,ALCON LAGRIMAS II,with dextran+hydroxypropylmethyl,2026-01-01,15034.00,IOMA,1188.24,13845.76,fco.x 15 ml (VL)
,ARGENTINA,Roche,ALECENSA,alectinib,2025-12-01,18360796.62,IMPORTED,,,150 mg capsules x 224
,ARGENTINA,Lazar,ALERFEDINE D,fexofenadine+pseudoephedrine,2025-12-30,11518.84,PAMI-only,,5759.42,comp.rec.x 10
,ARGENTINA,Fecofar,ALERGITRAT,chlorpheniramine,2025-12-29,11010.49,IOMA,2883.14,8127.35,comp.x 20
,ARGENTINA,Fecofar,ALERGITRAT,chlorpheniramine,2025-12-29,11010.49,IOMA,2883.14,8127.35,jbe.x 120 ml
,ARGENTINA,Fecofar,ALERGITRAT C,cetirizine,2025-12-29,6660.27,IOMA,1251.52,5408.75,10 mg bl. capsules x 10 (VL)
,ARGENTINA,Fecofar,ALERGITRAT L CAPSULAS BLANDAS,loratadine,2025-12-29,5995.94,IOMA,903.84,5092.10,10 mg bl. capsules x 7 (VL)
,ARGENTINA,Genomma Lab.,ALERMINA,cetirizine,2026-01-08,6490.00,IOMA,1251.52,5238.48,10 mg capsules x 10 (VL)
,ARGENTINA,Laboratorio Millet,ALERMUC,loratadine,2025-02-14,12182.51,IOMA,2418.71,9763.80,10 mg comp.x 30 (VL)
,ARGENTINA,Elea,ALERNIX 24 RAPIDA ACCION,cetirizine,2026-01-06,7697.79,IOMA,1251.52,6446.27,10 bl.capsules (VL)
,ARGENTINA,Elea,ALERNIX 24 RAPIDA ACCION,cetirizine,2026-01-06,15392.94,IOMA,2044.59,13348.35,20 bl.capsules (VL)
,ARGENTINA,Montpellier,ALERPRIV,loratadine,2025-12-19,8392.11,IOMA,2608.26,5783.85,comp.x 10
,ARGENTINA,Montpellier,ALERPRIV,loratadine,2025-12-19,20283.60,IOMA,6610.67,13672.93,comp.x 30
,ARGENTINA,Montpellier,ALERPRIV D,loratadine+pseudoephedrine,2025-12-19,8921.76,PAMI-only,,5353.06,comp.x 10
,ARGENTINA,Montpellier,ALERPRIV D,loratadine+pseudoephedrine,2025-12-19,6327.41,PAMI-only,,3796.45,jbe.x 50 ml
,ARGENTINA,Cassara,ALFABASE 8,"glicolico, evil.+asoc.",2026-01-19,23670.00,,,,cr.x 60 g (VL)
,ARGENTINA,Nestle,ALFAMINO,infant free amino acid formula,2026-01-01,363217.69,IMPORTED,,,powder can x 400 g
,ARGENTINA,Nestle,ALFARE,infant partial hydrolysis form,2026-01-01,276212.89,IOMA,35035.91,241176.98,can x 400 g
,ARGENTINA,Monserrat,ALGICLER,diclofenac potassium+paracetamol,2025-12-27,7245.00,PAMI-only,,4347.00,comp.rec.x 10
,ARGENTINA,Monserrat,ALGICLER FLEX,diclofenac potassium+pridinol,2025-12-27,14330.00,PAMI-only,,8598.00,comp.rec.x 15
,ARGENTINA,Monserrat,ALGICLER GEL DERMICO,diclofenac diethylamine,2025-12-27,11400.00,PAMI-only,,6840.00,gel x 50 g (VL)
,ARGENTINA,Ronnet,ALGIODENT COLUTORIO,thyrothricin+benzocaine+asoc.,2025-10-06,11692.00,,,,colut.x 45 ml
,ARGENTINA,ISA,ALGISTOP ALERGIA,loratadine,2026-01-20,4519.00,,,,comp.x 15 (VL)
,ARGENTINA,Rivero,ALGLUTAMIN,"glutamine,dipeptide",2024-09-02,100853.68,,,,f.a.x 1 x 50 ml
,ARGENTINA,Novo Nordisk,ALHEMO,concizumab,2026-01-08,38950000.00,IMPORTED,,,150mg/1.5ml lap.prell.x1
,ARGENTINA,Novo Nordisk,ALHEMO,concizumab,2026-01-08,15580000.00,IMPORTED,,,60mg/1.5ml lap.prell.x1
,ARGENTINA,Haleon Argentina,ALIKAL,acetylsalicylic acid+caffeine,2025-10-24,24750.00,,,,expend.sob.x 30(c/prosp) (VL)
,ARGENTINA,Haleon Argentina,ALIKAL,acetylsalicylic acid+caffeine,2025-10-24,825.00,,,,sob.x 1 (with leaflet) (VL)
,ARGENTINA,Haleon Argentina,ALIKAL,acetylsalicylic acid+caffeine,2025-10-24,9900.00,,,,sob. x 12 (VL)
,ARGENTINA,Haleon Argentina,ALIKAL LIMON,acetylsalicylic acid+caffeine,2025-10-24,24750.00,,,,expend.sob.x 30(c/prosp) (VL)
,ARGENTINA,Haleon Argentina,ALIKAL LIMON,acetylsalicylic acid+caffeine,2025-10-24,825.00,,,,sob.x 1 (with leaflet) (VL)
,ARGENTINA,Haleon Argentina,ALIKAL NARANJA,acetylsalicylic acid+caffeine,2025-10-24,24750.00,,,,expend.sob.x 30(c/prosp) (VL)
,ARGENTINA,Haleon Argentina,ALIKAL NARANJA,acetylsalicylic acid+caffeine,2025-10-24,825.00,,,,sob.x 1 (with leaflet) (VL)
,ARGENTINA,Fortbenton,ALOEBEL LIP BALM,aloe vera+assoc.,2025-12-19,7168.00,IMPORTED,,,balms hum.x lipstick 3.5 g (VL)
,ARGENTINA,Adium,ALPERTAN,waltz toe,2026-01-19,21052.65,IOMA,9832.67,11219.98,160 mg comp.rec.x 14
,ARGENTINA,Adium,ALPERTAN,waltz toe,2026-01-19,38785.58,IOMA,19522.43,19263.15,160 mg comp.rec.x 28
,ARGENTINA,Adium,ALPERTAN,waltz toe,2026-01-19,41120.15,IOMA,20545.67,20574.48,320 mg comp.rec.x 28
,ARGENTINA,Adium,ALPERTAN,waltz toe,2025-12-18,17209.99,IOMA,8241.69,8968.30,80 mg comp.rec.x 14
,ARGENTINA,Adium,ALPERTAN,waltz toe,2026-01-19,29896.37,IOMA,15319.82,14576.55,80 mg comp.rec.x 28
,ARGENTINA,Biotechno Pharma,ALPRIM,alprazolam,2024-01-24,2850.00,IOMA,3680.85,0.00,0.5 mg rec. tab. x 30
,ARGENTINA,Biotechno Pharma,ALPRIM,alprazolam,2024-01-24,4320.00,IOMA,6786.51,0.00,0.5 mg rec. tab. x 60
,ARGENTINA,Biotechno Pharma,ALPRIM,alprazolam,2024-01-24,6325.00,IOMA,5476.81,848.19,1 mg comp.rec.x 30
,ARGENTINA,Biotechno Pharma,ALPRIM,alprazolam,2024-01-24,9782.00,IOMA,10793.06,0.00,1 mg comp.rec.x 60
,ARGENTINA,Biotechno Pharma,ALPRIM,alprazolam,2024-01-24,8923.00,IOMA,8521.97,401.03,2 mg comp.rec.x 30
,ARGENTINA,Biotechno Pharma,ALPRIM,alprazolam,2024-01-24,15624.00,IOMA,16716.33,0.00,2 mg comp.rec.x 60
,ARGENTINA,Eurofarma,ALTERPURE,progesterone,2025-12-24,217129.12,,,,25 mg f.a.x 7
,ARGENTINA,Finadiet,ALVEOXINA 1M,"colistimethate,sodium",2026-01-06,3146544.02,,,,f.pvo.est.x 30+f.a.x 30
,ARGENTINA,Finadiet,ALVEOXINA 2M,"colistimethate,sodium",2026-01-06,3155571.13,,,,f.pvo.est.x 30+f.a.x 30
,ARGENTINA,Craveri,ALVERIN,alverine+simethicone,2026-01-22,28695.41,,,,60/300 mg capsules x 20
,ARGENTINA,Craveri,ALVERIN,alverine+simethicone,2026-01-22,41435.54,,,,60/300 mg capsules x 30
,ARGENTINA,Craveri,ALVERIN,alverine+simethicone,2026-01-22,66847.60,,,,60/300 mg capsules x 60
,ARGENTINA,Lazar,ALZEPRAL,esomeprazole,2025-12-30,14067.74,IOMA,9351.87,4715.87,20 mg capsules x 14 (VL)
,ARGENTINA,Lazar,ALZEPRAL,esomeprazole,2025-12-30,28089.14,IOMA,14936.79,13152.35,20 mg capsules x 28 (VL)
,ARGENTINA,Lazar,ALZEPRAL,esomeprazole,2025-12-30,42295.05,IOMA,25051.07,17243.98,40 mg capsules x 28 (VL)
,ARGENTINA,Gador,ALZETIX,memantine+donepezil,2026-01-23,58171.78,PAMI-only,,27875.53,14/10mg capsules x 30
,ARGENTINA,Gador,ALZETIX,memantine+donepezil,2026-01-23,59917.46,,,,21/10mg capsules x 30
,ARGENTINA,Gador,ALZETIX,memantine+donepezil,2026-01-23,64886.97,PAMI-only,,31093.42,28/10mg capsules x 30
,ARGENTINA,Gador,ALZETIX,memantine+donepezil,2026-01-23,54041.11,,,,7/10mg capsules x 30
,ARGENTINA,Amenite,AMENITE ACNE,"salicylic,ac.+asoc.",2025-12-01,36750.00,,,,fco.x 100 g (VL)
,ARGENTINA,Amenite,AMENITE E,collagen+assoc.,2025-12-01,36750.00,,,,cr.x 100 g (VL)
,ARGENTINA,Amenite,AMENITE HL,"hyaluronic,ac.+assoc.",2025-12-01,38500.00,,,,cr.x 40 g (VL)
,ARGENTINA,Amenite,AMENITE PLUS,collagen+assoc.,2025-12-01,30625.00,,,,shampoo x 100 g (VL)
,ARGENTINA,Amenite,AMENITE VIE,lemon oil+assoc.,2025-12-01,38500.00,,,,emuls.x 60 g (VL)
,ARGENTINA,Northia,AMICACINA NORTHIA,amikacin,2025-10-06,487243.56,,,,inj.a.x 25 x 2 ml
