PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
OOS,ARGENTINA,A.M. Farma Activ,,ginkgo biloba+assoc.,,,,,,blist.x 20 x 10 comp.c/u (VL)
OOS,ARGENTINA,A.M. Farma Activ,GLUCOSA VITAL A.M.,glucose,,,,,,pvo.x 500 g (VL)
OOS,ARGENTINA,A.M. Farma Activ,ISOLEUCINA LEUCINA VALINA VITAL A.M.,amino acids,,,,,,pvo.x 100 g (VL)
OOS,ARGENTINA,A.M. Farma Activ,JARABE DE ARANDANO Y ALOE VITAL,blueberry+assoc.,,,,,,env.x 125 ml (VL)
OOS,ARGENTINA,A.M. Farma Activ,JARABE DE ARANDANO Y ALOE,blueberry+assoc.,,,,,,jbe.x 500 ml (VL)
OOS,ARGENTINA,A.M. Farma Activ,JARABE DE EUCALIPTO Y MIEL,honey+assoc.,,,,,,jbe.x 125 ml (VL)
OOS,ARGENTINA,A.M. Farma Activ,MAGNESIO VITAL A.M.,magnesium,,,,,,blist x 20 x 10 caps. each (VL)
OOS,ARGENTINA,A.M. Farma Activ,MAGNESIO VITAL A.M.,magnesium,,,,,,blister x 10 tablets (VL)
OOS,ARGENTINA,A.M. Farma Activ,MAGNESIO VITAL A.M.,magnesium,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,MAGNESIO VITAL A.M.,magnesium,,,,,,caps.x 60 (VL)
OOS,ARGENTINA,A.M. Farma Activ,MAGNESIO VITAL A.M.,magnesium,,,,,,comp. x 30 (VL)
OOS,ARGENTINA,A.M. Farma Activ,MAGNESIO VITAL A.M.,magnesium,,,,,,comp. x 60 (VL)
OOS,ARGENTINA,A.M. Farma Activ,MEMORIA A.M. FARMA ACTIV,"vit. b,complex+assoc.",,,,,,blister x 20 x 10 each (VL)
OOS,ARGENTINA,A.M. Farma Activ,NATURALDIET A.M.,fucus+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,Abbott Diabetes,FREESTYLE OPTIUM,test strips,,,,,,ketone strips x 10
OOS,ARGENTINA,Abbott Diabetes,FREESTYLE OPTIUM,test strips,,,,,,reac.p/glucosax100 strips
OOS,ARGENTINA,Abbott Diabetes,FREESTYLE OPTIUM,test strips,,,,,,strips reactive.p/glucosax25
OOS,ARGENTINA,Abbott Diabetes,FREESTYLE OPTIUM,test strips,,,,,,strips reactive.p/glucosax50
OOS,ARGENTINA,Abbott EPD,BIOGAIA GTI,lactobacilli,,,,,,mandarin comp.mast.x 30 (VL)
OOS,ARGENTINA,Abbott EPD,BIOGAIA PRODT,lactobacilli,,,,,,apple comp.desl.x 30 (VL)
OOS,ARGENTINA,Abbott EPD,BIOGAIA PROTECTIS + VIT D,lactobacilli+assoc.,,,,,,orange comp.mast.x 30 (VL)
OOS,ARGENTINA,Abbott Nutricion,ALTERNA PEPTIDO,proteins+fats+carbohydrates+assoc.,,,,,,bottle x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ALTERNA,proteins+fats+carbohydrates+assoc.,,,,,,bottle x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE LIQUIDO,proteins+fats+carbohydrates+assoc.,,,,,,bot. strawberry x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE LIQUIDO,proteins+fats+carbohydrates+assoc.,,,,,,coffee bottle x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE LIQUIDO,proteins+fats+carbohydrates+assoc.,,,,,,vanilla bot. x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE,proteins+fats+carbohydrates+assoc.,,,,,,chocolate pvo.x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE,proteins+fats+carbohydrates+assoc.,,,,,,fruit.banana pvo.x400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE,proteins+fats+carbohydrates+assoc.,,,,,,strawberry pvo.x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE,proteins+fats+carbohydrates+assoc.,,,,,,vanilla pvo.x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE ADVANCE,proteins+fats+carbohydrates+assoc.,,,,,,vanilla pvo.x 850 g (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE CLINICAL RTH,proteins+fats+carbohydrates+assoc.,,,,,,env.x 500 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE CLINICAL,proteins+fats+carbohydrates+assoc.,,,,,,vanilla env.x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE PLUS,proteins+fats+carbohydrates+assoc.,,,,,,chocolate env.x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE PLUS,proteins+fats+carbohydrates+assoc.,,,,,,strawberry env.x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,ENSURE PLUS,proteins+fats+carbohydrates+assoc.,,,,,,vanilla env.x 220 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,GLUCERNA POLVO,proteins+fats+carbohydrates+assoc.,,,,,,can x 850 g (VL)
OOS,ARGENTINA,Abbott Nutricion,GLUCERNA POLVO,proteins+fats+carbohydrates+assoc.,,,,,,vanilla can x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,GLUCERNA RTH 1.5,proteins+fats+carbohydrates+assoc.,,,,,,env.x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,GLUCERNA RTH,proteins+fats+carbohydrates+assoc.,,,,,,env.x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,JEVITY PLUS,proteins+fats+carbohydrates+assoc.,,,,,,bot.x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,JEVITY RTH,proteins+fats+carbohydrates+assoc.,,,,,,bot.x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,NEPRO AP,proteins+fats+carbohydrates+assoc.,,,,,,env.x 237 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,OSMOLITE HN RTH,proteins+fats+carbohydrates+assoc.,,,,,,env.x 1000 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,PEDIASURE CLINICAL,proteins+fats+carbohydrates+assoc.,,,,,,env.x 500 ml (VL)
OOS,ARGENTINA,Abbott Nutricion,PEDIASURE PWD VAI,proteins+fats+carbohydrates+assoc.,,,,,,vanilla can x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,PEDIASURE,proteins+fats+carbohydrates+assoc.,,,,,,chocolate tin x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,PEDIASURE,proteins+fats+carbohydrates+assoc.,,,,,,vanilla can x 400 g (VL)
OOS,ARGENTINA,Abbott Nutricion,PEDIASURE,proteins+fats+carbohydrates+assoc.,,,,,,vanilla env.x 220 ml (VL)
OOS,ARGENTINA,Abbott,PANBIO COVID-19 ANTIGEN SELF-TEST,COVID self-test,,,,,,test x 1 (VL)
OOS,ARGENTINA,Abbott,PANBIO COVID-19/FLU A & B PANEL SELF TEST,COVID+Inf.A+Inf.B self-test,,,,,,test x 1 (VL)
OOS,ARGENTINA,Adium,ASOTREX,"chondroitin,sulfate+glucosamine",,,,,,caps.x 30
OOS,ARGENTINA,Adium,ASOTREX,"chondroitin,sulfate+glucosamine",,,,,,caps.x 60
OOS,ARGENTINA,Adium,ASOTREX,"chondroitin,sulfate+glucosamine",,,,,,over x 30
OOS,ARGENTINA,Adium,CLEDIUM,unsaponifiables,,,,,,caps. x 30
OOS,ARGENTINA,Adium,DEBLAX,vit.d3,,,,,,caps.bl.x 1
OOS,ARGENTINA,Adium,DEBLAX,vit.d3,,,,,,caps.bl.x 2
OOS,ARGENTINA,Adium,ETEC 1000,vit.e,,,,,,soft capsules x 30
OOS,ARGENTINA,Adium,ETEC 1000,vit.e,,,,,,soft capsules x 60
OOS,ARGENTINA,Adium,REBILDEX,unsaponifiable from avocado+soybean+vit.d,,,,,,caps. x 30 (VL)
OOS,ARGENTINA,Adium,REGULIP 1000,fish oil,,,,,,1 g caps.x 20 (VL)
OOS,ARGENTINA,Adium,REGULIP 1000,fish oil,,,,,,1 g caps.x 50 (VL)
OOS,ARGENTINA,Adium,REGULIP,salmon oil,,,,,,1 g caps.x 60
OOS,ARGENTINA,Adium,REGULIP,salmon oil,,,,,,1 g caps.x 90
OOS,ARGENTINA,Alcon,ALCON LAGRIMAS,vaseline+lanolin,,,,,,ung.oft.x 3.5 g (VL)
OOS,ARGENTINA,Alcon,OPTI FREE EXPRESS,soluc.parent/fisiol/glucos/others,,,,,,env.x 120 ml (VL)
OOS,ARGENTINA,Alcon,OPTI FREE EXPRESS,soluc.parent/fisiol/glucos/others,,,,,,env.x 355 ml (VL)
OOS,ARGENTINA,Alcon,OPTI FREE PUREMOIST,soluc.parent/fisiol/glucos/others,,,,,,env.x 120 ml (VL)
OOS,ARGENTINA,Alcon,OPTI FREE PUREMOIST,soluc.parent/fisiol/glucos/others,,,,,,env.x 300 ml (VL)
OOS,ARGENTINA,Alcon,SYSTANE BALANCE,propylene glycol,,,,,,sterile sol.oft. x 10 ml
OOS,ARGENTINA,Alcon,SYSTANE GEL EN GOTAS,polyethylene glycol+propylene glycol,,,,,,Ophthalmic gel in drops x 10 ml
OOS,ARGENTINA,Alef Medical Argentina,DERMABIDIOL BC,cannabidiol+assoc.,,,,,,knob x 200 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,DERMABIDIOL CB ANTIAGING CREAM,cannabidiol+assoc.,,,,,,cr.x 15 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,DERMABIDIOL CB ANTIAGING SERUM,cannabidiol+assoc.,,,,,,serum x 30 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,DERMABIDIOL CB,cannabidiol+assoc.,,,,,,cr.x 15 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,DERMABIDIOL CB,cannabidiol+assoc.,,,,,,cr.x 50 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,LIMPSOR,garlic extract,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Alef Medical Argentina,NIKIX CBD,cannabidiol+assoc.,,,,,,cr.x 100 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,NIKIX NF,cannabidiol+assoc.,,,,,,cr.x 100 g (VL)
OOS,ARGENTINA,Alef Medical Argentina,REJUVEL,medicinal herbs,,,,,,caps. x 30 (VL)
OOS,ARGENTINA,Alef Medical Argentina,TOTAX,cannabidiol+assoc.,,,,,,oral sol. x 15 ml
OOS,ARGENTINA,Alef Medical Argentina,TOTAX,cannabidiol+assoc.,,,,,,oral sol. x 30 ml
OOS,ARGENTINA,Amenite,AMENITE A,vit.a,,,,,,cr.x 100 g (VL)
OOS,ARGENTINA,Amenite,AMENITE CORP,aloe vera+assoc.,,,,,,emuls.x 120 g (VL)
OOS,ARGENTINA,Amenite,AMENITE DOUCE,aloe vera+assoc.,,,,,,emuls.x 120 g (VL)
OOS,ARGENTINA,Amenite,AMENITE RENOVADOR CAPILAR,proteins,,,,,,cr.x 125 g (VL)
OOS,ARGENTINA,Amenite,AMENITE VERA,aloe vera,,,,,,gel x 100 g (VL)
OOS,ARGENTINA,AMN,ACEITE DE LORENZO,glycerol trioleate oil,,,,,,package x 500 ml
OOS,ARGENTINA,AMN,DUOCAL,carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,EL ACEITE GLICEROL TRIOLEATO (GTO),glycerol trioleate oil,,,,,,package x 500 ml
OOS,ARGENTINA,AMN,GA 1 ANAMIX INFANT,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,GA 1 ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,GALACTOMIN 19,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,HCU ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,IVA ANAMIX INFANT,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,IVA ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,KETOBLEND,proteins+fats+carbohydrates+assoc.,,,,,,pouch x 500 g
OOS,ARGENTINA,AMN,KETOCAL 2.5:1 LQMCT MULTI FIBRE,proteins+fats+carbohydrates+assoc.,,,,,,box x 32 tetra x 200 ml
OOS,ARGENTINA,AMN,KETOCAL 2.5:1 LQMCT MULTI FIBRE,proteins+fats+carbohydrates+assoc.,,,,,,box x 8 tetra x 200 ml
OOS,ARGENTINA,AMN,KETOCAL 4:1,proteins+fats+carbohydrates+assoc.,,,,,,can x 300 g
OOS,ARGENTINA,AMN,LIQUIGEN,average cad. triglycerides,,,,,,bottle x4 x250ml
OOS,ARGENTINA,AMN,LOPROFIN ANIMAL PASTA,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,LOPROFIN CAKE MIX,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,LOPROFIN CEREAL LOOPS,carbohydrates+assoc.,,,,,,env.x 375 g
OOS,ARGENTINA,AMN,LOPROFIN CRACKERS,carbohydrates+assoc.,,,,,,env.x 150 g
OOS,ARGENTINA,AMN,LOPROFIN EGG REPLACER,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,LOPROFIN FUSILLI,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,LOPROFIN LASAGNE,carbohydrates+assoc.,,,,,,env.x 250 g
OOS,ARGENTINA,AMN,LOPROFIN MIX,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,LOPROFIN RICE,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,LOPROFIN SPAGHETTI,carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,MMA/PA ANAMIX INFANT,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,MMA/PA ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,MONOGEN,amino acids+carbohydrates+assoc.,,,,,,pvo.x 400 g
OOS,ARGENTINA,AMN,MSUD ANAMIX INFANT,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,MSUD ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,MSUD MAXAMUM,amino acids+carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,NEOCATE GOLD,free amino acid formula for infants,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,NEOCATE JUNIOR C/PREBIOTICO SIN SABOR,free amino acid formula for children,,,,,,powder x 400 g
OOS,ARGENTINA,AMN,NEOCATE JUNIOR C/PREBIOTICO VAINILLA,free amino acid formula for children,,,,,,powder x 400 g
OOS,ARGENTINA,AMN,NEOCATE SPLASH,free amino acid formula for children,,,,,,nar.ana. brick x237ml x3
OOS,ARGENTINA,AMN,NEOCATE SPLASH,free amino acid formula for children,,,,,,vai. brick x 237 ml x 3
OOS,ARGENTINA,AMN,NEOCATE SYNEO,free amino acid formula for infants,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,PKU ANAMIX FIRST SPOON,amino acids+carbohydrates+assoc.,,,,,,sachets x 30 x 12.5 g
OOS,ARGENTINA,AMN,PKU ANAMIX INFANT,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,PKU ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,PKU ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,sachets x 30 x 36 g
OOS,ARGENTINA,AMN,PKU GMPRO DELIGHT 15 SABOR TROPICAL,amino acids+carbohydrates+assoc.,,,,,,box x 30 x 30 gr
OOS,ARGENTINA,AMN,PKU GMPRO POLVO SABOR VAINILLA,amino acids+carbohydrates+assoc.,,,,,,box x 16 x 33.3 gr
OOS,ARGENTINA,AMN,PKU GMPRO ULTRA SABOR LIMONADA,amino acids+carbohydrates+assoc.,,,,,,Box x 30 x 33.3 gr
OOS,ARGENTINA,AMN,PKU LOPHLEX JUICY LQ 10 BERRY,amino acids+carbohydrates+assoc.,,,,,,env.x 60 x 62.5 ml
OOS,ARGENTINA,AMN,PKU LOPHLEX JUICY LQ 20 BERRY,amino acids+carbohydrates+assoc.,,,,,,env.x 30 x 125 ml
OOS,ARGENTINA,AMN,PKU LOPHLEX JUICY LQ 20 ORANGE,amino acids+carbohydrates+assoc.,,,,,,env.x 30 x 125 ml
OOS,ARGENTINA,AMN,SOUVENAID,amino acids+carbohydrates+assoc.,,,,,,vanilla bot.x 4 x 125ml
OOS,ARGENTINA,AMN,TYR ANAMIX INFANT,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,TYR ANAMIX JUNIOR UNFLAVOURED,amino acids+carbohydrates+assoc.,,,,,,env.x 400 g
OOS,ARGENTINA,AMN,XLEU MAXAMUM,amino acids+carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,XLYS TRY MAXAMUM,amino acids+carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,XMET MAXAMUM,amino acids+carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,XMTVI MAXAMUM,amino acids+carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,AMN,XPHEN TYR MAXAMUM,amino acids+carbohydrates+assoc.,,,,,,env.x 500 g
OOS,ARGENTINA,Andromaco,ACNOXIN,salicylic acid + assoc.,,,,,,gel x 45 g
OOS,ARGENTINA,Andromaco,DERMAGLOS DELICADA FRAGANCIA,vit.a+allantoin+assoc.,,,,,,cr.x 200 g (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS DELICADA FRAGANCIA,vit.a+allantoin+assoc.,,,,,,cr.x 50 g (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS DELICADA FRAGANCIA,vit.a+allantoin+assoc.,,,,,,emuls.x 400 ml (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS DELICADA FRAGANCIA,vit.a+allantoin+assoc.,,,,,,emulsions x 100 ml (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,cr.x 100 g (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,cr.x 200 g (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,cr.x 250 g (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,cr.x 50 g (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,emuls.x 200 ml (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,emuls.x 250 ml (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,emuls.x 400 ml (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,emuls.x 500 ml (VL)
OOS,ARGENTINA,Andromaco,DERMAGLOS,vit.a+allantoin+assoc.,,,,,,emulsions x 100 ml (VL)
OOS,ARGENTINA,Andromaco,FIL OLOR,camphor+assoc.,,,,,,cr.x 80 g (VL)
OOS,ARGENTINA,Andromaco,VERRUTOPIC AS,salicylic acid,,,,,,6 mm apos.x 20+access.
OOS,ARGENTINA,Argenfarma,AYURSTATE,barosma+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,AYURSTATE,barosma+assoc.,,,,,,caps.x 60 (VL)
OOS,ARGENTINA,Argenfarma,CARTICAPS CON CURCUMA,collagen type II+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,CARTICAPS,collagen type II+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,CELUFEM,centella asiatica+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,CHIACUORE,chia oil,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,CHIACUORE,chia oil,,,,,,caps.x 60 (VL)
OOS,ARGENTINA,Argenfarma,CIRUELA FIBRA,plum+assoc.,,,,,,env. x 300 g (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS ACTIVATOR DE AMPK,resveratrol+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS BLOCKER FOOD,phaseolamin+assoc.,,,,,,caps. x 30 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS BLOCKER FOOD,phaseolamin+assoc.,,,,,,sachets x 30 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS BURNER FAT,garcinia cambogia+assoc.,,,,,,caps. x 60 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS BURNER FAT,garcinia cambogia+assoc.,,,,,,comp.x 90 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS COMPLEX,flavonoids+assoc.,,,,,,caps.x 60 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS PROTEICO AMPK BATIDO,soy proteins,,,,,,fco. x 400 g (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS SOLUBLE,fibers+proteins+assoc.,,,,,,chocolate tin x 400 g (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS SPIRULINA,spirulina+assoc.,,,,,,comp.x 60 (VL)
OOS,ARGENTINA,Argenfarma,DESGRAS,fibers+vit. b6+vit. c,,,,,,comp.x 60 (VL)
OOS,ARGENTINA,Argenfarma,DIALITICA II,"sodium, chloride+assoc.",,,,,,fco.x 2 (VL)
OOS,ARGENTINA,Argenfarma,DIGESTOL,artichoke+assoc.,,,,,,caps.x 20 (VL)
OOS,ARGENTINA,Argenfarma,DR.JAIME FOOD METABOLICO,carnitine+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,Argenfarma,FOSFOTONIC,phospholipids+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,Argenfarma,FOSFOTONIC,phospholipids+assoc.,,,,,,comp.x 60 (VL)
OOS,ARGENTINA,Argenfarma,GENETIKAL,vit.b3+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,GEN-PEL,cystine+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,HEPAGOTAS,vegetable extracts,,,,,,gts.x 45 ml (VL)
OOS,ARGENTINA,Argenfarma,HEPAGOTAS,vegetable extracts,,,,,,gts.x 60 ml (VL)
OOS,ARGENTINA,Argenfarma,IMPI-D,glutamine+assoc.,,,,,,caps.x 2 (VL)
OOS,ARGENTINA,Argenfarma,JUVELINE,collagen+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,LI-CHANG,schizandra+assoc.,,,,,,caps.x 4 (VL)
OOS,ARGENTINA,Argenfarma,LI-CHANG,schizandra+assoc.,,,,,,caps.x 8 (VL)
OOS,ARGENTINA,Argenfarma,LI-FEM,Angelica+assoc.,,,,,,caps.x 4 (VL)
OOS,ARGENTINA,Argenfarma,LI-FEM,Angelica+assoc.,,,,,,caps.x 8 (VL)
OOS,ARGENTINA,Argenfarma,MERMELAX,psyllium+assoc.,,,,,,env. x 240 g (VL)
OOS,ARGENTINA,Argenfarma,PLACIDON,valerian,,,,,,comp.x 20 (VL)
OOS,ARGENTINA,Argenfarma,PROCREA,carnitine+assoc.,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Argenfarma,REDUCOL,chia+sesame+flax,,,,,,soft capsules x 30 (VL)
OOS,ARGENTINA,Argenfarma,VARICOFEM,ginkgo biloba+assoc.,,,,,,comp.x 30 (VL)
OOS,ARGENTINA,Argenfarma,VITACE 500,vit.c,,,,,,500 mg tablets x 30
OOS,ARGENTINA,Argenfarma,VITADE,vit.d+calcium,,,,,,caps.x 30 (VL)
OOS,ARGENTINA,Ariston,CALCIONAL D3 400,"calcium, citrate+vit.d3",,,,,,comp.x 30
OOS,ARGENTINA,Ariston,CALCIONAL D3 400,"calcium, citrate+vit.d3",,,,,,comp.x 60
OOS,ARGENTINA,Ariston,CALCIONAL D3,"calcium, citrate+vit.d3",,,,,,comp.x 30
OOS,ARGENTINA,Ariston,CALCIONAL D3,"calcium, citrate+vit.d3",,,,,,comp.x 60
OOS,ARGENTINA,Ariston,CALCIONAL,calcium carbonate,,,,,,orange comp.x 30
OOS,ARGENTINA,Ariston,CALCIONAL,calcium carbonate,,,,,,orange comp.x 60
