Effective Start Date,Effective End Date,DIN,Trade name,Strength,Dosage form,DBP (raw),Ex Factory Wholesale Price,Ex Factory Wholesale Unit,Local Pack Description,PK keyword present,Public With VAT Price,RI Price,Reimbursable Status,Reimbursable Price,Reimbursable Rate,Reimbursable Notes,Copayment Value
2025-06-24,,02544741,Truqap,200mg,Tab,$147.6000,147.6,,200mg Tab,No,159.408,159.408,FULLY REIMBURSABLE,159.408,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-06-12,,09858357,Besremi,500mcg/mL,Inj Sol-Pref Syr,$4495.0000,4495.0,,500mcg/mL Inj Sol-Pref Syr,No,4854.6,4854.6,FULLY REIMBURSABLE,4854.6,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-05-07,,02524627,Sohonos,1 mg,Cap,$324.2200,324.22,,1 mg Cap,No,350.1576,350.1576,FULLY REIMBURSABLE,350.1576,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-05-07,,02524635,Sohonos,1.5 mg,Cap,$486.3300,486.33,,1.5 mg Cap,No,525.2364,525.2364,FULLY REIMBURSABLE,525.2364,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-05-07,,02524643,Sohonos,2.5 mg,Cap,$810.5500,810.55,,2.5 mg Cap,No,875.394,875.394,FULLY REIMBURSABLE,875.394,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-05-07,,02524651,Sohonos,5 mg,Cap,$1621.1000,1621.1,,5 mg Cap,No,1750.788,1750.788,FULLY REIMBURSABLE,1750.788,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-05-07,,02524678,Sohonos,10 mg,Cap,$3242.2000,3242.2,,10 mg Cap,No,3501.576,3501.576,FULLY REIMBURSABLE,3501.576,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02511355,Kesimpta,20 mg /0.4 mL,Inj Sol-0.4 mL Pref SensoReady Pen Pk,$2318.7400,2318.74,,20 mg /0.4 mL Inj Sol-0.4 mL Pref SensoReady Pen Pk,Yes,2504.2392,2504.2392,FULLY REIMBURSABLE,2504.2392,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02409623,Mekinist,0.5mg,Tab,$88.2200,88.22,,0.5mg Tab,No,95.2776,95.2776,FULLY REIMBURSABLE,95.2776,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02409607,Tafinlar,50mg,Cap,$51.3300,51.33,,50mg Cap,No,55.4364,55.4364,FULLY REIMBURSABLE,55.4364,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02409615,Tafinlar,75mg,Cap,$76.8500,76.85,,75mg Cap,No,82.998,82.998,FULLY REIMBURSABLE,82.998,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02369613,Banzel,100mg,Tab,$0.9524,0.9524,,100mg Tab,No,1.028592,1.028592,FULLY REIMBURSABLE,1.028592,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02029448,Elmiron,100mg,Cap,$4.6212,4.6212,,100mg Cap,No,4.990896,4.990896,FULLY REIMBURSABLE,4.990896,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02491087,Emgality,120mg/mL,Inj Sol-1mL Pref Pen (Preservative-Free),$600.3300,600.33,,120mg/mL Inj Sol-1mL Pref Pen (Preservative-Free),No,648.3564,648.3564,FULLY REIMBURSABLE,648.3564,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02491060,Emgality,120mg/mL,Inj Sol-1mL Pref Syr (Preservative-Free),$600.3300,600.33,,120mg/mL Inj Sol-1mL Pref Syr (Preservative-Free),No,648.3564,648.3564,FULLY REIMBURSABLE,648.3564,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02230845,Flolan,0.5mg,Inj-Vial Pk,$25.2900,25.29,,0.5mg Inj-Vial Pk,Yes,27.3132,27.3132,FULLY REIMBURSABLE,27.3132,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02230848,Flolan,1.5mg/Vial,Inj-5mL Vial Pk,$50.5700,50.57,,1.5mg/Vial Inj-5mL Vial Pk,Yes,54.6156,54.6156,FULLY REIMBURSABLE,54.6156,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02470152,Humalog,100U/mL,Inj Sol-Pref Pen 5x3mL Pk (Junior KwikPen),$76.5000,76.5,,100U/mL Inj Sol-Pref Pen 5x3mL Pk (Junior KwikPen),Yes,82.62,82.62,FULLY REIMBURSABLE,82.62,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02403412,Humalog Kwikpen,100U/mL,Inj Sol-5x3mL Pk,$71.8500,71.85,,100U/mL Inj Sol-5x3mL Pk,Yes,77.598,77.598,FULLY REIMBURSABLE,77.598,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02243077,Humatrope,6mg/Cart,Inj Pd-6mg Cart Pk with Diluent,$364.6800,364.68,,6mg/Cart Inj Pd-6mg Cart Pk with Diluent,Yes,393.8544,393.8544,FULLY REIMBURSABLE,393.8544,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02243078,Humatrope,12mg/Cart,Inj Pd-12mg Cart Pk with Diluent,$729.3500,729.35,,12mg/Cart Inj Pd-12mg Cart Pk with Diluent,Yes,787.698,787.698,FULLY REIMBURSABLE,787.698,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02243079,Humatrope,24mg/Cart,Inj Pd-24mg Cart Pk with Diluent,$1458.7100,1458.71,,24mg/Cart Inj Pd-24mg Cart Pk with Diluent,Yes,1575.4068,1575.4068,FULLY REIMBURSABLE,1575.4068,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02230418,Imitrex,5mg/Dose,Nas Sp-2 Dose Pk,$38.8800,38.88,,5mg/Dose Nas Sp-2 Dose Pk,Yes,41.9904,41.9904,FULLY REIMBURSABLE,41.9904,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02230420,Imitrex,20mg/Dose,Nas Sp,$19.9950,19.995,,20mg/Dose Nas Sp,No,21.5946,21.5946,FULLY REIMBURSABLE,21.5946,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02240115,Lamictal,5mg,Chew Tab,$0.2300,0.23,,5mg Chew Tab,No,0.2484,0.2484,FULLY REIMBURSABLE,0.2484,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02484056,Lenvima,4mg/Dose,Cap,$39.2506,39.2506,,4mg/Dose Cap,No,42.390648,42.390648,FULLY REIMBURSABLE,42.390648,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02468220,Lenvima,8mg/Dose,Cap,$79.3079,79.3079,,8mg/Dose Cap,No,85.652532,85.652532,FULLY REIMBURSABLE,85.652532,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02484129,Lenvima,12mg/Dose,Cap,$117.7519,117.7519,,12mg/Dose Cap,No,127.172052,127.172052,FULLY REIMBURSABLE,127.172052,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02450321,Lenvima,10mg per dose,Daily Dose Pk,$86.9775,86.9775,,10mg per dose Daily Dose Pk,Yes,93.9357,93.9357,FULLY REIMBURSABLE,93.9357,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02450313,Lenvima,14mg per dose,Daily Dose Pk,$135.1036,135.1036,,14mg per dose Daily Dose Pk,Yes,145.911888,145.911888,FULLY REIMBURSABLE,145.911888,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02450305,Lenvima,20mg per dose,Daily Dose Pk,$202.6673,202.6673,,20mg per dose Daily Dose Pk,Yes,218.880684,218.880684,FULLY REIMBURSABLE,218.880684,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02450291,Lenvima,24mg per dose,Daily Dose Pk,$270.2068,270.2068,,24mg per dose Daily Dose Pk,Yes,291.823344,291.823344,FULLY REIMBURSABLE,291.823344,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02425629,Lucentis,10mg/mL,Inj Sol-Pref Syr 0.165mL Pk,$1744.5000,1744.5,,10mg/mL Inj Sol-Pref Syr 0.165mL Pk,Yes,1884.06,1884.06,FULLY REIMBURSABLE,1884.06,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02296810,Lucentis,10mg/mL,Inj Sol-0.23mL Vial Pk,$1744.5000,1744.5,,10mg/mL Inj Sol-0.23mL Vial Pk,Yes,1884.06,1884.06,FULLY REIMBURSABLE,1884.06,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02244353,NovoRapid Penfill,100U/mL,Inj Sol-5x3mL Pk,$64.8200,64.82,,100U/mL Inj Sol-5x3mL Pk,Yes,70.0056,70.0056,FULLY REIMBURSABLE,70.0056,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02492989,Nucala,100mg/mL,Inj Sol-Pref Auto Inj,$2452.5800,2452.58,,100mg/mL Inj Sol-Pref Auto Inj,No,2648.7864,2648.7864,FULLY REIMBURSABLE,2648.7864,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02492997,Nucala,100mg/mL,Inj Sol-Pref Syr,$2452.5800,2452.58,,100mg/mL Inj Sol-Pref Syr,No,2648.7864,2648.7864,FULLY REIMBURSABLE,2648.7864,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-04-30,,02248077,Pegasys,180mcg/0.5mL,Inj Sol-Pref Syr-0.5mL Pk,$436.0800,436.08,,180mcg/0.5mL Inj Sol-Pref Syr-0.5mL Pk,Yes,470.9664,470.9664,FULLY REIMBURSABLE,470.9664,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
