mfr_code,manufacturer_name
GRA,Graceway Pharmaceuticals
GSK,"GlaxoSmithKline Inc., GlaxoSmithKline Consumer Health Care"
GZM,Genzyme Canada Inc.
HAL,Halewood Chemicals Limited
HIK,Hikma Canada Limited
HLN,Haleon Canada ULC
HLR,Hoffmann-La Roche Limited
HLS,HLS Therapeutics Inc.
HMR,Hoechst Marion Roussel Canada Inc.
HOM,Home Diagnostics Inc
HOR,Frank W. Horner Inc.
HOS,Hospira Healthcare Corporation.
HRA,HRA Pharma Rare Diseases
HRU,Hoechst-Roussel Canada Inc.
IDL,Ideal Life Inc.
IND,Indivior UK Limited
INO,iNova Pharmaceuticals
INT,"InterMune Canada, Inc."
IOB,Iolab Canada Inc.
IPL,"Insight Pharmaceuticals, LLC"
IPS,Ipsen Limited
ISE,"I-Sens, Inc."
JAC,Jacobus Pharmaceutical Company Inc.
JAJ,Johnson & Johnson Inc
JAN,Janssen Inc.
JNO,Janssen-Ortho Inc.
JOU,Jouveinal Inc.
JPC,Jamp Pharma Corporation
JUN,Juno Pharmaceuticals Corp.
KNT,Knight Therapeutics Inc.
KVR,KVR Pharmaceuticals
LAF,Laboratoires Fournier S.A.
LBI,"Leadiant Biosciences, Inc."
LBT,Laboratoires Thea
LEA,Lee-Adams Lab.
LED,Lederle Division-of Cyanamid Canada Inc.
LEO,Leo Pharma Inc.
LIF,Lifescan Canada Ltd.
LIL,Eli Lilly Canada Inc.
LUI,Luitpold Pharmaceuticals Inc.
LUP,Lupin Pharma Canada Limited
MAB,Meda AB
MAL,Mallinckrodt Canada ULC
MAN,"Paul Maney Labs., Division of Canapharm Ind. Inc."
MAR,Marcan Pharmaceuticals Inc.
MAT,Mantra Pharma Inc.
MAY,Mayne Pharma (Canada) Inc.
MCL,McNeil Consumer Products Co.
MDI,MDA Inc.
MDX,Medexus Inc.
MEF,Medical Futures Inc.
MEH,"MediHub International Inc., Ajax"
MEK,Merck Canada Inc.
MEP,MedTech Products Inc.
MEZ,Merz Pharmaceutical Gmbh
MFC,Merck Frosst Canada Ltd.
MIN,Mint Pharmaceuticals Inc.
MJC,Mead Johnson & Company LLC
MJN,Mead Johnson Nutritionals
MJS,Mead Johnson Canada
MMH,"3M Pharmaceuticals, Division 3M Canada Inc."
MPI,Medexus Pharmaceuticals Inc.
MRR,Marion Merrell Dow Canada
MSD,"Merck Sharp & Dohme Canada, Division of Merck Frosst Canada"
MYL,Mylan Pharmaceuticals ULC
NAT,Natco Pharma (Canada) Inc.
NDA,Nadeau Laboratory Ltd.
NEC,Nestle Canada Inc.
NES,Nestle Health Science
NEU,Neuraxpharm Arzneimittel GmbH
NOB,Nova Biomedical Corporation.
NOO,Novo Nordisk Canada Inc
NOP,Novopharm Ltd.
NOV,Novartis Pharma Canada Inc.
NRA,Nora Pharma
NSA,Nestle Enterprises S.A.
NUT,Nutricia North America
NYC,Nycomed Canada Inc.
OCI,Organon Canada Inc.
ODN,Odan Laboratories Ltd.
OMC,Ortho McNeil
OMG,Omega Laboratories Ltd.
ORC,Orchid Healthcare
ORG,Organon Canada Ltd./Ltee
ORI,Orimed Pharma
OTS,Otsuka Pharmaceutical Co. Ltd.
OVA,Ovation Pharmaceuticals Inc.
PAL,Paladin Labs Inc.
PAR,"Patriot, A Division of Janssen Inc."
PDA,"Parke-Davis,Division Warner-Lambert Canada Inc."
PEN,"Pendopharm, Division of Pharmascience Inc."
PFI,Pfizer Canada Inc.
PFP,Purdue Pharma
PGI,Proctor & Gamble Inc.
PGP,"Proctor & Gamble Pharmaceuticals Canada, Inc."
PHB,Phebra Canada
PHC,Pharmacosmos A/S
PHE,Pharmel Inc.
PHP,Pharmapar Inc.
PHS,Pharma Stulln Inc.
PMJ,Pharmacia & Upjohn
PMS,Pharmascience Inc.
PPI,Paladin Pharma Inc.
PRE,Prempharm Inc.
PRZ,Pharmaris Canada Inc.
QUO,Questcor Operations Ltd.
RAN,Ranbaxy Pharmaceuticals Canada Inc.
RBT,Roberts Pharmaceutical of Canada Inc.
RCH,Roche Diabetes Care GmbH
RIA,Laboratoire Riva Inc.
RIP,Richmond Pharmaceuticals Inc.
ROD,"Roche Diagnostics, a division of Hoffmann-La Roche Limited"
ROG,"Rougier Pharma, Division of Ratiopharm Inc."
ROS,Ross Laboratories-Abbott (Nutritional Products)
RPH,Ratiopharm Inc.
RPP,Rhone-Poulenc Rorer-Ethical Division
RPR,Rhone-Poulenc Rorer Consumer Inc.
RRD,Respironics Respiratory Drug Delivery (UK) Ltd.
SAC,Sanofi-Aventis Canada Inc.
SAG,"Sanofi Genzyme, a Division of Sanofi-Aventis Canada Inc."
SAI,Sanis Health Inc.
SAL,Salix Pharmaceuticals Inc.
SAM,Samsung Bioepis Co. Ltd
SAV,Sanofi Aventis Pharma
SCH,Schering Canada Inc.
SCO,Sanofi Consumer Health Inc.
SCP,Schering-Plough Canada Inc.
SDZ,Sandoz Canada Inc.
SEA,Searle Canada Inc.
SET,Septa Pharmaceuticals Inc.
SEV,Servier Canada Inc.
SHE,"Shenzhen Techdow Pharmaceutical Co., Ltd."
SHI,Shire Pharma Canada ULC
SIV,Sivem Pharmaceuticals ULC
SKB,SmithKline Beecham Consumer Healthcare.
SKY,Skymed Corporation
SLP,Searchlight Pharma Inc.
SMJ,Smith Kline Beecham Pharma Inc
SMT,Sumitomo Pharma Canada INC.
SNE,Smith & Nephew Inc.
SPC,Sun Pharma
SPH,Solvay Pharma Inc.
STA,"Stason Pharmaceuticals Inc., Irvine"
STE,Sterimax Inc.
STI,Stiefel Canada Inc.
STL,Stallergenes Canada Inc.
STN,Sterinova Inc.
SUO,Sunovion Pharmaceuticals Canada Inc.
SYN,Syntex Inc.
TAI,Taidoc Technology Corporation
TAK,Takeda Canada Inc.
TAR,Taro Pharmaceuticals Inc.
TAV,"Tanvex BioPharma USA, Inc."
TBP,Teva Branded Pharmaceutical Products R&D Inc.
TCI,Teligent Canada Inc.
TEI,Teva Canada Innovation.
TEL,Teligent OU
TEP,Teligent Pharma Inc.
TER,Therasense Canada Inc.
TEV,Teva Canada Limited
TEW,Teva Women's Health Inc.
TIP,Tillotts Pharma AG
TMI,Trudell Medical International
TOL,Tolmar International Ltd.
TPA,Takeda Pharmaceuticals America Inc.
TPH,"TaroPharma, a Division of Taro Pharmaceuticals Inc."
TRE,Tremblay Harrison Inc.
TRS,TerSera Therapeutics LLC
UCB,UCB Canada Inc.
UJC,Upjohn Canada ULC
UPJ,The Upjohn Company of Canada
VAE,Valeo Pharma Inc.
VAL,Valeant Canada Ltd.
VET,Verity Pharmaceuticals Inc.
VIH,ViiV Healthcare ULC
VIR,Vifor (International) Inc.
VIT,"Vitaflo USA, LLC"
VIU,Vivus Inc.
VLH,Lundbeck Canada Inc.
WAR,Warner Chilcott Canada Co.
WAT,Watson Laboratories Inc.
WAY,Wyeth Pharmaceuticals
WEL,WellSpring Pharmaceutical Canada Corp.
WHB,Whitehall-Robins Inc
WSQ,Westwood Squibb Pharmaceuticals
WYA,Wyeth-Ayerst Canada Inc.
WYE,Wyeth Ltd.
XED,Xediton Pharmaceuticals Inc.
ZDS,Zydus Pharmaceuticals (Canada) Inc.
ZIL,Zila Pharmaceuticals Inc.
