Company,Local Product Name,Generic Name,Local Pack Description,PCID
ROEMMERS,DILTIAZEM,ACALIX,120MG COMP. X 20,175343
ROEMMERS,DILTIAZEM,ACALIX,120MG COMP. X 50,175344
ROEMMERS,DILTIAZEM,ACALIX,60MG COMP. X 50,175346
ROEMMERS,DILTIAZEM,ACALIX,90MG COMP. X 50,175348
ROEMMERS,DILTIAZEM,ACALIX A.P.,120MG CAPS. X 30,175350
ROEMMERS,DILTIAZEM,ACALIX CRONOS,180MG CAPS. X 30,175370
ROEMMERS,DILTIAZEM,ACALIX CRONOS,240MG CAPS. X 30,175371
ROEMMERS,DILTIAZEM,ACALIX CRONOS,300MG CAPS. X 30,175372
SIEGFRIED,CEFTRIAXONE,ACANTEX,"ACANTEX POLVO PARA INYECTABLE 1 FRASCO AMPOLLA POR 2000 MG DE CEFTRIAXONA, 40 ML",1675445
SIEGFRIED,CEFTRIAXONE,ACANTEX,"ACANTEX POLVO PARA INYECTABLE FRASCO AMPOLLA POR 1 UNIDAD, 3.5 ML 1000 MG",1556662
SIEGFRIED,CEFTRIAXONE,ACANTEX,ACANTEX POLVO PARA INYECTABLE FRASCO AMPOLLA POR 1 UNIDAD ( 1 FRASCO AMPOLLA CON 1000 MG DE CEFTRIAXONA + 1 AMPOLLA DE DISOLVENTE CON 10 ML DE AGUA PARA INYECTABLE),1556661
SIEGFRIED,CEFTRIAXONE,ACANTEX,ACANTEX POLVO PARA INYECTABLE FRASCO AMPOLLA por 1 UNIDAD (1 frasco ampolla con 500 mg de Ceftriaxona + 1 ampolla de disolvente con 2 ml de soluci√≥n de Lidocaina Clorhidrato al 1%) 500 mg IM f.a.x 1,1553827
SIEGFRIED,CEFTRIAXONE,ACANTEX,"ACANTEX POLVO PARA INYECTABLE 1 FRASCO AMPOLLA POR 1000 MG DE CEFTRIAXONA + 1 AMPOLLA DE DISOLVENTE CON 3,5 ML DE SOLUCI√≥N DE LIDOCAINA CLORHIDRATO AL 1 %",1675444
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,ACEMUK200MG TAB.EFERV.X10 (VL),2150498
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,200MG TAB X 10,1180910
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,600MG TAB X 10,1180912
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,600MG COMP X 12,1180911
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,600MG TAB X 20,1180913
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,600MG TAB X 5,1180914
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,600MG TAB X 60,1180915
SIEGFRIED,ACETYLCYSTEINE,ACEMUK,600MG TAB X 90,1180916
SIEGFRIED,ACETYLCYSTEINE & LIDOCAINE & TYROTHRICIN,ACEMUK L,ACEMUK L COMPRIMIDO DE DISOLUCION BUCAL BLISTER POR 20 UNIDADES 109 MG,1556502
ROSPAW,ACENOCOUMAROL,ACENOCOUMAROL,4 MG COMP.X 20,358748
SIEGFRIED,ACICLOVIR,ACERPES,ACERPES CREMA CREMA 1 POMO por 5 G 5%,1844133
SIEGFRIED,ACICLOVIR,ACERPES,400MG COMP. X 20,147050
SIEGFRIED,ACICLOVIR,ACERPES,800MG COMP. X 20,147051
NOVOPLOS,PARACETAMOL,ACETA,250 MG COMP.X 20,232874
SIEGFRIED,MAGALDRATE & SIMETICONE,ACI-TIP,ACI-TIP SUSPENSION ORAL ENVASE POR 200,1556735
FADA PHARMA,ACICLOVIR,FADA ACICLOVIR,LIOF. 500MG INY. F.AMP. X 50 EH,147053
GEMEPE,ACICLOVIR,ACICLOVIR GEMEPE,500 MG F.A.X 50 X 20 ML,1483951
IBC,ACICLOVIR,ACICLOVIR PHARMAVIAL,ACICLOVIR PHARMAVIAL INJECTION 500 MG F.A.X 50 E.H.,1934950
DOMINGUEZ,FOLIC ACID & IRON & VITAMIN B12,ACIFOL FE,100.7MG COMP. X 30,405606
DOMINGUEZ,FOLIC ACID & IRON & VITAMIN B12,ACIFOL FE,100.7MG COMP. X 60,405607
DOMINGUEZ,CYANOCOBALAMIN & FOLIC ACID,ACIFOL-B12,Comp. Ran. X 30,358761
DOMINGUEZ,CYANOCOBALAMIN & FOLIC ACID,ACIFOL-B12,Comp. Ran. X 60,358762
ANDROMACO,FUSIDIC ACID,ACIFUSIN,CR.X 15 G,684625
ANDROMACO,FUSIDIC ACID,ACIFUSIN,UNG.X 15 G,684626
LABORATORIOS ANDROMACO,BETAMETHASONE & FUSIDIC ACID,ACIFUSIN B,ACIFUS√çN B CREMA 1 POMO POR 15 G 2.1%,1608690
MEDISOL,OMEPRAZOLE,ACIMED,ACIMED20 MG CAPS.X 28,2112831
SANITAS,FAMOTIDINE,ACIMED F,ACIMED F20 MG COMP.X 30,2141667
LEPETIT,LANSOPRAZOLE,ACIMED L,ACIMED L CAPSULA CON  MICROGRANULOS GASTRORRESISTENTES BLISTER por 30 UNIDADES,1554536
GEMINIS FARMAC,NIMODIPINE,ACIVAL,30MG COMP. REC. X 30,175302
GEMINIS FARMAC,NIMODIPINE,ACIVAL,30MG COMP. REC. X 60,175303
BIOSIDUS,ZOLEDRONIC ACID,ACLASTA,5 MG*100 ML,489
PHARMATRIX,FLUOROURACIL,ACLER,"5% (50 MG/G) CREAM, 20 G",1167
EUROFARMA,TAMSULOSIN,ACLOSAN,LP 0.4MG CAPS. X 30,175973
ECZANE,DICLOFENAC,ACLOXIGENAC,ACLOXIGENAC TABLETS 50 MG COMP.REC.X 20,1934951
ECZANE,DICLOFENAC,ACLOXIGENAC,ACLOXIGENAC TABLETS 75 MG COMP.REC.X 20,1934953
ECZANE,DICLOFENAC,ACLOXIGENAC,ACLOXIGENAC TABLETS 50 MG COMP.REC.X 500,1934952
ECZANE,DICLOFENAC,ACLOXIGENAC,ACLOXIGENAC TABLETS 75 MG COMP.REC.X 500,1934954
ECZANE,DICLOFENAC,ACLOXIGENAC LP,ACLOXIGENAC LP EXTENDED RELEASE CAPSULES 100MG C¡PS.LIB.PROL.X 10,1934955
ECZANE,DICLOFENAC,ACLOXIGENAC LP,ACLOXIGENAC LP EXTENDED RELEASE CAPSULES 100MG C¡PS.LIB.PROL.X 20,1934956
ECZANE,DICLOFENAC,ACLOXIGENAC LP,ACLOXIGENAC LP EXTENDED RELEASE CAPSULES 100MG C¡PS.LIB.PROL.X500,1934957
ECZANE,DICLOFENAC & PYRIDINOL,ACLOXIGENAC PLUS,COMP.REC.X 10,1467977
ECZANE,DICLOFENAC & PYRIDINOL,ACLOXIGENAC PLUS,COMP.REC.X 20,1467978
ECZANE,DICLOFENAC & PRIDINOL,ACLOXIGENAC PLUS,ACLOXIGENAC PLUS COMP.REC.X 500,1920210
CASASCO,CILOSTAZOL,ACLUSIN,100 MG*30 TABS,1168
CASASCO,CILOSTAZOL,ACLUSIN,50 MG*30 TABS,1169
LABORATORIOS CASASCO S.A.I.C.,CILOSTAZOL,ACLUSIN,ACLUSIN COMPRIMIDO BLISTER por 30 UNIDADES 50 MG,1675460
CASASCO,CILOSTAZOL,ACLUSIN,100 MG*60 TABS,313775
SIEGFRIED,MINOCYCLINE,ACNECLIN,50 MG COMP.REC.X 30,630121
SIEGFRIED,MINOCYCLINE,ACNECLIN 100 AP,100 MG CAPS.X 30,630122
HLB PHARMA,ERYTHROMYCIN & TRETINOIN,ACNEOUT,gel x 15 g,743605
PABLO CASSARA,BENZOYL PEROXIDE,ACNESTOP,ACNESTOP GEL 1 POMO por 60 G 5 PERCENT,1725182
ANDROMACO,CHLORAMPHENICOL & RESORCINOL & SALICYLIC ACID,ACNOXIN,ACNOXIN LOCION 1 FRASCO por 120 ML LOCION,1554611
ANDROMACO,CHLORAMPHENICOL & RESORCINOL & SALICYLIC ACID,ACNOXIN,ACNOXIN LOCION 1 FRASCO por 140 ML LOCION,1554612
LABORATORIOS ANDROMACO,CHLORAMPHENICOL & RESORCINOL & SALICYLIC ACID,ACNOXIN,ACNOXIN LOCION 1 FRASCO POR 140 ML EN SPRAY,1724985
DR. GRAY SACI,GLYCOPYRROLATE,ACPAN,ACPAN INYECTABLE 1 AMPOLLA POR 1 ML,1556728
DR. GRAY SACI,GLYCOPYRROLATE,ACPAN,0.2 MG/ML A.X25 X 1 ML,1673714
POEN,POLYACRYLIC ACID,ACRYLARM,ACRYLARM GEL OFTALMICO 1 POMO por 10 G,1553763
POEN,ARTIFICIAL TEARS & OTHER INDIFFERENT PREPARATIONS,ACRYLARM PLUS,ACRYLARM PLUS GEL OFTALMICO 1 POMO por 10 G,1566794
LAZAR,MODAFINIL,ACTEMIN,200 MG COMP.X 10,1566674
QUIMICA,MODAFINIL,ACTEMIN,ACTEMIN COMPRIMIDO BLISTER POR 10 UNIDADES,1908808
LAZAR,MODAFINIL,ACTEMIN,200 MG COMP.X 30,1566675
ROCHE,TOCILIZUMAB,ACTEMRA,200MG/10ML F.A.X 1,613
ROCHE,TOCILIZUMAB,ACTEMRA,400MG/20ML F.A.X 1,614
ROCHE,TOCILIZUMAB,ACTEMRA,80MG/4ML F.A.X 1,615
ROCHE,TOCILIZUMAB,ACTEMRA SC,4 PREFILLED SYRINGES,212592
SIEGFRIED,PSEUDOEPHEDRINE & TRIPROLIDINE,ACTIFEDRIN,0.1% GTS.X 15 ML,924482
BIOPROFARMA,RILUZOLE,ACTILUZOL,50MG COMP. REC. X 60,337113
BOEHRINGER INGELHEIM,ALTEPLASE,ACTILYSE,50 MG INY.FAX 2,358784
SIEGFRIED,ALENDRONIC ACID,ACTIMAX,70 MG COMP.*4,1810
SIEGFRIED,ALENDRONIC ACID,ACTIMAX,70 MG COMP.*8,1811
FILAXIS,BORTEZOMIB,ACTIMIBE,ACTIMIB 3.5 MG PVO.LIOF.X1,2053048
BAGO,CARBAMAZEPINE,ACTINERVAL,200 MG COMP.X 30,377007
BAGO,CARBAMAZEPINE,ACTINERVAL,200 MG COMP.X 60,377008
NORTHIA,SUXAMETHONIUM,ACTIRELAX,100 MG F.A.X 25 X 2 ML,1467980
EUROFARMA,AMANTADINE,ACTISON,100MG COMP. X 30,193581
EUROFARMA,AMANTADINE,ACTISON,100MG COMP. X 60,193761
DONATO ZURLO,ACTIVATED CARBON,ACTIVATED CARBON,CARBON ACTIVADO DZ 0.50 COMP.X400 BLISTERA X1,1912883
CASASCO,SILDENAFIL,ACTIVIL,100MG COMP.X 2,175944
BAYER,IBUPROFEN,ACTRON,400 MG 10 CAPS,395759
BAYER,IBUPROFEN,ACTRON,ACTRON 600 FAST ACTION NEW FORMULASOFT GELAT.CAPS X 10,2112787
BAYER,IBUPROFEN,ACTRON,400 MG 20 CAPS,395761
BAYER,IBUPROFEN,ACTRON,ACTRON 600 FAST ACTION NEW FORMULASOFT GELAT.CAPS X 20,2112908
BAYER,IBUPROFEN,ACTRON GEL,POMO X 50 G,1467981
BAYER,CHLORZOXAZONE & IBUPROFEN,ACTRON FLEX,C¡PS.BL.X 10,1202766
BAYER,CAFFEINE & IBUPROFEN,ACTRON MIGRA,ACTRON MIGRAC·PS.X 10,2178288
BAYER,IBUPROFEN,ACTRON PEDIATRIC,"ORAL SUSP 2G/100 ML, 100 ML",395763
BAYER,IBUPROFEN,ACTRON PEDIATRIC,"ORAL SUSP 4G/100 ML, 100 ML",531238
BAYER,CAFFEINE & IBUPROFEN,ACTRON PLUS,CAPS.X 8,684632
BAYER,IBUPROFEN,ACTRON QUICK ACTION,ACTRON FAST ACTION 400 MG CAPS.X 10,1996983
BAYER,IBUPROFEN,ACTRON 600 RAPID ACTION,600 MG 10 CAPS,395760
BAYER,IBUPROFEN,ACTRON QUICK ACTION,ACTRON FAST ACTION 400 MG CAPS.X 20,1996984
BAYER,IBUPROFEN,ACTRON 600 RAPID ACTION,600 MG 20 CAPS,395762
BAGO,CALCIUM CARBONATE & FAMOTIDINE & MAGNESIUM HYDROXIDE,ACTUAL,BLIST COMP MAST *10,1394866
ABBVIE,KETOROLAC,ACULAR,SOL.OFT.X 5 ML,329457
ABBVIE,KETOROLAC,ACULAR LS,SOL.OFT.X 5 ML,329456
ROEMMERS,DAPAGLIFLOZIN,ACUS,ACUS10 MG COMP.REC. X 60,2112836
SANOFI,"PERTUSSIS, PURIFIED ANTIGEN, COMBINATIONS WITH TOXOIDS",ADACEL,FCO.MDS.X 1 X 0.5 ML,1511789
OXAPHARMA,ADAPALENE,ADAPNE,0.1% GEL.X 30 G,1202789
OXAPHARMA,ADAPALENE,ADAPNE,0.3% GEL 30 G,1202790
OXAPHARMA,ADAPALENE & BENZOYL PEROXIDE,ADAPNE DUO,0.1% /2.5% GEL X 30G,1202803
TAKEDA,BRENTUXIMAB VEDOTIN,ADCETRIS,BOX X 1 BOTTLE X 50 MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,263811
BAYER,RIOCIGUAT,ADEMPAS,0.5 MG 42 TABLETS,304949
BAYER,RIOCIGUAT,ADEMPAS,1 MG 42 TABLETS,304950
BAYER,RIOCIGUAT,ADEMPAS,1.5 MG 42 TABLETS,304951
BAYER,RIOCIGUAT,ADEMPAS,2 MG 84 TABLETS,304955
BAYER,RIOCIGUAT,ADEMPAS,2.5 MG 84 TABLETS,304956
LABORATORIO AUSTRAL,BETAMETHASONE & GENTAMICIN & MICONAZOLE,ADENIL,ADENIL CREMA 1 POMO por 20 G,1596642
SAIC ARGENTINE BIOLOGICAL INSTITUTE,ADENOSINE,ADENOSINA BIOL,ADENOSINA BIOL INYECTABLE PARA PERFUSION 10 AMPOLLA POR 2 ML 3 MG / ML,1676385
GOBBI,ADENOSINE,ADENOSINA,ADENOSINA GOBBI3 MG/ML A.X 50 X 2 ML,2135899
ELEA,BENZALKONIUM CHLORIDE & BENZOCAINE & BORIC ACID & VITAMIN A PALMITATE & ZINC OXIDE,ADERMICINA A,ADERMICINA A CREMA 1 POMO por 30 G,1577793
MERLINO,DEXPANTENOL,ADERMITRIN,ADERMITRIN POMO X 30 G 5%,1887089
ROSSMORE PHARMA,ESOMEPRAZOLE,ADIKAN,20 MG CAPS.X 14,1189600
ROSSMORE PHARMA,ESOMEPRAZOLE,ADIKAN,40 MG CAPS.X 14,1189603
ROSSMORE PHARMA,ESOMEPRAZOLE,ADIKAN,20 MG CAPS.X 28,1189601
ROSSMORE PHARMA,ESOMEPRAZOLE,ADIKAN,40 MG CAPS.X 28,1189604
ROSSMORE PHARMA,ESOMEPRAZOLE,ADIKAN,20 MG CAPS.X 42,1189602
ROSSMORE PHARMA,ESOMEPRAZOLE,ADIKAN,40 MG CAPS.X 42,1189605
LAZAR,GLIMEPIRIDE,ADIUVAN,2 MG TABLET: UNCOATED. 30 TABLETS,1173
LAZAR,GLIMEPIRIDE,ADIUVAN,4 MG TABLET: UNCOATED. 30 TABLETS,1174
LAZAR,GLIMEPIRIDE & METFORMIN,ADIUVAN MET,ADIUVAN MET 2/1000. COMP.X 30,554456
LAZAR,GLIMEPIRIDE & METFORMIN,ADIUVAN MET,ADIUVAN MET 4/1000. COMP.X 30,554457
HLB PHARMA,EPINEPHRINE,ADRENALINA RAMALLO,A.X 100 X 1 ML,1483952
DUNCAN,EPINEPHRINE,ADRENALINA,ADRENALINA BIOQUIM INYECTABLE PARA PERFUSION 100 FRASCO AMPOLLA POR 1 ML,1556718
SAIC ARGENTINE BIOLOGICAL INSTITUTE,EPINEPHRINE,ADRENALINA INYECTABLE BIOL,"ADRENALINA INYECTABLE BIOL SOLUCION INYECTABLE 10 AMPOLLA POR 1 ML, 1 MG /ML",1676386
BIOL,EPINEPHRINE,ADRENALINA INYECTABLE BIOL,ADRENALINA INYECTABLE BIOL SOLUCION INYECTABLE 100 AMPOLLA POR 1 ML 1 MG,1566979
VEINFAR,EPINEPHRINE,ADRENALINE LARJAN 0.1%,ADRENALINA LARJAN 0.1 % SOLUCION INYECTABLE 100 AMPOLLA POR 1 ML,1556745
SAIC ARGENTINE BIOLOGICAL INSTITUTE,EPINEPHRINE,ADRENALINA INYECTABLE BIOL,"ADRENALINA INYECTABLE BIOL SOLUCION INYECTABLE 100 AMPOLLA POR 1 ML, 1 MG/ ML",1676387
FABRA,SULFAMETHOXAZOLE & TRIMETHOPRIM,ADRENOL,ADRENOL JARABE 1 FRASCO por 60 ML,1608665
FABRA,SULFAMETHOXAZOLE & TRIMETHOPRIM,ADRENOL,JBE.X 100 ML,684862
FABRA,SULFAMETHOXAZOLE & TRIMETHOPRIM,ADRENOL,COMP.X 10,684861
ARISTON,IBANDRONIC ACID,ADROMUX,150 MG COMP.X 1,304959
ARISTON,IBANDRONIC ACID,ADROMUX,150 MG COMP.X 3,304960
VANNIER LAB,MEBENDAZOLE & TINIDAZOLE,ADUAR,ADUAR COMPRIMIDO RECUBIERTO 100 BLISTER POR 10 UNIDADES 400 MG,1567053
TAKEDA,COAGULATION FACTOR VIII,ADVATE,1000 IU FCO.AMP.LIOF.X 1,254
TAKEDA,COAGULATION FACTOR VIII,ADVATE,250 IU FCO.AMP.LIOF.X 1,256
TAKEDA,COAGULATION FACTOR VIII,ADVATE,500 IU FCO.AMP.LIOF.X 1,257
MICROSULES,ABIRATERONE,ADYARD,250 mg comp.x 120,684893
TAKEDA,COAGULATION FACTOR VIII,ADYNOVATE,1000 BAXJECT III VIAL X1+AGUA P/INY+DISP.,1387742
TAKEDA,COAGULATION FACTOR VIII,ADYNOVATE,1500 BAXJECT III VIAL X1+AGUA P/INY+DISP.,1387743
TAKEDA,COAGULATION FACTOR VIII,ADYNOVATE,500 BAXJECT III VIAL X1+AGUA P/INY+DISP.,1387747
TAKEDA,COAGULATION FACTOR VIII,ADYNOVATE,3000 BAXJECT III VIAL X1+AGUA P/INY+DISP.,1387746
ORGANON & CO,DESLORATADINE,AERIUS,5 MG COMP.REC.X 10,439
ORGANON & CO,DESLORATADINE,AERIUS,5 MG COMP.REC.X 30,440
MEGALABS,DESLORATADINE,AEROGAL,AEROGAL AEROSOL 1 AEROSOL POR 64 G (CONTENIDO TOTAL: 170 G) 37.5%,1567035
AUSTRAL,SALBUTAMOL,AEROLEP,100 MICROGRAMS (AS SULFATE) PER DOSE. 250 DOSES (CFC-FREE FORMULATION),1905
ADIUM PHARMA,LORATADINE,AEROTINA,10 MG COMP.X 10,630160
ADIUM PHARMA,LORATADINE,AEROTINA,10 MG COMP.X 30,630161
CASSARA,IPRATROPIUM BROMIDE,AEROTROP,21 MCG / NASAL SPRAY X 120 DOSES,423918
CASSARA,IPRATROPIUM BROMIDE,AEROTROP,20MCG AER. X 250 DOSAGE,531254
MEDISOL LIFESCIENCE,BUDESONIDE,AEROVENT,200MCG AER.BRONQ.X 120DS,1533649
MEDISOL,BUDESONIDE,AEROVENT E,AEROVENT E200MCG AER.X120 DOS.+ESP,1926927
PABLO CASSARA,BUDESONIDE,AEROVENT,AEROVENT AEROSOL PARA INHALAR AEROSOL POR 60 DOSIS 200MCG,1675793
CRAVERI,POLIDOCANOL,AET 0.25 %,AET 0.25 % INYECTABLE. 2 AMPOLLA por 2 ML,1554564
CRAVERI,POLIDOCANOL,AET 0.5 %,AET 0.5 % INYECTABLE 2 AMPOLLA por 2 ML,1554559
CRAVERI,POLIDOCANOL,AET 1 %,AET 1 % INYECTABLE 2 AMPOLLA por 2 ML,1554560
CRAVERI,POLIDOCANOL,AET 2 %,AET 2 % INYECTABLE 2 AMPOLLA por 2 ML,1554561
CRAVERI,POLIDOCANOL,AET 3 %,AET 3 % INYECTABLE 2 AMPOLLA por 2 ML,1554562
CRAVERI,POLIDOCANOL,AET 4 %,AET 4 % INYECTABLE 2 AMPOLLA por 2 ML,1554563
ECZANE,AFATINIB,AFATIXANE,AFATIXANE COMPRIMIDO RECUBIERTO BLISTER por 28 UNIDADES,1566837
ECZANE,AFATINIB,AFATIXANE,AFATIXANE COMPRIMIDO RECUBIERTO BLISTER por 28 UNIDADES,1566838
ECZANE,AFATINIB,AFATIXANE,AFATIXANE COMPRIMIDO RECUBIERTO BLISTER por 28 UNIDADES,1566839
TEMIS LOSTALO,PAROXETINE,AFENEXIL,20MG COMP. REC. X 30,199140
EUROFARMA,LEFLUNOMIDE,AFIANCEN,30 TABLET 20 MG,1192
NOVARTIS,EVEROLIMUS,AFINITOR,30 TABS 10 MG,490
NOVARTIS,EVEROLIMUS,AFINITOR,30 TABS 2.5 MG,491
NOVARTIS,EVEROLIMUS,AFINITOR,30 TABS 5 MG,492
SEQIRUS,"INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN",AFLURIA QUAD,INY.JGA.PRELL.X 0.5 ML,1229497
SEQIRUS,"INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN",AFLURIA QUAD JUNIOR,JGA.PRELL.X 0.25 ML,1443106
DOMINGUEZ,ITOPRIDE,AFLUSAN,50 MG COMP.X 10,329468
DOMINGUEZ,ITOPRIDE,AFLUSAN,50 MG COMP.X 30,329469
DOMINGUEZ,ITOPRIDE,AFLUSAN,50 MG COMP.X 60,329470
MEGALABS,ALLANTOIN & SULFADIAZINE,AFONISAN,AFONISAN COMPRIMIDO 1 ENVASE POR 10 UNIDADES 108 MG,1567013
MEGALABS,ALLANTOIN & SULFADIAZINE,AFONISAN,AFONISAN COMPRIMIDO 1 ENVASE POR 20 UNIDADES 108 MG,1567014
CSL BEHRING,COAGULATION FACTOR VIII,AFSTYLA,AFSTYLA POLVO Y SOLVENTE PARA SOLUCION PARA INYECTABLE FRASCO AMPOLLA por 1 UNIDAD + 1 FRASCO AMPOLLA por 2.5 ML DE AGUA PARA INYECTABLE UI / 2.5 ML,1561401
CSL BEHRING,COAGULATION FACTOR VIII,AFSTYLA,AFSTYLA POLVO Y SOLVENTE PARA SOLUCION PARA INYECTABLE FRASCO AMPOLLA por 1 UNIDAD + 1 FRASCO AMPOLLA por 2.5 ML DE AGUA PARA INYECTABLE,1561400
CASSARA,"HEPATITIS B, PURIFIED ANTIGEN",AG-B,AG-B SUSPENSION INYECTABLE FRASCO AMPOLLA por 0.5 ML 10 MCG,1553780
CASSARA,"HEPATITIS B, PURIFIED ANTIGEN",AG-B,20MCG F.AMP. X 1 DOSIS,1546785
TUTEUR,IMATINIB,AGACEL,100 MG 180 COMP.REC.X,1357
TUTEUR,IMATINIB,AGACEL,30 400 MG COMP.REC.X,1358
ELEA,AGAR-AGAR & LIQUID PETROLATUM & SODIUM PICOSULFATE,AGAROL SUAVE (SABOR CIRUELA),AGAROL SUAVE (SABOR CIRUELA) EMULSION FRASCO por 180 ML,1554581
BETA PHARMA,RASAGILINE,AGILINE,1 MG COMP.X 30,531241
MONTPELLIER,DIMENHYDRINATE,AGIRAX,"AGIRAX COMPRIMIDO BLISTER por 10 UNIDADES , 50 MG",1675763
ROEMMERS,SITAGLIPTIN,AGLIPTIN,100 MG COMP. X 30,1865864
ROEMMERS,SITAGLIPTIN,AGLIPTIN,50 MG COMP. X 30,1865865
ROEMMERS,METFORMIN & SITAGLIPTIN,AGLIPTIN MET,50/1000 MG COMP.X 30,1865869
ROEMMERS,METFORMIN & SITAGLIPTIN,AGLIPTIN MET,50/500 MG COMP. X 30,1865866
ROEMMERS,METFORMIN & SITAGLIPTIN,AGLIPTIN MET,50/850 MG COMP. X 30,1865867
ROEMMERS,METFORMIN & SITAGLIPTIN,AGLIPTIN MET,50/1000 MG COMP.X 60,1865870
ROEMMERS,METFORMIN & SITAGLIPTIN,AGLIPTIN MET,50/850 MG COMP.X 60,1865868
BETA PHARMA,GLICLAZIDE,AGLUCIDE MR 60,60 MG 30 TABS,298396
BETA PHARMA,GLICLAZIDE,AGLUCIDE MR 60,60 MG 60 TABS,298397
ASPEN,TIROFIBAN,AGRASTAT,12.5 MG VIAL X 50 ML,1245342
ARISTO PHARMA,ANAGRELIDE,AGRELID,0.5 MG CAPS.X 100,295382
ARISTO PHARMA,ANAGRELIDE,AGRELID,1 MG CAPS.X 100,295383
