MAL05041940AZ,MUCO-AID LIQUID,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL05041947XZ,GNC Folic Acid 800 mcg,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05041949AZ,Tidact Capsule 300mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05051054AZ,Enoxin Tablet 500mg,Duopharma Marketing Sdn. Bhd.
MAL05051063AZ,Metazine Tablet 20mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05051076AZ,Driminate Suppository 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05051105ACZ,Simtec Tablet 10mg,Duopharma Marketing Sdn. Bhd.
MAL05061485AZ,Condep Injection 50mg/ml (3ml vial),DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061552AZ,Frotin Pessaries,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL05072029AZ,SOMIDEM TABLET 10 MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05072030AZ,Sonap 275mg Caplet,IMEKS PHARMA SDN. BHD.
MAL05092215ACZ,"Metoclopramide-hameln 5 mg/ml Injection, 2ml",IMEKS PHARMA SDN. BHD.
MAL05092217AZ,Medoflucon 150 mg capsules,KOMEDIC SDN BHD
MAL05092228AZ,Tidact Gel 1%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05101665AZ,Dapril 20mg tablets,KOMEDIC SDN BHD
MAL05101666AZ,Dapril 5mg tablets,KOMEDIC SDN BHD
MAL05101667AZ,KLERIMED 250MG TABLET,KOMEDIC SDN BHD
MAL05101672AZ,Magurol 2mg tablets,KOMEDIC SDN BHD
MAL05101673AZ,Magurol 4 mg tablets,KOMEDIC SDN BHD
MAL05101675AZ,Hyomide Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05121152AZ,VALPARIN XR 500 TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL05121153AZ,Zocol 150mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL06011683AZ,Motidom Oral Suspension 1mg/ml,IMEKS PHARMA SDN. BHD.
MAL06011684AZ,Hirapine Tablet 200mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL06011717AZ,Alpranax Tablet 0.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06011719X,GNC Vitamin C 500 with Rose Hips Timed Release,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL06021257X,Dofomin 500mg Tablet,IMEKS PHARMA SDN. BHD.
MAL06041463AZ,Flexin 20 mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL06051302AZ,MECANDIN CREAM 2% W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06051310AZ,Melocam Tablet 7.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06051328AZ,ANPRODEX TABLETS 2 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06051410XZ,Flavettes Vitamin C Orange 500mg,Duopharma Marketing Sdn. Bhd.
MAL06051568XZ,Champs Vitamin C Chewable 100mg (Natural Orange Flavour),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06061327AZ,Covasc Tablet 5mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL06061514AZ,DB Sodium Bicarbonate 8.4% w/v Injection,DUOPHARMA (M) SENDIRIAN BERHAD
MAL06061524XC,GESB Liniment Oil,GAMAT EMAS SDN BHD
MAL06061531X,Three Legs White Balsem,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL06061674ARZ,"Suxamethonium Chloride-Fresenius 100mg/2ml, Injection",FRESENIUS KABI MALAYSIA SDN. BHD
MAL06061675AZ,Pentasa Sachet Prolonged Release Granules 1g,Ferring Sdn. Bhd.
MAL06061679XZ,Flavettes Neuroforte Tablet,Duopharma Marketing Sdn. Bhd.
MAL06061696AZ,Ciprocep Tablet 500mg,IMEKS PHARMA SDN. BHD.
MAL06061699AZ,Proezine Tablet 25mg Film Coated,Duopharma Marketing Sdn. Bhd.
MAL06071075AZ,ANZACK TABLETS 20 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06071077AZ,Sonap Forte Caplet 550mg,IMEKS PHARMA SDN. BHD.
MAL06081196AZ,Cephanmycin Capsule 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06081203AZ,BETAC 20MG TABLETS,KOMEDIC SDN BHD
MAL06081206AZ,LAMITOR 100MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06081207AZ,LAMITOR 50MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL06091374XRS,INTRALIPID 20%,FRESENIUS KABI MALAYSIA SDN. BHD
MAL06091382ARZ,Menopur Powder for Injection and Solvent 75 IU,Ferring Sdn. Bhd.
MAL06091408AZ,Yucomy Shampoo 2%w/w,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06091431XC,Kordel's Glucosamine 550 Capsule,CAMBERT(M) SDN. BHD.
MAL06091506X,Three Legs Green Balsem,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL06100555AZ,"Androgel 50mg, gel of testosterone 1%",BREGO LIFE SCIENCES SDN. BHD
MAL06100579AZ,N/A,N/A
MAL06100580AZ,N/A,N/A
MAL06111294ACSZ,Pyronium Injection 200mcg/ml,IMEKS PHARMA SDN. BHD.
MAL06111398AZ,Tracidol Capsule 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06121025ACZ,Tracidol 100 mg prolonged release capsule,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06121027AZ,FLUCOZOLE (100 MG CAPSULES),SPG PHARMA (MALAYSIA) SDN BHD
MAL06121028AZ,FLUCOZOLE (200 MG CAPSULES),SPG PHARMA (MALAYSIA) SDN BHD
MAL06121030AZ,FLUCOZOLE (50 MG CAPSULES),SPG PHARMA (MALAYSIA) SDN BHD
MAL06121051AZ,CIPROXOL ( Ciprofloxacin 0.2%w/v Intravenous Infusion BP ),AIN MEDICARE SDN. BHD.
MAL06121052X,Cartril-S 500mg Capsule,Duopharma Marketing Sdn. Bhd.
MAL06121054X,Cartril-S 1500mg Powder,Duopharma Marketing Sdn. Bhd.
MAL07010965AZ,Bacitracin-N Ointment,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07010967X,Sebitar Scalp Cleansing Treatment,EGO PHARM MALAYSIA SDN. BHD.
MAL07021524XCR,Appeton Essentials Fish Oil With Omega-3,KOTRA PHARMA (M) SDN. BHD.
MAL07021536XZ,Champs Vitamin C Chewable 100mg (Strawberry),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL07031137ACZ,Lofral 5mg Tablet,MEPHARM (MALAYSIA) SDN. BHD.
MAL07031138ACZ,Lofral 10mg Tablet,MEPHARM (MALAYSIA) SDN. BHD.
MAL07031274X,Homecare Davmorid Film Coated Tablet,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07050013AZ,Doproct Rectal Ointment,IMEKS PHARMA SDN. BHD.
MAL07050026AZ,Terasin Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07050027AZ,Terasin Tablet 2mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07050041AZ,Timazol Tablet 5mg,IMEKS PHARMA SDN. BHD.
MAL07050225XZ,Avadol suspension 250 mg/5ml (Orange),AV MANUFACTURING SDN.BHD
MAL07050226XZ,Avadol suspension 250 mg/5ml (Strawberry),AV MANUFACTURING SDN.BHD
MAL07050894AZ,Diclac� 150 ID modified-release tablet,IMEKS PHARMA SDN. BHD.
MAL07050906AZ,Avaphen Cough Syrup (Raspberry Flavour),AV MANUFACTURING SDN.BHD
MAL07050954X,Air-X SF Tablet,IMEKS PHARMA SDN. BHD.
MAL07061382AZ,INTRIL SR 1.5 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07061564X,Appeton Essentials MV21G + Selenium,KOTRA PHARMA (M) SDN. BHD.
MAL07061565X,Appeton Essentials MV21 Caplet,KOTRA PHARMA (M) SDN. BHD.
MAL07061568XCZ,Metacin Tablet 650mg,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL07061569XCZ,METACIN TABLET 500MG,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL07061572XZ,Enerlyte Oral Rehydration Salts (Natural),Duopharma Marketing Sdn. Bhd.
MAL07061578X,N-cobal 0.5mg film-coated tablet,AV MANUFACTURING SDN.BHD
MAL07061587X,Donna Forte Capsule 500mg,Duopharma Marketing Sdn. Bhd.
MAL07081476AZ,Serenata Tablets 50mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07081523AZ,Actapin 5 mg Tablet,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07081524AZ,Actapin 10 mg Tablet,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07081548XZ,UPHAMOL TABLET 500 MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL07081598AZ,Ceretam Oral solution 20% w/v,AV MANUFACTURING SDN.BHD
MAL07081616AZ,Ceretam 800mg Film-Coated Tablet,AV MANUFACTURING SDN.BHD
MAL07081653X,Appeton Essentials Teengrow,KOTRA PHARMA (M) SDN. BHD.
MAL07082844AZ,Keto Injection 30mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07082983XZ,Neurobine Film Coated Tablet,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07082985X,Condropil capsule,AV MANUFACTURING SDN.BHD
MAL07090903AZ,QUINTOR 500 Tablet,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07090926AZ,Omiflu Capsule 75mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL07091040ACZ,Iomeron 350 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL07091058X,Conart capsule,AV MANUFACTURING SDN.BHD
MAL07091072XZ,Axcel Paracetamol - 500 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL07101253AZ,Axcel Cimetidine 200 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL07122779AZ,Moxiclav 1G F.C Tablets,KOMEDIC SDN BHD
MAL07122833X,Coenzyme Q10 75mg,HERBAL SCIENCE SDN. BHD.
MAL07122841X,Homecare Guafensin Syrup 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07122844AZ,Melashine Cream 4%.W/W,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07122846AZ,Melomet Cream 0.1% W/W,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124602ACZ,Fenosup Lidose 160 mg Capsule,HYPHENS PHARMA SDN. BHD.
MAL07124607AZ,Clarimycin Film Coated Tablet 250mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124609AZ,Clarimycin Film Coated Tablet 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124618AZ,FLUCONOL (Fluconazole 2mg/mL Intravenous Infusion),AIN MEDICARE SDN. BHD.
MAL07124630AZ,Clamentin Film Coated Tablet 625mg.,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL07124643AZ,Axcel Clobetasol 0.05% Ointment,KOTRA PHARMA (M) SDN. BHD.
MAL08010687ACZ,Iopamiro 300 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL08010688ACZ,Iopamiro 370 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL08010740AZ,Axcel Clobetasol 0.05% Cream,KOTRA PHARMA (M) SDN. BHD.
MAL08010771ACZ,VELOXIN TABLET 25/50mg,PHARM-D SDN. BHD.
MAL08021472AZ,Vesyca Injection 25mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08032206X,Simcone Suspension 67mg/ml,IMEKS PHARMA SDN. BHD.
MAL08032207X,Axcel Glucosamine-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL08042250X,Appeton Essentials Msteen,KOTRA PHARMA (M) SDN. BHD.
MAL08042384X,Creobic Gold Cream 1% w/w,KOTRA PHARMA (M) SDN. BHD.
MAL08042447AZ,Clamentin Injection 1.2g,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08042468AZ,Anprodryl Syrup,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL08042477AZ,GEMITA for Injection 1G,FRESENIUS KABI MALAYSIA SDN. BHD
MAL08042478AZ,Borymycin Capsule 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08042479AZ,GEMITA for Injection 200mg,FRESENIUS KABI MALAYSIA SDN. BHD
MAL08051617XZ,AXPAIN-650 CAPLET,KOTRA PHARMA (M) SDN. BHD.
MAL08061611AZ,Fusigen Ointment (Sodium Fusidate BP 2 % w/w),KOMEDIC SDN BHD
MAL08061648AZ,Pyrimine Tablet 60mg,IMEKS PHARMA SDN. BHD.
MAL08061682X,Donna Glucosamine 1500mg Sachet,Duopharma Marketing Sdn. Bhd.
MAL08061683ACZ,Multihance Injection Solution,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL08080395AZ,Covasc Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL08082429XZ,Deltacarbon Tablet 250mg,IMEKS PHARMA SDN. BHD.
MAL08082444XZ,B-cobal Film-coated tab,AV MANUFACTURING SDN.BHD
MAL08091413AZ,Axcel Ecozalon Cream,KOTRA PHARMA (M) SDN. BHD.
MAL08091416AZ,BEACON-FDG MULTIDOSE INJECTION,Beacon Hospital Sdn. Bhd.
MAL08111799AZ,Cetiz syrup 0.1% w/v,AV MANUFACTURING SDN.BHD
MAL08111816XC,Kordel`s Glucosamine Plus Chondroitin 500/400 Capsule,CAMBERT(M) SDN. BHD.
MAL08111949XR,N/A,N/A
MAL08120871AZ,Axcel Clindamycin Topical Solution 1% W/V,KOTRA PHARMA (M) SDN. BHD.
MAL09011420AZ,Brot 850mg Tablets,KOMEDIC SDN BHD
MAL09011474AZ,Liproct Suppository,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09011476X,Appeton Essentials Glucosamine-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL09011477XZ,RinsCap CG (Chlorhexidine Gluconate 0.05% w/v Irrigation Solution),AIN MEDICARE SDN. BHD.
MAL09020977AZ,Axcel Sodium Fusidate 250 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL09020981X,APPETON MULTIVITAMIN HI-Q TAURINE WITH DHA TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL09032007AZ,Axcel Oxymetazoline 0.05% Nasal Spray,KOTRA PHARMA (M) SDN. BHD.
MAL09032008AZ,LEVOFLOXOL (Levofloxacin 5mg/mL Intravenous Infusion),AIN MEDICARE SDN. BHD.
MAL09032026AZ,Ceflour Film Coated Tablet 250mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09032033XC,Vecobal 500mcg Tablet,ELDON HEALTHCARE SDN. BHD.
MAL09042388AZ,Edeline Injection 30 mg/ml,DUOPHARMA (M) SENDIRIAN BERHAD
MAL09042417AZ,Axcel Valacyclovir-500 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL09042434AZ,RIVADEM 1.5MG CAPSULES,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL09042435AZ,RIVADEM 3MG CAPSULES,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL09051556AZ,Anlodin Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09051562AZ,Anlodin Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09051622AZ,INFUSOL K+0.15 D5 (Potassium Chloride 0.15% w/v and Dextrose 5% w/v Intravenous Infusion BP),AIN MEDICARE SDN. BHD.
MAL09051623AZ,INFUSOL K+0.15 NS (Potassium Chloride 0.15% w/v and Sodium Chloride 0.9% w/v Intravenous Infusion BP),AIN MEDICARE SDN. BHD.
MAL09062132X,Appeton Essentials Antioxidant,KOTRA PHARMA (M) SDN. BHD.
MAL09072774AZ,Fentanyl HEXAL MAT 25 mcg/h Transdermal Patch,IMEKS PHARMA SDN. BHD.
MAL09072775AZ,Fentanyl HEXAL MAT 50 mcg/h Transdermal Patch,IMEKS PHARMA SDN. BHD.
MAL09072796AZ,ANPRO-ZOLPIDEM TABLETS 10 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL09080813T,Appeton Essentials Memotab,KOTRA PHARMA (M) SDN. BHD.
MAL09082800AZ,Axcel erythromycin ES-400 Suspension,KOTRA PHARMA (M) SDN. BHD.
MAL09100008X,Terbin Cream 1%,SM PHARMACEUTICALS SDN. BHD.
MAL09100243AZ,Nimodipine HEXAL� 30 mg Film-coated Tablet,IMEKS PHARMA SDN. BHD.
MAL09100256AZ,TORLEVA 500MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL09100259AZ,TORLEVA 1000MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL09100265AZ,Garbose Tablet 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09100266AZ,Garbose Tablet 100mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09100270AZ,ADECURE SYRUP 5MG/ML,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL09100308X,OK Orang Kampung Bam Serai Plus,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL09102913AZ,UFUR Capsule,PHARM-D SDN. BHD.
MAL09111737AZ,BisoHEXAL 5mg Film-coated Tablet,IMEKS PHARMA SDN. BHD.
MAL09111765XZ,Flavettes Vitamin C Blackcurrant 250mg,Duopharma Marketing Sdn. Bhd.
MAL09122028AZ,BisoHEXAL 2.5mg Film-coated Tablet,IMEKS PHARMA SDN. BHD.
MAL10012456XZ,APPETON ACTIV-C (STRAWBERRY),KOTRA PHARMA (M) SDN. BHD.
MAL10021801AZ,PANTOR 20MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10021802AZ,PANTOR 40MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10021817XZ,Champs Vitamin C 100mg Blackcurrant Flavour Chewable Tablet,Duopharma Marketing Sdn. Bhd.
MAL10033149AZ,Strokan FC Tablet 250mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10033185AZ,NEBICARD 5MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10033194AZ,LATANDROPS 0.005%W/V EYE DROPS,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL10043690AZ,DEPLATT TABLET USP 75MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10053664AZ,EPIMATE 50 TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10053666AZ,EPIMATE 100 TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10053667AZ,VAXCEL LIGNOCAINE 2% INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL10053678X,APPETON MULTIVITAMIN LYSINE WITH PREBIOTIC TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL10070569ACZ,Flumazenil-hameln 0.1 mg/ml Injection,IMEKS PHARMA SDN. BHD.
MAL10070578AZ,Espran 10mg Tablets,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10070594AZ,N/A,N/A
MAL10080041AZ,GEMITA for Injection 1400 mg,FRESENIUS KABI MALAYSIA SDN. BHD
MAL10080052AZ,Melaquin Cream 4%w/w,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL10080061ACZ,COVAPRIL TABLET 4MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10080065AZ,ROSUCOR TABLET 20 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10080066AZ,ROSUCOR TABLET 10 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL10080071XZ,Crotocort Lotion 10% w/w,SM PHARMACEUTICALS SDN. BHD.
MAL10100031AZ,Priacin 40mg Film Coated Tablets,KOMEDIC SDN BHD
MAL10100032AZ,Priacin 20mg Film Coated Tablets,KOMEDIC SDN BHD
MAL10100038X,QV Flare Up Bath Oil,EGO PHARM MALAYSIA SDN. BHD.
MAL10100126AZ,Magrilan 20mg Capsules,KOMEDIC SDN BHD
MAL10100134AZ,XILONE Syrup 5 mg / 5 ml,Pharco Health Sdn. Bhd
MAL10100179AZ,VAXCEL PANTOPRAZOLE 40 MG INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL10110001AZ,Carvedilol HEXAL� 6.25 mg Tablet,IMEKS PHARMA SDN. BHD.
MAL10110003AZ,Carvedilol HEXAL� 25 mg Tablet,IMEKS PHARMA SDN. BHD.
MAL10110022AZ,NICOL EYE DROPS 0.5%W/V,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10110024AZ,BETACIN EYE/EAR DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10110025AZ,NEO DECA EYE/EAR DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10110027AZ,BETAGEN EYE/EAR DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL10120014ACRZ,EBIXA FILM-COATED TABLET 20 MG,Lundbeck Malaysia Sdn. Bhd.
MAL10120020ACZ,N/A,N/A
MAL10120023ACZ,Glyceryl Trinitrate-hameln 1mg/ml Injection,IMEKS PHARMA SDN. BHD.
MAL10120046X,EYE GLO PLUS EYE DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL11010021AZ,Olfovel 500mg Tablet,IMEKS PHARMA SDN. BHD.
MAL11010027AZ,ASTHATOR 4 MG CHEWABLE TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL11010028AZ,ASTHATOR 5 MG CHEWABLE TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL11010029AZ,ASTHATOR 10MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL11010035X,EYE GLO RELIEF EYE DROPS 0.25%w/v,DUOPHARMA (M) SENDIRIAN BERHAD
MAL11030096AZ,BEAGENTA EYE/EAR DROPS 0.3%W/V,DUOPHARMA (M) SENDIRIAN BERHAD
MAL11030111X,Conart Sachet for Oral Solution,AV MANUFACTURING SDN.BHD
MAL11040012AZ,Pentasa Sachet Prolonged Release Granules 2g,Ferring Sdn. Bhd.
MAL11040013AZ,VAXCEL OMEPRAZOLE-40MG INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL11040016AZ,Cervidil Controlled Release Vaginal Pessary 10mg,Ferring Sdn. Bhd.
MAL11040020AZ,Oxair Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL11040022AZ,Oxair Chewable Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL11040026AZ,INJECSOL S20 SODIUM CHLORIDE 20% w/v INJECTION BP,AIN MEDICARE SDN. BHD.
MAL11050003AZ,Lignoral Oral Spray 10%W/V,Pharco Health Sdn. Bhd
MAL11060005AZ,VAXCEL CEFOBACTAM-1G INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL11060013AZ,Tosan Tablet 50mg,IMEKS PHARMA SDN. BHD.
MAL11060030X,ANUCARE OINTMENT,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL11060032AZ,INJECSOL K10 (POTASSIUM CHLORIDE10% w/v INJECTION BP),AIN MEDICARE SDN. BHD.
MAL11070004AZ,Fytosid Injection (20mg/ml),FRESENIUS KABI MALAYSIA SDN. BHD
MAL11070015AZ,Cabamine Injection 1000mcg/ml,DUOPHARMA (M) SENDIRIAN BERHAD
MAL11075003AZ,Promezine Syrup 1mg/ml.,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL11080004ARZ,SmofKabiven Peripheral (Emulsion for Infusion),FRESENIUS KABI MALAYSIA SDN. BHD
MAL11080009X,air-X 120 Tablet,IMEKS PHARMA SDN. BHD.
MAL11085007XZ,RinsCap CIPA ( CHLORHEXIDINE GLUCONATE 2% w/v and ISOPROPYL ALCOHOL 70% v/v ),AIN MEDICARE SDN. BHD.
MAL11095001AZ,IPRANEB 500 (Ipratropium Bromide 500mcg/2mL Nebuliser Solution BP),AIN MEDICARE SDN. BHD.
MAL11110005AZ,VAXCEL CEFEPIME 1G INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL11110007AZ,TRANEXAMIC ACID 500mg/5mL INJECTION Bioindustria L.I.M.,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL11110008AZ,Tacarline Injection 1mg/ ml,DUOPHARMA (M) SENDIRIAN BERHAD
MAL11115006AZ,SOBENZ LOZENGE (ORANGE),Duopharma Marketing Sdn. Bhd.
MAL11115007AZ,SOBENZ LOZENGE (MELON),Duopharma Marketing Sdn. Bhd.
MAL11120002AZ,AXCEL AMLODIPINE-10MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL11120003AZ,AXCEL AMLODIPINE-5MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL11120007X,PIASCLEDINE Capsule,HYPHENS PHARMA SDN. BHD.
MAL12010004AZ,VAXCEL FLUCONAZOLE 2MG/ML IV INFUSION,KOTRA PHARMA (M) SDN. BHD.
