PCID Mapping,Package Number,Country,Company,Product Group,Local Product Name,Generic Name,Description,Indication,Pack Size,Effective Start Date,Effective End Date,Currency,Ex Factory Wholesale Price,Ex Factory Wholesale Price Less Rebate,Ex Factory Hospital Price,Ex Factory Hospital Price Less Rebate,Ex Factory to Pharmacy Price,Pharmacy Purchase Price,Pharmacy Purchase Price Less Rebate,Public without VAT Price,Public Without VAT Price Less Rebate,Public with VAT Price,Public With VAT Price Less Rebate,VAT Percent,Reimbursable Status,Reimbursable Price,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,Package Notes,Discontinued,Region,WHO ATC Code,Therapeutic Areas,Presentation,Marketing Authority,Local Pack Description,Formulation,Fill Unit,Fill Size,Pack Unit,Strength,Strength Unit,Brand Type,Import Type,Combination Molecule,Source,LOCAL_PACK_CODE,Unit Price
,,MALAYSIA,Fasiliti Penyediaan Radiofarmaseutikal-Siklotron,,FDG PUTRA INJECTION,2-Deoxy-2-[18f] Flouro-D-Glucose Injection,,,1,,,MYR,,,,,,,,33.0,,33.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Fasiliti Penyediaan Radiofarmaseutikal-Siklotron,,1 vial (100-450mCi/ml),,,,,,,,,PRICENTRIC,MAL09011503AZ,33.0
,,MALAYSIA,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,,OK ORANG KAMPUNG MINYAK MERAH,Camphor Monobromide 3% ; Methyl Salicylate 44% ; Menthol 2%,,,72,,,MYR,,,,,,,,1116.0,,1116.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,,72 bottle of 60ml per carton,,,,,,,,,PRICENTRIC,MAL09020992X,15.5
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Clamentin powder for syrup 31.25mg/ml,Amoxicillin (as Trihydrate) ; Clavulanic Acid (as Potassium) 31.25mg Syrup,,,24,,,MYR,,,,,,,,1020.0,,1020.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 24 bottle of 12gm,,,,,,,,,PRICENTRIC,MAL09032000AZ,42.5
,,MALAYSIA,KOTRA PHARMA (M) SDN. BHD.,,Appeton Essentials Memotab,Ginkgo Biloba Extract 40mg tablet,,,120,,,MYR,,,,,,,,191.15,,191.15,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,KOTRA PHARMA (M) SDN. BHD.,,bottle of 120 tablet,,,,,,,,,PRICENTRIC,MAL09080813T,1.59
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,ANTHRACIN INJECTION 2mg/ml,Epirubicin Hydrochloride 2mg Injection,,,1,,,MYR,,,,,,,,260.0,,260.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 1 vial,,,,,,,,,PRICENTRIC,MAL09100237ARZ,260.0
,,MALAYSIA,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,,OK Orang Kampung Bam Serai Plus,Camphor Monobromide 3.5;%(w/w); Menthol 3;%(w/w); Methyl Salicylate 27.4;%(w/w) Ointment,,,72,,,MYR,,,,,,,,849.6,,849.6,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,,72 bottle of 23gm per carton,,,,,,,,,PRICENTRIC,MAL09100308X,11.8
,,MALAYSIA,Advance Pharma Sdn Bhd,,Soflex 500 capsule,Glucosamine 500 mg Capsule,,,60,,,MYR,,,,,,,,69.8,,69.8,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Advance Pharma Sdn Bhd,,1 glass bottle with 60 capsule,,,,,,,,,PRICENTRIC,MAL09103051XC,1.16
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,Atropine Sulphate-Fresenius 1mg/ml Injection,Atropine Sulphate 1mg Injection,,,10,,,MYR,,,,,,,,91.0,,91.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 10 vaials,,,,,,,,,PRICENTRIC,MAL10080058ARZ,9.1
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,KEMOCARB SOLUTION FOR INJECTION 10MG/ML,Carboplatin Bp 10mg Injection,,,1,,,MYR,,,,,,,,260.0,,260.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 1 vial,,,,,,,,,PRICENTRIC,MAL11030002ARZ,260.0
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,Oxitan Injection (5mg/ml),Oxaliplatin 5mg Injection,,,1,,,MYR,,,,,,,,1040.0,,1040.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 1 vial,,,,,,,,,PRICENTRIC,MAL11070003ARZ,1040.0
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,Aminoven Infant 10% w/v,Taurine 0.4g/1000ml ; N-Acetyl-Lcysteine 0.770g/1000ml ; L-Lysine Acetate 12.0g/1000ml ; L-Leucine 13.0g/1000ml ; L-Tryptophan 2.010g/1000ml ; L-Malic Acid 2.620g/1000ml ; L-Methionine 3.120g/1000ml ; L-Phenylalanine 3.75g/1000ml ; Glycine 4.150g/1000ml ; L-Threonine Ph.eur. 4.4g/1000ml ; L-Histidine 4.760g/1000ml ; N-Acetyl-L-Tyrosine 5.176g/1000ml ; L-Arginine 7.5g/1000ml ; L-Serine . 7.670g/1000ml ; L-Isoleucine 8.0g/1000ml ; L-Valine 9.0g/1000ml ; L - Alanine 9.3g/1000ml ; L-Proline 9.71g/1000ml,,,10,,,MYR,,,,,,,,2170.35,,2170.35,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a pack of 10 bottle of 250ml,,,,,,,,,PRICENTRIC,MAL11070005ARZ,217.03
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,"SmofKabiven, Emulsion for Infusion","Arginine 6.1g/1000ml ; Tyrosine. 0.2g/1000ml ; Sodium Glycerophosphate 2.1g/1000ml ; Serine 3.3g/1000ml ; Valine 3.1g/1000ml ; Alanine 7.1g/1000ml ; Fish Oil 5.7g/1000ml ; Glucose Monohydrate 302ml/1000mg ; Lysine Acetate 4.72g/1000ml ; Proline 5.7g/1000ml ; Taurine. 0.5g/1000ml ; Isoleucine 2.5g/1000ml ; Olive Oil 9.5g/1000ml ; Soya Bean Oil Refined 11.4g/1000ml ; Magnesium Sulphate Heptahydrate 1.25g/1000ml ; Glycine 5.6g/1000ml ; Methionine 2.2g/1000ml ; Histidine. 1.5g/1000ml ; Calcium Chloride Dihydrate Ph. Eur. 0.375g/1000ml ; Zinc Sulphate Heptahydrate 0.023g/1000ml ; Threonine 2.2g/1000ml ; Medium Chain Triglycerides , Ph. Eur. 11.4g/1000ml ; Sodium Acetate, Trihydrate, Ph. Eur. 2.85g/1000ml ; Potassium Chloride Ph Eur 2.3g/1000ml ; Phenylalanine 2.6g/1000ml ; Leucine 3.8g/1000ml ; Tryptophan 1.0g/1000ml Emulsion For Infusion",,,1,,,MYR,,,,,,,,181.54,,181.54,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a box of 1 bag of 986ml,,,,,,,,,PRICENTRIC,MAL11090002ARZ,181.54
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,"SmofKabiven Electrolyte Free, Emulsion for Infusion","Arginine 6.1g/1000ml ; Histidine 1.5g/1000ml ; Glucose Monohydrate 302ml/1000ml ; Leucine 3.8g/1000ml ; Valine 3.1g/1000ml ; Serine 3.3g/1000ml ; Glycine 5.6g/1000ml ; Medium Chain Triglycerides 11.4g/1000ml ; Olive Oil 9.5g/1000ml ; Soya Bean Oil, Refined Ph. Eur 11.4g/1000ml ; Taurine 0.5g/1000ml ; Lysine Acetate 4.72g/1000ml ; Proline 5.7g/1000ml ; Isoleucine 2.5g/1000ml ; Tyrosine. 0.2g/1000ml ; Tryptophan 1.0g/1000ml ; Fish Oil 5.7g/1000ml ; L-Alanine 7.1g/1000ml ; Methionine 2.2g/1000ml ; Threonine 2.2g/1000ml ; Phenylalanine 2.6g/1000ml Emulsion For Infusion",,,4,,,MYR,,,,,,,,764.4,,764.4,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a box of 4 bag of 986ml,,,,,,,,,PRICENTRIC,MAL11090008ARZ,191.1
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Conpanzole Enteric Coated Tablet 20mg,Pantoprazole Sodium Sesquihydrate 20mg Tablet,,,420,,,MYR,,,,,,,,573.0,,573.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 420 tablet,,,,,,,,,PRICENTRIC,MAL11095002AZ,1.36
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Conpanzole Enteric Coated Tablet 40mg,Pantoprazole Sodium Sesquihydrate 40mg Tablet,,,420,,,MYR,,,,,,,,573.0,,573.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 420 tablet,,,,,,,,,PRICENTRIC,MAL11095003AZ,1.36
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Shine Joinflex Forte Film Coated tablet,Glucosamine Sulfate 2kcl ; Chondroitin Sulphate Film-Coated Tablet,,,60,,,MYR,,,,,,,,71.7,,71.7,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 60 tablet of 15s x 4,,,,,,,,,PRICENTRIC,MAL11110014X,1.2
,,MALAYSIA,HYPHENS PHARMA SDN. BHD.,,PIASCLEDINE Capsule,Soybean & Avocado Oil Capsule,,,60,,,MYR,,,,,,,,223.4,,223.4,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,HYPHENS PHARMA SDN. BHD.,,a pack of 60 capsules,,,,,,,,,PRICENTRIC,MAL11120007X,3.72
,,MALAYSIA,CATALYSIS (M) SDN. BHD.,,PERMOTREND capsule,Amino Acid; Vitamins; Minerals,,,90,,,MYR,,,,,,,,184.0,,184.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,CATALYSIS (M) SDN. BHD.,,pack of 90 Capsule,,,,,,,,,PRICENTRIC,MAL13055027NC,1.33
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,YSP Rasitol Injection 10mg/ml,Frusemide 10mg Injection,,,100,,,MYR,,,,,,,,819.0,,819.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 100 ampoule of 2ml,,,,,,,,,PRICENTRIC,MAL13065038AZ,8.19
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,YSP Tren Injection 100mg/ml,Tranexamic Acid 100mg Injection,,,10,,,MYR,,,,,,,,231.0,,231.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 10 vial of 2ml,,,,,,,,,PRICENTRIC,MAL13075063AZ,23.1
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Shine J-CARE Cream,Camphor 40 mg; Capsaicin 0.75 mg; Menthol 100 mg & Methyl Salicylate 40 mg Cream,,,30,,,MYR,,,,,,,,13.2,,13.2,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 14 case of 30gm,,,,,,,,,PRICENTRIC,MAL14075045X,0.44
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,"Ketosteril, film-coated tablets","Alpha-Ketoisoleucine, Calcium Salt 67mg ; Alpha-Ketoleucine, Calcium Salt 101.0mg ; Lysine Acetate 105.0mg ; Threonine 53.0mg ; Histidine 38.0mg ; Tyrosine__ 30.0mg ; Tryptophan 23.0mg ; Alpha-Ketovaline, Calcium Salt 86.0mg ; Alpha-Hydroxymethionine, Calcium Salt 59.0mg ; Alpha-Ketophenylalanine, Calcium Salt 68.0mg Film-Coated Tablet",,,100,,,MYR,,,,,,,,314.6,,314.6,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a pack of 100 tablet,,,,,,,,,PRICENTRIC,MAL15045140ARSZ,3.15
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,YSP Pulin Injection 5mg/ml,Metoclopramide Hydrochloride 5mg Injection,,,100,,,MYR,,,,,,,,426.0,,426.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 100 ampoule of 2ml,,,,,,,,,PRICENTRIC,MAL15065035AZ,4.26
,,MALAYSIA,PHARM-D SDN. BHD.,,Vusimide 10mg/ml Furosemide Oral Solution,Frusemide 10 mg/ml Oral Solution,,,120,,,MYR,,,,,,,,118.3,,118.3,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,PHARM-D SDN. BHD.,,bottle of 120 ml,,,,,,,,,PRICENTRIC,MAL15065040ACZ,0.99
,,MALAYSIA,N/A,,N/A,Dl-Alpha Tocopheryl Acetate [5.00Mg; 1Ml] Taurine [15.00Mg; 1Ml] Retinyl Palmitate [1.50Mg; 1Ml] Cholecalciferol [0.40Mg; 1Ml] Riboflavin Sodium Phosphate [0.82Mg; 1Ml] Nicotinamide [8.00Mg; 1Ml] Pyridoxine Hydrochloride [0.49Mg; 1Ml] L-Lysine Hydrochloride [15.00Mg; 1Ml],,,30,,,MYR,,,,,,,,69.85,,69.85,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,N/A,,Bottle of 30ml,,,,,,,,,PRICENTRIC,MAL15095004N,2.33
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,Cisatracurium Kabi 2 mg/ml solution for injection or infusion,Cisatracurium Besylate 2mg Injection,,,5,,,MYR,,,,,,,,126.75,,126.75,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,a pack of 5 amp of 5ml,,,,,,,,,PRICENTRIC,MAL16085025ARZ,25.35
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Optishine Vitreo Eye Drops,Potassium Iodide ; Sodium Iodide Drops,,,12,,,MYR,,,,,,,,288.0,,288.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 12 bottle of 10ml,,,,,,,,,PRICENTRIC,MAL16105018X,24.0
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,Cardin Orodispersible Tablet,Aspirin ; Glycine Tablet,,,360,,,MYR,,,,,,,,164.4,,164.4,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 360 tablet of 12 case 30s x 1,,,,,,,,,PRICENTRIC,MAL16105020XZ,0.46
,,MALAYSIA,Y.S.P. INDUSTRIES (M) SDN. BHD.,,SIMVACOR Film Coated Tablet 20mg,Simvastatin 20mg Film-Coated Tablet,,,600,,,MYR,,,,,,,,1260.0,,1260.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,Y.S.P. INDUSTRIES (M) SDN. BHD.,,a pack of 600 tablet of 1 case of 10s x 10 x 6,,,,,,,,,PRICENTRIC,MAL17107031AZ,2.1
,,MALAYSIA,JWP Medical Sdn. Bhd.,,Hundred Koyok Classic,Menthol 0.62 mg; 13.72 mg; Methyl Salicylate 0.62 mg; 13.72 mg; Camphor 0.41 mg; 13.72 mg; Borneol 0.18 mg; 13.72 mg; Thymol 0.04 mg; 13.72 mg Plaster / Patches,,,10,,,MYR,,,,,,,,4.2,,4.2,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,JWP Medical Sdn. Bhd.,,pack of 100 piece,,,,,,,,,PRICENTRIC,MAL18026038XC,0.42
,,MALAYSIA,KOTRA PHARMA (M) SDN. BHD.,,Appeton MV Hi-Q Taurine Syrup,Retinyl Palmitate [0.555 Mg; 5.00 Ml] Nicotinamide [5.000 Mg; 5.00 Ml] Pyridoxine Hydrochloride [0.486 Mg; 5.00 Ml] Taurine [10.000 Mg; 5.00 Ml] Thiamine Hydrochloride [0.318 Mg; 5.00 Ml] D-Panthenol [1.504 Mg; 5.00 Ml] Riboflavin 5-Phosphate Sodium [0.478 Mg; 5.00 Ml] Dl-Alpha Tocopheryl Acetate [5.000 Mg; 5.00 Ml] Cholecalciferol [0.160 Mg; 5.00 Ml],,,120,,,MYR,,,,,,,,63.0,,63.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,KOTRA PHARMA (M) SDN. BHD.,,Bottle of120ml,,,,,,,,,PRICENTRIC,MAL18026042N,0.53
,,MALAYSIA,KARA MARKETING (M) SDN. BHD.,,Minyak Angin Safe Care,Menthol ; Camphor,,,1,,,MYR,,,,,,,,4.05,,4.05,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,KARA MARKETING (M) SDN. BHD.,,a pack of 5 ml bottle,,,,,,,,,PRICENTRIC,MAL18056087X,4.05
,,MALAYSIA,JWP Medical Sdn. Bhd.,,Neobun Classic Plaster,Menthol 0.90 mg; 13.90 mg; Methyl Salicylate 0.70 mg; 13.90 mg; Camphor 0.32 mg; 13.90 mg; Thymol 0.14 mg; 13.90 mg Plaster / Patches,,,24,,,MYR,,,,,,,,3.8,,3.8,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,JWP Medical Sdn. Bhd.,,a pack of 24 piece of plasters,,,,,,,,,PRICENTRIC,MAL18056088XC,0.16
,,MALAYSIA,FRESENIUS KABI MALAYSIA SDN. BHD,,Meropenem Kabi 1g powder for solution for injection or infusion,Meropenem Trihydrate 1g Injection,,,10,,,MYR,,,,,,,,650.0,,650.0,,0.0,,,0.00%,,,100.00%,,,,MALAYSIA,,,,FRESENIUS KABI MALAYSIA SDN. BHD,,pack of 10 vials,,,,,,,,,PRICENTRIC,MAL18056172ACRZ,65.0
