WHO_ATC_Code,Local_Pack_Description_MK,Local_Pack_Description_EN,Generic_Name,Marketing_Company_MK,Marketing_Company_EN,Pharmacy_Purchase_Price,Effective_Start_Date
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,16786.65,16.03.2015
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,14351.92,22.10.2015
M05BA08,ACLASTA ??????? ?? ???????? 5 mg/100 ml 1 PE ???? ? 100 ml/??????,ACLASTA solution for infusion 5 mg/100 ml 1 PE bottle x 100 ml/box,zoledronic acid,NOVARTIS PHARMA STEIN AG,NOVARTIS PHARMA STEIN AG,12937.56,15.10.2016
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,23680.27,14.12.2011
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,22053,15.10.2013
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,19484.43,17.10.2014
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,18974.83,16.03.2015
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,18414.44,15.03.2018
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,16512.87,16.03.2020
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 200 mg/10 ml 1 ?????? ? 10 ml/??????,ACTEMRA concentrate for solution for infusion 200 mg/10 ml 1 vial x 10 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,15056.06,15.03.2024
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,46725.38,14.12.2011
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,43640,15.10.2013
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,38529.14,17.10.2014
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,37477.25,16.03.2015
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,34285.22,15.03.2018
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,32710.81,16.03.2020
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 400 mg/20 ml 1 ?????? ? 20 ml/??????,ACTEMRA concentrate for solution for infusion 400 mg/20 ml 1 vial x 20 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,29456.4,15.03.2024
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,6650.71,16.03.2020
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,6633.14,23.03.2023
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,6224.58,15.03.2024
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,54556.65,06.11.2015
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,51442.78,15.03.2018
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,51125.11,15.03.2019
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,50670.62,16.03.2020
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,47923.57,15.03.2021
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,45802.13,15.03.2022
L04AC07,"ACTEMRA ??????? ?? ??????????? 162 mg/0,9 ml 4 ????????? ?????????? ?????? ? 0,9 ml/??????",ACTEMRA solution for injection 162 mg/0.9 ml 4 pre-filled syringes x 0.9 ml/box,tocilizumab,F.Hoffmann-La Roche Ltd.,F.Hoffmann-La Roche Ltd.,44203.16,15.03.2024
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,9511.62,14.12.2011
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,8873,15.10.2013
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,7911.36,17.10.2014
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,7843.15,16.03.2015
L04AC07,ACTEMRA ?????????? ?? ??????? ?? ???????? 80 mg/4 ml 1 ???????a ?????? ? 4 ml/??????,ACTEMRA concentrate for solution for infusion 80 mg/4 ml 1 glass vial x 4 ml/box,tocilizumab,F. HOFFMANN-LA ROCHE Ltd,F. HOFFMANN-LA ROCHE Ltd,7048.47,15.03.2018
J07AG01,"ACT-HIB ?????? ? ????????? ?? ??????? ?? ??????????? 10 mcg/0,5 ml 1 ?????? ?? ?????? + 1 ???????? ?????????? ????? ?? ???? ? 0,5 ml ?????????/??????",ACT-HIB powder and vehicle for solution for injection 10 mcg/0.5 ml 1 vial of powder + 1 pre-filled syringe with needle x 0.5 ml vehicle/box,"haemophilus influenzae B, purified antigen conjugated","Sanofi Pasteur S.A., SANOFI PASTEUR","Sanofi Pasteur S.A., SANOFI PASTEUR",448.73,14.03.2014
J07AG01,"ACT-HIB ?????? ? ????????? ?? ??????? ?? ??????????? 10 mcg/0,5 ml 10 ?????? ?? ??????/?????? + 10 ?????? ?? ????????? x 0,5 ml/??????",ACT-HIB powder and vehicle for solution for injection 10 mcg/0.5 ml 10 vials of powder/box + 10 vials of vehicle x 0.5 ml/box,"haemophilus influenzae B, purified antigen conjugated",SANOFI PASTEUR S.A.,SANOFI PASTEUR S.A.,4487.3,14.05.2014
B01AD02,ACTILYSE ?????? ? ????????? ?? ??????? ?? ???????????/???????? 50 mg 1 ?????? ? 50 mg + 1 ?????? ? 50 ml ?????????/??????,ACTILYSE powder and vehicle for solution for injection/infusion 50 mg 1 vial x 50 mg + 1 vial x 50 ml vehicle/box,alteplase,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,25153,14.12.2011
B01AD02,ACTILYSE ?????? ? ????????? ?? ??????? ?? ???????????/???????? 50 mg 1 ?????? ? 50 mg + 1 ?????? ? 50 ml ?????????/??????,ACTILYSE powder and vehicle for solution for injection/infusion 50 mg 1 vial x 50 mg + 1 vial x 50 ml vehicle/box,alteplase,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,24780,15.10.2013
B01AD02,ACTILYSE ?????? ? ????????? ?? ??????? ?? ???????????/???????? 50 mg 1 ?????? ? 50 mg + 1 ?????? ? 50 ml ?????????/??????,ACTILYSE powder and vehicle for solution for injection/infusion 50 mg 1 vial x 50 mg + 1 vial x 50 ml vehicle/box,alteplase,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,24638,14.03.2014
B01AD02,ACTILYSE ?????? ? ????????? ?? ??????? ?? ???????????/???????? 50 mg 1 ?????? ? 50 mg + 1 ?????? ? 50 ml ?????????/??????,ACTILYSE powder and vehicle for solution for injection/infusion 50 mg 1 vial x 50 mg + 1 vial x 50 ml vehicle/box,alteplase,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,24600.39,22.10.2015
B01AD02,ACTILYSE ?????? ? ????????? ?? ??????? ?? ???????????/???????? 50 mg 1 ?????? ? 50 mg + 1 ?????? ? 50 ml ?????????/??????,ACTILYSE powder and vehicle for solution for injection/infusion 50 mg 1 vial x 50 mg + 1 vial x 50 ml vehicle/box,alteplase,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,24320,15.03.2018
B01AD02,ACTILYSE ?????? ? ????????? ?? ??????? ?? ???????????/???????? 50 mg 1 ?????? ? 50 mg + 1 ?????? ? 50 ml ?????????/??????,ACTILYSE powder and vehicle for solution for injection/infusion 50 mg 1 vial x 50 mg + 1 vial x 50 ml vehicle/box,alteplase,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,BOEHRINGER Ingelheim Pharma GmbH&Co. KG,23408,17.03.2025
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? ? 50 ml/ ??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 ml/ box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",176074.5,15.03.2021
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? ? 50 ml/ ??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 ml/ box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",168074.72,15.03.2022
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? ? 50 ml/ ??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 ml/ box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",166561.13,23.03.2023
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? ? 50 ml/ ??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 ml/ box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",163759.43,17.03.2025
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? x 50 mg/??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 mg/box,brentuximab vedotin,TAKEDA GmbH,TAKEDA GmbH,163759.43,17.03.2025
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? x 50 mg/??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 mg/box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",188796.97,29.11.2017
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? x 50 mg/??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 mg/box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",176074.5,15.03.2021
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? x 50 mg/??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 mg/box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",168074.72,15.03.2022
L01XC12,ADCETRIS ?????? ?? ?????????? ?? ??????? ?? ???????? 50 mg 1 ?????? x 50 mg/??????,ADCETRIS powder for concentrate for solution for infusion 50 mg 1 vial x 50 mg/box,brentuximab vedotin,"TAKEDA GmbH, Depharm Novara S.r.l.","TAKEDA GmbH, Depharm Novara S.r.l.",166561.13,23.03.2023
M04AA03,ADENURIC ????-???????? ??????? 120 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 120 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1630,10.04.2013
M04AA03,ADENURIC ????-???????? ??????? 120 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 120 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1626,15.10.2013
M04AA03,ADENURIC ????-???????? ??????? 120 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 120 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1607.02,15.03.2016
M04AA03,ADENURIC ????-???????? ??????? 120 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 120 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1500.11,15.10.2016
M04AA03,ADENURIC ????-???????? ??????? 120 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 120 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1066.5,15.03.2021
M04AA03,ADENURIC ????-???????? ??????? 80 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 80 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1630,10.04.2013
M04AA03,ADENURIC ????-???????? ??????? 80 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 80 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1626,15.10.2013
M04AA03,ADENURIC ????-???????? ??????? 80 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 80 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1605.22,17.10.2014
M04AA03,ADENURIC ????-???????? ??????? 80 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 80 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1500.11,15.10.2016
M04AA03,ADENURIC ????-???????? ??????? 80 mg 28 ??????? (??????? 2 ? 14)/??????,ADENURIC film-coated tablet 80 mg 28 tablets (blister 2 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,1015.22,15.03.2021
M04AA03,ADENURIC ????-???????? ??????? 80 mg 56 ??????? (??????? 4 ? 14)/??????,ADENURIC film-coated tablet 80 mg 56 tablets (blister 4 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,,
M04AA03,ADENURIC ????-???????? ??????? 120 mg 56 ??????? (??????? 4 ? 14)/??????,ADENURIC film-coated tablet 120 mg 56 tablets (blister 4 x 14)/box,febuxostat,Menarini-Von Heyden GmbH,Menarini-Von Heyden GmbH,,
L01DB01,ADRIBLASTINA RD ?????? ? ????????? ?? ??????? ?? ??????????? 10 mg 1 ?????? ?? ?????? + 1 ?????? ? 5 ml ?????????/??????,ADRIBLASTINA RD powder and vehicle for solution for injection 10 mg 1 vial with powder + 1 ampoule x 5 ml vehicle/box,doxorubicin,"?? PFIZER INC, ACTAVIS Italy S.p.A.","for PFIZER INC, ACTAVIS Italy S.p.A.",389.94,14.12.2011
L01DB01,ADRIBLASTINA RD ?????? ?? ??????? ?? ??????????? 50 mg 1 ?????? x 50 mg/??????,ADRIBLASTINA RD powder for solution for injection 50 mg 1 vial x 50 mg/box,doxorubicin,"?? PFIZER INC, ACTAVIS Italy S.p.A.","for PFIZER INC, ACTAVIS Italy S.p.A.",1314.41,14.12.2011
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 1 mg 60 ??????? (??????? 6 ? 10)/??????","ADVAGRAF extended-release capsule, hard 1 mg 60 capsules (blister 6 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,4007.88,11.09.2017
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 1 mg 60 ??????? (??????? 6 ? 10)/??????","ADVAGRAF extended-release capsule, hard 1 mg 60 capsules (blister 6 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,3698.59,15.03.2019
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 1 mg 60 ??????? (??????? 6 ? 10)/??????","ADVAGRAF extended-release capsule, hard 1 mg 60 capsules (blister 6 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,3347.48,15.03.2021
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 1 mg 60 ??????? (??????? 6 ? 10)/??????","ADVAGRAF extended-release capsule, hard 1 mg 60 capsules (blister 6 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,3242.66,15.03.2024
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 0,5 mg 30 ??????? (??????? 3 ? 10)/??????","ADVAGRAF extended-release capsule, hard 0.5 mg 30 capsules (blister 3 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,981.13,11.09.2017
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 0,5 mg 30 ??????? (??????? 3 ? 10)/??????","ADVAGRAF extended-release capsule, hard 0.5 mg 30 capsules (blister 3 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,932.73,15.03.2018
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 0,5 mg 30 ??????? (??????? 3 ? 10)/??????","ADVAGRAF extended-release capsule, hard 0.5 mg 30 capsules (blister 3 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,857.27,15.03.2019
L04AD02,"ADVAGRAF ??????? ?? ?????????? ????????????, ????? 0,5 mg 30 ??????? (??????? 3 ? 10)/??????","ADVAGRAF extended-release capsule, hard 0.5 mg 30 capsules (blister 3 x 10)/box",tacrolimus,ASTELLAS IRELAND Co. Ltd.,ASTELLAS IRELAND Co. Ltd.,853.67,16.03.2020
