Registration No,Product Name,Holder
MAL19900462AZ,MABRON CAPSULES 50MG,KOMEDIC SDN BHD
MAL10033149AZ,Strokan FC Tablet 250mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL12020019AZ,VIATRINIL 3mg/3mL Solution for Injection/ Infusion,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL19963164AZ,CEFLOUR INJECTION 0.75G,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19860072AZ,BEAPEN VK GRANULES 125MG/5ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20026045ARZ,Rexulti 2mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL10080052AZ,Melaquin Cream 4%w/w,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17085005AZ,VENLIFT ER 37.5 MG CAPSULE,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL20000038AZ,REGRO 5% LOTION,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL15085072AZ,Converium 300mg Tablet,KOMEDIC SDN BHD
MAL18086102AZ,N/A,N/A
MAL20040209AZ,METGYL TABLET 400MG,SM PHARMACEUTICALS SDN. BHD.
MAL20116019AZ,Hebecavir Film Coated Tablet 0.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19973312AZ,SELEGOS 5MG TABLET,KOMEDIC SDN BHD
MAL21106029AZ,ATOSTIN FILM COATED TABLET 40MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL08010687ACZ,Iopamiro 300 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL19940028AZ,YSP PREDNISOLONE 5MG TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020268AZ,Ibuspan Tablet 400mg,SM PHARMACEUTICALS SDN. BHD.
MAL20020256AZ,OFCIN FILM COATED TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020262AZ,ALLAVIN EXPECTORANT,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19096015AZ,Flonoxin 400mg tablet,Duopharma Marketing Sdn. Bhd.
MAL08042384X,Creobic Gold Cream 1% w/w,KOTRA PHARMA (M) SDN. BHD.
MAL22026016X,AIN ChlorAL (Isopropyl Alcohol 75% v/v And Chlorhexidine Gluconate 0.5% w/v Hand Disinfectant),AIN MEDICARE SDN. BHD.
MAL05072030AZ,Sonap 275mg Caplet,IMEKS PHARMA SDN. BHD.
MAL19940309X,CALCIUM CARBONATE TABLETS 'MPI' 500MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20051466AZ,ENAPRIL TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900255AZ,AXCEL MICONAZOLE CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL07091072XZ,Axcel Paracetamol - 500 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL15095036AZ,Vimizim 1mg/ml Concentrate for Solution for Infusion,PHARM-D SDN. BHD.
MAL05041855ACSZ,Salmax CR Tablet 4mg,Duopharma Marketing Sdn. Bhd.
MAL07081616AZ,Ceretam 800mg Film-Coated Tablet,AV MANUFACTURING SDN.BHD
MAL20031731AZ,OLFEN-75 SR/RETARD DEPOTABS,MEPHARM (MALAYSIA) SDN. BHD.
MAL19985559AZ,VOREN SUPPOSITORY 25MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06091382ARZ,Menopur Powder for Injection and Solvent 75 IU,Ferring Sdn. Bhd.
MAL19890082AZ,PONTACID FORTE TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900510AZ,TRANPAM TABLET 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19930010XZ,Three Legs Medicinal Powder Aspirin 600mg/Sachet,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19983954X,MINYAK HANGAT AFIAT (LINIMENT),Syarikat Minyak Afiat Sdn Bhd
MAL21116011XC,PUREEN NAPPY RASH CREAM,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD
MAL14115016ARZ,MENOPUR multidose 1200IU Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL19900491AZ,ALMIRAL 100MG SUPPOSITORIES,KOMEDIC SDN BHD
MAL12025062X,Donna Gluco-C Plus MSM Capsule,Duopharma Marketing Sdn. Bhd.
MAL20013576AZ,UROSIN FILM COATED TABLET 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL11120002AZ,AXCEL AMLODIPINE-10MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20076021AZ,Vytocor 10mg/40mg Tablet,Duopharma Marketing Sdn. Bhd.
MAL20021439X,OK Orang Kampung Minyak Serai Plus,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL15045073XC,Kordel's Glucosamine + Chondroitin + MSM Effervescent Tablets,CAMBERT(M) SDN. BHD.
MAL19921171XZ,ARFEN 125 SUPPOSITORIES,KOMEDIC SDN BHD
MAL14125075AZ,Vextasone Tablet 4mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20031763ACZ,BONKY INJECTION,BIO-PHARMACEUTICALS SDN. BHD.
MAL09111765XZ,Flavettes Vitamin C Blackcurrant 250mg,Duopharma Marketing Sdn. Bhd.
MAL18106136AZ,Medikinet MR 5mg Hard Capsules,HYPHENS PHARMA SDN. BHD.
MAL19860847AZ,KRISOVIN TABLET 500MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL18016052AZ,TORQUITE TABLETS 25 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL07082985X,Condropil capsule,AV MANUFACTURING SDN.BHD
MAL20046137X,Three Legs Septyc-Kare Antiseptic Spray 1%w/v,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL13055074ARZ,Firmagon 120mg Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL18026180AZ,TREVIVE TABLET 400MG,DUOPHARMA HAPI SDN. BHD.
MAL16065050AZ,Creobic DA (Double Action) Cream,KOTRA PHARMA (M) SDN. BHD.
MAL16025045AZ,Minox 5% Topical Solution (Extra Strength),KOTRA PHARMA (M) SDN. BHD.
MAL19900593AZ,FEDAC SYRUP,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20026073AZ,INFUSOL K+0.3 NS (Potassium Chloride 0.3% w/v and Sodium Chloride 0.9% w/v Intravenous Infusion BP),AIN MEDICARE SDN. BHD.
MAL19985532AZ,AXCEL FUNGICORT CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL20001821AZ,METROLEX INJECTION,SPG PHARMA (MALAYSIA) SDN BHD
MAL19860043AZ,OXACIL GRANULES 125 MG/ 5 ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890670AZ,RASITOL INJECTION 20MG/2ML (AMP),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL10100038X,QV Flare Up Bath Oil,EGO PHARM MALAYSIA SDN. BHD.
MAL19940027AZ,CINNA TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06100555AZ,"Androgel 50mg, gel of testosterone 1%",BREGO LIFE SCIENCES SDN. BHD
MAL07061568XCZ,Metacin Tablet 650mg,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL04125505AZ,Zolterol SR Tablet 75mg,Duopharma Marketing Sdn. Bhd.
MAL08042447AZ,Clamentin Injection 1.2g,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19970280ARZ,RESOLVE TINEA CREAM,EGO PHARM MALAYSIA SDN. BHD.
MAL18016082X,Axcel Glucosatin Dry Powder for Oral Solution,KOTRA PHARMA (M) SDN. BHD.
MAL19860106AZ,HYDRINATE TABLET 50MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL07091058X,Conart capsule,AV MANUFACTURING SDN.BHD
MAL20040092AZ,FUKOLE CAPSULE 150MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20016143AZ,Gemita RTU 38mg/ml Injection,FRESENIUS KABI MALAYSIA SDN. BHD
MAL18066050ACZ,CORTIMENT PROLONGED RELEASE TABLETS 9MG,Ferring Sdn. Bhd.
MAL19900055AZ,ALLERSINE EYE DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20000068AZ,PRUFEN ORAL SUSPENSION 100mg/5ml,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL11110008AZ,Tacarline Injection 1mg/ ml,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890671AZ,SHINCORT INJECTION 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020486AZ,LORATEN TABLET 10MG,SM PHARMACEUTICALS SDN. BHD.
MAL16075016X,AVM-Artrisa Sachet for Oral Solution 1500mg,AV MANUFACTURING SDN.BHD
MAL06051410XZ,Flavettes Vitamin C Orange 500mg,Duopharma Marketing Sdn. Bhd.
MAL20033666AZ,SIFACLOR (ORAL SUSPENSION) 250 MG/5 ML,SPG PHARMA (MALAYSIA) SDN BHD
MAL15095018AZ,YSP SHINCORT INJECTION 40MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125504AZ,Zolterol SR Tablet 100mg,Duopharma Marketing Sdn. Bhd.
MAL19950156AZ,RAVIMED TABLET 5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19940209XCZ,PANAMOL 250MG TABLET,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19962104AZ,NARPAN TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20033679ARZ,Azclear Action Medicated Lotion,EGO PHARM MALAYSIA SDN. BHD.
MAL18086092AZ,AINIRON (Iron Sucrose Injection 20mg/mL),AIN MEDICARE SDN. BHD.
MAL19993073AZ,ANACAINE INJECTION 2%,SM PHARMACEUTICALS SDN. BHD.
MAL20000291AZ,DOSANAC INJECTION,SPG PHARMA (MALAYSIA) SDN BHD
MAL19056009AZ,Atenol Film Coated Tablet 50mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19920581XS,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL16015039AZ,IPRANEB 250 (Ipratropium Bromide 250mcg/2mL Nebuliser Solution BP),AIN MEDICARE SDN. BHD.
MAL20040192AZ,TRACTOCILE 7.5MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION,Ferring Sdn. Bhd.
MAL22026018AZ,INFUSOL NAC (Acetylcysteine 200 mg/mL Solution for Intravenous Infusion),AIN MEDICARE SDN. BHD.
MAL07124607AZ,Clarimycin Film Coated Tablet 250mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20000368AZ,IMACH INJECTION 1ML,SM PHARMACEUTICALS SDN. BHD.
MAL20020484AZ,MOLAX-M FILM COATED TABLET,SPG PHARMA (MALAYSIA) SDN BHD
MAL17117037AZ,HEMACOM LF (Continuous Renal Replacement Therapy Solution without Lactate),AIN MEDICARE SDN. BHD.
MAL19900029AZ,AXCEL SALBUTAMOL-2 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL06041463AZ,Flexin 20 mg Capsule,SM PHARMACEUTICALS SDN. BHD.
MAL19056016X,Hemo Rid CT Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20001914XZ,Scabitone Emulsion,SM PHARMACEUTICALS SDN. BHD.
MAL13125011AZ,LYDOCAN INJECTION 2%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16125027AZ,Zodenox Film Coated Tablets 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19988492AZ,VOREN PLUS GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19870138AZ,HEPARINOL 1000 IU/mL,AIN MEDICARE SDN. BHD.
MAL20033536XR,SPECTRUM MULTIVITAMINS & MINERALS TABLET,21ST CENTURY PRODUCTS SDN. BHD.
MAL10080061ACZ,COVAPRIL TABLET 4MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985560AZ,VOREN SUPPOSITORIES 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040963AZ,DURATOCIN RTS 100mcg/ml,Ferring Sdn. Bhd.
MAL08051617XZ,AXPAIN-650 CAPLET,KOTRA PHARMA (M) SDN. BHD.
MAL19940031AZ,YSP Betamethasone Tablet 0.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL09011476X,Appeton Essentials Glucosamine-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL10120020ACZ,N/A,N/A
MAL20031755ARZ,Leucovorin Kabi Injection USP 10MG/ML,FRESENIUS KABI MALAYSIA SDN. BHD
MAL11120007X,PIASCLEDINE Capsule,HYPHENS PHARMA SDN. BHD.
MAL20020156AZ,VAXCEL CEFUROXIME-750MG INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL19961011ARZ,DECAPEPTYL 0.1MG INJECTION,Ferring Sdn. Bhd.
MAL23056008AZ,ROVANAEST 2.0 (Ropivacaine Hydrochloride 2mg/mL Solution for Injection or Infusion USP),AIN MEDICARE SDN. BHD.
MAL07091040ACZ,Iomeron 350 Injection,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL18026183AZ,Axcel Glimepiride-2mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL19973691AZ,DEPOCON INJECTION,DUOPHARMA (M) SENDIRIAN BERHAD
MAL18106134AZ,Medikinet MR 10mg Hard Capsules,HYPHENS PHARMA SDN. BHD.
MAL14125122AZ,DEPOGESTON 50MG/ML INJECTION,J. BIO MEDIC MARKETING SDN. BHD.
MAL19912671XZ,BEACOLUX TABLET 5MG ENTERIC COATED,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20032250AZ,TYSTATIN ORAL SUSPENSION,IMEKS PHARMA SDN. BHD.
MAL19920300AZ,BEZONE CREAM 0.1% W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19988495AZ,SELADIN TABLET 250MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20046121AZ,Crystorvas Tablet 20mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19861364AZ,Royce Haloperidol Tablet 1.5mg,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL19046021NC,JANIPRO APROVIX Capsule,Janipro (M) Sdn Bhd
MAL20132309AZ,CLOMETRO 7HP,SM PHARMACEUTICALS SDN. BHD.
MAL19911419XZ,AXCEL BROMHEXINE (CHILDREN) SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19992768AZ,INFUSOL QSD1,AIN MEDICARE SDN. BHD.
MAL19910031AZ,TRIDIN-P TABLETS,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20112144ACZ,Furosemide-hameln 10mg/ml Injection,IMEKS PHARMA SDN. BHD.
MAL11010021AZ,Olfovel 500mg Tablet,IMEKS PHARMA SDN. BHD.
MAL08080395AZ,Covasc Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL23016001ACZ,Proveblue 5mg/ml Solution for Injection,PHARM-D SDN. BHD.
MAL20014319AZ,CAVUMOX SYRUP,SPG PHARMA (MALAYSIA) SDN BHD
MAL20033496AZ,OLFEN-50,MEPHARM (MALAYSIA) SDN. BHD.
MAL20014348AZ,RALSIN TABLET 5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL13115209AZ,Axcel CIPROFLOXACIN-500MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20000381AZ,INFUSOL M20,AIN MEDICARE SDN. BHD.
MAL09032026AZ,Ceflour Film Coated Tablet 250mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19872269AZ,CHLORITON TABLET 4MG,TERAPUTICS SDN BHD
MAL13095080AZ,Acetan Tablet 50mg,Duopharma Marketing Sdn. Bhd.
MAL19860947AZ,TAVER TABLET 200MG,KOMEDIC SDN BHD
MAL19910003AZ,CEPHALEXIN CAPSULES 'MPI' 250 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL07050041AZ,Timazol Tablet 5mg,IMEKS PHARMA SDN. BHD.
MAL20032177XZ,APPETON ACTIV-C (BLACKCURRANT) TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL10033185AZ,NEBICARD 5MG TABLET,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19920481AZ,GENTAMED INJECTION 80MG/2ML,KOMEDIC SDN BHD
MAL18046174AZ,ARCHIFAR 500MG POWDER FOR SOLUTION FOR INJECTION/INFUSION,KOMEDIC SDN BHD
MAL19912380XZ,PINETARSOL SOLUTION,EGO PHARM MALAYSIA SDN. BHD.
MAL15015046AZ,Tapicin Powder For Injection 4.5g,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20012731AZ,BUTAVENT RESPIRATOR SOLUTION,DUOPHARMA (M) SENDIRIAN BERHAD
MAL12085071AZ,Acetan HCT Tablet 50/12.5mg,Duopharma Marketing Sdn. Bhd.
MAL19940638AZ,BUFENCON INJECTION 5ML VIAL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20034390XC,KORDEL`S C TIME ACID FREE C 1000MG TABLET,CAMBERT(M) SDN. BHD.
MAL05051063AZ,Metazine Tablet 20mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL06051310AZ,Melocam Tablet 7.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05101665AZ,Dapril 20mg tablets,KOMEDIC SDN BHD
MAL07061564X,Appeton Essentials MV21G + Selenium,KOTRA PHARMA (M) SDN. BHD.
MAL19016091ACRZ,Erysaa Prefilled Syringe 2000IU/0.5mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19921520AZ,SPASIL TABLET,IMEKS PHARMA SDN. BHD.
MAL19950521AZ,METOHEXAL 50 TABLET,IMEKS PHARMA SDN. BHD.
MAL22046027AZ,Duocoxib Film Coated Tablet 120mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL09072796AZ,ANPRO-ZOLPIDEM TABLETS 10 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL12015005X,Appeton Essentials Glucosamine 500 + Chondroitin 400 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL19912652XZ,Duobion Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL21016008ACZ,TELSTRAN® Tablet 40mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL06061327AZ,Covasc Tablet 5mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19992070AZ,GIPZIDE TABLET 5MG,IMEKS PHARMA SDN. BHD.
MAL19870913AZ,COTRIM DS 960MG TABLET,KOMEDIC SDN BHD
MAL16115040AZ,Prelica Capsule 150mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19870139AZ,HEPARINOL 5000 IU/mL,AIN MEDICARE SDN. BHD.
MAL06121052X,Cartril-S 500mg Capsule,Duopharma Marketing Sdn. Bhd.
MAL11070004AZ,Fytosid Injection (20mg/ml),FRESENIUS KABI MALAYSIA SDN. BHD
MAL15025041AZ,FUSIDASOL CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15045160AZ,Brintellix 10mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL20013996ACZ,MESPORIN-1000 I.V. VIALS,MEPHARM (MALAYSIA) SDN. BHD.
MAL19930493AZ,KENO ORAL PASTE,IMEKS PHARMA SDN. BHD.
MAL19861523AZ,LOMIDE CAPSULE 2MG,SPG PHARMA (MALAYSIA) SDN BHD
MAL20106063NC,JANIPRO BIO DVP Saccharomyces boulardii + Vitamin C with Zinc Plus Powder,Janipro (M) Sdn Bhd
MAL09051623AZ,INFUSOL K+0.15 NS (Potassium Chloride 0.15% w/v and Sodium Chloride 0.9% w/v Intravenous Infusion BP),AIN MEDICARE SDN. BHD.
MAL17107026AZ,Shinallerg Eye Drop,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020899ARZ,N/A,N/A
MAL19911461X,AXCEL EVILINE FORTE SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL21017001AZ,INJECSOL LIG2P (Lignocaine Hydrochloride Injection 2% w/v with Preservative),AIN MEDICARE SDN. BHD.
MAL19890246AZ,BETAMOX GRANULE 125MG/5ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19920348XZ,BISCOMIN TABLETS 8MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19930647AZ,AXCEL CINNARIZINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL13095081AZ,Acetan Tablet 100mg,Duopharma Marketing Sdn. Bhd.
MAL19861062AZ,ALMIRAL TABLET 25MG,KOMEDIC SDN BHD
MAL20031764X,BONKY SOFT CAPSULE,BIO-PHARMACEUTICALS SDN. BHD.
MAL20036016NC,JANIPRO VC2 Capsule,Janipro (M) Sdn Bhd
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL07031138ACZ,Lofral 10mg Tablet,MEPHARM (MALAYSIA) SDN. BHD.
MAL23116006AZ,INJECSOL KDP (Potassium Dihydrogen Phosphate 13.6% w/v Concentrated Injection BP),AIN MEDICARE SDN. BHD.
MAL12095092AZ,TRACIDOL INJECTION 50MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13085047AZ,Ciflox Film Coated Tablet 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19871961AZ,ANARGIL CAPSULE 200MG,KOMEDIC SDN BHD
MAL20076023ACZ,TELSTRAN PLUS Tablet 80mg + 12.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12115064AZ,SHINADEX EYE DROPS,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040893AZ,AXCEL CETIRIZINE SYRUP 5MG/5ML,KOTRA PHARMA (M) SDN. BHD.
MAL19860103AZ,DEXCHLORAMINE TABLET 2MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL14125073AZ,Pharmaniaga Labetalol Hydrochloride 25mg/5ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL20014236XZ,SM CALAMINE LOTION,SM PHARMACEUTICALS SDN. BHD.
MAL12035079ACZ,Ella Tablet 30mg,HYPHENS PHARMA SDN. BHD.
MAL20012703ARZ,INTAXEL INJECTION,FRESENIUS KABI MALAYSIA SDN. BHD
MAL08111816XC,Kordel`s Glucosamine Plus Chondroitin 500/400 Capsule,CAMBERT(M) SDN. BHD.
MAL19900415AZ,N/A,N/A
MAL18056178AZ,TELDAY TABLETS 80 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL23036031XC,Lyzodase Troche,Vismedic Sdn. Bhd.
MAL19890545AZ,FLUANXOL DEPOT INJ 20MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL19016090ACRZ,Erysaa Prefilled Syringe 4000IU/0.4mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985187AZ,NORGAN TABLET 400MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
