value,count,example_columns
Калия хлорид + Натрия ацетат + Натрия хлорид,84,Generic Name
Интерферон альфа-2b,83,Generic Name
Этиловый спирт,83,Product Group
Хлоргексидин,81,"Generic Name,Product Group"
Альбумин,80,"Generic Name,Product Group"
Анфибра,80,Product Group
Водорода пероксид,80,Generic Name
Иматиниб,80,"Generic Name,Product Group"
Ацикловир,78,"Generic Name,Product Group"
Диротон,78,Product Group
Амоксициллин + Клавулановая кислота,76,Generic Name
Холина альфосцерат,76,"Generic Name,Product Group"
Амоксициллин,75,"Generic Name,Product Group"
Ацесоль,75,Product Group
Перекись водорода,75,Product Group
Бромдигидрохлорфенилбензодиазепин,73,Generic Name
Димедрол,73,Product Group
Эуфиллин,72,Product Group
Альбумин человека,71,"Generic Name,Product Group"
Натрия хлорида раствор сложный [Калия хлорид+Кальция хлорид+Натрия хлорид],71,Generic Name
Нифедипин,71,"Generic Name,Product Group"
Будесонид + Формотерол,69,Generic Name
Метформин Канон,69,Product Group
Амиодарон,68,"Generic Name,Product Group"
Доцетаксел,68,Generic Name
Моксифлоксацин,68,"Generic Name,Product Group"
Эпирубицин,68,"Generic Name,Product Group"
Рингера раствор,67,Product Group
Фентанил,67,"Generic Name,Product Group"
Моксонидин,65,Generic Name
Ривароксабан,65,"Generic Name,Product Group"
Феназепам,65,Product Group
Золедроновая кислота,64,"Generic Name,Product Group"
Кеторолак,64,"Generic Name,Product Group"
Лактулоза,64,"Generic Name,Product Group"
Нистатин,64,"Generic Name,Product Group"
Рибавирин,64,"Generic Name,Product Group"
Тимолол,63,"Generic Name,Product Group"
Бифидумбактерин,62,Product Group
Меропенем,62,"Generic Name,Product Group"
Стрептомицин,62,"Generic Name,Product Group"
Фенспирид,62,Generic Name
Физиотенз,62,Product Group
Дюфалак,61,Product Group
Йоверсол,61,Generic Name
Маннит,61,Product Group
Оптирей,61,Product Group
Пилокарпин,61,"Generic Name,Product Group"
Вакцина для профилактики гриппа [инактивированная],60,Generic Name
Лоперамид,60,"Generic Name,Product Group"
Натрия гидрокарбонат,60,"Generic Name,Product Group"
Ондансетрон,60,Generic Name
Паклитаксел,60,"Generic Name,Product Group"
Формисонид-натив,60,Product Group
Винорелбин,59,"Generic Name,Product Group"
Метотрексат,59,"Generic Name,Product Group"
Бензилбензоат,58,"Generic Name,Product Group"
Вакцина для профилактики новой коронавирусной инфекции (COVID-19),58,Generic Name
Амитриптилин,57,"Generic Name,Product Group"
Ванкомицин,57,"Generic Name,Product Group"
Изониазид,57,"Generic Name,Product Group"
Мебеверин,57,Generic Name
Метоклопрамид,57,"Generic Name,Product Group"
Сульпирид,57,"Generic Name,Product Group"
Дексаметазон,56,"Generic Name,Product Group"
Клексан,56,Product Group
Ксилен,56,Product Group
Суксаметония йодид,56,"Generic Name,Product Group"
Фамотидин,56,"Generic Name,Product Group"
Гидрокортизон,55,"Generic Name,Product Group"
Прегабалин-СЗ,55,Product Group
Урсодезоксихолевая кислота,55,"Generic Name,Product Group"
Адеметионин,54,Generic Name
Клопидогрел,54,Generic Name
Пэгинтерферон альфа-2b,54,Generic Name
Ропивакаин,54,"Generic Name,Product Group"
Этилметилгидроксипиридина сукцинат,54,Generic Name
Иринотекан,53,"Generic Name,Product Group"
"Гам-КОВИД-Вак Комбинированная векторная вакцина для профилактики коронавирусной инфекции, вызываемой вирусом SARS-CoV-2",52,Product Group
Доксициклин,52,"Generic Name,Product Group"
Тиоктовая кислота,52,Generic Name
Ультоп,52,Product Group
Ампициллин+[Сульбактам],51,Generic Name
Вазотенз,51,Product Group
Престариум А,51,Product Group
Цетиризин,51,Generic Name
Доксазозин,50,Generic Name
Йогексол,50,Generic Name
Омнипак,50,Product Group
Ивабрадин,49,Generic Name
Карбамазепин,49,"Generic Name,Product Group"
Осельтамивир,49,Generic Name
Реополиглюкин,49,Product Group
Тамифлю,49,Product Group
Эпоэтин альфа,49,Generic Name
Лейцита,48,Product Group
Оксалиплатин,48,Generic Name
Ритуксимаб,48,"Generic Name,Product Group"
Хлорпромазин,48,"Generic Name,Product Group"
Бупивакаин,47,"Generic Name,Product Group"
Ксарелто,47,Product Group
Аминосалициловая кислота,46,"Generic Name,Product Group"
Бикалутамид,46,"Generic Name,Product Group"
Варфарин,46,"Generic Name,Product Group"
Глибенкламид,46,"Generic Name,Product Group"
Декстран,46,Generic Name
Парацетамол-УБФ,46,Product Group
Транексамовая кислота,46,"Generic Name,Product Group"
Циклоспорин,46,Generic Name
Аспаркам,45,Product Group
Бензилпенициллин,45,"Generic Name,Product Group"
Висмута трикалия дицитрат,45,"Generic Name,Product Group"
Тамсулозин,45,Generic Name
Эзомепразол,45,Generic Name
Активированный уголь,44,"Generic Name,Product Group"
Симвастатин-СЗ,44,Product Group
Аминазин,43,Product Group
Глюкофаж,43,Product Group
Декстран [ср.мол.масса 35000-45000],43,Generic Name
Изосорбида динитрат,43,Generic Name
Метформин МС,43,Product Group
Декстран 40,42,Product Group
Карбоплатин,42,Generic Name
Кетопрофен,42,"Generic Name,Product Group"
Лоратадин,42,"Generic Name,Product Group"
Мабтера,42,Product Group
НОВАКЛАВ,42,Product Group
ПегИнтрон,42,Product Group
Сальбутамол,42,"Generic Name,Product Group"
Севофлуран,42,Generic Name
Эпитропил,42,Product Group
Эпоэтин бета,42,"Generic Name,Product Group"
Вакцина для профилактики вирусного гепатита В,41,Generic Name
Галантамин,41,"Generic Name,Product Group"
Диданозин,41,"Generic Name,Product Group"
Карведилол,41,Generic Name
Фактор свертывания крови VIII,41,Generic Name
Амоксициллин+[Клавулановая кислота],40,Generic Name
Бетаметазон,40,Generic Name
Глюкоза-Э,40,Product Group
Спиронолактон,40,Generic Name
"таблетки, 250 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",40,Local Pack Description
Флуоксетин,40,"Generic Name,Product Group"
КОМБАЛГИН®,39,Product Group
Ампициллин+Сульбактам,38,Product Group
Дютан,38,Product Group
КАПРЕОМИЦИН,38,Product Group
Оланзапин,38,Generic Name
"таблетки 10 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",38,Local Pack Description
Алендроновая кислота,37,Generic Name
Ацетилсалициловая кислота-УБФ,37,Product Group
Габриглобин-IgG,37,Product Group
Кораксан,37,Product Group
Ламивудин,37,"Generic Name,Product Group"
Нитросорбид,37,Product Group
"порошок для приготовления раствора для внутривенного и внутримышечного введения, 1 г, - флаконы (1) - пачки картонные",37,Local Pack Description
Топирамат,37,Generic Name
Этамзилат,37,"Generic Name,Product Group"
Меглюмина акридонацетат,36,Generic Name
Мемантин,36,Generic Name
Пиридоксин,36,"Generic Name,Product Group"
Ретинол,36,Generic Name
Смектит диоктаэдрический,36,Generic Name
Фторурацил,36,"Generic Name,Product Group"
Калий-железо гексацианоферрат,35,Generic Name
Липримар,35,Product Group
АМИКАЦИН,34,Product Group
Бидоп,34,Product Group
Дигоксин,34,"Generic Name,Product Group"
Леналидомид,34,Generic Name
Линезолид,34,"Generic Name,Product Group"
Макрогол,34,Generic Name
Плазмастабил 200,34,Product Group
Сероквель,34,Product Group
"таблетки, 500 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",34,Local Pack Description
Гадодиамид,33,Generic Name
Иммуноглобулин человека антистафилококковый,33,"Generic Name,Product Group"
Нексиум,33,Product Group
Октреотид,33,Generic Name
Пиридостигмина бромид,33,"Generic Name,Product Group"
"таблетки 5 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",33,Local Pack Description
Тиопентал натрия,33,"Generic Name,Product Group"
Азоксимера бромид,32,Generic Name
Акридерм,32,Product Group
Атазанавир,32,Generic Name
Бисопролол-OBL,32,Product Group
Дроперидол,32,"Generic Name,Product Group"
Мексидол,32,Product Group
Нилотиниб,32,Generic Name
Пентоксифиллин,32,"Generic Name,Product Group"
Полиоксидоний,32,Product Group
Сероквель Пролонг,32,Product Group
"таблетки 500 мг, 10 шт. - упаковки безъячейковые контурные",32,Local Pack Description
Ферроцин,32,Product Group
Финастерид,32,"Generic Name,Product Group"
Иммуноглобулин человека противостафилококковый,31,Generic Name
Кальция фолинат,31,Generic Name
Капотен,31,Product Group
Мегафлокс,31,Product Group
Невирапин,31,"Generic Name,Product Group"
Ставудин,31,Generic Name
Тилорон,31,Generic Name
Церебролизин,31,"Generic Name,Product Group"
Эрлотиниб,31,Generic Name
Бетагистин-СЗ,30,Product Group
Беталок ЗОК,30,Product Group
Клотримазол,30,"Generic Name,Product Group"
Леветирацетам Канон,30,Product Group
Реалаксан,30,Product Group
"Регевак В Вакцина против гепатита В, рекомбинантная дрожжевая жидкая",30,Product Group
Рибапег,30,Product Group
"таблетки, 10 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",30,Local Pack Description
Диазепам,29,Generic Name
Зидовудин,29,"Generic Name,Product Group"
Идарубицин,29,"Generic Name,Product Group"
Интерферон альфа,29,Generic Name
Неосмектин,29,Product Group
Симбикорт Турбухалер,29,Product Group
"таблетки 10 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",29,Local Pack Description
Бортезомиб,28,Generic Name
Декстран [ср.мол.масса 50000-70000],28,Generic Name
Инсулин гларгин,28,"Generic Name,Product Group"
Пароксетин,28,Generic Name
Периндоприл-СЗ,28,Product Group
Темодал,28,Product Group
Темозоломид-Тева,28,Product Group
Уголь активированный,28,"Generic Name,Product Group"
Абакавир,27,"Generic Name,Product Group"
Амиксин,27,Product Group
Арбидол,27,Product Group
Аспаркам-L,27,Product Group
Бисакодил,27,"Generic Name,Product Group"
Гепарин натрия,27,"Generic Name,Product Group"
Кальция тринатрия пентетат,27,Generic Name
Ко-тримоксазол,27,"Generic Name,Product Group"
Лориста,27,Product Group
Реплика,27,Product Group
"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",27,Local Pack Description
"таблетки 40 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",27,Local Pack Description
"таблетки 5 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",27,Local Pack Description
"таблетки, 10 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",27,Local Pack Description
Таутакс,27,Product Group
Умифеновир,27,"Generic Name,Product Group"
Диклофенак-АКОС,26,Product Group
Клацид,26,Product Group
Лорноксикам,26,"Generic Name,Product Group"
Феноксиметилпенициллин,26,"Generic Name,Product Group"
Цефалексин,26,"Generic Name,Product Group"
Цианокобаламин,26,"Generic Name,Product Group"
Цисплатин,26,Generic Name
Эреспал,26,Product Group
Альтевир,25,Product Group
Анастрозол,25,Generic Name
Видекс,25,Product Group
Имбиоглобулин,25,Product Group
Имипенем+[Циластатин],25,"Generic Name,Product Group"
Капецитабин,25,Generic Name
Миеластра,25,Product Group
Окситоцин,25,"Generic Name,Product Group"
Растворы для перитонеального диализа,25,Generic Name
Ривастигмин,25,Generic Name
Тарцева,25,Product Group
Транексам,25,Product Group
Эральфон,25,Product Group
Актемра,24,Product Group
Аугментин,24,Product Group
Ацетилцистеин,24,"Generic Name,Product Group"
Беклометазон,24,"Generic Name,Product Group"
Бендамустин,24,Generic Name
Бифидумбактерин сухой,24,Product Group
Будесонид,24,Generic Name
Вакцина для профилактики полиомиелита,24,Generic Name
Варфарин-OBL,24,Product Group
Глутамил-Цистеинил-Глицин динатрия,24,Generic Name
Глутоксим,24,Product Group
Инсулин растворимый [человеческий генно-инженерный],24,Generic Name
КардиАСК,24,Product Group
Микофенолата мофетил,24,Generic Name
Мометазон,24,Generic Name
Натрия лактата раствор сложный [Калия хлорид + Кальция хлорид + Натрия хлорид + Натрия лактат],24,Generic Name
Нипертен,24,Product Group
Платифиллин,24,"Generic Name,Product Group"
Промедол,24,Product Group
Рибомустин,24,Product Group
Селезолид,24,Product Group
Сертралин,24,Generic Name
Тоцилизумаб,24,Generic Name
Тримеперидин,24,Generic Name
Хартмана раствор,24,Product Group
Хлосоль,24,Product Group
Этиловый спирт 95%,24,Product Group
Бария сульфат,23,Generic Name
Винпоцетин-СЗ,23,Product Group
Виферон,23,Product Group
Дапаглифлозин,23,Generic Name
Идринол,23,Product Group
Иммуноглобулин человека против клещевого энцефалита,23,"Generic Name,Product Group"
Интерферон человеческий лейкоцитарный,23,Product Group
Клонидин,23,Generic Name
Клофелин,23,Product Group
Митоксантрон,23,"Generic Name,Product Group"
Периндоприла аргинин,23,Generic Name
Флемоклав Солютаб,23,Product Group
Азатиоприн,22,"Generic Name,Product Group"
Алендронат,22,Product Group
Альгерон,22,Product Group
Бензилпенициллина натриевая соль,22,Product Group
Вальпроевая кислота,22,"Generic Name,Product Group"
Гепарин,22,Product Group
Глюкоза Браун,22,Product Group
Кефсепим,22,Product Group
Ко-тримоксазол [Сульфаметоксазол+Триметоприм],22,Generic Name
Меглюмина натрия сукцинат,22,Generic Name
Мельдоний Органика,22,Product Group
Милдронат,22,Product Group
Полиглюкин,22,Product Group
"порошок для приготовления раствора для внутривенного и внутримышечного введения, 1 г, - флаконы (50) - коробки картонные (для стационаров)",22,Local Pack Description
Прокаинамид,22,Generic Name
Сандиммун Неорал,22,Product Group
"таблетки 10 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",22,Local Pack Description
"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные",22,Local Pack Description
Фенобарбитал,22,"Generic Name,Product Group"
Фосфомицин,22,"Generic Name,Product Group"
Цепэгинтерферон альфа-2b,22,Generic Name
Циклоферон,22,Product Group
Гликлазид,21,Generic Name
Джозамицин,21,Generic Name
Иммуноглобулин против клещевого энцефалита,21,Generic Name
"капсулы 75 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",21,Local Pack Description
Креон 10000,21,Product Group
"лиофилизат для приготовления суспензии для приема внутрь и местного применения, 5 доз - флаконы (10) - пачки картонные",21,Local Pack Description
Метформин-Рихтер,21,Product Group
Налтрексон,21,"Generic Name,Product Group"
Омнискан,21,Product Group
Пиразинамид,21,"Generic Name,Product Group"
Сибазон,21,Product Group
"таблетки покрытые пленочной оболочкой 10 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",21,Local Pack Description
"таблетки, 10 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",21,Local Pack Description
"таблетки, 100 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",21,Local Pack Description
"таблетки, 5 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",21,Local Pack Description
Тезалом,21,Product Group
Урапидил,21,Generic Name
Флемоксин Солютаб,21,Product Group
Фолиевая кислота,21,"Generic Name,Product Group"
Цефтазидим-АКОС,21,Product Group
Агомелатин,20,Generic Name
Адеметионин-Виал,20,Product Group
Азитрокс,20,Product Group
Аллергены бактерий,20,Generic Name
Аллопуринол,20,"Generic Name,Product Group"
Антитоксин столбнячный,20,Generic Name
Бетасерк,20,Product Group
Вакцина для профилактики гриппа [инактивированная]+Азоксимера бромид,20,Generic Name
Вальдоксан,20,Product Group
Верошпирон,20,Product Group
Гептор,20,Product Group
Дарунавир,20,"Generic Name,Product Group"
Доксорубицин-ЛЭНС,20,Product Group
ДэТриФерол,20,Product Group
Колекальциферол,20,Generic Name
Лизиноприл ШТАДА,20,Product Group
Метформин Лонг Канон,20,Product Group
Норваск,20,Product Group
Паклитаксел-ЛЭНС,20,Product Group
Пирацетам-СЗ,20,Product Group
порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г - флаконы - пачки картонные,20,Local Pack Description
Ранитидин-АКОС,20,Product Group
Севофлуран-Виал,20,Product Group
"таблетки 40 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",20,Local Pack Description
"таблетки 500 мг, 10 шт. - упаковки ячейковые контурные",20,Local Pack Description
"таблетки покрытые пленочной оболочкой, 150 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",20,Local Pack Description
"таблетки, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",20,Local Pack Description
"таблетки, 40 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",20,Local Pack Description
Тамоксифен,20,"Generic Name,Product Group"
Тасигна,20,Product Group
Тиамин,20,"Generic Name,Product Group"
Цефазолин-АКОС,20,Product Group
Цефосин,20,Product Group
Амитриптилин Никомед,19,Product Group
Аторвастатин-OBL,19,Product Group
Бозентан,19,Generic Name
Глиатилин,19,Product Group
Диара,19,Product Group
Интерферон альфа-2,19,Generic Name
Каптоприл-УБФ,19,Product Group
Ксимелин,19,Product Group
Октолипен,19,Product Group
Панангин,19,Product Group
СимваГексал,19,Product Group
"таблетки, 50 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",19,Local Pack Description
Циклофосфамид,19,Generic Name
Эверолимус,19,Generic Name
Авастин,18,Product Group
Аминокислоты для парентерального питания+Прочие препараты [Минералы],18,Generic Name
Антитоксин дифтерийный,18,Generic Name
Апротекс,18,Product Group
Бевацизумаб,18,Generic Name
Валсартан+Сакубитрил,18,Generic Name
ВИФЕРОН,18,Product Group
Глицин,18,"Generic Name,Product Group"
Де-Нол,18,Product Group
Декскетопрофен,18,"Generic Name,Product Group"
Дидрогестерон,18,Generic Name
Дротаверин-УБФ,18,Product Group
Дюфастон,18,Product Group
"капсулы 75 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные",18,Local Pack Description
Карбоплатин-ЛЭНС,18,Product Group
Кардионат,18,Product Group
Кардура,18,Product Group
Каспофунгин,18,Generic Name
Кветитекс,18,Product Group
Ксефокам,18,Product Group
Леводопа + Бенсеразид,18,Generic Name
Лирика,18,Product Group
Меркаптопурин,18,"Generic Name,Product Group"
Новотакс,18,Product Group
Омник,18,Product Group
Прегабалин-Рихтер,18,Product Group
Пропофол,18,Generic Name
"раствор для внутримышечного введения 1.5 мл/доза, 1 доза - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",18,Local Pack Description
Реатаз,18,Product Group
Ревлимид,18,Product Group
Резорба,18,Product Group
Салициловая кислота,18,"Generic Name,Product Group"
"таблетки покрытые пленочной оболочкой, 250 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",18,Local Pack Description
"таблетки, 500 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",18,Local Pack Description
Таксотер,18,Product Group
Тригексифенидил,18,"Generic Name,Product Group"
УРАПИДИЛ Дж,18,Product Group
Ципрофлоксацин-ФПО,18,Product Group
Цисплатин-ЛЭНС,18,Product Group
Экобол,18,Product Group
Юперио,18,Product Group
Алпростадил,17,Generic Name
Аминокислоты для парентерального питания,17,Generic Name
Ампициллина тригидрат,17,Product Group
Арлет,17,Product Group
Аспаркам-УБФ,17,Product Group
Блоктран,17,Product Group
Велкейд,17,Product Group
Дабигатрана этексилат,17,Generic Name
Зиаген,17,Product Group
Зофран,17,Product Group
Инсулин-изофан [человеческий генно-инженерный],17,Generic Name
Кавинтон,17,Product Group
Касодекс,17,Product Group
Левотироксин натрия,17,Generic Name
Метронидазол-УБФ,17,Product Group
Парацетамол Медисорб,17,Product Group
Парацетамол МС,17,Product Group
Пипофезин,17,Generic Name
Прадакса,17,Product Group
Проурокиназа,17,Generic Name
Севофлуран Медисорб,17,Product Group
"таблетки покрытые пленочной оболочкой, 10 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",17,Local Pack Description
"таблетки, 5 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",17,Local Pack Description
Флуконазол-OBL,17,Product Group
Холитилин,17,Product Group
Абакавир+Ламивудин,16,"Generic Name,Product Group"
Аминокислоты для парентерального питания+Прочие препараты [Жировые эмульсии для парентерального питания+Декстроза+Минералы],16,Generic Name
Антитоксин ботулинический типа А,16,Generic Name
Астроглиф,16,Product Group
Бетавер,16,Product Group
БИОЛЕК Туберкулин ППД-Л,16,Product Group
Ботулинический токсин типа А,16,Generic Name
Видестим,16,Product Group
Дапаглифлозин-СЗ,16,Product Group
Димедрол-УБФ,16,Product Group
Изосорбида мононитрат,16,Generic Name
Инозин+Никотинамид+Рибофлавин+Янтарная кислота,16,Generic Name
Йопромид,16,Generic Name
Кансидас,16,Product Group
"капсулы, 250 мг, 10 шт. - упаковки ячейковые контурные (4) - пачки картонные",16,Local Pack Description
"капсулы, 400 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",16,Local Pack Description
Кетамин,16,"Generic Name,Product Group"
Кетанов,16,Product Group
Ксеомин,16,Product Group
Лейковорин-ЛЭНС,16,Product Group
Леналидомид-натив,16,Product Group
Люголя раствор с глицерином,16,Product Group
Меморель,16,Product Group
Омник Окас,16,Product Group
Пирацетам Оболенское,16,Product Group
Протамина сульфат,16,"Generic Name,Product Group"
Реамберин,16,Product Group
Ренитек,16,Product Group
Ретинола пальмитат,16,Product Group
Саквинавир,16,Generic Name
Салметерол+Флутиказон,16,Generic Name
СУКСАМЕТОНИЙ-БИОЛЕК,16,Product Group
Сульфасалазин,16,"Generic Name,Product Group"
Сыворотка противостолбнячная лошадиная очищенная концентрированная Сыворотка противостолбнячная,16,Product Group
"таблетки, 25 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",16,Local Pack Description
"таблетки, 40 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",16,Local Pack Description
Тобрамицин,16,"Generic Name,Product Group"
Ультравист,16,Product Group
Фосампренавир,16,Generic Name
Циклогемал,16,Product Group
Энцетрон-СОЛОфарм,16,Product Group
Эпрекс,16,Product Group
Этамбутол,16,"Generic Name,Product Group"
Бар-ВИПС,15,Product Group
Валганцикловир,15,"Generic Name,Product Group"
Венофундин,15,Product Group
Дазатиниб,15,Generic Name
Дюрогезик Матрикс,15,Product Group
Медроксипрогестерон,15,Generic Name
Метилпреднизолон,15,Generic Name
порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г - флаконы,15,Local Pack Description
Протионамид,15,"Generic Name,Product Group"
"раствор для внутримышечного введения, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные",15,Local Pack Description
Реминил,15,Product Group
"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",15,Local Pack Description
"таблетки, 40 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",15,Local Pack Description
"таблетки, 500 мг, 10 шт. - упаковки безъячейковые контурные (1) - коробки картонные",15,Local Pack Description
"таблетки, 500 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",15,Local Pack Description
Такросел,15,Product Group
Телзир,15,Product Group
Тенофовир,15,"Generic Name,Product Group"
Фенофибрат,15,Generic Name
Флударабин,15,Generic Name
Формотерол,15,Generic Name
Ципробай,15,Product Group
Эпирубицин-Эбеве,15,Product Group
Авелокс,14,Product Group
Аминокислоты для парентерального питания+Прочие препараты [Декстроза+Минералы],14,Generic Name
Атенолол-УБФ,14,Product Group
Ацетилсалициловая кислота МС,14,Product Group
Бакцефорт,14,Product Group
Бетагистин Канон,14,Product Group
Бисопролол-СЗ,14,Product Group
Вакцина для профилактики туберкулеза,14,Generic Name
Веро-метотрексат,14,Product Group
Декарис,14,Product Group
Декстран [ср.мол.масса 30000-40000],14,Generic Name
Диаскинтест,14,Product Group
Дюспаталин,14,Product Group
Йод + Калия йодид + Глицерол,14,Generic Name
Кагоцел,14,Product Group
Кальцитонин,14,Generic Name
Карбоксим,14,"Generic Name,Product Group"
"концентрат для приготовления раствора для инфузий, 10 мг/мл, 5 мл - флаконы (1) - пачки картонные",14,Local Pack Description
Левамизол,14,Generic Name
Лефлобакт ФОРТЕ,14,Product Group
