es,en
Antiviral,Antiviral
comp.rec.x 20,comp.rec.x 20
Antiglaucomatoso,Antiglaucomatous
comp.x 60,comp.x 60
Hidratante,Moisturizing
Broncodilatador,Bronchodilator
esomeprazol,esomeprazole
5 mg comp.rec.x 30,5 mg comp.rec.x 30
escitalopram,escitalopram
levetiracetam,levetiracetam
pantoprazol,pantoprazole
soluc.parent/fisiol/glucos/otras,soluc.parent/fisiol/glucos/others
ciprofloxacina,ciprofloxacin
Antidiarreico,Antidiarrheal
lorazepam,lorazepam
risperidona,risperidone
sol.oft.x 5 ml,sol.oft.x 5 ml
25 mg comp.x 30,25 mg tablets x 30
Caramelo natural,Natural caramel
Antiinflamatorio,Anti-inflammatory
vit.d3,vit.d3
1 mg comp.x 30,1 mg comp.x 30
paclitaxel,paclitaxel
100 mg comp.rec.x 30,100 mg comp.rec.x 30
Hipoglucemiante,Hypoglycemic
comp.rec.x 10,comp.rec.x 10
comp.x 60 (VL),comp.x 60 (VL)
Complemento dietario,Dietary supplement
sertralina,sertraline
ketorolac,ketorolac
gts.x 20 ml,gts.x 20 ml
Limpiador p/piel acneica,Cleanser for acne-prone skin
10 mg comp.x 60,10 mg tablets x 60
500 mg comp.x 16,500 mg tablets x 16
Antivertiginoso,Antivertigo
Betabloqueante,Beta blocker
levofloxacina,levofloxacin
Neuroprotector,Neuroprotector
5 mg comp.x 60,5 mg comp.x 60
betametasona,betamethasone
diclofenac+pridinol,diclofenac+pridinol
metronidazol,metronidazole
2 mg comp.x 30,2 mg tablets x 30
Control glucosa,Glucose control
cr.x 15 g,cr.x 15 g
eritropoyetina recomb.humana,recombinant human erythropoietin
vit.c,vit.c
betahistina,betahistine
comp.rec.x 28,comp.rec.x 28
lenalidomida,lenalidomide
venlafaxina,venlafaxine
Antigripal,Flu
"sitagliptina+metformina,clorh.","sitagliptin+metformin,chlorh."
aciclovir,acyclovir
Antiinflam.respirat.Broncodil.,Antiinflam.respirat.Broncodil.
aripiprazol,aripiprazole
memantine,memantine
olanzapina,olanzapine
atenolol,atenolol
comp.rec.x 60,comp.rec.x 60
Cuidado de heridas,Wound care
montelukast,montelukast
palbociclib,palbociclib
Relajante muscular,Muscle relaxant
Suplemento nutricional,Nutritional supplement
200 mg comp.x 30,200 mg tablets x 30
40 mg comp.x 30,40 mg tablets x 30
cr.x 20 g,cr.x 20 g
diosmina+hesperidina micronizada,diosmin+micronized hesperidin
50 mg comp.rec.x 30,50 mg comp.rec.x 30
cilostazol,cilostazol
dexametasona,dexamethasone
Inhibidor de la conv.testost.,Testost conv.inhibitor.
loratadina,loratadine
vildagliptin+metformina,vildagliptin+metformin
magnesio+asoc.,magnesium+assoc.
Antibacteriano,Antibacterial
Antiinflam.intestinal,Anti-inflammatory intestinal
cr.x 30 g,cr.x 30 g
paroxetina,paroxetine
Anticoagulante,Anticoagulant
clobetasol,clobetasol
lamotrigina,lamotrigine
"sodio,divalproato","sodium, divalproex"
50 mg comp.x 60,50 mg tablets x 60
Antitusivo Expectorante,Antitussive Expectorant
bisoprolol,bisoprolol
diclofenac+vit.b12+betametasona,diclofenac+vit.b12+betamethasone
nebivolol,nebivolol
25 mg comp.rec.x 30,25 mg comp.rec.x 30
Antiparasitario,Antiparasitic
donepecilo,donepezil
naproxeno,naproxen
pramipexol,pramipexole
clotrimazol,clotrimazole
dasatinib,dasatinib
diclofenac dietilamina,diclofenac diethylamine
Inhib.de la tirosina quinasa,Tyrosine kinase inhibitor
levotiroxina,levothyroxine
No clasificada,Unclassified
temozolomida,temozolomide
1 mg comp.x 60,1 mg comp.x 60
comp.x 50,comp.x 50
drospirenona+etinilestradiol,drospirenone+ethinylestradiol
paracetamol+fenilefrina+asoc.,paracetamol+phenylephrine+assoc.
trimebutina,trimebutine
20 mg comp.x 60,20 mg tablets x 60
500 mg comp.x 20,500 mg tablets x 20
comp.rec.x 30 (VL),comp.rec.x 30 (VL)
diazepam,diazepam
dipirona,dipyrone
rifaximina,rifaximin
100 mg comp.x 60,100 mg tablets x 60
Cicatrizante,Healing
hidrocortisona,hydrocortisone
humectantes+emolientes,moisturizers + emollients
jbe.x 120 ml,jbe.x 120 ml
jbe.x 120 ml (VL),jbe.x 120 ml (VL)
loperamida,loperamide
magnesio,magnesium
medidor de glucosa,glucose meter
mesalazina,mesalazine
metoclopramida,metoclopramide
tamsulosina,tamsulosin
tiras reactivas,test strips
ibrutinib,ibrutinib
Vasodilatador,Vasodilator
cetirizina,cetirizine
Reconstituyente gral.,General restorative
trifluridina+tipiracilo,trifluridine+tipiracil
urea+asoc.,urea+assoc.
vit.+minerales+asoc.,vit.+minerals+assoc.
300 mg comp.x 30,300 mg tablets x 30
400 mg comp.rec.x 30,400 mg comp.rec.x 30
apixaban,apixaban
clindamicina,clindamycin
clorhexidina+asoc.,chlorhexidine+assoc.
eritromicina,erythromycin
fexofenadina,fexofenadine
gabapentin,gabapentin
haloperidol,haloperidol
paracetamol+pseudoefedrina+asoc.,paracetamol+pseudoephedrine+assoc.
sitagliptina,sitagliptin
0.5 mg comp.x 30,0.5 mg tablets x 30
2 mg comp.x 60,2 mg comp.x 60
aloe vera,aloe vera
Antigotoso,Antigout
Digestivo,Digestive
jbe.x 100 ml,jbe.x 100 ml
lata x 400 g,can x 400 g
meropenem,meropenem
pazopanib,pazopanib
Pediculicida,Pediculicide
tacrolimus,tacrolimus
tobramicina,tobramycin
500 mg comp.x 30,500 mg tablets x 30
500 mg comp.x 8,500 mg tablets x 8
Agua destilada,Distilled water
difenhidramina,diphenhydramine
docetaxel,docetaxel
fenoximetilpenicilina,phenoxymethylpenicillin
midazolam,midazolam
susp.oft.x 5 ml,susp.oft.x 5 ml
topiramato,topiramate
Trat.vejiga hiperactiva,Overactive bladder treatment
Vasculoprotector,Vasculoprotective
100 mg f.a.x 1,100 mg f.a.x 1
40 mg comp.rec.x 30,40 mg comp.rec.x 30
Antibacteriano Cicatrizante,Antibacterial Healing
Antihemorroidal,Antihemorrhoidal
bromhexina,bromhexine
comp.x 20 (VL),comp.x 20 (VL)
gemcitabina,gemcitabine
iodopovidona,povidone-iodine
meprednisona,meprednisone
rosuvastatina+ezetimibe,rosuvastatin+ezetimibe
terbinafina,terbinafine
10 mg comp.x 28,10 mg tablets x 28
75 mg comp.x 30,75 mg tablets x 30
Antivaricoso,Antivaricose
budesonide,budesonide
Estrogenoterapia,Estrogen therapy
inmunoglobulina humana,human immunoglobulin
ketoconazol,ketoconazole
poliaminopropilbiguanida+asoc.,polyaminopropylbiguanide+assoc.
simvastatin,simvastatin
sulfametoxazol+trimetoprima,sulfamethoxazole+trimethoprim
vit.+asoc.,vit.+assoc.
5 mg comp.rec.x 60,5 mg comp.rec.x 60
desloratadina,desloratadine
Desmaquillante/Limpieza facial,Makeup Remover/Facial Cleanser
oxaliplatino,oxaliplatin
somatotrofina,somatotropin
Vasodilatador cerebral,Cerebral vasodilator
10 mg comp.x 20,10 mg tablets x 20
20 mg comp.rec.x 60,20 mg comp.rec.x 60
200 mg comp.rec.x 30,200 mg comp.rec.x 30
50 mg comp.x 28,50 mg tablets x 28
Antiagregante plaquetario,Antiplatelet agent
Antienvejecimiento,Anti-aging
env.x 500 g,env.x 500 g
finasteride,finasteride
imatinib,imatinib
Inhib.del factor necrosis tumoral,Tumor necrosis factor inhibition
"lurasidona,clorhidrato",lurasidone hydrochloride
mometasona furoato,mometasone furoate
treprostinil,treprostinil
vortioxetina,vortioxetine
Alimento infantil,Baby food
"bendamustina,clorh.","bendamustine,chlorh."
ceftriaxona,ceftriaxone
clopidogrel,clopidogrel
comp. x 30 (VL),comp. x 30 (VL)
comp.x 15,comp.x 15
Dermoaclarante,Dermo-lightening
duloxetina,duloxetine
empagliflozina+metformina clorh.,empagliflozin+metformin chlorh.
fluoxetina,fluoxetine
glimepiride,glimepiride
Hormonoterapia,Hormone therapy
meloxicam,meloxicam
metotrexato,methotrexate
nilotinib,nilotinib
pomalidomida,pomalidomide
Quelante,Chelating agent
Regenerador capilar,Hair regenerator
solifenacina,solifenacin
Soluciones parenterales,Parenteral solutions
sulfadiazina de plata+asoc.,silver sulfadiazine+assoc.
tramadol+paracetamol,tramadol+paracetamol
15 mg comp.x 30,15 mg tablets x 30
20 mg comp.x 20,20 mg tablets x 20
25 mg comp.x 28,25 mg tablets x 28
Antiinflam.Antipruriginoso,Anti-inflammatory.Antipruritic
bromazepam,bromazepam
budesonide+formoterol,budesonide+formoterol
comp.x 10 (VL),comp.x 10 (VL)
cr.x 50 g (VL),cr.x 50 g (VL)
Descongestivo,Decongestant
Higiene facial,Facial hygiene
metilfenidato,methylphenidate
miconazol+metronidazol+asoc.,miconazole+metronidazole+assoc.
salbutamol,salbutamol
sol.oft.x 10 ml,sol.oft.x 10 ml
tobramicina+dexametasona,tobramycin+dexamethasone
vancomicina,vancomycin
vit.a,vit.a
200 mg comp.x 20,200 mg tablets x 20
200 mg comp.x 60,200 mg tablets x 60
500 mg comp.x 60,500 mg tablets x 60
60 mg comp.rec.x 30,60 mg comp.rec.x 30
allopurinol,allopurinol
aloe vera+asoc.,aloe vera+assoc.
azacitidina,azacitidine
carboplatino,carboplatin
cistina+asoc.,cystine+assoc.
clorhexidina,chlorhexidine
comp.rec.x 60 (VL),comp.rec.x 60 (VL)
Descongestivo nasal,Nasal decongestant
empagliflozina,empagliflozin
espironolactona,spironolactone
fluticasona,fluticasone
fluticasona+salmeterol,fluticasone+salmeterol
furosemida,furosemide
gts.x 30 ml,gts.x 30 ml
Humectante,Moisturizer
ketorolac trometamina,ketorolac tromethamine
Repelente de insectos,Insect repellent
"sodio,cloruro+asoc.","sodium, chloride+assoc."
valeriana+asoc.,valerian+assoc.
10 mg comp.x 10,10 mg tablets x 10
5 mg comp.x 28,5 mg comp.x 28
500 mg comp.rec.x 60,500 mg comp.rec.x 60
500 mg comp.x 10,500 mg tablets x 10
afatinib,afatinib
ambroxol,ambroxol
ampicilina,ampicillin
anastrozol,anastrozole
Antianginoso,Antianginal
Antioxidante,Antioxidant
cabozantinib,cabozantinib
"calcio,carbonato+asoc.","calcium, carbonate+assoc."
cannabidiol+asoc.,cannabidiol+assoc.
cr.x 30 g (VL),cr.x 30 g (VL)
creatina,creatine
Crema dental,Toothpaste
dexlansoprazol,dexlansoprazole
env.x 400 g,env.x 400 g
glicerina+asoc.,glycerin+assoc.
Hepatoprotector,Hepatoprotective
Higiene femenina,Feminine hygiene
insulina humana,human insulin
nimodipina,nimodipine
norfloxacina,norfloxacin
ponatinib,ponatinib
"sodio,cloruro",sodium chloride
"sodio,picosulfato",sodium picosulfate
vit.a+asoc.,vit.a+assoc.
15 mg comp.rec.x 30,15 mg comp.rec.x 30
2.5 mg comp.x 30,2.5 mg tablets x 30
50 mg comp.rec.x 60,50 mg comp.rec.x 60
50 mg f.a.x 1,50 mg f.a.x 1
axitinib,axitinib
eplerenona,eplerenone
erlotinib,erlotinib
fenofibrato micronizado,micronized fenofibrate
fentanilo,fentanyl
gts.oft.x 5 ml,gts.oft.x 5 ml
Inhibidor de la janus quinasa,Janus kinase inhibitor
lata x 800 g,can x 800 g
levocetirizina,levocetirizine
levonorgestrel+etinilestradiol,levonorgestrel+ethinyl estradiol
"potasio,nitrato+asoc.","potassium, nitrate+assoc."
rivastigmina,rivastigmine
siliconas,silicones
sob.x 30,over x 30
terazosina,terazosin
vildagliptin,vildagliptin
2.5 mg comp.rec.x 30,2.5 mg comp.rec.x 30
50 mg comp.x 20,50 mg tablets x 20
500 mg comp.rec.x 30,500 mg comp.rec.x 30
600 mg comp.x 30,600 mg tablets x 30
"abiraterona,acetato",abiraterone acetate
adapaleno,adapalene
Anticuerpo monoclonal. Inhib. de la interleucina,Monoclonal antibody. Interleukin inhibitor
betametasona+gentamic.+miconazol,betamethasone+gentamic.+miconazole
bortezomib,bortezomib
bosentan,bosentan
capecitabina,capecitabine
cefadroxilo,cefadroxil
ciprofloxacina+dexametasona,ciprofloxacin+dexamethasone
comp.rec.x 15,comp.rec.x 15
comp.x 40,comp.x 40
cr.x 100 g (VL),cr.x 100 g (VL)
desvenlafaxina,desvenlafaxine
env.x 500 ml (VL),env.x 500 ml (VL)
enzimas digestivas,digestive enzymes
Evacuante intestinal,Bowel evacuator
Factor estim.crec.granulocitos,Granulocyte growth stimulation factor
Higiene vaginal,Vaginal hygiene
Hipotensor ocular,Ocular hypotensive
"morfina,clorhidrato",morphine hydrochloride
Regulador intestinal,Intestinal regulator
"sodio,bicarbonato+asoc.","sodium, bicarbonate + assoc."
1000 mg comp.x 30,1000 mg tablets x 30
16 mg comp.x 30,16 mg tablets x 30
500 mg comp.rec.x 16,500 mg comp.rec.x 16
750 mg comp.rec.x 5,750 mg comp.rec.x 5
Activador cerebral,Brain activator
amitriptilina,amitriptyline
brick x 24 unid.x200 ml,brick x 24 units x 200 ml
carbamazepina,carbamazepine
dapagliflozina,dapagliflozin
deferasirox,deferasirox
diltiazem,diltiazem
dutasteride,dutasteride
Estimulante SNC,CNS stimulant
ginkgo biloba+asoc.,ginkgo biloba+assoc.
"hierro,sulfato",iron sulfate
Inhib. Neprilisina y Angiotensina II,Inhibit Neprilysin and Angiotensin II
ivermectina,ivermectin
lacosamida,lacosamide
levodopa+carbidopa+entacapone,levodopa+carbidopa+entacapone
orlistat,orlistat
oxibutinina,oxybutynin
pirfenidona,pirfenidone
"potasio,cloruro",potassium chloride
progesterona,progesterone
propofol,propofol
Surfactante pulmonar,Pulmonary surfactant
urea,urea
vit.e,vit.e
10 mg comp.rec.x 60,10 mg comp.rec.x 60
10 mg comp.subl.x 10,10 mg comp.subl.x 10
10 mg comp.x 50,10 mg tablets x 50
2 mg comp.x 50,2 mg comp.x 50
2.5 mg comp.x 60,2.5 mg tablets x 60
20 mg comp.rec.x 2,20 mg comp.rec.x 2
40 mg comp.x 28,40 mg tablets x 28
500 mg comp.x 50,500 mg tablets x 50
500 mg susp.x 90 ml,500 mg susp. x 90 ml
75 mg comp.rec.x 30,75 mg comp.rec.x 30
80 mg comp.rec.x 30,80 mg comp.rec.x 30
alendronato,alendronate
Antieccematoso,Antieczematous
Antiflatulento,Antiflatulent
"calcio,citrato+vit.d3","calcium, citrate+vit.d3"
comp.rec.x 10 (VL),comp.rec.x 10 (VL)
Crema dental p/dien.sensibles,Toothpaste for sensitive teeth
enalapril+hidroclorotiazida,enalapril+hydrochlorothiazide
Enjuague bucal Antiplaca,Antiplaque Mouthwash
Estimulante de la motilidad intestinal,Intestinal motility stimulant
ezetimibe+simvastatin,ezetimibe+simvastatin
filgrastim,filgrastim
gel x 30 g,gel x 30 g
gentamicina,gentamicin
gramicidina+neomicina+asoc.,gramicidin+neomycin+assoc.
Inmunoestimulante,Immunostimulant
itraconazol,itraconazole
minociclina,minocycline
"otilonio,bromuro",otilonium bromide
peg 3350,peg 3350
pemetrexed,pemetrexed
pomo x 40 g (VL),knob x 40 g (VL)
prucalopride,prucalopride
remifentanilo,remifentanil
Sedante,Sedative
simeticona,simethicone
"sodio,fluoruro",sodium fluoride
sunitinib,sunitinib
Test de embarazo,Pregnancy test
vit.c+asoc.,vit.c+assoc.
10 mg comp.rec.x 28,10 mg comp.rec.x 28
1000 mg f.a.x 100,1000 mg f.a.x 100
150 mg comp.x 2,150 mg tablets x 2
20 mg comp.x 28,20 mg tablets x 28
250 mg comp.x 120,250 mg tablets x 120
4 mg comp.x 20,4 mg tablets x 20
5 mg comp.rec.x 28,5 mg comp.rec.x 28
8 mg comp.x 30,8 mg comp.x 30
Anovulatorio,Anovulatory
Anti Edad,Anti-aging
Anticaspa Antiseborreico,Anti-dandruff Anti-seborrheic
arginina+asoc.,arginine+assoc.
baclofeno,baclofen
colirio x 5 ml,eye drops x 5 ml
comp.rec.x 20 (VL),comp.rec.x 20 (VL)
comp.x 40 (VL),comp.x 40 (VL)
eltrombopag,eltrombopag
enzalutamida,enzalutamide
Estimulante crec.faneras,Stimulating plant growth
famotidina,famotidine
fingolimod,fingolimod
gel x 50 g,gel x 50 g
gliclazida,gliclazide
hedera helix,Hedera helix
jbe.x 60 ml,jbe.x 60 ml
Laxante Lubricante,Laxative Lubricant
letrozol,letrozole
memantine+donepecilo,memantine+donepezil
minoxidil,minoxidil
nalbufina,nalbuphine
paracetamol+clorfeniramina+asoc.,paracetamol+chlorpheniramine+asoc.
"timolol,maleato",timolol maleate
Tricomonicida Amebicida,Trichomonicide Amebicide
Vasodilatador coronario,Coronary vasodilator
vit.a+vit.e+urea,vit. a+vit. e+urea
0.5 mg comp.x 60,0.5 mg tablets x 60
1 mg comp.rec.x 30,1 mg comp.rec.x 30
100 mg comp.rec.x 60,100 mg comp.rec.x 60
150 mg comp.rec.x 30,150 mg comp.rec.x 30
2 mg comp.x 20,2 mg tablets x 20
20 mg comp.rec.x 28,20 mg comp.rec.x 28
30 mg comp.rec.x 30,30 mg comp.rec.x 30
30 mg comp.x 30,30 mg tablets x 30
4 mg comp.x 30,4 mg comp.x 30
500 mg comp.x 3,500 mg tablets x 3
ambrisentan,ambrisentan
Antipruriginoso,Antipruritic
Antitusivo,Antitussive
avena+asoc.,oats+assoc.
cannabidiol,cannabidiol
carfilzomib,carfilzomib
comp. x 60 (VL),comp. x 60 (VL)
cr.x 20 g (VL),cr.x 20 g (VL)
cr.x 60 g (VL),cr.x 60 g (VL)
dimetil fumarato,dimethyl fumarate
dispositivo para aplic.insulina,insulin application device
dutasteride+tamsulosina,dutasteride+tamsulosin
everolimus,everolimus
Expansor coloidal,Colloidal expander
ginseng+vit.+minerales,ginseng+vit.+minerals
glibenclamida,glibenclamide
glucosamina,glucosamine
Gonadotropinoterapia,Gonadotropin therapy
grag.x 60 (VL),grag.x 60 (VL)
hierbas medicinales,medicinal herbs
"hioscina,n-butilbr.","hyoscine,n-butylbr."
meloxicam+pridinol,meloxicam+pridinol
mupirocina,mupirocin
oxcarbazepina,oxcarbazepine
rituximab,rituximab
"sodio,fluoruro+asoc.","sodium, fluoride+assoc."
tofacitinib,tofacitinib
vit.b12,vit. b12
zolpidem,zolpidem
1 mg comp.x 50,1 mg comp.x 50
1000 mg comp.rec.x 30,1000 mg comp.rec.x 30
1000 mg comp.x 8,1000 mg tablets x 8
1000 mg iny.f.a.x 100,1000 mg inj.f.a.x 100
20 mg comp.x 10,20 mg tablets x 10
20 mg f.a.x 1,20 mg f.a.x 1
250 mg comp.x 50,250 mg tablets x 50
40 mg comp.x 20,40 mg tablets x 20
50 mg comp.rec.x 28,50 mg comp.rec.x 28
50 mg iny.f.a.x 1,50 mg inj.f.a.x 1
500 mg comp.rec.x 7,500 mg comp.rec.x 7
500 mg comp.x 6,500 mg tablets x 6
600 mg comp.x 10,600 mg tablets x 10
80 mg comp.x 30,80 mg tablets x 30
aceite de pescado,fish oil
Adelgazante,Slimming
Agente despertador no anfetam.,Non-amphetam awakening agent.
amlodipina+benazepril,amlodipine+benazepril
Antiparatiroideo,Antiparathyroid
avena,oatmeal
bevacizumab,bevacizumab
bicalutamida,bicalutamide
bisacodilo,bisacodyl
brivaracetam,brivaracetam
buprenorfina,buprenorphine
cefepime,cefepime
cinacalcet,cinacalcet
ciproterona,cyproterone
colistina metansulfonato,colistin methanesulfonate
comp.x 28,comp.x 28
cr.x 200 g (VL),cr.x 200 g (VL)
cynara+boldo+asoc.,cynara+boldo+assoc.
desloratadina+betametasona,desloratadine+betamethasone
dexketoprofeno,dexketoprofen
dorzolamida+timolol,dorzolamide+timolol
doxorubicina,doxorubicin
fsh,fsh
Humectante vaginal,Vaginal moisturizer
Inmunoterapia pasiva,Passive immunotherapy
irinotecan,Irinotecan
itopride,itopride
latanoprost,latanoprost
loc.x 30 ml,loc.x 30 ml
loratadina+betametasona,loratadine+betamethasone
modafinilo,modafinil
resveratrol+asoc.,resveratrol+assoc.
succinilcolina,succinylcholine
surfactante pulmonar,pulmonary surfactant
trimebutina+simeticona,trimebutine+simethicone
vilazodona clorh.,vilazodone chloride.
vinorelbine,vinorelbine
vit.d,vit.d
10 mg a.x 100 x 1 ml,10 mg a.x 100 x 1 ml
10/10 mg comp.x 30,10/10 mg tablets x 30
150 mg comp.rec.x 1,150 mg comp.rec.x 1
150 mg comp.x 1,150 mg comp.x 1
150 mg comp.x 4,150 mg tablets x 4
20 mg comp.rec.x 4,20 mg comp.rec.x 4
25 mg comp.x 60,25 mg tablets x 60
400 mg comp.x 20,400 mg tablets x 20
50 mg comp.x 10,50 mg tablets x 10
500 mg comp.rec.x 10,500 mg comp.rec.x 10
500 mg comp.rec.x 6,500 mg comp.rec.x 6
500 mg comp.x 100,500 mg tablets x 100
70 mg comp.x 4,70 mg tablets x 4
atomoxetina,atomoxetine
betametasona (acet.y fosf.disod),betamethasone (acet. and phosphodisod)
"calcio,carbonato+vit.d3","calcium, carbonate+vit.d3"
Coadyuvante en anestesia,Adjuvant in anesthesia
cr.x 40 g (VL),cr.x 40 g (VL)
Crema antiage,Anti-aging cream
dexametasona+neomicina+asoc.,dexamethasone+neomycin+assoc.
Dispositivos especiales,Special devices
env.x 120 ml (VL),env.x 120 ml (VL)
eszopiclona,eszopiclone
extractos vegetales,vegetable extracts
extractos vegetales+asoc.,plant extracts+assoc.
fulvestrant,fulvestrant
galantamina,galantamine
gts.x 10 ml,gts.x 10 ml
ibuprofeno+clorzoxazona,ibuprofen+chlorzoxazone
"ipratropio,bromuro",ipratropium bromide
lata x 400 g (VL),can x 400 g (VL)
lata x 500 g,500g can
levomepromazina,levomepromazine
loc.x 100 ml (VL),loc.x 100 ml (VL)
melatonina,melatonin
miconazol,miconazole
nistatina,nystatin
pomo x 50 g (VL),knob x 50 g (VL)
pouch x 2 x 7 g c/u (VL),pouch x 2 x 7 g each (VL)
pouch x 7 g (VL),pouch x 7 g (VL)
promestriene,promestriene
Reactivador cerebrovascular,Cerebrovascular reactivator
Relajante uterino,Uterine relaxant
spray x 60 ml (VL),spray x 60 ml (VL)
tetrahidrozolina,tetrahydrozoline
Tisanas,Herbal teas
vit.a+vit.e+asoc.,vit.a+vit.e+assoc.
"vit.b,complejo","vit. b,complex"
vit.e+asoc.,vit.e+assoc.
1 g f.a.x 1,1 g f.a.x 1
10 mg comp.rec.x 15,10 mg comp.rec.x 15
10 mg comp.x 10 (VL),10 mg comp.x 10 (VL)
100 mg comp.rec.x 28,100 mg comp.rec.x 28
150 mg comp.rec.x 60,150 mg comp.rec.x 60
200 mg comp.x 10,200 mg tablets x 10
200 mg f.a.x 1,200 mg f.a.x 1
3.5 mg f.a.x 1,3.5 mg f.a.x 1
5 mg comp.mast.x 30,5 mg comp.mast.x 30
5 mg comp.x 20,5 mg tablets x 20
50 mg comp.x 50,50 mg tablets x 50
50/1000 mg comp.x 60,50/1000 mg tablets x 60
500 mg comp.rec.x 3,500 mg comp.rec.x 3
500 mg comp.x 30 (VL),500 mg comp.x 30 (VL)
500 mg f.a.x 50,500 mg f.a.x 50
75 mg comp.x 15,75 mg tablets x 15
aceite de almendras+asoc.,almond oil+assoc.
airless env.x 50 g (VL),airless env.x 50 g (VL)
albendazol,albendazole
"aluminio,hidr.+magn.hidr.+simet.","aluminum, hydr.+magn.hydra.+simet."
ampicilina+sulbactam,ampicillin+sulbactam
"atracurio,besilato",atracurium besylate
betametasona+gentamicina+asoc.,betamethasone+gentamicin+assoc.
Bioenergizante,Bioenergizer
bosutinib,bosutinib
brick x 200 ml,brick x 200 ml
calamina+difenhidramina,calamine+diphenhydramine
caram.x 9 (VL),caram.x 9 (VL)
caspofungin,caspofungin
clozapina,clozapine
comp.x 100,comp.x 100
desmopresina acetato,desmopressin acetate
Digestivo Hepatoprotector,Digestive Hepatoprotective
domperidona,domperidone
doxilamina+piridoxina,doxylamine+pyridoxine
etanercept,etanercept
etinilestradiol+gestodeno,ethinylestradiol+gestodene
fampridina,fampridine
garcinia cambogia+asoc.,garcinia cambogia+assoc.
gel x 50 g (VL),gel x 50 g (VL)
"hioscina,n-butilbr.+paracetamol","hyoscine,n-butylbr.+paracetamol"
isoflavonas de soja+asoc.,soy isoflavones+assoc.
isoxsuprina,isoxsuprine
jbe.x 200 ml,jbe.x 200 ml
labetalol,labetalol
levonorgestrel,levonorgestrel
Lubricante,Lubricant
macitentan,macitentan
metadona,methadone
nintedanib,nintedanib
olopatadine,olopatadine
"omeprazol+sodio,bicarbonato",omeprazole + sodium bicarbonate
pack x 1000 ml,pack x 1000 ml
paliperidona,paliperidone
peg 3350+asoc.,peg 3350+assoc.
piperacilina+tazobactam,piperacillin+tazobactam
pomo x 100 g (VL),knob x 100 g (VL)
ranitidina,ranitidine
Reconstituyente,Restorative
shamp.x 400 ml,shampoo x 400 ml
sol.oft.x 10 ml (VL),sol.oft.x 10 ml (VL)
sol.oft.x 2.5 ml,sol.oft.x 2.5 ml
sol.x 20 ml,sol.x 20 ml
ung.x 30 g,ung.x 30 g
Vasorregulador,Vasoregulator
vit.c+vit.d+zinc,vit.c+vit.d+zinc
voriconazol,voriconazole
1 mg comp.x 20,1 mg comp.x 20
1% cr.x 30 g,1% cr.x 30 g
100 mg comp.x 28,100 mg tablets x 28
100 mg iny.f.a.x 1,100 mg inj.f.a.x 1
1000 mg comp.x 16,1000 mg tablets x 16
1000 mg comp.x 60,1000 mg tablets x 60
1000 mg f.a.x 1,1000 mg f.a.x 1
14 mg comp.rec.x 28,14 mg comp.rec.x 28
15 mg comp.x 10,15 mg tablets x 10
160 mg comp.rec.x 30,160 mg comp.rec.x 30
20 mg comp.rec.ran.x 30,20 mg comp.rec.ran.x 30
24 mg comp.x 30,24 mg tablets x 30
250 mg comp.rec.x 30,250 mg comp.rec.x 30
250 mg comp.x 30,250 mg tablets x 30
300 mg comp.x 60,300 mg tablets x 60
