pcid,Company,Local Product Name,Generic Name,Local Pack Description
780,Varifarma,MESINIB,imatinib,400 mg comp.rec.x 30
781,Varifarma,CPT 11,Irinotecan,100 mg inj.f.a.x 1 x 5ml
782,Varifarma,LETROZOL VARIFARMA,letrozole,2.5 mg comp.rec.x 30
787,Varifarma,MAXIMITON,mitomycin,20 mg f.a.x 1
794,Varifarma,NEUTROFIL,filgrastim,30 MU sol.inj.f.a.x 1
795,Varifarma,NEUTROFIL,filgrastim,48 MU sol.inj.f.a.x 1
796,Varifarma,NEUTROFIL,filgrastim,30 MU sol.inj.f.a.x 5
797,Varifarma,OXALIPLATINO VARIFARMA,oxaliplatin,50 mg f.a.x 1
798,Varifarma,OXALIPLATINO VARIFARMA,oxaliplatin,100 mg f.a.x 1
799,Varifarma,PACLITAXEL VARIFARMA,paclitaxel,100 mg f.a.x 1 x 17 ml
800,Varifarma,PACLITAXEL VARIFARMA,paclitaxel,150 mg f.a.x 1 x 25 ml
801,Varifarma,PACLITAXEL VARIFARMA,paclitaxel,30 mg f.a.x 1 x 5 ml
802,Varifarma,PACLITAXEL VARIFARMA,paclitaxel,300 mg f.a.x 1 x 50 ml
803,Varifarma,PEMETREXED VARIFARMA,pemetrexed,500 mg f.a.pvo.liof.x 1
804,Varifarma,RELOTIB,erlotinib,100 mg comp.rec.x 30
805,Varifarma,RELOTIB,erlotinib,150 mg comp.rec.x 30
807,Varifarma,TAMOXIFENO VARIFARMA,tamoxifen,20 mg tablets x 30
813,Varifarma,VARIMER,mercaptopurine,50 mg tablets x 25
814,Varifarma,VARITRINOX,arsenic trioxide,10 mg a.x 10
815,Varifarma,VAXEMES,exemestane,25 mg comp.rec.x 30
819,Janssen-Cilag,INVEGA,paliperidone,3 mg comp.lib.prol.x 28
820,Janssen-Cilag,INVEGA,paliperidone,6 mg comp.lib.prol.x 28
822,Janssen-Cilag,REMICADE,infliximab,100 mg liof.f.a.x 1
824,Janssen-Cilag,RISPERDAL CONSTA,risperidone,25 mg vial a.x 1+needle
825,Janssen-Cilag,RISPERDAL CONSTA,risperidone,37.5 mg vial a.x 1+needle
826,Janssen-Cilag,SIMPONI,golimumab,50 mg jga.prell. x 1
827,Janssen-Cilag,SIMPONI,golimumab,50 mg autoinjectable x 1
828,Janssen-Cilag,SIMPONI,golimumab,100 mg autoinjectable x 1
830,Janssen-Cilag,VELCADE,bortezomib,3.5 mg f.a.x 1
831,Adium,YONDELIS,trabectedin,vial x 1
839,Filaxis Farmaceutica,FLUOROURACILO FILAXIS,fluorouracil,500 mg f.a.x 5
842,Ariston,RIBAVIRINA ARISTON,ribavirin,200 mg caps. x 50
846,Abbvie,KALETRA,ritonavir+lopinavir,jbe.x 160 ml
847,Abbvie,KALETRA,ritonavir+lopinavir,50/200 mg comp.rec.x 120
848,Abbvie,KALETRA,ritonavir+lopinavir,25/100 mg rec. tab. x 60
849,AstraZeneca,SYNAGIS,palivizumab,50 mg f.a.x 1
850,AstraZeneca,SYNAGIS,palivizumab,100 mg f.a.x 1
852,Abbvie,ZEMPLAR,paricalcitol,5 mcg vial x 5 x 1 ml
868,Boehringer Ingelheim,ATROVENT HFA,ipratropium bromide,hfa aerosol x 10 ml
869,Boehringer Ingelheim,ATROVENT,ipratropium bromide,sol.x 20 ml
870,Boehringer Ingelheim,ATROVENT,ipratropium bromide,sun.x 40 ml
871,Boehringer Ingelheim,BEROTEC HFA,fenoterol,hfa aerosol x 10 ml
874,Boehringer Ingelheim,COMBIVENT SM,"salbutamol+ipratropium,br.",single-dose sun x 20
875,Boehringer Ingelheim,BERODUAL HFA,ipratropium bromide + fenoterol,hfa aerosol x 10 ml
877,Boehringer Ingelheim,GIOTRIF,afatinib,20 mg tablets x 28
878,Boehringer Ingelheim,GIOTRIF,afatinib,30 mg tablets x 28
879,Boehringer Ingelheim,GIOTRIF,afatinib,40 mg tablets x 28
883,Boehringer Ingelheim,PRADAXA,dabigatran,110 mg caps.x 10
885,Boehringer Ingelheim,PRADAXA,dabigatran,110 mg caps.x 30
886,Boehringer Ingelheim,PRADAXA,dabigatran,150 mg caps.x 30
887,Boehringer Ingelheim,PRADAXA,dabigatran,75 mg caps.x 30
891,Boehringer Ingelheim,TRAYENTA DUO,linagliptin+metformin,2.5/1000 mg comp.x 60
892,Boehringer Ingelheim,TRAYENTA DUO,linagliptin+metformin,2.5/850 mg comp.x 60
893,Boehringer Ingelheim,TRAYENTA,linagliptin,comp.rec.x 30
894,Novo Nordisk,INSULINA LEVEMIR FLEXPEN,insulin detemir,100 IU pens x5 x3ml
896,Novo Nordisk,INSULINA NOVOLIN R,human insulin,HM 100 IU f.a.x 10 ml
898,Novo Nordisk,INSULINA INSULATARD,human insulin,HM 100 IU f.a.x 10 ml
899,Novo Nordisk,INSULINA INSULATARD PENFILL,human insulin,HM 100 IU cart.x 5 x 3ml
900,Novo Nordisk,INSULINA INSULATARD FLEXPEN,human insulin,HM 100UI lap.prellx5x3ml
903,Novo Nordisk,INSULINA NOVOMIX 30 FLEXPEN,biphasic insulin aspartic,100 IU pens x5 x3ml
910,Novo Nordisk,INSULINA NOVORAPID PENFILL,insulin aspart,100 IU cart.x 5 x 3 ml
911,Novo Nordisk,INSULINA NOVORAPID FLEXPEN,insulin aspart,100 IU lapic.x 5 x 3 ml
912,Novo Nordisk,INSULINA NOVORAPID FLEXTOUCH,insulin aspart,100 IU lap.x 5 x 3 ml
915,Novo Nordisk,VICTOZA,liraglutide,lap.prell.x 2 x 3ml(RRP)
917,Pierre Fabre Oncologie,BUSILVEX,busulfan,60 mg/ml a.x 8 x 10 ml
918,Pierre Fabre Oncologie,JAVLOR,vinflunine ditartrate,f.a.x 250 mg/ml
919,Pierre Fabre Oncologie,JAVLOR,vinflunine ditartrate,f.a.x 50 mg/ml
920,Pierre Fabre Oncologie,NAVELBINE ORAL,vinorelbine,20 mg caps.x 1
921,Pierre Fabre Oncologie,NAVELBINE ORAL,vinorelbine,30 mg caps.x 1
922,Pierre Fabre Oncologie,NAVELBINE,vinorelbine,10 mg inj.x 1
923,Pierre Fabre Oncologie,NAVELBINE,vinorelbine,50 mg inj.x 1
925,Ferring,FIRMAGON,degarelix,80mg inj.pvof.a.prell.x1
926,Ferring,FIRMAGON,degarelix,120mg inj.pvof.a.prellx2
977,Fresenius Kabi,ONDANSETRON KABI,ondansetron,8 mg/4 ml sol.inj.x 1
992,Servier,DIAMICRON MR 60,gliclazide,60 mg comp.lib.mod.x 30
993,Servier,DIAMICRON MR 60,gliclazide,60 mg comp.lib.mod.x 60
994,Servier,PROCORALAN,ivabradine,5 mg comp.rec.x 28
995,Servier,PROCORALAN,ivabradine,7.5 mg comp.rec.x 28
996,Servier,PROCORALAN,ivabradine,5 mg comp.rec.x 56
997,Servier,PROCORALAN,ivabradine,7.5 mg comp.rec.x 56
147090,Lafedar,LAFEVIR,acyclovir,200 mg tablets x 40
1008,Aspen,ANASKEBIR,anastrozole,1 mg comp.rec.x 28
1009,Aspen,TAZADIR,azacitidine,100 mg f.a.x 1
1012,Aspen,BITAKEBIR,bicalutamide,50 mg tablets x 28
1015,Aspen,CARBOKEBIR,carboplatin,150 mg inj.liof.f.a.x 1
1016,Aspen,CARBOKEBIR,carboplatin,450 mg inj.liof.f.a.x 1
1017,Aspen,CATEPEN,capecitabine,500 mg comp.rec.x 120
1018,Aspen,CRIBINA,decitabine,50 mg f.a.x 1
1019,Aspen,DOCEKEBIR,docetaxel,20 mg f.a.x 1+dissolv.x 1
1020,Aspen,DOCEKEBIR,docetaxel,80 mg f.a.x 1+dissolv.x 1
1021,Aspen,DOXOKEBIR,doxorubicin,50 mg f.a.x 1
1022,Aspen,FLUDAKEBIR,fludarabine,50 mg f.a.liof.x 1
1023,Aspen,FLUDAKEBIR,fludarabine,50 mg f.a.liof.x 5
1024,Aspen,GEBINA,gemcitabine,1000 mg f.a.x 1
1025,Aspen,GEBINA,gemcitabine,200 mg f.a.x 1
1026,Aspen,IMATIB,imatinib,100 mg comp.rec.x 180
