value,count,example_columns
20 mg c?ps.x 15 (VL),8,description
20 mg c?ps.x 5,8,description
200 mg c?ps.x 120,8,description
250 mg c?ps.x 5,8,description
40 mg c?ps.x 120,8,description
40 mg c?ps.x 14 (VL),8,description
60 mg c?ps.x 30,8,description
"acetilsalic?lico,?c.+asoc.",8,active_ingredient
Activador metab?lico cerebral,8,therapeutic_class
Agente p/constipaci?n,8,therapeutic_class
alcohol cet?lico+asoc.,8,active_ingredient
Analg?sico central,8,therapeutic_class
Antibi?tico Antiinfl.Anest.,8,therapeutic_class
Antibi?tico urinario,8,therapeutic_class
Anticelul?tico,8,therapeutic_class
Antirreum?tico Inmunomodulador,8,therapeutic_class
b?ls.x 200 ml,8,description
b?ls.x 400 ml,8,description
bupropi?n,8,active_ingredient
c?ps. x 30,8,description
cart?lago de tibur?n+asoc.,8,active_ingredient
"clindamicina+benzo?lo,per?xido",8,active_ingredient
Descongestivo Antihistam?nico,8,therapeutic_class
f?rm.etapa 4,8,active_ingredient
Inductor del sue?o,8,therapeutic_class
Limpieza de pr?tesis dentales,8,therapeutic_class
Medio de contraste no i?nico,8,therapeutic_class
Parasimpaticomim?tico,8,therapeutic_class
T?pico para verrugas,8,therapeutic_class
100 mg c?ps.x 60,7,description
300 mg c?ps.x 16,7,description
4 mg c?ps.x 21,7,description
?cido carglumico,7,active_ingredient
?v.x 12,7,description
amino?cidos+vit.b6,7,active_ingredient
An?logo hormona de crecimiento,7,therapeutic_class
Analg?sico Antigripal,7,therapeutic_class
Antial?rgico Descongestivo,7,therapeutic_class
Antibi?tico Descongest.,7,therapeutic_class
bl?ster comp.x 150 (VL),7,description
c?ps.blandas x 20 (VL),7,description
c?ps.x 28,7,description
c?ps.x 90 (VL),7,description
"caf? verde,extr.+asoc.",7,active_ingredient
cal?ndula+asoc.,7,active_ingredient
diacere?na,7,active_ingredient
Digestivo Ansiol?tico,7,therapeutic_class
f?rm.antirregurgitaci?n,7,active_ingredient
f?rm.para intolerancia lactosa,7,active_ingredient
Fluidificante de las v?as a?reas,7,therapeutic_class
fosfol?pidos+asoc.,7,active_ingredient
"fus?dico,?c.",7,active_ingredient
Gastrocin?tico Antiflatulento,7,therapeutic_class
Inmunizaci?n antitet?nica,7,therapeutic_class
isotretino?na,7,active_ingredient
lidoca?na+hidrocortisona,7,active_ingredient
Midri?tico,7,therapeutic_class
prote?na de arveja,7,active_ingredient
"salic?lico,?c.+l?ctico,?c.",7,active_ingredient
toxina botul?nica tipo a,7,active_ingredient
Trat.dermatitis at?pica,7,therapeutic_class
triglic?ridos cad. media,7,active_ingredient
Uterot?nico,7,therapeutic_class
0.5/0.4 mg c?ps.x 30,6,description
1 mg c?ps.x 21,6,description
150 mg c?ps.x 60,6,description
267 mg c?ps.x 270,6,description
3 mg c?ps.x 21,6,description
30 mg c?ps.x 30,6,description
40 mg c?ps.x 30,6,description
40 mg c?ps.x 30 (VL),6,description
500 mg c?ps.x 100,6,description
alb?mina humana,6,active_ingredient
amlodipina+atorvastat?n,6,active_ingredient
Anhidr?tico,6,therapeutic_class
Antagonista benzodiazep?nico,6,therapeutic_class
Antibi?tico Tuberculost?tico,6,therapeutic_class
Anticelul?tico Reductor,6,therapeutic_class
Antihistam?nico Antipruriginoso,6,therapeutic_class
Antiinflam.Queratol?tico,6,therapeutic_class
Antimic?tico Antiinflamatorio,6,therapeutic_class
ar?ndano+asoc.,6,active_ingredient
benzoca?na,6,active_ingredient
"bismuto,hidr?xido+pectina",6,active_ingredient
c?ps.blandas x 15,6,description
c?ps.blandas x 60 (VL),6,description
c?ps.p/inh.x 60+aplic.,6,description
c?ps.x 100,6,description
c?ps.x 15,6,description
c?ps.x 20,6,description
col?geno hidrolizado,6,active_ingredient
diclofenac pot?sico+pridinol,6,active_ingredient
Diur?tico. Antagonista de la vasopresina,6,therapeutic_class
fosfato dis?dico+fosfato monos?d.,6,active_ingredient
"fus?dico,?c.+betametasona",6,active_ingredient
"glucosamina,pot?sica",6,active_ingredient
gts.?ticas x 10 ml,6,description
"hierro+vit.b12+f?lico,?c.+asoc.",6,active_ingredient
Inductor ovulaci?n,6,therapeutic_class
inhib.de la secrec.?cida g?strica,6,therapeutic_class
insulina asp?rtica,6,active_ingredient
interfer?n beta 1a,6,active_ingredient
Limp.intestinal p/diag.y cirug?a,6,therapeutic_class
penicilina g s?dica,6,active_ingredient
Terapia de reemplazo enzim?tico,6,therapeutic_class
Trat.de estr?as,6,therapeutic_class
tretino?na+asoc.,6,active_ingredient
triclos?n+asoc.,6,active_ingredient
0.5 mg c?ps.x 28,5,description
1 mg c?ps.x 100,5,description
12.5 mg c?ps.x 28,5,description
120 mg c?ps.x 14,5,description
75 mg c?ps.x 60,5,description
Adhesivo Hemost?tico,5,therapeutic_class
alanto?na+asoc.,5,active_ingredient
amino?cidos+vit.b12,5,active_ingredient
amoxicilina+acetilciste?na,5,active_ingredient
ant?geno hepatitis a,5,active_ingredient
Antibi?tico Analg?sico,5,therapeutic_class
Antibi?tico de uso inhalatorio,5,therapeutic_class
Antiespasm?dico urinario,5,therapeutic_class
Antiinflam.Inhib.secrec.?c.g?st.,5,therapeutic_class
ap?s.15x15 cm x 1 u. (VL),5,description
bempedoico ?c.,5,active_ingredient
"betametasona+salic?lico,?c.",5,active_ingredient
bi valvulada c/ m?sc.x 1 (VL),5,description
bl?st.x 20 x 10 comp.c/u (VL),5,description
c?ps.blandas x 10 (VL),5,description
c?ps.blandas x 30 (VL),5,description
c?ps.x 10 (VL),5,description
c?ps.x 100 (VL),5,description
c?ps.x 4 (VL),5,description
c?ps.x 50,5,description
c?scara sagrada+aloe,5,active_ingredient
candesart?n+hidroclorotiazida,5,active_ingredient
casta?o de indias+asoc.,5,active_ingredient
Cerumenol?tico Otoprotector,5,therapeutic_class
ciclosporina p/microemulsi?n,5,active_ingredient
Coadyuvante coagulaci?n,5,therapeutic_class
Complemento vitam?nico,5,therapeutic_class
dextr?n+hidroxipropilmetilcel,5,active_ingredient
etidronato dis?dico+asoc.,5,active_ingredient
extracto seco de ch?a,5,active_ingredient
"f?lico,?c.+asoc.",5,active_ingredient
gammaglobulina antitet?n.+toxoide,5,active_ingredient
guaran?+asoc.,5,active_ingredient
"l?ctico,?c.+urea",5,active_ingredient
lidoca?na+asoc.,5,active_ingredient
Lipol?tico,5,therapeutic_class
Lubricante ?ntimo,5,therapeutic_class
manteca de karit?+asoc.,5,active_ingredient
pantoprazol magn?sico,5,active_ingredient
Queratol?tico/T?pico p/verrugas,5,therapeutic_class
Soluci?n bucal,5,therapeutic_class
"titanio,di?xido+asoc.",5,active_ingredient
Trat.nutricional de pacientes fibroqu?sticos,5,therapeutic_class
Vacuna antineumoc?ccica,5,therapeutic_class
vit.c+col?g.tipo II no desnatur.+asoc.,5,active_ingredient
0.4 mg c?ps.x 60,4,description
0.5 mg c?ps.duras x 28,4,description
0.5 mg c?ps.x 30,4,description
0.5 mg c?ps.x 50,4,description
1000 mg c?ps.x 30 (VL),4,description
120 mg c?ps.x 30,4,description
123 mg c?ps.x 14,4,description
140 mg c?ps.x 5,4,description
2 mg c?ps.x 21,4,description
2.5/10 mg c?ps.x 30,4,description
200 mg c?ps.x 60,4,description
240 mg c?ps.x 60,4,description
300 mg c?ps.x 28,4,description
300 mg c?ps.x 60,4,description
4 casta?o kit x 1 (VL),4,description
4 mg c?ps.x 30,4,description
5 mg c?ps.x 50,4,description
5/10 mg c?ps.x 30,4,description
5/20 mg c?ps.x 30,4,description
50 mg c?ps.x 50,4,description
500 mg c?ps.x 20,4,description
60 mg c?ps.x 14,4,description
75 mg c?ps.x 15,4,description
?cidos grasos omega 3+asoc.,4,active_ingredient
?v.x 7,4,description
a.pl?st.x 10 ml,4,description
a.pl?st.x 5 ml,4,description
Agente inotr?pico positivo,4,therapeutic_class
Agente selectivo de uni?n a bloqueantes,4,therapeutic_class
alcohol diclorobenc?lico+asoc.,4,active_ingredient
An?logo sint?tico de Vitamina D,4,therapeutic_class
Antibi?tico intest.Antidiarreico,4,therapeutic_class
Antihepar?nico,4,therapeutic_class
Antihistam?nico Corticoster.,4,therapeutic_class
Antileuc?mico,4,therapeutic_class
Antis?ptico Bals?mico,4,therapeutic_class
ar?ndano rojo+asoc.,4,active_ingredient
bl?ster x 1 comp.x 4 (VL),4,description
bl?ster x 20 comp.x 4 (VL),4,description
c?ps.bl.x 10,4,description
c?ps.bl.x 2,4,description
c?ps.bl.x 60 (VL),4,description
c?ps.x 120 (VL),4,description
c?ps.x 8 (VL),4,description
c?ps.x 90,4,description
c?rcuma+jengibre,4,active_ingredient
cafe?na+asoc.,4,active_ingredient
carboximetilciste?na,4,active_ingredient
cart?lago de tibur?n,4,active_ingredient
Chaperona farmacol?gica,4,therapeutic_class
col?g.hidr.+vit.c+?c.hialur.,4,active_ingredient
col?geno+c?rcuma+asoc.,4,active_ingredient
Corticosteroide nasal uso t?pico,4,therapeutic_class
diclofenac pot?sico+betametasona,4,active_ingredient
diclofenac pot?sico+vit.b12+betametasona,4,active_ingredient
diclofenac s?dico+omeprazol,4,active_ingredient
dobesilato c?lcico,4,active_ingredient
etop?sido,4,active_ingredient
ext.de avena+manteca de karit?,4,active_ingredient
f?rm.amino?cidos libres ni?o,4,active_ingredient
f?rm.hidr?lisis extensa lactante,4,active_ingredient
f?rm.hidr?lisis parcial lactante,4,active_ingredient
f?rm.para c?licos y constipaci?n,4,active_ingredient
factor IX coagulaci?n recomb.,4,active_ingredient
factor VIII coagulaci?n recomb.pegilado,4,active_ingredient
factores de coagulaci?n,4,active_ingredient
fibrin?geno humano,4,active_ingredient
"hierro+f?lico,?c.+asoc.",4,active_ingredient
Inhibid.de la miosina card?aca,4,therapeutic_class
l?q.x 120 ml,4,description
polisac?ridos de s.pneumoniae,4,active_ingredient
Regulador de la despigmentaci?n,4,therapeutic_class
s?rum alta pot.x 15 ml (VL),4,description
s?rum x 15 ml (VL),4,description
Suplementaci?n viscoelastica,4,therapeutic_class
"ti?ctico,?c.+pancreatina+asoc.",4,active_ingredient
Trat.de la eyaculaci?n precoz,4,therapeutic_class
Trat.n?useas/v?mitos en embarazo,4,therapeutic_class
Trat.retenci?n urinaria,4,therapeutic_class
"valproico,?c.",4,active_ingredient
Vasodilatador perif?rico,4,therapeutic_class
vit.+amino?cidos,4,active_ingredient
1.5 mg c?ps.x 30,3,description
10 mg c?ps.x 60,3,description
10% sol.t?pica x 60 ml (VL),3,description
1000 mg c?ps.x 60 (VL),3,description
135 mg c?ps.lib.prol.x30,3,description
135 mg c?ps.x 30,3,description
160 mg c?ps.x 30,3,description
180 mg c?ps.x 5,3,description
20 mg c?ps.bl.x 30,3,description
200 mg c?ps.x 20,3,description
250 mg c?ps.x 100,3,description
250 mg c?ps.x 30,3,description
3 mg c?ps.x 30,3,description
30 mg c?ps.x 14,3,description
30 mg c?ps.x 30 (VL),3,description
300 mg c?ps.x 8,3,description
40 mg c?ps.x 28,3,description
400 mg c?ps.blandas x 10 (VL),3,description
400 mg c?ps.blandas x 20 (VL),3,description
45 mg c?ps.lib.prol.x 30,3,description
45 mg c?ps.x 30,3,description
5 casta?o claro kit x 1 (VL),3,description
5 mg c?ps.x 30,3,description
500 mg ?v.x 10,3,description
6 mg c?ps.x 30,3,description
60 mg c?ps.x 28,3,description
aceite de ch?a+asoc.,3,active_ingredient
"acetilsalic.,?c+atorvastat?n+ramipril",3,active_ingredient
"acetilsalic?lico,?c.+vit.c",3,active_ingredient
Agente Antidisquin?tico,3,therapeutic_class
alcohol isoprop?lico,3,active_ingredient
almid?n de ma?z modificado,3,active_ingredient
amino?cidos+vitaminas,3,active_ingredient
Anest?sico gral.,3,therapeutic_class
Anest?sico t?pico,3,therapeutic_class
ant?geno hepatitis b,3,active_ingredient
Antagonista de narc?ticos,3,therapeutic_class
Antial?rgico Antipruriginoso,3,therapeutic_class
Antiangiog?nico,3,therapeutic_class
Antibi?tico vaginal,3,therapeutic_class
Antiem?tico Sedante,3,therapeutic_class
Antigiardi?sico,3,therapeutic_class
Antiherp?tico,3,therapeutic_class
Antiinflam.prost?tico,3,therapeutic_class
Antiisqu?mico Antianginoso,3,therapeutic_class
Antiprost?tico Antihipertens.,3,therapeutic_class
Antipsori?sico Antieccematoso,3,therapeutic_class
Antis?ptico respiratorio,3,therapeutic_class
Antis?ptico vaginal,3,therapeutic_class
ap?s.10x10 cm x 1 u. (VL),3,description
bempedoico ?c.+ezetimibe,3,active_ingredient
benzoca?na+asoc.,3,active_ingredient
bl?st.x 12 x 10 c?ps.c/u (VL),3,description
bupivaca?na+epinefrina,3,active_ingredient
c?ps. blandas x 60 (VL),3,description
c?ps. x 120,3,description
c?ps. x 20 (VL),3,description
c?ps.bl.x 20,3,description
c?ps.bl.x 30,3,description
c?ps.blandas x 10,3,description
c?ps.blandas x 20,3,description
c?ps.blandas x 60,3,description
c?ps.gelat.blanda x 10,3,description
c?ps.x 1,3,description
c?ps.x 120,3,description
c?ps.x 14,3,description
cafe?na,3,active_ingredient
cal?ndula,3,active_ingredient
cep. s?nico x 1,3,description
clortalidona+valsart?n,3,active_ingredient
code?na+paracetamol,3,active_ingredient
col?geno hidrolizado+vit.c+vit.e+asoc.,3,active_ingredient
Crema dental p/enc?as irritadas,3,therapeutic_class
d?a cr.x 30 ml,3,description
diclofenac pot?sico+asoc.,3,active_ingredient
edoxab?n,3,active_ingredient
ext.seco de ruscus+hesperidina+?c.asc?rbico,3,active_ingredient
"f?lico,?c.+vit.b",3,active_ingredient
f?rm.amino?cidos libres lactante,3,active_ingredient
Facilitador del sue?o,3,therapeutic_class
fenolftale?na,3,active_ingredient
Fibrinol?tico,3,therapeutic_class
gel t?pico x 60 g,3,description
goma x?ntica,3,active_ingredient
"hialur?nico,?c.+colageno+resveratrol+asoc.",3,active_ingredient
hidrogel sint?tico,3,active_ingredient
ibuprofeno+code?na,3,active_ingredient
ibuprofeno+ergotamina+cafe?na,3,active_ingredient
Inhibidor de la se?alizaci?n de activina,3,therapeutic_class
