Country,Currency,Source,Region,Company,Product Group,Local Product Name,Generic Name,Local Pack Description,Pack Unit,Pack Size,LOCAL_PACK_CODE,Unit Price,PCID Mapping,VAT Percent,Public without VAT Price,Public with VAT Price,Reimbursable Status,Reimbursable Rate,Copayment Percent
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Abirateron,TABLET 1000 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,29.51,,0.09,27.073394495412842,29.51,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ZYTIGA,,Abirateron,TABLET 250 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abirateron,54.88,,0.09,50.34862385321101,54.88,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Pfizer bv,CIBINQO,,Cibinqo,TABLET 100 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abrocitinib,67.35,,0.09,61.78899082568806,67.35,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,AstraZeneca bv,CALQUENCE,,Calquence,TABLET 100 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acalabrutinib,164.36,,0.09,150.78899082568807,164.36,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Merck bv,CAMPRAL,,Campral,MAAGSAPRESISTENTE TABLET 333 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acamprosaat,1.23,,0.09,1.128440366972477,1.23,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Acebutolol,TABLET 400 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acebutolol,0.44,,0.09,0.40366972477064217,0.44,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Aceclofenac,OMHULDE TABLET 100 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aceclofenac,0.32,,0.09,0.2935779816513761,0.32,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,BIOFENAC,,Aceclofenac,OMHULDE TABLET 100 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aceclofenac,0.35,,0.09,0.3211009174311926,0.35,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Acenocoumarol,TABLET 1 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acenocoumarol,0.09,,0.09,0.08256880733944953,0.09,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Formularium der Nederlandse Apothekers,DIAMOX,,Acetazolamide suspensie FNA,TABLET 250 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetazolamide,0.64,,0.09,0.5871559633027522,0.64,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Zambon Nederland bv,FLUIMUCIL,,Fluimucil,25 ml CONCENTRAAT VOOR OPLOSSING VOOR INFUSIE 200 mg / ml,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__bij_paracetamolintoxicatie_,26.13,,0.09,23.972477064220183,26.13,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Zambon Nederland bv,GENERIEK,,Fluimucil inhalatievloeistof,BRUISTABLET 200 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,0.49,,0.09,0.4495412844036697,0.49,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Zambon Nederland bv,FLUIMUCIL,,Fluimucil inhalatievloeistof,BRUISTABLET 200 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,0.56,,0.09,0.5137614678899083,0.56,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Zambon Nederland bv,BISOLBRUIS,,Fluimucil inhalatievloeistof,BRUISTABLET 600 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,0.57,,0.09,0.5229357798165136,0.57,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Zambon Nederland bv,HOESTBRUISTABLET HTP,,Fluimucil inhalatievloeistof,BRUISTABLET 600 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,0.27,,0.09,0.2477064220183486,0.27,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Zambon Nederland bv,LIVSANE,,Fluimucil inhalatievloeistof,BRUISTABLET 600 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__inhalatie_,0.36,,0.09,0.33027522935779813,0.36,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Formularium der Nederlandse Apothekers,Acetylcysteïne Oogdruppels FNA,,Acetylcysteïne Oogdruppels FNA,,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oculair_,,,0.09,,,NON REIMBURSABLE,0.00%,100.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Acetylcysteïne,BRUISTABLET 200 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,0.49,,0.09,0.4495412844036697,0.49,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,FLUIMUCIL,,Acetylcysteïne,BRUISTABLET 200 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,0.56,,0.09,0.5137614678899083,0.56,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,BISOLBRUIS,,Acetylcysteïne,BRUISTABLET 600 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,0.57,,0.09,0.5229357798165136,0.57,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,HOESTBRUISTABLET HTP,,Acetylcysteïne,BRUISTABLET 600 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,0.27,,0.09,0.2477064220183486,0.27,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,LIVSANE,,Acetylcysteïne,BRUISTABLET 600 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylcysteine__oraal_,0.36,,0.09,0.33027522935779813,0.36,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ASPRO,,Acetylsalicylzuur,BRUISTABLET 500 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,1.46,,0.09,1.3394495412844036,1.46,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Acetylsalicylzuur,TABLET 500 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,0.78,,0.09,0.7155963302752293,0.78,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ASPIRINE,,Acetylsalicylzuur,TABLET 500 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur,1.08,,0.09,0.9908256880733944,1.08,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ASPIRINE,,Acetylsalicylzuur Cardio,TABLET 100 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur__als_trombocytenaggregatieremmer_,0.16,,0.09,0.14678899082568805,0.16,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Acetylsalicylzuur Cardio,DISPERGEERBARE TABLET 30 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur__als_trombocytenaggregatieremmer_,0.07,,0.09,0.06422018348623854,0.07,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Bayer bv,MIGRAFIN,,Aspirine C,POEDER VOOR ORAAL GEBRUIK 900/10 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_ascorbinezuur,23.59,,0.09,21.642201834862384,23.59,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Bayer bv,ASPIRINE C,,Aspirine C,BRUISTABLET 400/240 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_ascorbinezuur,3.95,,0.09,3.623853211009174,3.95,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Cooper Consumer Health International,MIGRAFIN,,Migrafin,POEDER VOOR ORAAL GEBRUIK 900/10 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_metoclopramide,23.59,,0.09,21.642201834862384,23.59,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Cooper Consumer Health International,ASPIRINE C,,Migrafin,BRUISTABLET 400/240 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_metoclopramide,3.95,,0.09,3.623853211009174,3.95,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,APC,TABLET 250/250/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,0.47,,0.09,0.4311926605504587,0.47,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,APC TABLET,,APC,TABLET 250/250/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,0.8,,0.09,0.7339449541284404,0.8,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,CITROSAN,,APC,POEDER VOOR DRANK 500/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,3.86,,0.09,3.5412844036697244,3.86,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ROTER,,APC,POEDER VOOR DRANK 500/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,3.2,,0.09,2.9357798165137616,3.2,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,PANADOL PLUS,,APC,OMHULDE TABLET 500/65 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,0.66,,0.09,0.6055045871559633,0.66,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,EXCEDRIN,,APC,TABLET 250/250/65 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,4.89,,0.09,4.486238532110091,4.89,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,FINIMAL,,APC,TABLET 500/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,1.94,,0.09,1.7798165137614677,1.94,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,PARACOF,,APC,TABLET 500/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,2.45,,0.09,2.2477064220183487,2.45,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ANTIGRIPPINE,,APC,TABLET 250/25/25 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,4.55,,0.09,4.174311926605504,4.55,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,NURALGAN,,APC,TABLET 500/200 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,3.83,,0.09,3.5137614678899083,3.83,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,HOOFDPIJNPOEDERS 'DARO',,APC,POEDER VOOR ORAAL GEBRUIK 150/250/46 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,4.58,,0.09,4.201834862385321,4.58,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,SARIDON,,APC,TABLET 150/250/50 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acetylsalicylzuur_paracetamol_coffeine,2.81,,0.09,2.5779816513761467,2.81,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Aciclovir infusie,TABLET 200 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir,5.08,,0.09,4.660550458715596,5.08,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ZOVIRAX,,Aciclovir infusie,SUSPENSIE VOOR ORAAL GEBRUIK 40 mg / ml,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir,29.03,,0.09,26.63302752293578,29.03,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,KOORTSLIPCREME HTP,,Aciclovir koortslip,CREME 50 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir__cutaan_,17.44,,0.09,16.0,17.44,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,LIVSANE,,Aciclovir koortslip,CREME 50 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir__cutaan_,18.15,,0.09,16.651376146788987,18.15,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ZOVIRAX KOORTSLIP,,Aciclovir koortslip,CREME 50 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir__cutaan_,56.65,,0.09,51.97247706422018,56.65,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Aciclovir oogzalf,"4,5 G OOGZALF 30 mg /G",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir__oculair_,32.65,,0.09,29.95412844036697,32.65,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ZOVIRAX,,Aciclovir oogzalf,"4,5 G OOGZALF 30 mg /G",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir__oculair_,18.19,,0.09,16.68807339449541,18.19,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,GlaxoSmithKline bv,ZOVIRAX DUO,,Zovirax Duo,CREME 50/10 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aciclovir_hydrocortison,70.31,,0.09,64.5045871559633,70.31,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Pfizer bv,OLBETAM,,Olbetam,CAPSULE 250 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acipimox,1.08,,0.09,0.9908256880733944,1.08,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Acitretine,CAPSULE 10 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acitretine,2.37,,0.09,2.1743119266055047,2.37,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,NEOTIGASON,,Acitretine,CAPSULE 10 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acitretine,2.37,,0.09,2.1743119266055047,2.37,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Covis Pharma Europe bv,BRETARIS,,Bretaris Genuair,INHALATIEPOEDER 322 μg /DO,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aclidinium,1.12,,0.09,1.0275229357798166,1.12,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Covis Pharma Europe bv,EKLIRA,,Bretaris Genuair,INHALATIEPOEDER 322 μg /DO,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aclidinium,1.13,,0.09,1.0366972477064218,1.13,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Covis Pharma Europe bv,DUAKLIR GENUAIR,,Duaklir Genuair,INHALATIEPOEDER 340/12 μg /DO,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aclidinium_formoterol,1.37,,0.09,1.2568807339449541,1.37,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,AMGEVITA,,Amgevita,"0,4 ml INJECTIEVLOEISTOF 100 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,297.63,,0.09,273.0550458715596,297.63,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,HUKYNDRA,,Amgevita,"0,4 ml INJECTIEVLOEISTOF 100 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,296.34,,0.09,271.87155963302746,296.34,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,HUMIRA,,Amgevita,"0,4 ml INJECTIEVLOEISTOF 100 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,296.34,,0.09,271.87155963302746,296.34,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,HYRIMOZ,,Amgevita,"0,4 ml INJECTIEVLOEISTOF 100 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,296.34,,0.09,271.87155963302746,296.34,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,IMRALDI,,Amgevita,"0,4 ml INJECTIEVLOEISTOF 100 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,296.34,,0.09,271.87155963302746,296.34,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,YUFLYMA,,Amgevita,"0,4 ml INJECTIEVLOEISTOF 100 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,279.38,,0.09,256.31192660550454,279.38,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Amgen bv,IDACIO,,Amgevita,"0,8 ml INJECTIEVLOEISTOF 50 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adalimumab,297.62,,0.09,273.045871559633,297.62,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Takeda Nederland bv,ADZYNMA,,Adzynma,POEDER VOOR INJECTIEVLOEISTOF,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adamts13,,,0.09,,,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,ACE Pharmaceuticals bv,Semprex,,Semprex,,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/acrivastine,,,0.09,,,NON REIMBURSABLE,0.00%,100.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Galderma Benelux bv,DIFFERIN,,Differin,GEL 1 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/adapaleen,3.79,,0.09,3.477064220183486,3.79,REIMBURSABLE,100.00%,0.00%
