Local Product Name,Local Pack Code,Generic Name,WHO ATC Code,Formulation,Strength Size,Fill Size,Customized 1,Marketing Authority / Company Name,Effective Start Date,Effective End Date,Public with VAT Price,Pharmacy Purchase Price,Local Pack Description,Reimbursable Status,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,VAT Percent,detail_url
AMINOVEN INFANT 10%,5319991595057,"solution for parenteral nutrition, amino acids",B05BA01,solution for infusion,10%,стаклено шише х 100 ml,"1 000 ml раствор содржи: L-изолеуцин . . . 8 g; L-леуцин . . . 13 g; L-метионин . . . 3,12 g; L-лизин моноацетат . . . 12 g (еквивалентен на 8,51 g L-лизин); L-фенилаланин . . . 3,75 g; L-треонин . . . 4,4 g; L-триптофан . . . . . 2,01 g; L-валин . . . 9 g; N-ацетил-L-тирозин . . . 5,176 g (еквивалентен на 4,2 g тирозин); N-ацетил -L-цистеин . . . 0,7 g (еквивалентен на 0,52 g L-цистеин); L-аргинин . . . 7,5 g; L-хистидин . . . 4,76 g; L-аланин . . . 9,3 g; глицин . . . 4,15 g; L-пролин . . . 9,71 g; L-серин . . . 7,67 g; таурин . . . 0,4 g; L-јаболкова киселина . . . 2,62 g","FRESENIUS KABI Austria GmbH, Graz, Austria",27.04.2015,,715.11,557.67,solution for infusion glass bottle x 100 ml 10% 1 000 ml solution contains: L-isoleucine...8 g;L-leucine...13 g;L-methionine...3.12 g;L-lysine monoacetate...12 g (equivalent to 8.51 g of L-lysine);L-phenylalanine...3.75 g;L-threonine...4.4 g;L-tryptophan.....2.01 g;L-valine...9 g;N-acetyl-L-tyrosine...5.176 g (equivalent to 4.2 g of tyrosine);N-acetyl-L-cysteine...0.7 g (equivalent to 0.52 g of L-cysteine);L-arginine...7.5 g;L-histidine...4.76 g;L-alanine...9.3 g;glycine...4.15 g;L-proline...9.71 g;L-serine...7.67 g;taurine...0.4 g;L-malic acid...2.62 g,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51041?t:ac=overview
AMIOKORDIN,3838989564582,amiodarone,C01BD01,tablet,200 mg,60 tablets (blister 6 x 10)/box,1 tablet contains: amiodarone hydrochloride...200 mg,"KRKA d.d.(Lochna), Novo Mesto, Slovenia",16.02.2015,,318.02,236.62,tablet 60 tablets (blister 6 x 10)/box 200 mg 1 tablet contains: amiodarone hydrochloride...200 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51066?t:ac=overview
AMIOKORDIN,3838989616328,amiodarone,C01BD01,solution for injection or infusion,150 mg/3 ml,5 ampoules of colorless glass x 3 ml/box,3 ml solution (1 ampoule) contains: amiodarone hydrochloride...150 mg (equivalent to 141.98 mg amiodarone),"KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",29.08.2018,,125.27,93.21,"раствор за инјектирање или инфузија 5 ампули од безбојно стакло х 3 ml/кутија 150 mg/3 ml 3 ml раствор (1 ампула) содржи: амиодарон хидрохлорид . . . 150 mg (еквивалентно на 141,98 mg амиодарон)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51059?t:ac=overview
AMITRIPTYLINE,5290665002852,amitriptyline,N06AA09,film-coated tablet,25 mg,30 tablets (blister 3 x 10)/box,1 film-coated tablet contains: amitriptyline hydrochloride...25 mg,"REMEDICA Ltd, Limassol, Cyprus",12.01.2022,,66.36,49.38,film-coated tablet 30 tablets (blister 3 x 10)/box 25 mg 1 film-coated tablet contains: amitriptyline hydrochloride...25 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/54761?t:ac=overview
AMLESSA,3838989606916,"perindopril, amlodipine",C09BB04,tablet,4 mg/10 mg,30 tablets (blister 3 x 10)/box,"1 таблета содржи: периндоприл терт-бутиламин . . . 4 mg (еквивалентен на 3,34 mg периндоприл) амлодипин бесилат . . . 13,870 mg (еквивалентен на 10 mg амлодипин)","TAD Pharma GmbH, Cuxhaven, Germany, KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",10.07.2018,,361.54,269,"tablet 30 tablets (blister 3 x 10)/box 4 mg/10 mg 1 tablet contains: perindopril tert-butylamine...4 mg (equivalent to 3.34 mg perindopril) amlodipine besylate...13,870 mg (equivalent to 10 mg amlodipine)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56625?t:ac=overview
AMLESSA,3838989606909,"perindopril, amlodipine",C09BB04,таблета,4 mg/5 mg,30 tablets (blister 3 x 10)/box,"1 таблета содржи: периндоприл терт-бутиламин . . . 4 mg (еквивалентен на 3,34 mg периндоприл) амлодипин бесилат . . . 6,935 mg (еквивалентен на 5 mg амлодипин)","TAD Pharma GmbH, Cuxhaven, Germany, KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",10.07.2018,,341.56,254.14,tablet 30 tablets (blister 3 x 10)/box 4 mg/5 mg 1 tablet contains: perindopril tert-butylamine...4 mg (equivalent to 3.34 mg perindopril) amlodipine besylate...6.935 mg (equivalent to 5 mg amlodipine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56626?t:ac=overview
AMLESSA,3838989606923,"perindopril, amlodipine",C09BB04,tablet,8 mg/5 mg,30 tablets (blister 3 x 10)/box,1 tablet contains: perindopril tert-butylamine...8 mg (equivalent to 6.68 mg perindopril) amlodipine besylate...6.935 mg (equivalent to 5 mg amlodipine),"TAD Pharma GmbH, Cuxhaven, Germany, KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",10.07.2018,,550.92,419.75,tablet 30 tablets (blister 3 x 10)/box 8 mg/5 mg 1 tablet contains: perindopril tert-butylamine...8 mg (equivalent to 6.68 mg perindopril) amlodipine besylate...6.935 mg (equivalent to 5 mg amlodipine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56627?t:ac=overview
AMLESSA,3838989606930,"perindopril, amlodipine",C09BB04,tablet,8 mg/10 mg,30 tablets (blister 3 x 10)/box,"1 tablet contains: perindopril tert-butylamine...8 mg (equivalent to 6.68 mg perindopril) amlodipine besylate...13,870 mg (equivalent to 10 mg amlodipine)","TAD Pharma GmbH, Cuxhaven, Germany, KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",10.07.2018,,570.54,434.7,"tablet 30 tablets (blister 3 x 10)/box 8 mg/10 mg 1 tablet contains: perindopril tert-butylamine...8 mg (equivalent to 6.68 mg perindopril) amlodipine besylate...13,870 mg (equivalent to 10 mg amlodipine)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56628?t:ac=overview
AMLODIPIN,5310090003184,amlodipine,C08CA01,tablet,10 mg,20 tablets (blister 2 x 10)/box,"1 tablet contains: amlodipine besylate...14,862 mg (equivalent to 10 mg amlodipine)","REPLEK FARM DOOEL SKOPJE, Skopje, R.North Macedonia",13.10.2017,,58.8,45.5,"tablet 20 tablets (blister 2 x 10)/box 10 mg 1 tablet contains: amlodipine besylate...14,862 mg (equivalent to 10 mg amlodipine)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51069?t:ac=overview
AMLODIPIN,5310090003085,amlodipine,C08CA01,tablet,5 mg,20 tablets (blister 2 x 10)/box,1 tablet contains: amlodipine besylate...7 mg (equivalent to 5 mg amlodipine),"REPLEK FARM DOOEL SKOPJE, Skopje, R.North Macedonia",17.10.2019,,44.1,34,tablet 20 tablets (blister 2 x 10)/box 5 mg 1 tablet contains: amlodipine besylate...7 mg (equivalent to 5 mg amlodipine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51071?t:ac=overview
AMLODIPIN ALKALOID,5310001204402,amlodipine,C08CA01,tablet,5 mg,30 tablets (blister 3 x 10)/box,1 tablet contains: amlodipine besylate...6.934 mg (equivalent to 5 mg amlodipine),"ALKALOID AD, Skopje, R.North Macedonia",09.05.2014,,128.57,95.66,tablet 30 tablets (blister 3 x 10)/box 5 mg 1 tablet contains: amlodipine besylate...6.934 mg (equivalent to 5 mg amlodipine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51073?t:ac=overview
AMLODIPIN ALKALOID,5310001204396,amlodipine,C08CA01,tablet,10 mg,30 tablets (blister 2 x 15)/box,"1 tablet contains: amlodipine besylate...13,869 mg (equivalent to 10 mg amlodipine)","ALKALOID AD, Skopje, R.North Macedonia",09.05.2014,,165.12,122.86,"tablet 30 tablets (blister 2 x 15)/box 10 mg 1 tablet contains: amlodipine besylate...13,869 mg (equivalent to 10 mg amlodipine)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51072?t:ac=overview
AMLOGAL,8608808139001,amlodipine,C08CA01,tablet,10 mg,30 tablets (blister 3 x 10)/box,1 tablet contains: amlodipine besylate...13.88 mg (equivalent to 10 mg amlodipine),"GALENIKA AD, Belgrade, Serbia",22.12.2020,,49.92,37.14,"таблета 30 таблети (блистер 3 х 10)/кутија 10 mg 1 таблета содржи: амлодипин бесилат . . . 13,88 mg (еквивалентен на 10 mg амлодипин)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56190?t:ac=overview
AMLOGAL,8608808139018,amlodipine,C08CA01,tablet,5 mg,30 таблети (блистер 3 х 10)/кутија,1 tablet contains: amlodipine besylate...6.94 mg (equivalent to 5 mg amlodipine),"GALENIKA AD, Belgrade, Serbia",22.12.2020,,36.49,27.15,tablet 30 tablets (blister 3 x 10)/box 5 mg 1 tablet contains: amlodipine besylate...6.94 mg (equivalent to 5 mg amlodipine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56189?t:ac=overview
AMLOPIN,3838957031283,amlodipine,C08CA01,tablet,10 mg,30 tablets (blister 3 x 10) / box,"1 tablet contains: amlodipine besylate...13,872 mg (equivalent to 10 mg amlodipine)","LEK Pharmaceuticals d.d.-, Ljubljana, Slovenia, LEK S.A, Strykow, Poland, LEK Pharmaceuticals d.d., Lendava, Slovenia",10.01.2018,,182.5,135.79,"tablet 30 tablets (blister 3 x 10) / box 10 mg 1 tablet contains: amlodipine besylate...13,872 mg (equivalent to 10 mg amlodipine)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3747197063?t:ac=overview
AMLOPIN,3838957031306,amlodipine,C08CA01,tablet,5 mg,30 tablets (blister 3 x 10)/box,1 tablet contains: amlodipine besylate...6.936 mg (equivalent to 5 mg amlodipine),"LEK Pharmaceuticals d.d.-, Ljubljana, Slovenia, LEK S.A, Strykow, Poland, LEK Pharmaceuticals d.d., Lendava, Slovenia",10.01.2018,,122.01,95.45,tablet 30 tablets (blister 3 x 10)/box 5 mg 1 tablet contains: amlodipine besylate...6.936 mg (equivalent to 5 mg amlodipine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3747197064?t:ac=overview
AMOKLAVIN BID,8699525092472,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,875 mg/125 mg,10 tablets (blister 2 x 5)/box,"1 film-coated tablet contains: amoxicillin trihydrate...1004.31 mg (equivalent to 875.00 mg amoxicillin) potassium clavulanate, diluted...297.82 mg (potassium clavulonate and microcrystalline cellulose (1:1), equivalent to 125.00 mg clavulonic acid)","DEVA HOLDING A.S. , Карагач, Черкези/Текирдаг, Турција",10.01.2020,,239.23,178,"film-coated tablet 10 tablets (blister 2 x 5)/box 875 mg/125 mg 1 film-coated tablet contains: amoxicillin trihydrate...1004.31 mg (equivalent to 875.00 mg amoxicillin) potassium clavulanate, diluted...297.82 mg (potassium clavulonate and microcrystalline cellulose (1:1), equivalent to 125.00 mg clavulonic acid)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/974346481?t:ac=overview
AMOKLAVIN ES,8699525288196,"amoxicillin, clavulanic acid",J01CR02,powder for oral suspension,"(600 mg/42,9 mg)/5 ml",темно стаклено шише со прашок за припрема на 100 ml + одмерна лажичка/кутија,5 ml of prepared suspension contains: amoxicillin...600 mg (in the form of amoxicillin trihydrate) clavulonic acid...42.9 mg (as potassium clavulanate),"DEVA Holding A.S., Cherkezki/Tekirdag, Turkey",10.03.2020,,336,250,powder for oral suspension dark glass bottle with powder for preparation of 100 ml + measuring spoon/box (600 mg/42.9 mg)/5 ml 5 ml of prepared suspension contains: amoxicillin...600 mg (in the form of amoxicillin trihydrate) clavulonic acid...42.9 mg (as potassium clavulanate),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1019198253?t:ac=overview
AMOKLAVIN BID FORTE,8699525282507,"amoxicillin, clavulanic acid",J01CR02,powder for oral suspension,(400 mg/57 mg)/5 ml,темно стаклено шише со прашок за припрема на 70 ml+дозатор/кутија,5 ml of prepared suspension contains: amoxicillin...400 mg (in the form of amoxicillin trihydate) clavulonic acid...57 mg (as potassium clavulanate),"DEVA Holding A.S., Cherkezki/Tekirdag, Turkey",05.12.2019,,161.28,120,powder for oral suspension dark glass bottle with powder for preparation of 70 ml+dispenser/box (400 mg/57 mg)/5 ml 5 ml of prepared suspension contains: amoxicillin...400 mg (in the form of amoxicillin trihydate) clavulonic acid...57 mg (as potassium clavulanate),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/948480710?t:ac=overview
AMOKSIKLAV,9002260027484,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,500 mg/125 mg,10 film-coated tablets (blister 2 x 5)/box,1 film-coated tablet contains: amoxicillin...500 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),"SANDOZ GmbH, Kundl, Austria",04.11.2014,,144.67,117.37,film-coated tablet 10 film-coated tablets (blister 2 x 5)/box 500 mg/125 mg 1 film-coated tablet contains: amoxicillin...500 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2940315720?t:ac=overview
AMOKSIKLAV 2X,9002260027477,"amoxicillin, clavulanic acid",J01CR02,powder for oral suspension,(400 mg/57 mg)/5 ml,dark glass bottle with 70 ml preparation powder + dispenser/box,5 ml of prepared suspension contains: amoxicillin...400 mg (in the form of amoxicillin trihydrate) clavulanic acid...57 mg (+ 10% in excess) (in the form of potassium clavulanate),"SANDOZ GmbH, Kundl, Austria",06.10.2014,,154.15,125.06,прашок за перорална суспензија темно стаклено шише со прашок за припрема на 70 ml + дозатор/кутија (400 mg/57 mg)/5 ml 5 ml припремена суспензија содржи: амоксицилин . . . 400 mg (во форма на амоксицилин трихидрат) клавуланска киселина . . . 57 mg (+ 10 % во вишок) (во форма на калиум клавуланат),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3098954394?t:ac=overview
AMOKSIKLAV,3838957069071,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,500 mg/125 mg,14 tablets (blister 2 x 7)/box,1 film-coated tablet contains: amoxicillin...500 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),"LEK farmacevtska druzba d.d., Ljubljana, Slovenia, LEK farmacevtska druzba d.d., Prevalje, Slovenia",04.11.2014,,203,151.04,филм-обложена таблета 14 таблети (блистер 2 х 7)/кутија 500 mg/125 mg 1 филм-обложена таблета содржи: амоксицилин . . . 500 mg (во форма на амоксицилин трихидрат) клавуланска киселина . . . 125 mg (во форма на калиум клавуланат),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/839554002?t:ac=overview
AMOKSIKLAV 2X,3838957040223,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,875 mg/125 mg,10 филм-обложени таблети (блистер 2 х 5)/кутија,1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),"SANDOZ GmbH, Kundl, Austria",04.11.2014,,228.84,185.66,film-coated tablet 10 film-coated tablets (blister 2 x 5)/box 875 mg/125 mg 1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3054832859?t:ac=overview
AMOKSIKLAV 2X,9002260027507,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,875 mg/125 mg,14 tablets (blister 2 x 7)/box,1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),"SANDOZ GmbH, Kundl, Austria",04.11.2014,,274,203.87,film-coated tablet 14 tablets (blister 2 x 7)/box 875 mg/125 mg 1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulanic acid...125 mg (as potassium clavulanate),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3098954395?t:ac=overview
AMORA,3850343032629,"ramipril, amlodipine",C09BB07,"capsule, hard",10 mg/10 mg,"30 capsules, hard (blister 5 x 6)/box",1 hard capsule contains: ramipril...10 mg of amlodipine...10 mg (as amlodipine besylate),"BELUPO lijekovi i kozmetika d.d., Koprivnica, Croatia",10.12.2021,07.12.2026,416.06,317,"capsule, hard 30 capsules, hard (blister 5 x 6)/box 10 mg/10 mg 1 capsule, hard contains: ramipril...10 mg of amlodipine...10 mg (as amlodipine besylate)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2686835042?t:ac=overview
AMORA,3850343032742,"ramipril, amlodipine",C09BB07,"capsule, hard","2,5 mg/5 mg","30 capsules, hard (blister 5 x 6)/box",1 hard capsule contains: ramipril...2.5 mg of amlodipine...5 mg (as amlodipine besylate),"BELUPO lijekovi i kozmetika d.d., Koprivnica, Croatia",10.12.2021,07.12.2026,264.9,197.1,"capsule, hard 30 capsules, hard (blister 5 x 6)/box 2.5 mg/5 mg 1 capsule, hard contains: ramipril...2.5 mg of amlodipine...5 mg (as amlodipine besylate)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2686835041?t:ac=overview
