WHO ATC Code,PCID
C07AB02,2037923
C07AB02,2037405
C09AA05,2169280
B01AF01,2160502
C09AA03,2037410
C10AA07,1322246
A02BC01,2160733
C08CA01,2037326
J02AC01,2160611
N01AB08,2160623
C07AB07,2037391
B01AF01,DUPLICATE
C07AG02,2169322
C07AG02,1322102
A10BA02,2160559
N06DA02,2161513
C08CA01,DUPLICATE
A10BA02,2161490
C10AA05,2037340
C09AA03,2037558
M01AE01,2160696
B01AF01,2160489
C07AB02,2037408
B01AC06,2160636
C09CA01,2037374
C07AB07,2037398
C09AA02,2037506
M01AB05,2160607
C09CA06,2160471
C09CA03,2186969
C09CA03,2201327
B01AF01,2160514
N05CF01,2160624
C01EB22,2160118
C09AA02,DUPLICATE
C07AB07,2160529
M01AX17,2161568
C09AA05,2046038
C09CA06,2160465
N03AX09,2193912
J01FA10,2160420
J02AC01,2160622
C07AB07,2037378
C07AB02,DUPLICATE
C07AB07,2037383
"A13A
 ",2161500
C01EB15,2046415
N05CF01,2161487
C04AE02,2038719
C09AA03,2186898
B01AF01,2160491
M01AB15,2160580
M01AE01,2161482
C09CA06,2160467
C08CA01,2037318
C09CA06,DUPLICATE
C09AA02,DUPLICATE
B01AF01,2160448
C01EB15,2046413
M01AC06,2160710
C09DA01,2037483
B01AF01,2160480
C07AB02,2037913
J02AC01,2160536
C09AA03,2037466
C09AA03,2037465
M01AB05,2160604
J02AC01,2160575
R01AA07,2160861
C09CA01,2037370
R01AA05,2160810
C04AE02,2037944
B01AF01,2209194
C09AA02,2037508
J02AC01,2160578
C10AA07,DUPLICATE
C09CA01,1124697
N07AX02,2160152
C04AE02,2038534
J01CR02,2161477
N03AX09,2160743
N03AF01,DUPLICATE
M01AE01,2160538
C09CA01,2037371
C07AB02,2037402
C07AB07,2204024
M01AE01,2160920
C03DA01,2160691
A06AD11,2159320
C09AA03,2169326
N05CF01,2160625
M01AE17,2161505
N03AX14,2160790
C09AA02,2037389
C01EB22,2161493
C07AB02,2037912
C02AC05,2038529
C04AE02,2038533
C10AA05,2037334
C10AA07,DUPLICATE
A02BC01,DUPLICATE
C10AA07,2160477
C08CA01,2037325
C09CA03,2160445
M01AX17,2161563
C01EB22,2161501
C09AA03,DUPLICATE
C09CA06,DUPLICATE
B01AF01,2160494
N03AX09,2160744
M01AB15,2161447
C07AB07,2037386
C07AG02,DUPLICATE
C09CA06,1322087
R01AA07,2160860
C10AA05,2075967
C08CA01,2037319
C09AA03,2037418
R01AA07,2160426
S01EE01,2160715
C09DA01,1124696
M01AX17,2161517
C09AA05,2169283
C01EB15,2046412
M01AX17,2161567
R01AA05,2160418
M01AC06,2212952
C07AB07,2161479
C03DA01,2046145
C09AA02,2037518
C10AA05,2037341
C09CA06,2181809
M01AC06,2160717
M01AE01,2160925
M01AC06,2161522
M01AE01,2160555
J01CR02,2160785
C07AB02,2037911
C07AB02,2037403
C08CA01,DUPLICATE
R06AE07,2160596
C08CA01,2037328
B01AF01,DUPLICATE
R01AA07,2160813
J01CA04,2160462
C09CA03,2201333
C09AA03,2037414
A10BA02,2161491
J05AX05,2161558
C07AB07,1322012
C09DA01,2187052
B01AF01,2160488
C07AB02,2037904
A05AA02,2186988
C09AA03,2037416
C09CA06,DUPLICATE
C09AA02,2160151
C07AG02,1322111
J02AC01,2160927
C01EB22,2160726
C09AA03,DUPLICATE
M01AE01,2160930
B03AB05,2161569
N05CF01,2160617
B01AF01,2160483
C09CA01,2037373
N06DA02,2161512
C10AA05,2075968
A10BA02,2160537
C09AA03,2037413
C09CA01,2169273
C09DA01,2037479
M01AB15,2181820
C09AA03,2037652
C01EB22,2160689
C07AB02,2037417
C07AB07,2037369
C08CA01,2037317
C09AA03,1322076
B01AF01,2160916
C01EB22,2160686
A10BA02,2160562
B01AF01,2160513
C08CA01,DUPLICATE
M01AB05,2160605
C10AA05,2193914
M01AC06,2161538
N03AX09,2160693
N06BX22,2160637
C10AA05,2037350
C01DX12,1322261
A10BA02,2204033
C08CA01,2037331
A10BA02,2160554
C02AC05,1322286
A05AA02,2061074
C09AA03,2037559
B01AC06,2160770
C07AB02,DUPLICATE
C09AA05,1124746
C09CA06,2160468
C09AA02,2193847
J02AC01,2160621
C09AA02,2037387
R01AA05,2160809
M01AX17,2160699
B01AC06,2160772
C09AA03,2037470
A10BA02,2160539
M01AE01,2160924
J01CR02,2160442
J05AH02,2160800
N07CA01,2160511
B01AC06,2160777
C09AA05,2169281
C09DA01,2037453
C09CA01,2169272
S01EE01,2161526
N07CA01,2159317
N03AX09,2160745
B01AF01,2160915
A02BC01,2039621
M01AE17,2160658
C02AC05,2038530
C07AB02,DUPLICATE
C10AA07,2046119
A10BA02,2160543
A02BC01,DUPLICATE
C07AG02,1322101
J01FA10,2160912
C09CA06,DUPLICATE
C07AB07,2160531
C04AE02,2039317
N02BA01,2160105
L04AK01,2160619
L04AA13,2161484
C07AB07,DUPLICATE
C01DX12,DUPLICATE
C10AA07,2057773
J01FA10,2169286
C07AB02,2037908
N05CF01,2160628
C09AA02,2037393
C09CA01,2037497
C09DA01,2187051
C09AA05,1124779
C10AA07,1322175
C09AA03,2037651
C10AA05,2160904
R06AE07,2160597
A10BA02,2160627
B01AF01,2209196
M01AE01,2160695
J05AH02,2160450
C02AC05,1322287
J01FA10,2160503
B01AF01,2160486
J02AC01,2160576
C09AA03,2185242
J01FA10,2160417
C07AB02,2037411
C09CA01,2037441
C01EB22,2160730
C09CA01,2037444
A10BA02,2204034
N06BX22,2161498
A02BC01,2160732
C10AA07,1322247
C09CA03,2061068
C10AA07,2046120
C08CA01,1321957
R01AA05,2160808
R01AA07,2160425
N03AF01,2160571
B01AC06,2160768
C05BA03,2037614
C09AA02,DUPLICATE
A10BA02,2161489
C01DX12,2038729
C10AA07,2188538
M01AC06,2160721
C09AA02,2037449
C09CA01,2037375
A05AA02,2160137
N03AX09,2161537
J05AH02,2160799
C09CA01,2037443
J02AC01,2160608
R01AA07,2212958
C10AA07,2227869
C05BA03,2228025
R01AA07,2160440
C07AB02,2037909
R01AA07,2160862
C10AA07,2227862
C05BA03,2160665
C10AA07,2227864
C10AA07,2227866
A02BC01,2227888
