PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,LOCAL_PACK_CODE,Price Type,Interchangeable,Limited Use,Therapeutic Notes,Currency,Region
,,Teva Canada Limited,,ABACAVIR SULFATE & LAMIVUDINE,,6.47,REIMBURSABLE WITH COPAY,5.99,0.48,Teva-Abacavir-Lamivudine 600mg & 300mg Tab,02416662,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,Abiraterone 500mg Tab,02525380,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,Apo-Abiraterone Film Coated Tablets 250mg Tab,02491397,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,Apo-Abiraterone Film Coated Tablets 500mg Tab,02491400,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,Jamp Abiraterone 500mg Tab,02529629,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,Jamp Abiraterone 250mg Tab,02502305,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,Mar-Abiraterone 500mg Tab,02503999,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,Mar-Abiraterone 250mg Tab,02503980,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Natco Pharma (Canada) Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,Nat-Abiraterone 250mg Tab,02494132,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,PMS-Abiraterone 250mg Tab,02492601,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,PMS-Abiraterone 500mg Tab,02501503,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmaris Canada Inc.,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,PRZ-Abiraterone 500mg Tab,02540460,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmaris Canada Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,PRZ-Abiraterone 250mg Tab,02540452,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Dr. Reddy's Laboratories Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,Reddy-Abiraterone 250mg Tab,02477114,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Dr. Reddy's Laboratories Inc.,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,Reddy-Abiraterone 500mg Tab,02533251,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ABIRATERONE ACETATE,,8.27,REIMBURSABLE WITH COPAY,7.66,0.61,Sandoz Abiraterone 250mg Tab,02486393,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ABIRATERONE ACETATE,,16.54,REIMBURSABLE WITH COPAY,15.31,1.23,Sandoz Abiraterone 500mg Tab,02521644,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Janssen Inc.,,ABIRATERONE ACETATE,,38.36,REIMBURSABLE WITH COPAY,7.66,30.71,Zytiga 250mg Tab,02371065,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Janssen Inc.,,ABIRATERONE ACETATE,,76.73,REIMBURSABLE WITH COPAY,15.31,61.42,Zytiga 500mg Tab,02457113,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Ipsen Limited,,ABOBOTULINUM TOXIN A,,416.40,REIMBURSABLE WITH COPAY,385.56,30.84,Dysport Therapeutic 300U/Vial Pd Inj-Vial Pk,02460203,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Ipsen Limited,,ABOBOTULINUM TOXIN A,,694.01,REIMBURSABLE WITH COPAY,642.60,51.41,Dysport Therapeutic 500U/Vial Pd Inj-Vial Pk,02456117,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,ACAMPROSATE CALCIUM,,1.08,REIMBURSABLE WITH COPAY,1.00,0.08,Campral 333mg DR Tab,02293269,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,ACARBOSE,,,NON REIMBURSABLE,,,Glucobay (Not a Benefit) 50mg Tab,02190885,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,ACARBOSE,,,NON REIMBURSABLE,,,Glucobay (Not a Benefit) 100mg Tab,02190893,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,ACARBOSE,,0.22,REIMBURSABLE WITH COPAY,0.21,0.02,Mar-Acarbose 100mg Tab,02494086,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,ACARBOSE,,0.15,REIMBURSABLE WITH COPAY,0.13,0.01,Mar-Acarbose 50mg Tab,02494078,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACEBUTOLOL HCL,,0.20,REIMBURSABLE WITH COPAY,0.19,0.01,Apo-Acebutolol 100mg Tab,02147602,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACEBUTOLOL HCL,,0.30,REIMBURSABLE WITH COPAY,0.28,0.02,Apo-Acebutolol 200mg Tab,02147610,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACEBUTOLOL HCL,,0.58,REIMBURSABLE WITH COPAY,0.53,0.04,Apo-Acebutolol 400mg Tab,02147629,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanofi Aventis Pharma,,ACEBUTOLOL HCL,,,NON REIMBURSABLE,,,Sectral (Not a Benefit) 400mg Tab,01926578,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanofi Aventis Pharma,,ACEBUTOLOL HCL,,,NON REIMBURSABLE,,,Sectral (Not a Benefit) 200mg Tab,01926551,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanofi Aventis Pharma,,ACEBUTOLOL HCL,,,NON REIMBURSABLE,,,Sectral (Not a Benefit) 100mg Tab,01926543,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACEBUTOLOL HCL,,0.30,REIMBURSABLE WITH COPAY,0.28,0.02,Teva-Acebutolol 200mg Tab,02204525,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACEBUTOLOL HCL,,0.20,REIMBURSABLE WITH COPAY,0.19,0.01,Teva-Acebutolol 100mg Tab,02204517,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACEBUTOLOL HCL,,0.58,REIMBURSABLE WITH COPAY,0.53,0.04,Teva-Acebutolol 400mg Tab,02204533,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETAMINOPHEN,,0.02,REIMBURSABLE WITH COPAY,0.01,0.00,Apo-Acetaminophen Caplets 500mg,02229977,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETAMINOPHEN,,0.01,REIMBURSABLE WITH COPAY,0.01,0.00,Apo-Acetaminophen Caplets 325mg,02229873,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETAMINOPHEN,,0.01,REIMBURSABLE WITH COPAY,0.01,0.00,Apo-Acetaminophen Tab 325mg,00544981,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETAMINOPHEN,,0.02,REIMBURSABLE WITH COPAY,0.01,0.00,Apo-Acetaminophen Tab 500mg,00545007,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Frank W. Horner Inc.,,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Atasol Forte Tab (Not a Benefit) 500mg,00013668,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Frank W. Horner Inc.,,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Atasol Tab (Not a Benefit) 325mg,00293482,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ACETAMINOPHEN,,0.01,REIMBURSABLE WITH COPAY,0.01,0.00,Jamp Acetaminophen 325 Caplets 325mg,01938088,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ACETAMINOPHEN,,0.02,REIMBURSABLE WITH COPAY,0.01,0.00,Jamp Acetaminophen 500 Caplets 500mg,01939122,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Novopharm Ltd.,,ACETAMINOPHEN,,0.02,REIMBURSABLE WITH COPAY,0.01,0.00,Novo-Gesic Forte Tab 500mg,00482323,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Novopharm Ltd.,,ACETAMINOPHEN,,0.01,REIMBURSABLE WITH COPAY,0.01,0.00,Novo-Gesic Tab 325mg,00389218,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Frank W. Horner Inc.,,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Atasol (Not a Benefit) 80mg/mL O/L,00631353,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Ratiopharm Inc.,,ACETAMINOPHEN,,0.16,REIMBURSABLE WITH COPAY,0.14,0.01,Pediatrix 80mg/mL O/L,02027801,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mead Johnson Canada,,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Tempra (Not a Benefit) 80mg/mL O/L,00642401,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Pendopharm, Division of Pharmascience Inc.",,ACETAMINOPHEN,,0.58,REIMBURSABLE WITH COPAY,0.54,0.04,ACET 120 120mg Sup,02230434,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Pendopharm, Division of Pharmascience Inc.",,ACETAMINOPHEN,,0.72,REIMBURSABLE WITH COPAY,0.66,0.05,ACET 325 325mg Sup,02230436,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Pendopharm, Division of Pharmascience Inc.",,ACETAMINOPHEN,,0.82,REIMBURSABLE WITH COPAY,0.76,0.06,ACET 650 650mg Sup,02230437,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Pendopharm, Division of Pharmascience Inc.",,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Abenol (Not a Benefit) 650mg Sup,01919407,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Pendopharm, Division of Pharmascience Inc.",,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Abenol (Not a Benefit) 325mg Sup,01919393,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Pendopharm, Division of Pharmascience Inc.",,ACETAMINOPHEN,,,NON REIMBURSABLE,,,Abenol (Not a Benefit) 120mg Sup,01919385,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,,0.10,REIMBURSABLE WITH COPAY,0.09,0.01,Teva-Lenoltec No.2 300mg & 15mg & 15mg Tab,00653241,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,,0.11,REIMBURSABLE WITH COPAY,0.10,0.01,Teva-Lenoltec No.3 300mg & 15mg & 30mg Tab,00653276,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Tylenol with Codeine No. 2 (Not a Benefit) 300mg & 15mg & 15mg Tab,02163934,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,ACETAMINOPHEN & CAFFEINE & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Tylenol with Codeine No. 3 (Not a Benefit) 300mg & 15mg & 30mg Tab,02163926,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Pharmascience Inc.,,ACETAMINOPHEN & CODEINE PHOSPHATE,,0.15,REIMBURSABLE WITH COPAY,0.14,0.01,PMS-Acetaminophen With Codeine 160mg & 8mg/5mL O/L,00816027,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,ACETAMINOPHEN & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Tylenol With Codeine Elixir (Not a Benefit) 160mg & 8mg/5mL O/L,02163942,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Burroughs Wellcome Inc.,,ACETAMINOPHEN & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Empracet-30 (Not a Benefit) 300mg & 30mg Tab,00666130,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETAMINOPHEN & CODEINE PHOSPHATE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Teva-Emtec-30 300mg & 30mg Tab,00608882,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETAMINOPHEN & CODEINE PHOSPHATE,,0.18,REIMBURSABLE WITH COPAY,0.17,0.01,Teva-Lenoltec No.4 300mg & 60mg Tab,00621463,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,ACETAMINOPHEN & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Tylenol with Codeine No. 4 (Not a Benefit) 300mg & 60mg Tab,02163918,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,ACETAZOLAMIDE,,0.15,REIMBURSABLE WITH COPAY,0.14,0.01,Acetazolamide 250mg Tab,00545015,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Wyeth Pharmaceuticals,,ACETAZOLAMIDE,,,NON REIMBURSABLE,,,Diamox (Not a Benefit) 250mg Tab,02238072,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE,,1.94,REIMBURSABLE WITH COPAY,1.79,0.14,Apo-Butalbital-ASA-Caffeine (Off-Formulary Interchangeable) 330mg & 50mg & 40mg Cap,02554690,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE,,,NON REIMBURSABLE,,,Fiorinal (Off-Formulary Interchangeable) 330mg & 50mg & 40mg Cap,00226327,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE,,1.75,REIMBURSABLE WITH COPAY,1.62,0.13,Teva-Tecnal (Off-Formulary Interchangeable) 330mg & 50mg & 40mg Cap,00608238,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE & CODEINE PHOSPHATE,,2.30,REIMBURSABLE WITH COPAY,2.13,0.17,Apo-Butalbital-ASA-Caffeine-Codeine-C1/2 (Off-Formulary Interchangeable) 330mg & 50mg & 40mg & 30mg Cap,02554623,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE & CODEINE PHOSPHATE,,1.88,REIMBURSABLE WITH COPAY,1.74,0.14,Apo-Butalbital-ASA-Caffeine-Codeine-C1/4 (Off-Formulary Interchangeable) 330mg & 50mg & 40mg & 15mg Cap,02554615,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Fiorinal C1/2 (Off-Formulary Interchangeable) 330mg & 50mg & 40mg & 30mg Cap,00176206,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE & CODEINE PHOSPHATE,,,NON REIMBURSABLE,,,Fiorinal C1/4 (Off-Formulary Interchangeable) 330mg & 50mg & 40mg & 15mg Cap,00176192,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE & CODEINE PHOSPHATE,,2.30,REIMBURSABLE WITH COPAY,2.13,0.17,Teva-Tecnal C1/2 (Off-Formulary Interchangeable) 330mg & 50mg & 40mg & 30mg Cap,00608181,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACETYLSALICYLIC ACID & BUTALBITAL & CAFFEINE & CODEINE PHOSPHATE,,1.88,REIMBURSABLE WITH COPAY,1.74,0.14,Teva-Tecnal C1/4 (Off-Formulary Interchangeable) 330mg & 50mg & 40mg & 15mg Cap,00608203,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ACITRETIN,,1.40,REIMBURSABLE WITH COPAY,1.30,0.10,Mint-Acitretin 10mg Cap,02468840,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ACITRETIN,,2.46,REIMBURSABLE WITH COPAY,2.28,0.18,Mint-Acitretin 25mg Cap,02468859,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Allergan Inc.,,ACITRETIN,,6.22,REIMBURSABLE WITH COPAY,2.28,3.94,Soriatane 25mg Cap,02070863,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Allergan Inc.,,ACITRETIN,,3.54,REIMBURSABLE WITH COPAY,1.30,2.24,Soriatane 10mg Cap,02070847,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,ACITRETIN,,2.46,REIMBURSABLE WITH COPAY,2.28,0.18,Taro-Acitretin 25mg Cap,02466082,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,ACITRETIN,,1.40,REIMBURSABLE WITH COPAY,1.30,0.10,Taro-Acitretin 10mg Cap,02466074,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Covis Pharma GmbH,,ACLIDINIUM BROMIDE,,61.61,REIMBURSABLE WITH COPAY,57.05,4.56,Tudorza Genuair 400mcg/actuation Pd Inh-60 Dose Pk,02409720,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Covis Pharma GmbH,,ACLIDINIUM BROMIDE & FORMOTEROL FUMARATE DIHYDRATE,,70.38,REIMBURSABLE WITH COPAY,65.17,5.21,Duaklir Genuair 400mcg & 12mcg Metered Dose Pd Inh-60 Dose Pk,02439530,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Glaxo Wellcome Inc.,,ACYCLOVIR,,0.34,REIMBURSABLE WITH COPAY,0.31,0.03,Zovirax 200mg/5mL Oral Susp,00886157,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACYCLOVIR,,0.96,REIMBURSABLE WITH COPAY,0.89,0.07,Apo-Acyclovir 400mg Tab,02207648,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACYCLOVIR,,1.37,REIMBURSABLE WITH COPAY,1.27,0.10,Apo-Acyclovir 800mg Tab,02207656,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACYCLOVIR,,0.38,REIMBURSABLE WITH COPAY,0.35,0.03,Apo-Acyclovir 200mg Tab,02207621,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ACYCLOVIR,,1.37,REIMBURSABLE WITH COPAY,1.27,0.10,Mint-Acyclovir 800mg Tab,02524724,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ACYCLOVIR,,0.38,REIMBURSABLE WITH COPAY,0.35,0.03,Mint-Acyclovir 200mg Tab,02524708,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ACYCLOVIR,,0.96,REIMBURSABLE WITH COPAY,0.89,0.07,Mint-Acyclovir 400mg Tab,02524716,UNIT,YES,NO,NO,CAD,NORTH AMERICA
