Generic,Flags,Form,Strength,StrengthValue,StrengthUnit,PPB,DIN,Brand,Manufacturer,Pack,PackPrice,UnitPrice,UnitPriceSource,Page,confidence,confidence_label,confidence_reason
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,100 U,100,U,FALSE,02294338,Lantus SoloStar SanofiAven La personne doit avoir commencé un traitement et reçu un remboursement avant le 18 août 2017.  pour le traitement du diabète lorsqu’un essai préalable avec une insuline à action intermédiaire n’a pas permis,,,88.12,5.0,Printed,7,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,100 U,100,U,FALSE,02294338,Lantus SoloStar SanofiAven La personne doit avoir commencé un traitement et reçu un remboursement avant le 18 août 2017.  pour le traitement du diabète lorsqu’un essai préalable avec une insuline à action intermédiaire n’a pas permis,,,0.1,7.0,Printed,7,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj.,10 mg,10,mg,FALSE,02296810,Lucentis Novartis,,,1575.0,1.0,Printed,8,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. (ser),10 mg,10,mg,FALSE,02425629,Lucentis Novartis La personne doit avoir commencé un traitement et reçu un remboursement avant le 13 décembre 2023.  pour le traitement de la dégénérescence maculaire liée à l’âge en présence de néovascularisation,,,1575.0,1.0,Printed,8,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Perf. I.V.,10 mg,10,mg,FALSE,02241927,Rituxan Roche,,,453.1,10.0,Printed,9,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,(,2.4 mL,2.4,mL,FALSE,02254689,Fortéo Lilly La personne doit avoir commencé un traitement et reçu un remboursement avant le 15 décembre 2021.  pour le traitement de l’ostéoporose chez les femmes ménopausées qui sont exposées à un risque élevé de,,,809.73,1.0,Printed,9,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,(,2.4 mL,2.4,mL,FALSE,02254689,Fortéo Lilly La personne doit avoir commencé un traitement et reçu un remboursement avant le 15 décembre 2021.  pour le traitement de l’ostéoporose chez les femmes ménopausées qui sont exposées à un risque élevé de,,,0.1,9.0,Printed,9,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser),162 mg,162,mg,FALSE,02424770,Actemra Roche,,,1420.0,4.0,Printed,10,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (stylo),162 mg,162,mg,FALSE,02483327,Actemra Roche,,,1420.0,4.0,Printed,10,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Perf. I.V.,20 mg,20,mg,FALSE,02350092,Actemra Roche,,,179.2,1.0,Printed,10,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Perf. I.V.,20 mg,20,mg,FALSE,02350106,Actemra Roche,,,448.0,1.0,Printed,10,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Perf. I.V.,20 mg,20,mg,FALSE,02350114,"Actemra Roche TOCILIZUMAB (ACTEMRA), Sol. Perf. I.V. : La personne doit avoir commencé un traitement et reçu un remboursement avant le 22 mai 2025.",,,896.0,1.0,Printed,10,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Perf. I.V.,20 mg,20,mg,FALSE,02350114,"Actemra Roche TOCILIZUMAB (ACTEMRA), Sol. Perf. I.V. : La personne doit avoir commencé un traitement et reçu un remboursement avant le 22 mai 2025.",,,20.0,4.0,Printed,10,0.84,medium,Brand wrapped across lines (-0.04); Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser),45 mg,45,mg,FALSE,02320673,Stelara Janss.,Inc,,4311.72,1.0,Printed,13,0.95,high,Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser),90 mg,90,mg,FALSE,02320681,Stelara Janss. La personne doit avoir commencé un traitement et reçu un remboursement avant le 23 mai 2024.,Inc,,4311.72,1.0,Printed,13,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser),90 mg,90,mg,FALSE,02320681,Stelara Janss. La personne doit avoir commencé un traitement et reçu un remboursement avant le 23 mai 2024.,Inc,,0.1,13.0,Printed,13,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 mg,100,mg,FALSE,02236564,Lovenox,SanofiAven,,62.51,3.0,Printed,15,0.95,high,Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),30 mg,30,mg,FALSE,02012472,Lovenox,SanofiAven,10,62.9,10.0,Printed,15,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),40 mg,40,mg,FALSE,02236883,Lovenox,SanofiAven,10,83.3,10.0,Printed,15,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),60 mg,60,mg,FALSE,02378426,Lovenox,SanofiAven,10,124.97,10.0,Printed,15,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),80 mg,80,mg,FALSE,02378434,Lovenox,SanofiAven,10,166.6,10.0,Printed,15,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),100 mg,100,mg,FALSE,02378442,Lovenox,SanofiAven,10,208.28,10.0,Printed,15,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),120 mg,120,mg,FALSE,02242692,Lovenox HP,SanofiAven,10,249.9,10.0,Printed,15,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),150 mg,150,mg,FALSE,02378469,Lovenox HP La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 15 décembre 2021.,SanofiAven,10,312.4,10.0,Printed,15,0.96,high,Brand wrapped across lines (-0.04)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C. (ser.),150 mg,150,mg,FALSE,02378469,Lovenox HP La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 15 décembre 2021.,SanofiAven,,0.2,1.0,Printed,15,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 U,100,U,FALSE,02377209,NovoRapid Flex Touch,N.Nordisk,5,50.79,5.0,Printed,16,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 U,100,U,FALSE,02244353,NovoRapid Penfill La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 2 février 2022.,N.Nordisk,5,50.79,5.0,Printed,16,0.96,high,Brand wrapped across lines (-0.04)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 U,100,U,FALSE,02245397,NovoRapid La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 4 juillet 2024.,N.Nordisk,1,25.37,1.0,Printed,16,0.96,high,Brand wrapped across lines (-0.04)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 U,100,U,FALSE,02229704,Humalog,Lilly,10 ml,26.17,10.0,Printed,16,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 U,100,U,FALSE,02229705,Humalog,Lilly,5,51.44,5.0,Printed,16,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,100 U,100,U,FALSE,02403412,Humalog KwikPen La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 3 mars 2021.,Lilly,5,51.44,5.0,Printed,16,0.96,high,Brand wrapped across lines (-0.04)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Pd. Inj.,1.1 mg,1.1,mg,FALSE,01948970,Guêpe (Polistes Spp.),Allergy,1,240.0,1.0,Printed,16,1.0,high,No penalties
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,01948873,Vespidés combinés La personne doit avoir commencé un traitement et reçu un remboursement dans les six (6) mois précédent le 15 février 2017.,Allergy,1,434.0,1.0,Printed,16,0.96,high,Brand wrapped across lines (-0.04)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99101227,Dario,Auto. Cont.,100,66.0,100.0,Printed,17,1.0,high,No penalties
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99101469,D360 Blood Glucose Test Strips,Ignite,50,34.23,50.0,Printed,17,0.96,high,Brand wrapped across lines (-0.04)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99101469,D360 Blood Glucose Test Strips,Ignite,,100.0,63.9,Printed,17,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99101165,GlucoDr,Medihub,50,36.45,50.0,Printed,17,1.0,high,No penalties
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100332,iTest,Auto. Cont.,50,32.5,50.0,Printed,17,1.0,high,No penalties
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100332,iTest,Auto. Cont.,,100.0,63.0,Printed,17,0.95,high,Missing Pack/Format (-0.05)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100497,Nova-Max,NovaBiomed,50,34.95,50.0,Printed,17,1.0,high,No penalties
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100497,Nova-Max,NovaBiomed,,100.0,69.9,Printed,17,0.95,high,Missing Pack/Format (-0.05)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100479,On-Call Plus,Acon,25,17.5,25.0,Printed,17,1.0,high,No penalties
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100479,On-Call Plus,Acon,,50.0,33.5,Printed,17,0.95,high,Missing Pack/Format (-0.05)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100479,On-Call Plus,Acon,,100.0,63.0,Printed,17,0.95,high,Missing Pack/Format (-0.05)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99101314,On Call Vivid,Lab. Paris,50,27.0,50.0,Printed,17,1.0,high,No penalties
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99101314,On Call Vivid,Lab. Paris,,100.0,54.0,Printed,17,0.95,high,Missing Pack/Format (-0.05)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100714,TRUEtest La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 3 février 2021.,Nipro Diag,50,27.0,50.0,Printed,17,0.96,high,Brand wrapped across lines (-0.04)
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,,Pd. Inj.,3.3 mg,3.3,mg,FALSE,99100714,TRUEtest La personne doit avoir commencé un traitement et reçu un remboursement dans les douze (12) mois précédent le 3 février 2021.,Nipro Diag,,0.2,3.0,Printed,17,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DIPHENHYDRAMINE (CHLORHYDRATE DE),,Sol. Inj.,50 mg,50,mg,TRUE,00596612,Diphenhydramine (chlorhydrate de),Sandoz,1 ml,4.04,1.0,Printed,25,0.96,high,Brand wrapped across lines (-0.04)
DIPHENHYDRAMINE (CHLORHYDRATE DE),,Sol. Inj.,50 mg,50,mg,TRUE,02219336,Diphenist,Oméga,1 ml,4.04,1.0,Printed,25,1.0,high,No penalties
FLUNARIZINE (CHLORHYDRATE DE),X,Caps.,5 mg,5,mg,TRUE,02246082,Flunarizine,AA Pharma,60,43.22,60.0,Printed,25,1.0,high,No penalties
FLUNARIZINE (CHLORHYDRATE DE),X,Caps.,5 mg,5,mg,TRUE,02246082,Flunarizine,AA Pharma,,100.0,0.7203,Printed,25,0.95,high,Missing Pack/Format (-0.05)
MÉBENDAZOLE,X,Co.,100 mg,100,mg,TRUE,00556734,Vermox,Janss. Inc,6,19.27,6.0,Printed,29,1.0,high,No penalties
PRAZIQUANTEL,X,Co.,600 mg,600,mg,TRUE,02230897,Biltricide,Bayer,4,23.12,4.0,Printed,29,1.0,high,No penalties
PRAZIQUANTEL,X,Co.,600 mg,600,mg,TRUE,02230897,Biltricide,Bayer,,6.0,5.78,Printed,29,0.95,high,Missing Pack/Format (-0.05)
PYRANTEL (PAMOATE DE),,Co.,125 mg,125,mg,TRUE,02380617,Jamp-Pyrantel Pamoate,Jamp,10,7.18,10.0,Printed,29,1.0,high,No penalties
PYRANTEL (PAMOATE DE),,Co.,125 mg,125,mg,TRUE,02535467,Riva-Pyrantel Pamoate,Riva,10,7.18,10.0,Printed,29,1.0,high,No penalties
PYRANTEL (PAMOATE DE),,Orale,50 mg,50,mg,TRUE,02412470,Jamp-Pyrantel Pamoate,Jamp,30 ml,23.1,30.0,Printed,29,1.0,high,No penalties
AMIKACINE (SULFATE D'),X,Sol. Inj.,250 mg,250,mg,TRUE,02481073,Amikacin Sulfate Injection,Marcan,1,62.4,1.0,Printed,29,1.0,high,No penalties
AMIKACINE (SULFATE D'),X,Sol. Inj.,250 mg,250,mg,TRUE,02242971,Amikacine (Sulfate d'),Sandoz,1,62.4,1.0,Printed,29,1.0,high,No penalties
AMIKACINE (SULFATE D'),X,Sol. Inj.,250 mg,250,mg,TRUE,02525909,Sulfate d'Amikacine Injection,Hikma,10,849.0,10.0,Printed,29,0.96,high,Brand wrapped across lines (-0.04)
AMIKACINE (SULFATE D'),X,Sol. Inj.,250 mg,250,mg,TRUE,02486717,Sulfate d'Amikacine Injection,Oméga,1,62.4,1.0,Printed,29,0.96,high,Brand wrapped across lines (-0.04)
AMIKACINE (SULFATE D'),X,Sol. Inj.,250 mg,250,mg,TRUE,02529459,Sulfate d'amikacine pour injection,Jamp,10,624.01,10.0,Printed,29,0.96,high,Brand wrapped across lines (-0.04)
AMIKACINE (SULFATE D'),X,Sol. Inj.,250 mg,250,mg,TRUE,02506599,VPI-Amikacin,VPI,10,624.01,10.0,Printed,29,1.0,high,No penalties
TOBRAMYCINE (SULFATE DE),X,Sol. Inj.,40 mg,40,mg,TRUE,02420287,Jamp-Tobramycin (avec,Jamp,2 ml,2.41,2.0,Printed,29,1.0,high,No penalties
TOBRAMYCINE (SULFATE DE),X,agent de conservation),30 ml,30,ml,TRUE,02230640,Tobramycin,Fresenius,2 ml,2.41,2.0,Printed,29,1.0,high,No penalties
TOBRAMYCINE (SULFATE DE),X,agent de conservation),30 ml,30,ml,TRUE,99005069,Tobramycine (sans préservatif),Sandoz,2 ml,2.41,2.0,Printed,29,0.96,high,Brand wrapped across lines (-0.04)
TOBRAMYCINE (SULFATE DE),X,agent de conservation),30 ml,30,ml,TRUE,02241210,Tobramycine (sulfate de),Sandoz,2 ml,2.41,2.0,Printed,29,1.0,high,No penalties
TOBRAMYCINE (SULFATE DE),X,agent de conservation),30 ml,30,ml,TRUE,02502372,Tobramycine Injectable,Sterimax,2 ml,2.41,2.0,Printed,29,1.0,high,No penalties
TOBRAMYCINE (SULFATE DE),X,agent de conservation),30 ml,30,ml,TRUE,02533103,Tobramycine pour injection 2025-08 Page 7,Jamp,2 ml,2.41,2.0,Printed,29,0.96,high,Brand wrapped across lines (-0.04)
CÉFADROXIL (MONOHYDRATE DE),X,Caps.,500 mg,500,mg,TRUE,02240774,Apo-Cefadroxil,Apotex,100,58.95,100.0,Printed,30,1.0,high,No penalties
CÉFADROXIL (MONOHYDRATE DE),X,Caps.,500 mg,500,mg,TRUE,02544792,JAMP Cefadroxil,Jamp,100,58.95,100.0,Printed,30,1.0,high,No penalties
CÉFADROXIL (MONOHYDRATE DE),X,Caps.,500 mg,500,mg,TRUE,02235134,Teva-Cefadroxil,Teva Can,100,58.95,100.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,1 g,1,g,TRUE,02108127,Céfazoline,Teva Can,10,26.96,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,1 g,1,g,TRUE,02297205,Céfazoline pour injection,Apotex,10,26.96,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,1 g,1,g,TRUE,02237138,Céfazoline pour injection,Fresenius,10,26.96,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,1 g,1,g,TRUE,02437112,Céfazoline pour injection,Hikma,25,67.4,25.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,1 g,1,g,TRUE,02308959,Céfazoline pour injection,Sandoz,10,26.96,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,1 g,1,g,TRUE,02465469,Céfazoline sodique pour injection,Sterimax,10,26.96,10.0,Printed,30,0.96,high,Brand wrapped across lines (-0.04)
CÉFAZOLINE SODIQUE,X,Pd. Inj.,2 g,2,g,TRUE,02524791,Céfazoline pour injection,Sterimax,10,57.12,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,10 g,10,g,TRUE,02108135,Cefazolin,Teva Can,1,30.15,1.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,10 g,10,g,TRUE,02297213,Céfazoline pour injection,Apotex,10,301.5,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,10 g,10,g,TRUE,02237140,Céfazoline pour injection,Fresenius,10,301.5,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,10 g,10,g,TRUE,02437120,Céfazoline pour injection,Hikma,10,301.5,10.0,Printed,30,1.0,high,No penalties
CÉFAZOLINE SODIQUE,X,Pd. Inj.,10 g,10,g,TRUE,02308967,Céfazoline pour injection,Sandoz,1,30.15,1.0,Printed,30,1.0,high,No penalties
