award_date,source_url,lot_number,un_classification_code,item_title,buyer_specifications,lot_quantity,supplier,supplier_specifications,unit_price_offer_raw,unit_price_offer,awarded_quantity_raw,awarded_quantity,total_net_awarded_raw,total_net_awarded,state,is_awarded,awarded_unit_price,lot_total_line_raw,lot_total_line,source_tender_url
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,3,51131808,Ácido aminocaproico,Acido Tranexámico 1000 Mg/ 10 Ml solución Inyectable,10,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"DIF0053 ACIDO TRANEXAMICO 1000MG/10ML SOL. INY. CJ. X 10 AMP., ACIDO TRANEXAMICO 1000mg/10mL, F-25519/20, DIFEM PHARMA, 30-03-2025, venc: 30-03-2025, Plazo de entrega de 24-48 hrs",$ 1749,1749.0,10,10.0,17490,17490.0,Adjudicada,YES,1749.0,17.490,17490.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,4,51141531,Ácido valproico,Acido valproico 200 Mg Comprimidos,12000,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 35,3869",35.3869,0,0.0,0,0.0,No Adjudicada,NO,,1.599.960,1599960.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,4,51141531,Ácido valproico,Acido valproico 200 Mg Comprimidos,12000,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,"253841 A.VALPROICO COM.200MG30, CAJA X 30, GENERICOS VARIOS VCTO MAYOR A 24 MESES. DESPACHO 1 DIA CORRIDO.EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.","$ 133,33",133.33,12000,12000.0,1599960,1599960.0,Adjudicada,YES,133.33,1.599.960,1599960.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,5,51241213,Preparado tópico de alquitrán de madera,Adapaleno 0.1 % Gel Tópico,10,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 42464,3126",42464.3126,0,0.0,0,0.0,No Adjudicada,NO,,24.000,24000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,5,51241213,Preparado tópico de alquitrán de madera,Adapaleno 0.1 % Gel Tópico,10,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,"253731 FLAMIR GEL DER.0,1%.30GR BAGO VCTO MAYOR A 24 MESES. DESPACHO 1 DIA CORRIDO.EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.",$ 14875,14875.0,0,0.0,0,0.0,No Adjudicada,NO,,24.000,24000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,5,51241213,Preparado tópico de alquitrán de madera,Adapaleno 0.1 % Gel Tópico,10,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"GBP0014 ADAPALENO 0.1% GEL TOP. X 30 G. TUBO, ADAPALENO 0.1%, F-25537/20, GLOBAL PHARMA, 01-05-2025, venc: 01-05-2025, Plazo de entrega de 24-48 hrs",$ 2400,2400.0,10,10.0,24000,24000.0,Adjudicada,YES,2400.0,24.000,24000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,6,51121501,Adenosina,Adenosina 6 Mg/ 2 ml Solución Inyectable,18,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 23591,2848",23591.2848,0,0.0,0,0.0,No Adjudicada,NO,,216.000,216000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,6,51121501,Adenosina,Adenosina 6 Mg/ 2 ml Solución Inyectable,18,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,"ADENOSINA 6MG2ML SOL INY®, ADENOSINA, Envase de: 1 JERINGA PRECARGADA, FRESENIUS KABI, Reg.ISP: F-21103, Vence: 2025-12-31. ENTREGA EN 72 HRS",$ 18000,18000.0,0,0.0,0,0.0,No Adjudicada,NO,,216.000,216000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,6,51121501,Adenosina,Adenosina 6 Mg/ 2 ml Solución Inyectable,18,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"FRE0011 ADENOSINA 6MG/2ML JERINGA PRELLENADA CJ. X 1 UND., Adenosina 6 mg/2 ml, F-21103/19, FRESENIUS KABI, 01-12-2025, venc: 01-12-2025, Plazo de entrega de 24-48 hrs",$ 12000,12000.0,18,18.0,216000,216000.0,Adjudicada,YES,12000.0,216.000,216000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,7,51121511,Clorhidrato de amiodarona,Amiodarona clorhidrato 150 Mg/ 3 Ml Solución Inyectable,100,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 4246,4313",4246.4313,0,0.0,0,0.0,No Adjudicada,NO,,67.000,67000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,7,51121511,Clorhidrato de amiodarona,Amiodarona clorhidrato 150 Mg/ 3 Ml Solución Inyectable,100,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,"AMIODARONA 150MG 3ML®, AMIODARONA CLORH, Envase de: 100 AMPOLLA, BIOSANO, Reg.ISP: F-7618, Vence: 2025-06-30. ENTREGA EN 72 HRS","$ 712,5",712.5,0,0.0,0,0.0,No Adjudicada,NO,,67.000,67000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,7,51121511,Clorhidrato de amiodarona,Amiodarona clorhidrato 150 Mg/ 3 Ml Solución Inyectable,100,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"BIO0013 AMIODARONA 150MG/3ML SOL. INY. P/PERF. (IV) CJ X 100 AMP., Clorhidrato de amiodarona 150 mg, F-7618/16, BIOSANO, 30-06-2025, venc: 30-06-2025, Plazo de entrega de 24-48 hrs",$ 670,670.0,100,100.0,67000,67000.0,Adjudicada,YES,670.0,67.000,67000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,8,51101511,Amoxicilina,Amoxicilina 250 mg/5ml polvo para suspensión oral,320,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 1327,0098",1327.0098,0,0.0,0,0.0,No Adjudicada,NO,,348.480,348480.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,8,51101511,Amoxicilina,Amoxicilina 250 mg/5ml polvo para suspensión oral,320,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,199013 AMOXICI.SUS.250MG5ML.60M GENERICOS VARIOS VCTO MAYOR A 24 MESES. DESPACHO 1 DIA CORRIDO.EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.,$ 1089,1089.0,320,320.0,348480,348480.0,Adjudicada,YES,1089.0,348.480,348480.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,8,51101511,Amoxicilina,Amoxicilina 250 mg/5ml polvo para suspensión oral,320,76.956.140-4 ETHON PHARMACEUTICALS COMERCIALIZADORA IMP EXP Y DIST SPA,AMX0250.60JRAB. AMOXICILINA 250MG X 60ML SUSP.. MDC HEALTH SPA.. AMOXICILINA. REG ISP F-25889. VCTO 01-2025. LOTE A343002 -- 7804673040065,$ 993,993.0,0,0.0,0,0.0,No Adjudicada,NO,,348.480,348480.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,8,51101511,Amoxicilina,Amoxicilina 250 mg/5ml polvo para suspensión oral,320,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,"AMOXICILINA 250 MG5 ML POLVO PSUSP ORAL®, AMOXICILINA, Envase de: 1 FRASCO, OPKO, Reg.ISP: F-22246, Vence: 2024-10-30. ENTREGA EN 72 HRS",$ 1290,1290.0,0,0.0,0,0.0,No Adjudicada,NO,,348.480,348480.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,8,51101511,Amoxicilina,Amoxicilina 250 mg/5ml polvo para suspensión oral,320,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"MDC0008 AMOXICILINA 250MG/5ML POLVO P/SUS. ORAL X 60 ML FCO., Amoxicilina 250mg/5mL, F-25889/20, MDC HEALTH, 01-12-2024, venc: 01-12-2024, Plazo de entrega de 24-48 hrs",$ 1200,1200.0,0,0.0,0,0.0,No Adjudicada,NO,,348.480,348480.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,9,51151616,Atropina,Atropina Sulfato 1 Mg / 1 Ml Solución inyectable,100,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 4246,4313",4246.4313,0,0.0,0,0.0,No Adjudicada,NO,,14.300,14300.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,9,51151616,Atropina,Atropina Sulfato 1 Mg / 1 Ml Solución inyectable,100,76.079.782-0 WINPHARM SPA,ATROPINA SULFATO 1MG1ML AM CX100 22.06.4892 F-3359 30-06-2025 BIOSANO,$ 350,350.0,0,0.0,0,0.0,No Adjudicada,NO,,14.300,14300.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,9,51151616,Atropina,Atropina Sulfato 1 Mg / 1 Ml Solución inyectable,100,76.956.140-4 ETHON PHARMACEUTICALS COMERCIALIZADORA IMP EXP Y DIST SPA,ATRP001AMPO. ATROPINA 1MG/ML X 100 AMP.. BIOSANO. ATROPINA. REG ISP F-3359. VCTO 01-2026. LOTE 23.01.5068 -- 7800061000727,$ 130,130.0,0,0.0,0,0.0,No Adjudicada,NO,,14.300,14300.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,9,51151616,Atropina,Atropina Sulfato 1 Mg / 1 Ml Solución inyectable,100,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,"ATROPINA SULFATO 1 MG1 ML®, ATROPINA SULFATO, Envase de: 100 AMPOLLA, BIOSANO, Reg.ISP: F-3359, Vence: 2025-10-30. ENTREGA EN 72 HRS",$ 155,155.0,0,0.0,0,0.0,No Adjudicada,NO,,14.300,14300.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,9,51151616,Atropina,Atropina Sulfato 1 Mg / 1 Ml Solución inyectable,100,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"SAN0016 ATROPINA SULFATO 1MG/ML SOL. INY. CJ. X 100 AMP. VIDRIO, Sulfato de atropina 1 mg/ml, F-13505/19, SANDERSON, 01-04-2026, venc: 01-04-2026, Plazo de entrega de 24-48 hrs",$ 143,143.0,100,100.0,14300,14300.0,Adjudicada,YES,143.0,14.300,14300.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,10,51181701,Betametasona,Betametasona fosfato disódico 4 Mg/Ml Solución Inyectable,1000,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 424,6431",424.6431,0,0.0,0,0.0,No Adjudicada,NO,,136.000,136000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,10,51181701,Betametasona,Betametasona fosfato disódico 4 Mg/Ml Solución Inyectable,1000,76.079.782-0 WINPHARM SPA,BETAMETASONA SOD. FOSF 4MG1ML CX100 22.11.5114 F-7623 30-11-2026 BIOSANO,$ 450,450.0,0,0.0,0,0.0,No Adjudicada,NO,,136.000,136000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,10,51181701,Betametasona,Betametasona fosfato disódico 4 Mg/Ml Solución Inyectable,1000,77.768.990-8 FARMACEUTICA INSUVAL S.A.,BETAMETASONA 4 MG -1ML CJ X10 AMP. LAB VITALIS. FLETE PAGADO. DESPACHO 2 DIAS HABILES. MONTO MINIMO DE DESPACHO 50.000 NETO VTO 01-2027,$ 136,136.0,1000,1000.0,136000,136000.0,Adjudicada,YES,136.0,136.000,136000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,10,51181701,Betametasona,Betametasona fosfato disódico 4 Mg/Ml Solución Inyectable,1000,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,"BETAMETASONA 4MG1ML®, BETAMETASONA , Envase de: 100 AMPOLLA, BIOSANO, Reg.ISP: F-7623, Vence: 2027-01-30. ENTREGA EN 72 HRS",$ 160,160.0,0,0.0,0,0.0,No Adjudicada,NO,,136.000,136000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,11,51182403,Gluconato de calcio,Calcio Gluconato Granulado 10% frasco 100 Gr.,20,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 21232,1563",21232.1563,0,0.0,0,0.0,No Adjudicada,NO,,19.380,19380.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
