row_index,DIN,flags,ai_confidence,ai_note,before_Product Group,after_Product Group,before_Marketing Authority,after_Marketing Authority,before_Ex Factory Wholesale Price,after_Ex Factory Wholesale Price,before_Unit Price,after_Unit Price,before_Fill Size,after_Fill Size
2781,02427206,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer name extracted correctly, format and prices reflect PDF data.",Jamp-ASA,Jamp-ASA,81 mg EC Jamp,Jamp,1000.0,1000.0,15.9,15.9,81,300
2783,02250675,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer identified, format extracted from the line.",NRA-ASA,NRA-ASA,80 mg croquable Nora,Nora,26.5,26.5,0.053,0.053,80,80
2828,00839183,MANUFACTURER_LEAKS_FORMAT,0.800,Manufacturer corrected to remove dose/format information.,Apo-Diclo,Apo-Diclo,50 mg Apotex,Apotex,101.2,101.2,20.24,20.24,50,100
2829,02091194,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from Marketing Authority and kept manufacturer.,Apo-Diclo,Apo-Diclo,SR 100 mg Apotex,Apotex,110.53,110.53,1.1053,1.1053,100,100
2830,02224127,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer and product group were refined based on the provided snippet.,Diclofénac-SR,Diclofénac-SR,100 mg Pro Doc,Pro Doc,65.02,65.02,,20.24,100,100
2831,00808547,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer extracted and format retained; clarity on 'mg' removed.,Novo-Difenac,Novo-Difenac,50 mg Novopharm,Novopharm,101.2,101.2,20.24,20.24,50,100
2832,02048698,MANUFACTURER_LEAKS_FORMAT,0.900,"Extracted from provided snippet, but some fields were not clear.",Novo-Difenac,Novo-Difenac,SR 100 mg Novopharm,Novopharm,65.02,65.02,,,100,100
2833,02302624,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer name cleaned, format extracted from existing data.",pms-Diclofenac,pms-Diclofenac,50 mg Phmscience,Phmscience,101.2,101.2,20.24,20.24,50,100
2835,02261960,MANUFACTURER_LEAKS_FORMAT,0.900,"Removed dose from Marketing Authority, retained relevant fields.",Sandoz Diclofenac,Sandoz Diclofenac,50 mg Sandoz,Sandoz,20.24,20.24,0.2024,0.2024,50,100
2838,00514012,MANUFACTURER_LEAKS_FORMAT,1.000,"Corrected manufacturer by removing dose and format, loaded with values as parsed.",Voltaren,Voltaren,50 mg Novartis,Novartis,72.81,72.81,0.7281,0.7281,50,50
2839,00881635,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer and format were corrected, retaining only Novartis as the manufacturer.",Voltaren,Voltaren,Rapide 50 mg Novartis,Novartis,68.46,68.46,0.6846,0.6846,50,50
2840,00590827,MANUFACTURER_LEAKS_FORMAT,0.900,Removed the dose from manufacturer; other fields matched the snippet.,Voltaren,Voltaren,S.R. 100 mg Novartis,Novartis,143.33,143.33,1.4333,1.4333,100,100
2841,00839175,MANUFACTURER_LEAKS_FORMAT,1.000,Fields corrected based on snippet.,Apo-Diclo,Apo-Diclo,25 mg Apotex,Apotex,7.73,7.73,0.0773,0.0773,25,100
2842,02162814,MANUFACTURER_LEAKS_FORMAT,0.900,Corrected manufacturer and removed dose from marketing authority.,Apo-Diclo,Apo-Diclo,S.R. 75 mg Apotex,Apotex,23.19,23.19,0.2319,0.2319,75,100
2843,02158582,MANUFACTURER_LEAKS_FORMAT,0.900,Extracted values are consistent but manufacturer contained a dose which was removed.,Novo-Difenac,Novo-Difenac,SR 75 mg Novopharm,Novopharm,23.19,23.19,0.2319,0.2319,75,100
2844,02302616,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer and format recognized, slight uncertainty on product group.",pms-Diclofenac,pms-Diclofenac,25 mg Phmscience,Phmscience,7.73,7.73,0.0773,0.0773,25,
2865,00842664,MANUFACTURER_LEAKS_FORMAT,1.000,Fields corrected based on the snippet provided.,Ketoprofen-E,Kétoprofène,100 mg AA Pharma,AA Pharma,68.23,68.23,0.6823,0.6823,100,100
2866,02172577,MANUFACTURER_LEAKS_FORMAT,0.900,"Updated product group and marketing authority based on the provided data. Format token, ex factory price, and unit price were retained.",Ketoprofen,KÉTOPROFÈNE,SR 200 mg AA Pharma,AA Pharma,138.9,138.9,1.389,1.389,200,100
2879,00522651,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dosage from manufacturer field and used available data.,Apo-Naproxen,Apo-Naproxen,250 mg Apotex,Apotex,10.68,10.68,0.1068,0.1068,250,100
2891,00600806,MANUFACTURER_LEAKS_FORMAT,1.000,All required fields were accurately extracted from the snippet.,Apo-Naproxen,Apo-Naproxen,375 mg Apotex,Apotex,14.58,14.58,72.9,72.9,375,100
2892,02246700,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer and retained brand.,Apo-Naproxen,Apo-Naproxen,EC 375 mg Apotex,Apotex,29.45,29.45,0.2945,0.2945,375,100
3039,02252805,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer; used available values.,Acétaminophène,Acétaminophène,325 mg Cellchem,Cellchem,1.14,1.14,5.7,5.7,325,100
3044,02255251,MANUFACTURER_LEAKS_FORMAT,0.900,Adjusted product group and marketing authority; used available data.,Acétaminophène facile à avaler,ACÉTAMINOPHÈNE,500 mg EF Cellchem,Cellchem,1.43,1.43,2.86,2.86,500,500
3045,02252813,MANUFACTURER_LEAKS_FORMAT,1.000,Fields corrected based on visible data.,Acétaminophène Extra fort,ACÉTAMINOPHÈNE,500 mg Cellchem,Cellchem,1.43,1.43,7.15,7.15,500,500
4530,02238162,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer and format correctly identified; generic name used for product group.,Diastat 1,DIAZÉPAM,mL (5 mg) Bausch H.,Bausch,142.18,142.18,71.09,71.09,1,1
4531,99113825,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dosage from manufacturer and used available data.,Diastat 2,Diastat,mL (10 mg) Bausch H.,Bausch H.,142.18,142.18,71.09,71.09,2,2
4532,99113826,MANUFACTURER_LEAKS_FORMAT,1.000,Extracted values based on visible information in the snippet.,Diastat 3,Diastat,mL (15 mg) Bausch H.,Bausch,142.18,142.18,71.09,71.09,3,3
4838,80103904,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from Marketing Authority and retained only the manufacturer.,AG-Calcium,AG-Calcium,500 mg Angita,Angita,10.8,10.8,0.0216,0.0216,500,500
4851,80001122,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer and retained only the manufacturer's name.,Pharma-Cal,Pharma-Cal,500 mg Pendopharm,Pendopharm,1000.0,1000.0,10.8,10.8,500,500
4859,80007304,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer cleaned from dose; confident in the extracted data.,O-Calcium Vitamine,O-Calcium,D 500 mg avec Novopharm,Novopharm,14.45,14.45,2.89,2.89,500,500
4886,80131668,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer and format extracted from the snippet. Some data may be inferred.,Dac Calcium,Dac Calcium,500 mg + Dac Pharma,Dac Pharma,7.2,7.2,0.12,0.12,500,500
4901,80059293,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer adjusted to remove format/dose; fields extracted from snippet.,Pharma-Cal,Phmscience,D 400 UI Foncé Phmscience,Pharma-Cal,60.0,60.0,7.2,7.2,400,400
4903,80021369,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer cleaned of dose, using only brand name.",Px-Calcium UI,Px-Calcium,500 mg + D 400 Phoenix,Phoenix,60.0,60.0,7.2,7.2,500,400
4904,80048609,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer; kept relevant fields as per snippet.,Px-Calcium UI,Px-Calcium,500 mg + D 400 Phoenix,Phoenix,60.0,60.0,7.2,7.2,500,400
4921,80055435,MANUFACTURER_LEAKS_FORMAT,0.900,"Extracted fields adjusted based on the provided PDF snippet, some values confirmed, manufacturer cleaned.",Px-Calcium,Px-Calcium,500 mg + D Phoenix,D Phoenix,7.2,7.2,,,500,1000
4970,99100498,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,The product group is the same as the generic name; marketing authority is not provided.,,SODIUM (CHLORURE DE),,,,,,,,30
5201,00545015,MANUFACTURER_LEAKS_FORMAT,1.000,Fields extracted directly from the snippet.,Acétazolamide,ACÉTAZOLAMIDE,250 mg AA Pharma,AA Pharma,13.26,13.26,0.1326,0.1326,250,250
5473,02112795,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer contains format; extracted correctly.,Salofalk,Salofalk,"(58,2 mL) Aptalis",Aptalis,58.2,58.2,25.76,25.76,,58.2
5474,02153556,MANUFACTURER_LEAKS_FORMAT,0.800,"Removed dose from manufacturer, some fields are missing.",Pentasa,Pentasa,(100 mL) Ferring,Ferring,4.46,4.46,,,1,100
5475,02112809,MANUFACTURER_LEAKS_FORMAT,1.000,Values extracted from the snippet were used directly. Manufacturer and dose were adjusted.,Salofalk,AGENTS ANTI-INFLAMMATOIRES,"(58,2 mL) Aptalis",Aptalis,58.2,58.2,43.68,43.68,,58.2
5800,02461528,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer and format clearly identified.,Basaglar,Basaglar,KwikPen (80 U) Lilly,Lilly,69.64,69.64,,,5,3
6177,80110453,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer extracted correctly; some minor adjustments made to product group for clarity.,Vitamine,Vitamine D,D 2000 UI Angita,Angita,2000.0,2000.0,6.93,6.93,,2
6211,80100936,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from marketing authority and kept brand.,Vitamine,VITAMINE,D 400 IU Angita,Angita,15.0,15.0,0.03,0.03,400,400
6864,02410893,MANUFACTURER_LEAKS_FORMAT,1.000,Manufacturer cleaned and extracted from current setting; all fields filled based on provided data.,Bisacodyl,BISACODYL,Suppository 5 mg Jamp,Jamp,1.28,1.28,0.4267,0.4267,5,5
6901,02483645,PRODUCT_GROUP_BLANK,0.900,Product Group corrected based on manufacturer; Format token extracted from Local Pack Description.,,Crysvita,Crysvita Kyowa,Kyowa,13544.84,13544.84,,,1,1
7207,02526670,PRODUCT_GROUP_BLANK,0.900,Extracted information adjusted based on available data; product group and marketing authority corrected.,,Trikafta,Trikafta Vertex,Vertex,23520.0,23520.0,,,84,50
7208,02542285,PRODUCT_GROUP_BLANK,0.900,Removed the drug strength from the manufacturer for clarity.,,Trikafta,Trikafta Vertex,Vertex,23520.0,23520.0,,,56,
7209,02517140,PRODUCT_GROUP_BLANK,0.900,Manufacturer identified without dose details; format token extracted from local pack description.,,Trikafta,Trikafta Vertex,Vertex,23520.0,23520.0,,,84,
7210,02542277,PRODUCT_GROUP_BLANK,0.800,Extracted fields are based on visible data in the snippet.,,Trikafta,Trikafta Vertex,Vertex,23520.0,23520.0,,,56,100
7235,02548909,PRODUCT_GROUP_BLANK,0.900,Extracted values based on available data; some fields are estimated.,,ÉPLONTERSEN,Wainua AZC,Wainua AZC,47680.33,47680.33,,,1,0.8
7318,02541769,PRODUCT_GROUP_BLANK,0.800,Used information from the snippet; product group interpreted from the brand name.,,Evkeeza,Evkeeza Ultragenyx,Ultragenyx,2.3,2.3,10163.7,10163.7,,2.3
7493,02506343,PRODUCT_GROUP_BLANK,0.800,Manufacturer extracted without dose detail; format included from Local Pack Description.,,Givlaari,Givlaari Alnylam,Alnylam,64454.3,64454.3,,,1,1
7500,99100357,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group inferred from the generic name; other fields not available.,,GLYCÉRINE,,,,,,,,12
7604,02397412,PRODUCT_GROUP_BLANK,0.900,Manufacturer cleaned but format and brand are discerned from generic marketing context.,,Kalydeco,Kalydeco Vertex,Vertex,23520.0,23520.0,,,56,56
7776,02525755,PRODUCT_GROUP_BLANK,0.900,Removed dose from manufacturer and retained brand name. Format is inferred from local pack description.,,Oxlumo,Oxlumo Alnylam,Alnylam,96855.33,96855.33,,,1,1
7781,99002868,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,"Extracted brand and format details, manufacturer cannot be determined.",,Co.,,null,,,,,,100
7782,99100716,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Extracted data from the snippet; some fields are missing.,,Co.,,null,,,,,,200
7783,99002450,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group derived from generic name; marketing authority not provided in snippet.,,MAGNÉSIUM (HYDROXYDE DE)/ ALUMINIUM (HYDROXYDE D'),,null,,,,,,300
7784,99002574,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Extracted product group from generic name, format token from local pack description. Prices and marketing authority are unavailable.",,MAGNÉSIUM (HYDROXYDE DE)/ ALUMINIUM (HYDROXYDE D'),,,,,,,,200
7785,99002442,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group identified as MARAVIROC, other fields are missing.",,MARAVIROC,,,,,,,,350
7859,99002493,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group and marketing authority extracted from current row; other fields are not available.,,MULTIVITAMINES,,Co. Croq.,,,,,,
7860,99002507,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Only the product group (Generic Name) is identifiable; other relevant fields are not visible in the snippet.,,,,,,,,,,
8370,02489252,PRODUCT_GROUP_BLANK,0.900,Removed dosage from manufacturer and extracted relevant data.,,Onpattro,Onpattro Alnylam,Alnylam,10502.41,10502.41,,,1,5
8436,02378329,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer and format extracted successfully; confidence is high.,Jamplyte,Jamplyte,(280g) Jamp,Jamp,16.45,16.45,,16.45,1,280
8437,99100717,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from marketing authority and extracted pack size.,PegLyte,PegLyte,(280 g) Pendopharm,Pendopharm,16.45,16.45,,,1,280
8473,99002876,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product group determined from generic name, marketing authority not specified, prices missing.",,,,,,,,,,
8486,02533456,PRODUCT_GROUP_BLANK,0.900,Removed dose from manufacturer and extracted available fields.,,MARQUE DE COMMERCE,Ultomiris Alexion,Alexion,26701.2,26701.2,,,1,11
8512,02514931,PRODUCT_GROUP_BLANK,0.900,Product group inferred from brand and marketing authority.,,Evrysdi,Evrysdi Roche,Roche,11638.35,11638.35,,,1,60
8640,80079884,MANUFACTURER_LEAKS_FORMAT,0.900,Adjusted Marketing Authority and removed dose from the manufacturer.,M-Senna,M-Senna,"8,6 mg Mantra Ph.",Mantra Ph.,8.6,8.6,23.19,23.19,,8.6
8641,80054498,MANUFACTURER_LEAKS_FORMAT,1.000,Parsed fields adjusted according to available information.,M-Sennosides,M-Sennosides,"8,6 mg Mantra Ph.",Mantra Ph.,8.6,8.6,23.19,23.19,,8.6
8831,99002396,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group inferred as product type; marketing authority not provided.,,GENERIC,,,,,,,,100
8832,99002418,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product Group and Marketing Authority are assumed generically, based on common industry standards.",,,,,,,,,,
8833,99002426,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Generic name extracted based on available information; marketing authority includes part of the local pack description.,,GENERIC,,Co.,,,,,,400
8834,99100202,BOTH_PRICES_BLANK,0.700,"Extracted fields based on the available information, but some data (prices) are missing.",Lorsqu'aucun prix n'est,null,"indiqué, le pharmacien peut acheter",Co. Croq.,,,,,,200
8835,99002469,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product group assumed generic based on the naming convention, marketing authority not available in the snippet.",,GENERIC,,null,,,,,,25
8922,02542420,PRODUCT_GROUP_BLANK,0.900,"Brand and manufacturer corrected, format extracted from the Local Pack Description.",,Amvuttra,Amvuttra Alnylam,Alnylam,143041.0,143041.0,,,1,0.5
8936,99100517,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Manufacturer field is likely missing; inferred from the category.,,AIGUILLE JETABLE,,FABRICANT,,,,,,1
8937,99002108,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group extracted from LINE 10, other fields are not visible in the snippet.",,AIGUILLES JETABLES POUR SERINGUES DE MÉTHOTREXATE,,,,,,,,
8938,99101194,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Extracted product group from the generic name; marketing authority and prices were not visible in the snippet.,,,,,,,,,,
8939,99002116,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product Group identified from the Generic Name, but other fields are missing.",,,,,,,,,,
8940,99002124,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.100,Minimal information available; Generic identified but other fields are blank.,,,,,,,,,,
8941,99113729,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Product group inferred from the generic name. Other fields are missing.,,,,,,,,,,
8942,99113726,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.000,All relevant fields are absent in the provided snippet.,,,,,,,,,,
8943,99113862,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product group is filled based on the generic name, but other fields are missing and could not be determined from the snippet.",,HÉPARINE SODIQUE,,,,,,,,
8946,99003643,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group identified as 'GENERIC'; other fields are missing.,,GENERIC,,,,,,,,
8947,99114343,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,"Extracted product group from generic name, but no marketing authority or pricing information available.",,SERINGUE AVEC AIGUILLE JETABLE POUR INSULINE,,null,,,,,,
8948,99002132,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.750,Extracted product group from the generic name; marketing authority not available in the snippet.,,SERINGUE AVEC AIGUILLE JETABLE POUR INSULINE,,,0.3,0.3,,,1,0.3
8949,99002140,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.900,Product name inferred as product group. Marketing authority not provided.,,SERINGUE AVEC AIGUILLE JETABLE POUR INSULINE,,,0.5,0.5,,,1,0.5
8950,99002159,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.900,Product Group inferred from Generic Name; Marketing Authority missing.,,SERINGUE AVEC AIGUILLE JETABLE POUR INSULINE,,,1.0,1.0,,,1,1
8951,99002167,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Only Unit Price is available from the snippet.,,GENERIC,,,,,,0.25,,
8952,99101335,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Only the product group was identified based on available information; other fields remain blank.,,SERINGUE ET AIGUILLE(S) JETABLES,,,,,,,,
8953,99002345,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.900,Product group is directly from the generic name; marketing authority is not provided.,,SERINGUE ET AIGUILLE(S) JETABLES,,,2.0,2.0,,,1,2
8954,99002558,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Product group inferred from the generic name. Other fields are not visible in the snippet.,,SERINGUE ET AIGUILLE(S) JETABLES,,,,,,,,3
8955,99002205,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted product group from the generic name; missing other fields.,,SERINGUE ET AIGUILLE(S) JETABLES,,,,,,,,5
8956,99002213,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group is extracted correctly; other fields are not visible in the snippet.,,SERINGUE ET AIGUILLE(S) JETABLES,,,,,,,,10
8957,99002221,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted brand name from the generic description; manufacturer data is not explicit.,,SERINGUE JETABLE,,FABRICANT,,,,,,
8958,99002337,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.800,Product group extracted from Generic Name; Marketing Authority is not visible.,,GENERIC,,,2.0,2.0,,,1,2
8959,99002531,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group appears to be the generic name, other fields are not available.",,SERINGUE JETABLE (SANS AIGUILLE),,,,,,,,3
8960,99002175,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Generic provided, but manufacturer and prices are missing.",,,,,,,,,,
8961,99002183,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,"Extracted product group and format token, but other fields are missing.",,SERINGUE JETABLE,,,,,,,,10
8962,99002191,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Only 'Product Group' could be inferred; other fields are missing in the snippet.,,,,,,,,,,
8963,99100668,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product Group inferred as generic based on context, other fields not available.",,GENERIC,,,,,,,,30
8964,99100669,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Product Group extracted; other fields are missing.,,,,,,,,,,
8965,99114344,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Product group directly taken from the generic name; format token derived from the description provided.,,SERINGUES NON STÉRILES ENFIT,,,,,,,,3
8966,99114345,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted information from the product description; confidence is moderate due to lack of explicit details for prices.,,SERINGUES NON STÉRILES,,ENFIT,,,,,,6
8967,99114346,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product Group inferred from Generic Name, other fields not available.",,SERINGUES NON STÉRILES ENFIT,,,,,,,,12
8968,99114347,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Product Group extracted from Generic Name; other fields remain unknown.,,,,,,,,,,
8969,99114348,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Used the generic name as product group; format token derived from the description.,,SERINGUES NON STÉRILES ENFIT,,,,,,,,60
8970,99114349,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product Group and Marketing Authority are presumed based on the provided context, but other fields are missing.",,,,,,,,,,
8973,99100416,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product group and format token were extracted, but other fields are missing.",,AMPHOTÉRICINE B,,,,,,,,20
8974,99113918,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Brand and format extracted, but manufacturer and prices are missing.",,CLOMIFÈNE,,null,,,,,,1
8975,99100387,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product group identified, but other fields are still missing.",,,,,,,,,,
8976,99113753,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group is identified as the generic name. Remaining fields are not available in the snippet.,,CYSTÉAMINE,,,,,,,,1
8977,99114475,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group marked as 'GENERIC'. Manufacturer not provided. Both prices are not available.,,GENERIC,,,,,,,,1
