page,text
13,"0,8494"
13,125 mg/5 mL   PPB Susp. Orale
13,
13,02347261  Auro-Cefprozil AuroPharma 75 ml
13,"100 ml7,28"
13,"9,70"
13,"0,0970"
13,"0,0970"
13,02329204  Taro-Cefprozil Sun Pharma 75 ml
13,"100 ml7,28"
13,"9,70"
13,"0,0970"
13,"0,0970"
13,250 mg/5 mL   PPB Susp. Orale
13,
13,02347288  Auro-Cefprozil AuroPharma 75 ml
13,"100 ml14,54"
13,"19,38"
13,"0,1938"
13,"0,1938"
13,02293579  Taro-Cefprozil Sun Pharma 75 ml
13,"100 ml14,54"
13,"19,38"
13,"0,1938"
13,"0,1938"
13,CEFTAZIDIME (PENTAHYDRATE DE)   X
13,1 g   PPB Pd. Inj.
13,
13,00886971  Ceftazidime pour injection Fresenius 1
13,"18,85"
13,02437848  Ceftazidime pour injection
13,"BPSterimax 10 188,50"
13,"18,8500CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
13,FORMATPRIX UNITAIRE
13,2025-08 Page    9
14,2 g   PPB Pd. Inj.
14,
14,00886955  Ceftazidime pour injection Fresenius 1
14,"37,10"
14,02437856  Ceftazidime pour injection
14,"BPSterimax 10 371,00"
14,"37,1000"
14,6 g   PPB Pd. Inj.
14,
14,00886963  Ceftazidime pour injection Fresenius 1
14,"111,29"
14,02437864  Ceftazidime pour injection
14,BPSterimax 1
14,"111,29"
14,CEFTRIAXONE SODIQUE   X
14,1 g   PPB Pd. Inj.
14,
14,"02325616  Ceftriaxone Sterimax 10 124,90"
14,"12,4900"
14,"02292270  Ceftriaxone pour injection Sandoz 10 124,90"
14,"12,4900"
14,02287633  Ceftriaxone sodique pour
14,injectionNovopharm 1
14,"12,49"
14,2 g   PPB Pd. Inj.
14,
14,"02325624  Ceftriaxone Sterimax 10 344,85"
14,"34,4850"
14,"02292289  Ceftriaxone pour injection Sandoz 10 344,85"
14,"34,4850"
14,10 g   PPB Pd. Inj.
14,
14,02325632  Ceftriaxone Sterimax 1
14,"107,10"
14,02292904  Ceftriaxone pour injection Apotex 1
14,"107,10"
14,02287668  Ceftriaxone sodique pour
14,injectionNovopharm 1
14,"107,10"
14,02292297  Ceftriaxone sodique pour
14,injectionSandoz 1
14,"107,10"
14,250 mg   PPB Pd. Inj.
14,
14,"02292866  Ceftriaxone pour injection Apotex 10 56,43"
14,"5,6430"
14,02325594  Ceftriaxone sodique pour
14,"injection BPSterimax 10 56,43"
14,"5,6430"
14,CÉFUROXIME AXETIL   X
14,250 mg   PPB Co.
14,
14,02244393  Apo-Cefuroxime Apotex 60
14,"10025,16"
14,"41,94"
14,"0,4194"
14,"0,4194"
14,"02344823  Auro-Cefuroxime AuroPharma 60 25,16"
14,"0,4194"
14,"02547198  JAMP Cefuroxime Jamp 60 25,16"
14,"0,4194CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
14,FORMATPRIX UNITAIRE
14,Page    10 2025-08
15,500 mg   PPB Co.
15,
15,02244394  Apo-Cefuroxime Apotex 60
15,"10049,85"
15,"83,08"
15,"0,8308"
15,"0,8308"
15,"02344831  Auro-Cefuroxime AuroPharma 60 49,85"
15,"0,8308"
15,"02547201  JAMP Cefuroxime Jamp 60 49,85"
15,"0,8308"
15,125 mg/5 mL Susp. Orale
15,
15,02212307  Ceftin Sandoz 70 ml
15,"100 ml11,57"
15,"16,520,1653"
15,"0,1652"
15,CÉFUROXIME SODIQUE   X
15,"1,5 g   PPB Pd. Inj."
15,
15,02241639  Céfuroxime pour injection Fresenius 1
15,"28,04"
15,02422301  Céfuroxime pour injection
15,"USPHikma 25 701,00"
15,"28,0400"
15,"7,5 g Pd. Inj."
15,
15,02422328  Céfuroxime pour injection
15,"USPHikma 10 1051,40 105,1400"
15,750 mg   PPB Pd. Inj.
15,
15,02241638  Céfuroxime pour injection Fresenius 1
15,"14,01"
15,02422298  Céfuroxime pour injection
15,"USPHikma 25 350,25"
15,"14,0100"
15,CÉPHALEXINE (MONOHYDRATE DE)   X
15,250 mg   PPB Co. ou Caps.
15,
15,00768723  Apo-Cephalex Apotex 100
15,"10008,66"
15,"86,60"
15,"0,0866"
15,"0,0866"
15,02470578  Auro-Cephalexin AuroPharma 100
15,"5008,66"
15,"43,30"
15,"0,0866"
15,"0,0866"
15,"02521253  Cephalexin Sanis 100 8,66"
15,"0,0866"
15,"02494698  Jamp Cephalexin Jamp 100 8,66"
15,"0,0866"
15,00583413  Teva-Cephalexin Teva Can 100
15,"10008,66"
15,"86,60"
15,"0,0866"
15,"0,0866CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
15,FORMATPRIX UNITAIRE
15,2025-08 Page    11
16,500 mg   PPB Co. ou Caps.
16,
16,00768715  Apo-Cephalex Apotex 100
16,"50017,31"
16,"86,55"
16,"0,1731"
16,"0,1731"
16,02470586  Auro-Cephalexin AuroPharma 100
16,"50017,31"
16,"86,55"
16,"0,1731"
16,"0,1731"
16,02521261  Cephalexin Sanis 100
16,"50017,31"
16,"86,55"
16,"0,1731"
16,"0,1731"
16,02495651  Cephalexin Sivem 100
16,"50017,31"
16,"86,55"
16,"0,1731"
16,"0,1731"
16,"00828866  Céphalexin-500 Pro Doc 500 86,55"
16,"0,1731"
16,02494701  Jamp Cephalexin Jamp 100
16,"50017,31"
16,"86,55"
16,"0,1731"
16,"0,1731"
16,00583421  Teva-Cephalexin Teva Can 100
16,"50017,31"
16,"86,55"
16,"0,1731"
16,"0,1731"
16,125 mg/5 mL   PPB Susp. Orale
16,
16,02497743  Auro-Cephalexin AuroPharma 100 ml
16,"150 ml14,62"
16,"21,93"
16,"0,1462"
16,"0,1462"
16,02528436  Jamp Cephalexin
16,"SuspensionJamp 150 ml 21,93"
16,"0,1462"
16,02469170  Lupin-Cephalexin Lupin 100 ml
16,"150 ml14,62"
16,"21,93"
16,"0,1462"
16,"0,1462"
16,00342106  Teva-Lexin 125 Teva Can 100 ml
16,"150 ml14,62"
16,"21,93"
16,"0,1462"
16,"0,1462"
16,250 mg/5 mL   PPB Susp. Orale
16,
16,02497751  Auro-Cephalexin AuroPharma 100 ml
16,"150 ml25,73"
16,"38,60"
16,"0,2573"
16,"0,2573"
16,02528444  Jamp Cephalexin
16,SuspensionJamp 100 ml
16,"150 ml25,73"
16,"38,60"
16,"0,2573"
16,"0,2573"
16,02469189  Lupin-Cephalexin Lupin 100 ml
16,"150 ml25,73"
16,"38,60"
16,"0,2573"
16,"0,2573"
16,00342092  Teva-Lexin 250 Teva Can 100 ml
16,"150 ml25,73"
16,"38,60"
16,"0,2573"
16,"0,2573"
16,8:12.07
16,BÊTA-LACTAMINES DIVERSES
16,CÉFOXITINE SODIQUE   X
16,1 g Pd. Inj.
16,
16,"02128187  Cefoxitine Teva Can 1 10,60"
16,2 g Pd. Inj.
16,
16,"02128195  Cefoxitine Teva Can 1 21,25CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
16,FORMATPRIX UNITAIRE
16,Page    12 2025-08
17,ERTAPÉNEM SODIQUE   X
17,1 g   PPB Pd. Inj.
17,
17,"02492148  Ertapénem pour injection AuroPharma 10 464,39"
17,"46,4390"
17,"02511150  Ertapénem pour injection Dr Reddy's 10 464,39"
17,"46,4390"
17,"02496127  Ertapénem pour injection Fresenius 10 464,39"
17,"46,4390"
17,"02490773  Ertapénem pour injection Juno 10 464,39"
17,"46,4390"
17,"02247437  Invanz Merck 10 464,39"
17,"46,4390"
17,IMIPÉNEM/ CILASTATINE SODIQUE   X
17,500 mg -500 mg Pd. Inj. I.V.
17,
17,"02351706  Taro-Imipenem-Cilastatin Sun Pharma 30 658,20 21,9400"
17,MEROPENEM   X
17,1 g   PPB Pd. Inj.
17,
17,"02378795  Meropenem Sandoz 10 184,45"
17,"18,4450"
17,"02462893  Meropenem pour Injection AuroPharma 10 184,45"
17,"18,4450"
17,"02493349  Meropenem pour Injection Sterimax 10 184,45"
17,"18,4450"
17,02536374  Méropénem pour injection Jamp 1
17,"18,45"
17,"02415224  Méropénem pour injection,"
17,USPFresenius 1
17,"18,45"
17,"02421526  Taro-Meropenem Sun Pharma 10 184,45"
17,"18,4450"
17,500 mg   PPB Pd. Inj.
17,
17,"02378787  Meropenem Sandoz 10 92,22"
17,"9,2223"
17,"02462885  Meropenem pour Injection AuroPharma 10 92,22"
17,"9,2223"
17,"02493330  Méropénem pour injection Sterimax 10 92,22"
17,"9,2223"
17,"02415216  Méropénem pour injection,"
17,USPFresenius 1
17,"9,22"
17,"02421518  Taro-Meropenem Sun Pharma 10 92,22"
17,"9,2223CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
17,FORMATPRIX UNITAIRE
17,2025-08 Page    13
18,8:12.12
18,MACROLIDES
18,AZITHROMYCINE   X
18,250 mg   PPB Co.
18,
18,02480700  AG-Azithromycin Angita 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02415542  Apo-Azithromycin Z Apotex 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,"02477610  Azithromycin Altamed 6 5,65"
18,"0,9410"
18,02330881  Azithromycin Sanis 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02442434  Azithromycin Sivem 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,"02545969  DAC Azithromycin Dac Pharma 6 5,65"
18,"0,9410"
18,02452308  Jamp-Azithromycin Jamp 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02452324  Mar-Azithromycin Marcan 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02502038  M-Azithromycin Mantra Ph. 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02267845  Novo-Azithromycin Novopharm 6
18,"305,65"
18,"28,23"
18,"0,9410"
18,"0,9410"
18,02479680  NRA-Azithromycin Nora 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02261634  pms-Azithromycin Phmscience 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,"02310600  Pro-Azithromycine Pro Doc 6 5,65"
18,"0,9410"
18,02275309  Riva-Azithromycin Riva 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02265826  Sandoz Azithromycin Sandoz 6
18,"1005,65"
18,"94,10"
18,"0,9410"
18,"0,9410"
18,02212021  Zithromax Pfizer 6
18,"3029,28"
18,"146,414,8803"
18,"4,8803"
18,600 mg Co.
18,
18,"02261642  pms-Azithromycin Phmscience 30 319,96 10,6652"
18,500 mg   PPB Pd. Perf. I.V.
18,
18,"02465604  Azithromycine pour injection AuroPharma 10 145,60"
18,"14,5600"
18,"02523825  Azithromycine pour injection Jamp 10 145,60"
18,"14,5600"
18,"02483890  Azithromycine pour injection Sterimax 10 145,60"
18,"14,5600"
18,"02239952  Zithromax I.V. Pfizer 10 206,44 20,6440"
18,100 mg/5 mL   PPB Susp. Orale
18,
18,"02482363  Auro-Azithromycin AuroPharma 15 ml 5,59"
18,"0,3726"
18,"02332388  Sandoz Azithromycin Sandoz 15 ml 8,82 0,5880"
18,"02223716  Zithromax Pfizer 15 ml 16,17 1,0780CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
18,FORMATPRIX UNITAIRE
18,Page    14 2025-08
19,200 mg/5 mL   PPB Susp. Orale
19,
19,02482371  Auro-Azithromycin AuroPharma 15 ml
19,"22,5 ml"
19,"37,5 ml7,92"
19,"11,88"
19,"19,80"
19,"0,5280"
19,"0,5280"
19,"0,5280"
19,02332396  Sandoz Azithromycin Sandoz 15 ml
19,"22,5 ml"
19,"37,5 ml12,49"
19,"18,74"
19,"31,240,8327"
19,"0,8329"
19,"0,8330"
19,02223724  Zithromax Pfizer 15 ml
19,"22,5 ml22,92"
19,"34,371,5280"
19,"1,5276"
19,CLARITHROMYCINE   X
19,500 mg   PPB Co.
19,
19,"02274752  Apo-Clarithromycin Apotex 100 83,18"
19,"0,8318"
19,"02126710  Biaxin Bid BGP Pharma 100 326,62 3,2662"
19,"02324490  Clarithromycin Pro Doc 100 83,18"
19,"0,8318"
19,"02466139  Clarithromycin Sanis 100 83,18"
19,"0,8318"
19,"02442485  Clarithromycin Sivem 100 83,18"
19,"0,8318"
19,"02471396  M-Clarithromycin Mantra Ph. 100 83,18"
19,"0,8318"
19,02247574  * pms-Clarithromycin Phmscience 100
19,"25083,18"
19,"207,95 R"
19,R
19,"02266547  Sandoz Clarithromycin Sandoz 100 83,18"
19,"0,8318"
19,02361434  Taro-Clarithromycin Sun Pharma 100
19,"50083,18"
19,"415,90"
19,"0,8318"
19,"0,8318"
19,"02248805  Teva Clarithromycin Teva Can 100 83,18"
19,"0,8318"
19,250 mg / 500 mg L.A.   PPB Co. ou Co. L.A.
19,
19,"02403196  ACT Clarithromycin XL Teva Can 60 49,46"
19,"0,8243"
19,"02274744  Apo-Clarithromycin Apotex 100 41,22"
19,"0,4122"
19,"02413345  Apo-Clarithromycin XL Apotex 100 82,43"
19,"0,8243"
19,"01984853  Biaxin Bid BGP Pharma 100 161,27 1,6127"
19,"02324482  Clarithromycin Pro Doc 100 41,22"
19,"0,4122"
19,"02466120  Clarithromycin Sanis 100 41,22"
19,"0,4122"
19,"02442469  Clarithromycin Sivem 100 41,22"
19,"0,4122"
19,"02471388  M-Clarithromycin Mantra Ph. 100 41,22"
19,"0,4122"
19,02247573  * pms-Clarithromycin Phmscience 100
19,"25041,22"
19,"103,04 R"
19,R
19,"02266539  Sandoz Clarithromycin Sandoz 100 41,22"
19,"0,4122"
19,02361426  Taro-Clarithromycin Sun Pharma 100
19,"50041,22"
19,"206,08"
19,"0,4122"
19,"0,4122"
19,"02248804  Teva Clarithromycin Teva Can 100 41,22"
19,"0,4122"
19,125 mg/5 mL   PPB Susp. Orale
19,
19,02146908  Biaxin BGP Pharma 55 ml
19,"105 ml15,77"
19,"30,090,2867"
19,"0,2866"
19,02390442  Taro-Clarithromycin Taro 55 ml
19,"105 ml13,13"
19,"25,07"
19,"0,2388"
19,"0,2388"
19,250 mg/5 mL   PPB Susp. Orale
19,
19,"02244641  Biaxin BGP Pharma 105 ml 57,89 0,5513"
19,"02390450  Taro-Clarithromycin Taro 105 ml 49,19"
19,"0,4685CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
19,FORMATPRIX UNITAIRE
19,2025-08 Page    15
20,8:12.16
20,PÉNICILLINES
20,AMOXICILLINE   X
20,250 mg   PPB Caps.
20,
20,"02525348  Amoxicillin Capsules Sanis 100 6,72"
20,"0,0672"
20,00628115  Apo-Amoxi Apotex 100
20,"10006,72"
20,"67,20"
20,"0,0672"
20,"0,0672"
20,02388073  Auro-Amoxicillin AuroPharma 100
20,"5006,72"
20,"33,60"
20,"0,0672"
20,"0,0672"
20,02433060  Jamp-Amoxicillin Jamp 100
20,"10006,72"
20,"67,20"
20,"0,0672"
20,"0,0672"
20,00406724  Novamoxin Teva Can 100
20,"10006,72"
20,"67,20"
20,"0,0672"
20,"0,0672"
20,"02230243  * pms-Amoxicillin Phmscience 500 33,60  R"
20,"02532042  PRZ-Amoxicillin Pharmaris 100 6,72"
20,"0,0672"
20,500 mg   PPB Caps.
20,
20,02477726  AG-Amoxicillin Angita 100
20,"50013,08"
20,"65,40"
20,"0,1308"
20,"0,1308"
20,02401509  Amoxicillin Sivem 100
20,"50013,08"
20,"65,40"
20,"0,1308"
20,"0,1308"
20,"02525356  Amoxicillin Capsules Sanis 500 65,40"
20,"0,1308"
20,00628123  Apo-Amoxi Apotex 100
20,"50013,08"
20,"65,40"
20,"0,1308"
20,"0,1308"
20,02388081  Auro-Amoxicillin AuroPharma 100
20,"50013,08"
20,"65,40"
20,"0,1308"
20,"0,1308"
20,02433079  Jamp-Amoxicillin Jamp 100
20,"50013,08"
20,"65,40"
20,"0,1308"
20,"0,1308"
20,00406716  Novamoxin Teva Can 100
20,"50013,08"
20,"65,40"
20,"0,1308"
20,"0,1308"
20,"02230244  * pms-Amoxicillin Phmscience 500 65,40  R"
20,"00644315  Pro-Amox-500 Pro Doc 500 65,40"
20,"0,1308"
20,"02532050  PRZ-Amoxicillin Pharmaris 500 65,40"
20,"0,1308"
20,250 mg Co. Croq.
20,
20,"02036355  Teva-Amoxicillin Teva Can 100 61,38 0,6138"
20,125 mg/5 mL   PPB Susp. Orale
20,
20,00628131  Apo-Amoxi Apotex 100 ml
20,"150 ml2,47"
20,"3,71"
20,"0,0247"
20,"0,0247"
20,02458586  Auro-Amoxicillin AuroPharma 100 ml
20,"150 ml3,52"
20,"5,280,0352"
20,"0,0352"
20,02535793  Jamp-Amoxicillin Jamp 100 ml
20,"150 ml2,47"
20,"3,71"
20,"0,0247"
20,"0,0247CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
20,FORMATPRIX UNITAIRE
20,Page    16 2025-08
21,250 mg/5 mL   PPB Susp. Orale
21,
21,02537451  AG-Amoxicillin Angita 100 ml
21,"150 ml5,40"
21,"8,10"
21,"0,0540"
21,"0,0540"
21,02352753  Amoxicillin Sanis 100 ml
21,"150 ml5,40"
21,"8,10"
21,"0,0540"
21,"0,0540"
21,02352788  Amoxicillin Sanis 100 ml
21,"150 ml5,40"
21,"8,10"
21,"0,0540"
21,"0,0540"
21,02401541  Amoxicillin Sivem 100 ml
21,"150 ml5,40"
21,"8,10"
21,"0,0540"
