category,subcategory,generic_name,formulation,strength,ppb,local_code,brand_name,company_name,fill_size,pack_price,unit_price,page
,,AMIKACINE (SULFATE D')   X,,,False,02486717,Sulfate,d'Amikacine,Sulfate,d'Amikacine,,11
,,AMIKACINE (SULFATE D')   X,,,False,02529459,,02529459,d'amikacine,pour,,11
,,AMIKACINE (SULFATE D')   X,,,False,02529459,,02529459,injectionJamp,10,624.01,11
,,AMIKACINE (SULFATE D')   X,,,False,02506599,VPI-Amikacin,VPI,10,624.01,624.01,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02506599,VPI-Amikacin,VPI,40 mg/mL PPB Sol.,Inj.,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02420287,Jamp-Tobramycin,(avec,Jamp-Tobramycin,(avec,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02420287,Jamp-Tobramycin,(avec,agent de conservation)Jamp 2,ml,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02230640,,Tobramycin,2,ml,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,99005069,Tobramycine,(sans,Tobramycine,(sans,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,99005069,Tobramycine,(sans,préservatif)Sandoz 2,ml,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02241210,Tobramycine (sulfate,de),2,ml,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02502372,Tobramycine,Injectable,2,ml,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02533103,Tobramycine pour,injection,2,ml,,11
,,TOBRAMYCINE (SULFATE DE)   X,,,False,02533103,Tobramycine pour,injection,"2,41CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,11
,,CÉFADROXIL (MONOHYDRATE DE)   X,,500 mg    Caps.,True,02240774,Apo-Cefadroxil,Apotex,100,58.95,58.95,12
,,CÉFADROXIL (MONOHYDRATE DE)   X,,500 mg    Caps.,True,02544792,JAMP Cefadroxil,Jamp,100,58.95,58.95,12
,,CÉFADROXIL (MONOHYDRATE DE)   X,,500 mg    Caps.,True,02235134,Teva-Cefadroxil Teva,Can,100,58.95,58.95,12
,,CÉFAZOLINE SODIQUE   X,,,False,02235134,Teva-Cefadroxil Teva,Can,1 g PPB Pd.,Inj.,,12
,,CÉFAZOLINE SODIQUE   X,,,False,02108127,Céfazoline Teva,Can,10,26.96,26.96,12
,,CÉFAZOLINE SODIQUE   X,,,False,02297205,Céfazoline pour injection,Apotex,10,26.96,26.96,12
,,CÉFAZOLINE SODIQUE   X,,,False,02237138,Céfazoline pour injection,Fresenius,10,26.96,26.96,12
,,CÉFAZOLINE SODIQUE   X,,,False,02437112,Céfazoline pour injection,Hikma,25,67.40,67.40,12
,,CÉFAZOLINE SODIQUE   X,,,False,02308959,Céfazoline pour injection,Sandoz,10,26.96,26.96,12
,,CÉFAZOLINE SODIQUE   X,,,False,02465469,,02465469,sodique,pour,,12
,,CÉFAZOLINE SODIQUE   X,,,False,02465469,,02465469,injectionSterimax,10,26.96,12
,,CÉFAZOLINE SODIQUE   X,,,False,02465469,,02465469,2 g Pd.,Inj.,,12
,,CÉFAZOLINE SODIQUE   X,,,False,02524791,Céfazoline pour injection Sterimax,10,"57,12",5.7120,5.7120,12
,,CÉFAZOLINE SODIQUE   X,,,False,02524791,Céfazoline pour injection Sterimax,10,10 g PPB Pd.,Inj.,,12
,,CÉFAZOLINE SODIQUE   X,,,False,02108135,Cefazolin,Teva,Can,1,1,12
,,CÉFAZOLINE SODIQUE   X,,,False,02297213,Céfazoline pour injection,Apotex,10,301.50,301.50,12
,,CÉFAZOLINE SODIQUE   X,,,False,02237140,Céfazoline pour injection,Fresenius,10,301.50,301.50,12
,,CÉFAZOLINE SODIQUE   X,,,False,02437120,Céfazoline pour injection,Hikma,10,301.50,301.50,12
,,CÉFAZOLINE SODIQUE   X,,,False,02308967,Céfazoline pour,injection,Sandoz,1,1,12
,,CÉFAZOLINE SODIQUE   X,,,False,02465477,,02465477,sodique,pour,,12
,,CÉFAZOLINE SODIQUE   X,,,False,02465477,,02465477,injectionSterimax,10,301.50,12
,,CÉFAZOLINE SODIQUE   X,,,False,02465477,,02465477,500 mg PPB Pd.,Inj.,,12
,,CÉFAZOLINE SODIQUE   X,,,False,02108119,Céfazoline,Novopharm,10,25.00,25.00,12
,,CÉFAZOLINE SODIQUE   X,,,False,02437104,Cefazoline pour injection,Hikma,25,62.50,62.50,12
,,CÉFAZOLINE SODIQUE   X,,,False,02308932,Céfazoline pour injection,Sandoz,10,25.00,25.00,12
,,CÉFÉPIME (CHLORHYDRATE DE)   X,,,False,02308932,Céfazoline pour injection,Sandoz,2 g Pd.,Inj.,,12
,,CÉFÉPIME (CHLORHYDRATE DE)   X,,,False,02467518,Apo-Cefepime Apotex,1,ml,30.20,30.20,12
,,CEFIXIME   X,,400 mg    Co.,True,02432773,,Auro-Cefixime,AuroPharma,7,7,12
,,CEFIXIME   X,,400 mg    Co.,True,00868981,,Suprax,Odan,7,7,12
,,CEFIXIME   X,,400 mg    Co.,True,00868981,,Suprax,"2,7172CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,12
,,FORMATPRIX UNITAIRE,,,False,00868981,,Suprax,100 mg/5 mL PPB Susp.,Orale,,13
,,FORMATPRIX UNITAIRE,,,False,02468689,Auro-Cefixime AuroPharma,50,ml,18.32,18.32,13
,,FORMATPRIX UNITAIRE,,,False,00868965,Suprax Odan,50,ml,18.32,18.32,13
,,CÉFOTAXIME SODIQUE   X,,,False,00868965,Suprax Odan,50,1 g Pd.,Inj.,,13
,,CÉFOTAXIME SODIQUE   X,,,False,02434091,,02434091,sodique,pour,,13
,,CÉFOTAXIME SODIQUE   X,,,False,02434091,,02434091,injection BPSterimax 10,83.30,8.3300,13
,,CÉFOTAXIME SODIQUE   X,,,False,02434091,,02434091,2 g Pd.,Inj.,,13
,,CÉFOTAXIME SODIQUE   X,,,False,02434105,,02434105,sodique,pour,,13
,,CÉFOTAXIME SODIQUE   X,,,False,02434105,,02434105,injection BPSterimax 10,166.86,16.6860,13
,,CEFPROZIL   X,,250 mg Co.,False,02293528,Taro-Cefprozil Sun Pharma,100,"43,32",0.4332,0.4332,13
,,CEFPROZIL   X,,500 mg    Co.,True,02347253,Auro-Cefprozil,AuroPharma,100,84.94,84.94,13
,,CEFPROZIL   X,,500 mg    Co.,True,02302187,Sandoz Cefprozil,Sandoz,100,84.94,84.94,13
,,CEFPROZIL   X,,500 mg    Co.,True,02293536,Taro-Cefprozil Sun,Pharma,100,84.94,84.94,13
,,CEFPROZIL   X,,500 mg    Co.,True,02293536,Taro-Cefprozil Sun,Pharma,125 mg/5 mL PPB Susp.,Orale,,13
,,CEFPROZIL   X,,500 mg    Co.,True,02347261,,Auro-Cefprozil,75,ml,,13
,,CEFPROZIL   X,,500 mg    Co.,True,02329204,Taro-Cefprozil,Sun,75,ml,,13
,,CEFPROZIL   X,,500 mg    Co.,True,02329204,Taro-Cefprozil,Sun,250 mg/5 mL PPB Susp.,Orale,,13
,,CEFPROZIL   X,,500 mg    Co.,True,02347288,,Auro-Cefprozil,75,ml,,13
,,CEFPROZIL   X,,500 mg    Co.,True,02293579,Taro-Cefprozil,Sun,75,ml,,13
,,CEFTAZIDIME (PENTAHYDRATE DE)   X,,,False,02293579,Taro-Cefprozil,Sun,1 g PPB Pd.,Inj.,,13
,,CEFTAZIDIME (PENTAHYDRATE DE)   X,,,False,00886971,Ceftazidime pour,injection,Fresenius,1,1,13
,,CEFTAZIDIME (PENTAHYDRATE DE)   X,,,False,02437848,,02437848,pour,injection,,13
,,CEFTAZIDIME (PENTAHYDRATE DE)   X,,,False,02437848,,02437848,BPSterimax,10,188.50,13
,,CEFTAZIDIME (PENTAHYDRATE DE)   X,,,False,02437848,,02437848,"18,8500CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,13
,,FORMATPRIX UNITAIRE,,,False,02437848,,02437848,2 g PPB Pd.,Inj.,,14
,,FORMATPRIX UNITAIRE,,,False,00886955,Ceftazidime pour,injection,Fresenius,1,1,14
,,FORMATPRIX UNITAIRE,,,False,02437856,,02437856,pour,injection,,14
,,FORMATPRIX UNITAIRE,,,False,02437856,,02437856,BPSterimax,10,371.00,14
,,FORMATPRIX UNITAIRE,,,False,02437856,,02437856,6 g PPB Pd.,Inj.,,14
,,FORMATPRIX UNITAIRE,,,False,00886963,Ceftazidime pour,injection,Fresenius,1,1,14
,,FORMATPRIX UNITAIRE,,,False,02437864,,02437864,pour,injection,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02437864,,02437864,1 g PPB Pd.,Inj.,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02325616,Ceftriaxone,Sterimax,10,124.90,124.90,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292270,Ceftriaxone pour injection,Sandoz,10,124.90,124.90,14
,,CEFTRIAXONE SODIQUE   X,,,False,02287633,,02287633,sodique,pour,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02287633,,02287633,2 g PPB Pd.,Inj.,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02325624,Ceftriaxone,Sterimax,10,344.85,344.85,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292289,Ceftriaxone pour injection,Sandoz,10,344.85,344.85,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292289,Ceftriaxone pour injection,Sandoz,10 g PPB Pd.,Inj.,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02325632,,Ceftriaxone,Sterimax,1,1,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292904,Ceftriaxone pour,injection,Apotex,1,1,14
,,CEFTRIAXONE SODIQUE   X,,,False,02287668,,02287668,sodique,pour,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292297,,02292297,sodique,pour,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292297,,02292297,250 mg PPB Pd.,Inj.,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02292866,Ceftriaxone pour injection,Apotex,10,56.43,56.43,14
,,CEFTRIAXONE SODIQUE   X,,,False,02325594,,02325594,sodique,pour,,14
,,CEFTRIAXONE SODIQUE   X,,,False,02325594,,02325594,injection BPSterimax,10,56.43,14
,,CÉFUROXIME AXETIL   X,,250 mg    Co.,True,02244393,,Apo-Cefuroxime,Apotex,60,60,14
,,CÉFUROXIME AXETIL   X,,250 mg    Co.,True,02344823,Auro-Cefuroxime,AuroPharma,60,25.16,25.16,14
,,CÉFUROXIME AXETIL   X,,250 mg    Co.,True,02547198,JAMP Cefuroxime,Jamp,60,25.16,25.16,14
,,CÉFUROXIME AXETIL   X,,250 mg    Co.,True,02547198,JAMP Cefuroxime,Jamp,"0,4194CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,14
,,FORMATPRIX UNITAIRE,,500 mg    Co.,True,02244394,,Apo-Cefuroxime,Apotex,60,60,15
,,FORMATPRIX UNITAIRE,,500 mg    Co.,True,02344831,Auro-Cefuroxime,AuroPharma,60,49.85,49.85,15
,,FORMATPRIX UNITAIRE,,500 mg    Co.,True,02547201,JAMP Cefuroxime,Jamp,60,49.85,49.85,15
,,FORMATPRIX UNITAIRE,,500 mg    Co.,True,02547201,JAMP Cefuroxime,Jamp,125 mg/5 mL Susp.,Orale,,15
,,FORMATPRIX UNITAIRE,,500 mg    Co.,True,02212307,,Ceftin,70,ml,,15
,,CÉFUROXIME SODIQUE   X,,,False,02212307,,Ceftin,"1,5 g PPB Pd.",Inj.,,15
,,CÉFUROXIME SODIQUE   X,,,False,02241639,Céfuroxime pour,injection,Fresenius,1,1,15
,,CÉFUROXIME SODIQUE   X,,,False,02422301,,02422301,pour,injection,,15
,,CÉFUROXIME SODIQUE   X,,,False,02422301,,02422301,USPHikma,25,701.00,15
,,CÉFUROXIME SODIQUE   X,,,False,02422301,,02422301,"7,5 g Pd.",Inj.,,15
,,CÉFUROXIME SODIQUE   X,,,False,02422328,,02422328,pour,injection,,15
,,CÉFUROXIME SODIQUE   X,,,False,02422328,,02422328,USPHikma 10,1051.40,105.1400,15
,,CÉFUROXIME SODIQUE   X,,,False,02422328,,02422328,750 mg PPB Pd.,Inj.,,15
,,CÉFUROXIME SODIQUE   X,,,False,02241638,Céfuroxime pour,injection,Fresenius,1,1,15
,,CÉFUROXIME SODIQUE   X,,,False,02422298,,02422298,pour,injection,,15
,,CÉFUROXIME SODIQUE   X,,,False,02422298,,02422298,USPHikma,25,350.25,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,02422298,,02422298,250 mg PPB Co. ou,Caps.,,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,00768723,,Apo-Cephalex,Apotex,100,100,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,02470578,,Auro-Cephalexin,AuroPharma,100,100,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,02521253,Cephalexin,Sanis,100,8.66,8.66,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,02494698,Jamp Cephalexin,Jamp,100,8.66,8.66,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,00583413,Teva-Cephalexin,Teva,Can,100,100,15
,,CÉPHALEXINE (MONOHYDRATE DE)   X,,,False,00583413,Teva-Cephalexin,Teva,"0,0866CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,15
,,FORMATPRIX UNITAIRE,,,False,00583413,Teva-Cephalexin,Teva,500 mg PPB Co. ou,Caps.,,16
,,FORMATPRIX UNITAIRE,,,False,00768715,,Apo-Cephalex,Apotex,100,100,16
,,FORMATPRIX UNITAIRE,,,False,02470586,,Auro-Cephalexin,AuroPharma,100,100,16
,,FORMATPRIX UNITAIRE,,,False,02521261,,Cephalexin,Sanis,100,100,16
,,FORMATPRIX UNITAIRE,,,False,02495651,,Cephalexin,Sivem,100,100,16
,,FORMATPRIX UNITAIRE,,,False,00828866,Céphalexin-500 Pro,Doc,500,86.55,86.55,16
,,FORMATPRIX UNITAIRE,,,False,02494701,Jamp,Cephalexin,Jamp,100,100,16
,,FORMATPRIX UNITAIRE,,,False,00583421,Teva-Cephalexin,Teva,Can,100,100,16
,,FORMATPRIX UNITAIRE,,,False,00583421,Teva-Cephalexin,Teva,125 mg/5 mL PPB Susp.,Orale,,16
,,FORMATPRIX UNITAIRE,,,False,02497743,,Auro-Cephalexin,100,ml,,16
,,FORMATPRIX UNITAIRE,,,False,02528436,Jamp,Cephalexin,Jamp,Cephalexin,,16
,,FORMATPRIX UNITAIRE,,,False,02528436,Jamp,Cephalexin,SuspensionJamp 150,ml,21.93,16
,,FORMATPRIX UNITAIRE,,,False,02469170,,Lupin-Cephalexin,100,ml,,16
,,FORMATPRIX UNITAIRE,,,False,00342106,Teva-Lexin 125,Teva,100,ml,,16
,,FORMATPRIX UNITAIRE,,,False,00342106,Teva-Lexin 125,Teva,250 mg/5 mL PPB Susp.,Orale,,16
,,FORMATPRIX UNITAIRE,,,False,02497751,,Auro-Cephalexin,100,ml,,16
,,FORMATPRIX UNITAIRE,,,False,02528444,Jamp,Cephalexin,Jamp,Cephalexin,,16
,,FORMATPRIX UNITAIRE,,,False,02528444,Jamp,Cephalexin,SuspensionJamp 100,ml,,16
,,FORMATPRIX UNITAIRE,,,False,02469189,,Lupin-Cephalexin,100,ml,,16
,,FORMATPRIX UNITAIRE,,,False,00342092,Teva-Lexin 250,Teva,100,ml,,16
,,CÉFOXITINE SODIQUE   X,,,False,00342092,Teva-Lexin 250,Teva,1 g Pd.,Inj.,,16
,,CÉFOXITINE SODIQUE   X,,,False,02128187,Cefoxitine Teva,Can,1,10.60,10.60,16
,,CÉFOXITINE SODIQUE   X,,,False,02128187,Cefoxitine Teva,Can,2 g Pd.,Inj.,,16
,,CÉFOXITINE SODIQUE   X,,,False,02128195,"Cefoxitine Teva Can 1 21,25CODE MARQUE DE",COMMERCE,FORMATCOÛT,DU,,16
,,ERTAPÉNEM SODIQUE   X,,,False,02128195,"Cefoxitine Teva Can 1 21,25CODE MARQUE DE",COMMERCE,1 g PPB Pd.,Inj.,,17
,,ERTAPÉNEM SODIQUE   X,,,False,02492148,Ertapénem pour injection,AuroPharma,10,464.39,464.39,17
,,ERTAPÉNEM SODIQUE   X,,,False,02511150,Ertapénem pour injection Dr,Reddy's,10,464.39,464.39,17
,,ERTAPÉNEM SODIQUE   X,,,False,02496127,Ertapénem pour injection,Fresenius,10,464.39,464.39,17
,,ERTAPÉNEM SODIQUE   X,,,False,02490773,Ertapénem pour injection,Juno,10,464.39,464.39,17
,,ERTAPÉNEM SODIQUE   X,,,False,02247437,Invanz,Merck,10,464.39,464.39,17
,,ERTAPÉNEM SODIQUE   X,,,False,02247437,Invanz,Merck,IMIPÉNEM/ CILASTATINE SODIQUE,X,,17
,,ERTAPÉNEM SODIQUE   X,,,False,02247437,Invanz,Merck,500 mg -500 mg Pd. Inj.,I.V.,,17
,,ERTAPÉNEM SODIQUE   X,,,False,02351706,Taro-Imipenem-Cilastatin Sun Pharma,30,"658,20",21.9400,21.9400,17
,,MEROPENEM   X,,,False,02351706,Taro-Imipenem-Cilastatin Sun Pharma,30,1 g PPB Pd.,Inj.,,17
,,MEROPENEM   X,,,False,02378795,Meropenem,Sandoz,10,184.45,184.45,17
,,MEROPENEM   X,,,False,02462893,Meropenem pour Injection,AuroPharma,10,184.45,184.45,17
,,MEROPENEM   X,,,False,02493349,Meropenem pour Injection,Sterimax,10,184.45,184.45,17
,,MEROPENEM   X,,,False,02536374,Méropénem pour,injection,Jamp,1,1,17
,,MEROPENEM   X,,,False,02415224,,02415224,pour,injection.,,17
,,MEROPENEM   X,,,False,02421526,Taro-Meropenem Sun,Pharma,10,184.45,184.45,17
,,MEROPENEM   X,,,False,02421526,Taro-Meropenem Sun,Pharma,500 mg PPB Pd.,Inj.,,17
,,MEROPENEM   X,,,False,02378787,Meropenem,Sandoz,10,92.22,92.22,17
,,MEROPENEM   X,,,False,02462885,Meropenem pour Injection,AuroPharma,10,92.22,92.22,17
,,MEROPENEM   X,,,False,02493330,Méropénem pour injection,Sterimax,10,92.22,92.22,17
,,MEROPENEM   X,,,False,02415216,,02415216,pour,injection.,,17
,,MEROPENEM   X,,,False,02421518,Taro-Meropenem Sun,Pharma,10,92.22,92.22,17
,,MEROPENEM   X,,,False,02421518,Taro-Meropenem Sun,Pharma,"9,2223CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,17
,,AZITHROMYCINE   X,,250 mg    Co.,True,02480700,,AG-Azithromycin,Angita,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02415542,Apo-Azithromycin,Z,Apotex,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02477610,Azithromycin,Altamed,6,5.65,5.65,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02330881,,Azithromycin,Sanis,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02442434,,Azithromycin,Sivem,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02545969,DAC Azithromycin Dac,Pharma,6,5.65,5.65,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02452308,,Jamp-Azithromycin,Jamp,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02452324,,Mar-Azithromycin,Marcan,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02502038,M-Azithromycin,Mantra,Ph.,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02267845,,Novo-Azithromycin,Novopharm,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02479680,,NRA-Azithromycin,Nora,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02261634,,pms-Azithromycin,Phmscience,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02310600,Pro-Azithromycine Pro,Doc,6,5.65,5.65,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02275309,,Riva-Azithromycin,Riva,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02265826,Sandoz,Azithromycin,Sandoz,6,6,18
,,AZITHROMYCINE   X,,250 mg    Co.,True,02212021,,Zithromax,Pfizer,6,6,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02261642,pms-Azithromycin Phmscience,30,"319,96",10.6652,10.6652,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02261642,pms-Azithromycin Phmscience,30,500 mg PPB Pd. Perf.,I.V.,,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02465604,Azithromycine pour injection,AuroPharma,10,145.60,145.60,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02523825,Azithromycine pour injection,Jamp,10,145.60,145.60,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02483890,Azithromycine pour injection,Sterimax,10,145.60,145.60,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02239952,Zithromax I.V. Pfizer,10,"206,44",20.6440,20.6440,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02239952,Zithromax I.V. Pfizer,10,100 mg/5 mL PPB Susp.,Orale,,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02482363,Auro-Azithromycin AuroPharma,15,ml,5.59,5.59,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02332388,Sandoz Azithromycin Sandoz 15,ml,"8,82",0.5880,0.5880,18
,,AZITHROMYCINE   X,,600 mg Co.,False,02223716,"Zithromax Pfizer 15 ml 16,17 1,0780CODE MARQUE DE",COMMERCE,FORMATCOÛT,DU,,18
,,FORMATPRIX UNITAIRE,,,False,02223716,"Zithromax Pfizer 15 ml 16,17 1,0780CODE MARQUE DE",COMMERCE,200 mg/5 mL PPB Susp.,Orale,,19
,,FORMATPRIX UNITAIRE,,,False,02482371,,Auro-Azithromycin,15,ml,,19
,,FORMATPRIX UNITAIRE,,,False,02332396,Sandoz,Azithromycin,15,ml,,19
,,FORMATPRIX UNITAIRE,,,False,02223724,,Zithromax,15,ml,,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02274752,Apo-Clarithromycin,Apotex,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02126710,Biaxin Bid BGP Pharma,100,"326,62",3.2662,3.2662,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02324490,Clarithromycin Pro,Doc,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02466139,Clarithromycin,Sanis,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02442485,Clarithromycin,Sivem,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02471396,M-Clarithromycin Mantra,Ph.,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02247574,*,pms-Clarithromycin,Phmscience,100,100,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02266547,Sandoz Clarithromycin,Sandoz,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02361434,Taro-Clarithromycin,Sun,Pharma,100,100,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02248805,Teva Clarithromycin Teva,Can,100,83.18,83.18,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02248805,Teva Clarithromycin Teva,Can,250 mg / 500 mg L.A. PPB Co. ou Co.,L.A.,,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02403196,ACT Clarithromycin XL Teva,Can,60,49.46,49.46,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02274744,Apo-Clarithromycin,Apotex,100,41.22,41.22,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02413345,Apo-Clarithromycin XL,Apotex,100,82.43,82.43,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,01984853,Biaxin Bid BGP Pharma,100,"161,27",1.6127,1.6127,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02324482,Clarithromycin Pro,Doc,100,41.22,41.22,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02466120,Clarithromycin,Sanis,100,41.22,41.22,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02442469,Clarithromycin,Sivem,100,41.22,41.22,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02471388,M-Clarithromycin Mantra,Ph.,100,41.22,41.22,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02247573,*,pms-Clarithromycin,Phmscience,100,100,19
,,CLARITHROMYCINE   X,,500 mg    Co.,True,02266539,Sandoz Clarithromycin,Sandoz,100,41.22,41.22,19
