DIN,Product,Manufacturer,Format,Cost,UnitPrice
02330881,Azithromycin,Sanis,6,5.65,0.9410
02442434,Azithromycin,Sivem,6,5.65,0.9410
02545969,DAC,Azithromycin Dac Pharma,6,5.65,0.9410
02452308,Jamp-Azithromycin,Jamp,6,5.65,0.9410
02452324,Mar-Azithromycin,Marcan,6,5.65,0.9410
02502038,M-Azithromycin,Mantra Ph.,6,5.65,0.9410
02267845,Novo-Azithromycin,Novopharm,6,5.65,0.9410
02479680,NRA-Azithromycin,Nora,6,5.65,0.9410
02261634,pms-Azithromycin,Phmscience,6,5.65,0.9410
02310600,Pro-Azithromycine,Pro Doc,6,5.65,0.9410
02275309,Riva-Azithromycin,Riva,6,5.65,0.9410
02265826,Sandoz,Azithromycin Sandoz,6,5.65,0.9410
02212021,Zithromax,Pfizer,6,29.28,4.8803
02261642,pms-Azithromycin,Phmscience,30,319.96,10.6652
02465604,Azithromycine,pour injection AuroPharma,10,145.60,14.5600
02523825,Azithromycine,pour injection Jamp,10,145.60,14.5600
02483890,Azithromycine,pour injection Sterimax,10,145.60,14.5600
02239952,Zithromax,I.V. Pfizer,10,206.44,20.6440
02274752,Apo-Clarithromycin,Apotex,100,83.18,0.8318
02126710,Biaxin,Bid BGP Pharma,100,326.62,3.2662
02324490,Clarithromycin,Pro Doc,100,83.18,0.8318
02466139,Clarithromycin,Sanis,100,83.18,0.8318
02442485,Clarithromycin,Sivem,100,83.18,0.8318
02471396,M-Clarithromycin,Mantra Ph.,100,83.18,0.8318
02266547,Sandoz,Clarithromycin Sandoz,100,83.18,0.8318
02361434,Taro-Clarithromycin,Sun Pharma,100,83.18,0.8318
02248805,Teva,Clarithromycin Teva Can,100,83.18,0.8318
02403196,ACT Clarithromycin,XL Teva Can,60,49.46,0.8243
02274744,Apo-Clarithromycin,Apotex,100,41.22,0.4122
02413345,Apo-Clarithromycin,XL Apotex,100,82.43,0.8243
01984853,Biaxin,Bid BGP Pharma,100,161.27,1.6127
02324482,Clarithromycin,Pro Doc,100,41.22,0.4122
02466120,Clarithromycin,Sanis,100,41.22,0.4122
02442469,Clarithromycin,Sivem,100,41.22,0.4122
02471388,M-Clarithromycin,Mantra Ph.,100,41.22,0.4122
02266539,Sandoz,Clarithromycin Sandoz,100,41.22,0.4122
02361426,Taro-Clarithromycin,Sun Pharma,100,41.22,0.4122
02248804,Teva,Clarithromycin Teva Can,100,41.22,0.4122
02525348,Amoxicillin,Capsules Sanis,100,6.72,0.0672
00628115,Apo-Amoxi,Apotex,100,6.72,0.0672
02388073,Auro-Amoxicillin,AuroPharma,100,6.72,0.0672
02433060,Jamp-Amoxicillin,Jamp,100,6.72,0.0672
00406724,Novamoxin,Teva Can,100,6.72,0.0672
02532042,PRZ-Amoxicillin,Pharmaris,100,6.72,0.0672
02477726,AG-Amoxicillin,Angita,100,13.08,0.1308
02401509,Amoxicillin,Sivem,100,13.08,0.1308
02525356,Amoxicillin,Capsules Sanis,500,65.40,0.1308
00628123,Apo-Amoxi,Apotex,100,13.08,0.1308
02388081,Auro-Amoxicillin,AuroPharma,100,13.08,0.1308
02433079,Jamp-Amoxicillin,Jamp,100,13.08,0.1308
00406716,Novamoxin,Teva Can,100,13.08,0.1308
00644315,Pro-Amox-500,Pro Doc,500,65.40,0.1308
02532050,PRZ-Amoxicillin,Pharmaris,500,65.40,0.1308
02036355,Teva-Amoxicillin,Teva Can,100,61.38,0.6138
02243350,Apo-Amoxi,Clav Apotex,100,24.67,0.2467
02471671,Auro-Amoxiclav,AuroPharma,100,24.67,0.2467
02508249,Jamp,Amoxi Clav Jamp,100,24.67,0.2467
02510634,AG-Amoxi,Clav Angita,100,37.78,0.3778
02536021,Amoxicillin/Clav,Sanis,100,37.78,0.3778
02243351,Apo-Amoxi,Clav Apotex,100,37.78,0.3778
02471698,Auro-Amoxiclav,AuroPharma,100,37.78,0.3778
01916858,Clavulin-500,F GSK,20,27.56,1.3780
02508257,Jamp,Amoxi Clav Jamp,100,37.78,0.3778
02536498,Pro-Amoxi,Clav Pro Doc,100,37.78,0.3778
02482576,Sandoz,Amoxi-Clav Sandoz,100,37.78,0.3778
02510642,AG-Amoxi,Clav Angita,100,55.50,0.5550
02536048,Amoxicillin/Clav,Sanis,100,55.50,0.5550
02245623,Apo-Amoxi,Clav Apotex,100,55.50,0.5550
02471701,Auro-Amoxiclav,AuroPharma,100,55.50,0.5550
02238829,Clavulin-875,GSK,20,41.34,2.0670
02508265,Jamp,Amoxi Clav Jamp,100,55.50,0.5550
02536501,Pro-Amoxi,Clav Pro Doc,100,55.50,0.5550
02482584,Sandoz,Amoxi-Clav Sandoz,100,55.50,0.5550
00020877,Teva-Ampicillin,Teva Can,100,30.71,0.3071
00020885,Teva-Ampicillin,Teva Can,100,59.55,0.5955
02227002,Ampicilline,pour injection Fresenius,1,3.60,3.6000
01933345,Ampicilline,Sodique Novopharm,1,3.60,3.6000
02462338,Ampicilline,sodique pour AuroPharma,10,36.00,3.6000
02226995,Ampicillin,pour Injection Fresenius,1,7.20,7.2000
01933353,Ampicilline,Sodique Teva Can,1,7.20,7.2000
02462346,Ampicilline,sodique pour AuroPharma,10,72.00,7.2000
02227029,Ampicilline,pour injection Fresenius,1,2.05,2.0500
00872644,Ampicilline,Sodique Novopharm,1,2.05,2.0500
02462303,Ampicilline,sodique pour AuroPharma,10,20.50,2.0500
02227010,Ampicilline,pour injection Fresenius,1,2.15,2.1500
00872652,Ampicilline,Sodique Novopharm,1,2.15,2.1500
02462311,Ampicilline,sodique pour AuroPharma,10,21.50,2.1500
02510731,JAMP,Cloxacillin Jamp,100,21.41,0.2141
00337765,Teva-Cloxacillin,Teva Can,100,21.41,0.2141
02510758,JAMP,Cloxacillin Jamp,100,40.45,0.4045
00337773,Teva-Cloxacillin,Teva Can,100,40.45,0.4045
02367424,Cloxacillin,Sterimax,10,318.80,31.8800
02400081,Cloxacilline,pour injection Sterimax,1,36.55,36.5500
02291924,Bicillin,L-A Pfizer,10,406.96,40.6960
00642215,Pen-VK,AA Pharma,100,18.73,0.1873
02362619,Pipéracilline,et Tazobactam Sterimax,10,41.70,4.1700
02308444,Pipéracilline,et Tazobactam Apotex,1,4.17,4.1700
02402068,Pipéracilline,et Tazobactam AuroPharma,10,41.70,4.1700
02299623,Pipéracilline,sodique/ Sandoz,1,4.17,4.1700
02370158,Piperacilline/Tazobactam,Teva Can,10,41.70,4.1700
02401312,Pipéracilline-Tazobactam,Hikma,10,41.70,4.1700
02362627,Pipéracilline,et Tazobactam Sterimax,10,62.59,6.2590
02308452,Pipéracilline,et Tazobactam Apotex,1,6.26,6.2600
02402076,Pipéracilline,et Tazobactam AuroPharma,10,62.59,6.2590
02299631,Piperacilline,sodique/ Sandoz,1,6.26,6.2600
02370166,Piperacilline/Tazobactam,Teva Can,10,62.59,6.2590
02401320,Pipéracilline-Tazobactam,Hikma,10,62.59,6.2590
02420430,Jamp-PIP/TAZ,Jamp,10,83.46,8.3458
02362635,Pipéracilline,et Tazobactam Sterimax,10,83.46,8.3458
02308460,Pipéracilline,et Tazobactam Apotex,1,8.35,8.3500
02402084,Pipéracilline,et Tazobactam AuroPharma,10,83.46,8.3458
02299658,Piperacilline,sodique/ Sandoz,1,8.35,8.3500
02370174,Piperacilline/Tazobactam,Teva Can,10,83.46,8.3458
02401339,Pipéracilline-Tazobactam,Hikma,10,83.46,8.3458
02377748,Pipéracilline,et Tazobactam Sterimax,1,36.33,36.3300
02330547,Pipéracilline,sodique/ Sandoz,1,36.33,36.3300
02521539,Pipéracilline,et Tazobactam Sandoz,1,108.99,108.9900
02439131,Pipéracilline,et Tazobactam Sterimax,1,108.99,108.9900
02247339,ACT,Ciprofloxacin Teva Can,100,44.54,0.4454
02381907,Auro-Ciprofloxacin,AuroPharma,100,44.54,0.4454
02353318,Ciprofloxacin,Sanis,100,44.54,0.4454
02386119,Ciprofloxacin,Sivem,100,44.54,0.4454
02380358,Jamp-Ciprofloxacin,Jamp,100,44.54,0.4454
02379686,Mar-Ciprofloxacin,Marcan,100,44.54,0.4454
02317427,Mint-Ciprofloxacine,Mint,100,44.54,0.4454
02248437,pms-Ciprofloxacin,Phmscience,100,44.54,0.4454
02317796,Pro-Ciprofloxacin,Pro Doc,100,44.54,0.4454
02248756,Sandoz,Ciprofloxacin Sandoz,100,44.54,0.4454
02303728,Taro-Ciproflox,Sun Pharma,100,44.54,0.4454
02247340,ACT,Ciprofloxacin Teva Can,100,50.25,0.5025
02476592,AG-Ciprofloxacin,Angita,100,50.25,0.5025
02381923,Auro-Ciprofloxacin,AuroPharma,100,50.25,0.5025
02444887,Bio-Ciprofloxacin,Biomed,100,50.25,0.5025
02353326,Ciprofloxacin,Sanis,100,50.25,0.5025
02386127,Ciprofloxacin,Sivem,100,50.25,0.5025
02547147,DAC,Ciprofloxacin Dac Pharma,100,50.25,0.5025
02380366,Jamp-Ciprofloxacin,Jamp,100,50.25,0.5025
02379694,Mar-Ciprofloxacin,Marcan,100,50.25,0.5025
02423561,Mint-Ciproflox,Mint,100,50.25,0.5025
02317435,Mint-Ciprofloxacine,Mint,100,50.25,0.5025
02492008,NRA-Ciprofloxacin,Nora,100,50.25,0.5025
02248438,pms-Ciprofloxacin,Phmscience,100,50.25,0.5025
02317818,Pro-Ciprofloxacin,Pro Doc,100,50.25,0.5025
02251248,Riva-Ciprofloxacin,Riva,100,50.25,0.5025
02248757,Sandoz,Ciprofloxacin Sandoz,100,50.25,0.5025
02303736,Taro-Ciproflox,Sun Pharma,100,50.25,0.5025
02247341,ACT,Ciprofloxacin Teva Can,50,46.01,0.9201
02380374,Jamp-Ciprofloxacin,Jamp,50,46.01,0.9201
02379708,Mar-Ciprofloxacin,Marcan,50,46.01,0.9201
02423588,Mint-Ciproflox,Mint,50,46.01,0.9201
02317443,Mint-Ciprofloxacine,Mint,100,92.01,0.9201
02248439,pms-Ciprofloxacin,Phmscience,100,92.01,0.9201
02248758,Sandoz,Ciprofloxacin Sandoz,50,46.01,0.9201
02303744,Taro-Ciproflox,Sun Pharma,100,92.01,0.9201
02416433,pms-Ciprofloxacin,XL Phmscience,100,173.77,1.7377
02315424,ACT,Levofloxacin Teva Can,50,60.19,1.2038
02284707,Apo-Levofloxacin,Apotex,50,60.19,1.2038
02508443,JAMP,Levofloxacin Jamp,50,60.19,1.2038
02505797,Mint-Levofloxacin,Mint,100,120.38,1.2038
02492725,Riva-Levofloxacin,Riva,100,120.38,1.2038
02298635,Sandoz,Levofloxacin Sandoz,50,60.19,1.2038
02315432,ACT,Levofloxacin Teva Can,100,137.18,1.3718
02284715,Apo-Levofloxacin,Apotex,50,68.59,1.3718
02508451,JAMP,Levofloxacin Jamp,100,137.18,1.3718
02415879,Levofloxacin,Pro Doc,100,137.18,1.3718
02505819,Mint-Levofloxacin,Mint,100,137.18,1.3718
02492733,Riva-Levofloxacin,Riva,100,137.18,1.3718
02298643,Sandoz,Levofloxacin Sandoz,100,137.18,1.3718
02315440,ACT,Levofloxacin Teva Can,50,133.02,2.6604
02325942,Apo-Levofloxacin,Apotex,30,79.81,2.6604
02508478,JAMP,Levofloxacin Jamp,50,133.02,2.6604
02505800,Mint-Levofloxacin,Mint,100,266.04,2.6604
02492741,Riva-Levofloxacin,Riva,100,266.04,2.6604
02298651,Sandoz,Levofloxacin Sandoz,50,133.02,2.6604
02478137,AG-Moxifloxacin,Angita,30,45.69,1.5230
02404923,Apo-Moxifloxacin,Apotex,30,45.69,1.5230
02432242,Auro-Moxifloxacin,AuroPharma,30,45.69,1.5230
02443929,Jamp-Moxifloxacin,Jamp,30,45.69,1.5230
02447061,Jamp-Moxifloxacin,Tablets Jamp,100,152.30,1.5230
02447053,Mar-Moxifloxacin,Marcan,100,152.30,1.5230
02472791,M-Moxifloxacin,Mantra Ph.,30,45.69,1.5230
02462974,Moxifloxacin,Pro Doc,30,45.69,1.5230
02520710,Moxifloxacin,Sanis,30,45.69,1.5230
02383381,Sandoz,Moxifloxacin Sandoz,30,45.69,1.5230
02375702,Teva-Moxifloxacin,Teva Can,30,45.69,1.5230
02229524,Norflox,AA Pharma,100,185.86,1.8586
00598461,pms-Sulfasalazine,Phmscience,500,126.65,0.2533
00598488,pms-Sulfasalazine-E.C.,Phmscience,100,38.63,0.3863
00445266,Sulfatrim-PED,AA Pharma,100,9.43,0.0943
00445274,Sulfatrim,AA Pharma,100,21.84,0.2184
00510645,Novo-Trimel,D.S. Novopharm,100,12.21,0.1221
00445282,Sulfatrim-DS,AA Pharma,500,61.05,0.1221
00740713,Apo-Doxy,Apotex,100,45.60,0.4560
00874256,Apo-Doxy-Tabs,Apotex,100,45.60,0.4560
00860751,Doxycin,(co.) Riva,100,45.60,0.4560
02351234,Doxycycline,(Caps.) Sanis,100,45.60,0.4560
02351242,Doxycycline,(Co.) Sanis,100,45.60,0.4560
00887064,Doxytab,Pro Doc,100,45.60,0.4560
02528940,Jamp,Doxycycline Capsules Jamp,100,45.60,0.4560
02543478,M-Doxycycline,Mantra Ph.,100,45.60,0.4560
02536250,PRZ-Doxycycline,Pharmaris,100,45.60,0.4560
00725250,Teva-Doxycycline,Teva Can,100,45.60,0.4560
02158574,Teva-Doxycycline,(Co.) Teva Can,100,45.60,0.4560
02084090,Minocycline,AA Pharma,100,56.16,0.5616
02084104,Minocycline,AA Pharma,100,108.36,1.0836
00580929,Tetracycline,AA Pharma,100,6.70,0.0670
02485109,AG-Clindamycin,Angita,100,22.17,0.2217
02436906,Auro-Clindamycin,AuroPharma,100,22.17,0.2217
02400529,Clindamycin,Sanis,100,22.17,0.2217
02483734,Jamp-Clindamycin,Jamp,100,22.17,0.2217
02479923,M-Clindamycin,Mantra Ph.,100,22.17,0.2217
02462656,Med-Clindamycin,GMP,100,22.17,0.2217
02493748,NRA-Clindamycin,Nora,100,22.17,0.2217
02468476,Riva-Clindamycin,Riva,100,22.17,0.2217
02241709,Teva-Clindamycin,Teva Can,100,22.17,0.2217
02485117,AG-Clindamycin,Angita,100,44.34,0.4434
02436914,Auro-Clindamycin,AuroPharma,100,44.34,0.4434
02400537,Clindamycin,Sanis,100,44.34,0.4434
02182866,Dalacin,C Pfizer,100,172.71,1.7271
02483742,Jamp-Clindamycin,Jamp,100,44.34,0.4434
02479931,M-Clindamycin,Mantra Ph.,100,44.34,0.4434
02462664,Med-Clindamycin,GMP,100,44.34,0.4434
02493756,NRA-Clindamycin,Nora,100,44.34,0.4434
02468484,Riva-Clindamycin,Riva,100,44.34,0.4434
02241710,Teva-Clindamycin,Teva Can,100,44.34,0.4434
02244849,Colistimethate,Sterimax,1,13.56,13.5600
02546639,Colistiméthate,pour injection Marcan,1,13.56,13.5600
02403544,Colistiméthate,pour Fresenius,1,13.56,13.5600
00476420,Coly-Mycin M,Parentéral Search Phm,1,30.42,30.4200
02407744,Jamp-Vancomycin,Jamp,20,103.60,5.1800
02406497,pms-Vancomycin,Phmscience,20,103.60,5.1800
00800430,Vancocin,Search Phm,20,103.60,5.1800
02407752,Jamp-Vancomycin,Jamp,20,207.20,10.3600
02406500,pms-Vancomycin,Phmscience,20,207.20,10.3600
00788716,Vancocin,Search Phm,20,207.20,10.3600
02139383,Chlorhydrate,de Fresenius,10,187.81,18.7810
02543982,Chlorhydrate,de Hikma,10,187.81,18.7810
02502607,Chlorhydrate,de Jamp,10,187.81,18.7810
02406543,Chlorhydrate,de Marcan,10,187.81,18.7810
02394634,Chlorhydrate,de Sandoz,10,187.81,18.7810
02420309,Jamp-Vancomycin,Jamp,10,187.81,18.7810
02342863,Vancomycin,pour injection Sterimax,10,187.81,18.7810
02139243,Chlorhydrate,de Fresenius,1,102.45,102.4500
02406551,Chlorhydrate,de Marcan,1,102.45,102.4500
02405822,Chlorhydrate,de Sterimax,1,102.45,102.4500
02420317,Jamp-Vancomycin,Jamp,1,102.45,102.4500
02394642,Vancomycine,Sandoz,1,102.45,102.4500
02241807,Chlorhydrate,de Fresenius,1,589.90,589.9000
02420325,Jamp-Vancomycin,Jamp,1,589.90,589.9000
02405830,Vancomycin,pour injection Sterimax,1,589.90,589.9000
02139375,Chlorhydrate,de Fresenius,10,98.67,9.8669
02543974,Chlorhydrate,de Hikma,10,98.67,9.8669
02502593,Chlorhydrate,de Jamp,10,98.67,9.8669
02406535,Chlorhydrate,de Marcan,10,98.67,9.8670
02394626,Chlorhydrate,de Sandoz,10,98.67,9.8669
02342855,Vancomycin,pour injection Sterimax,10,98.67,9.8669
02254727,ACT,Terbinafine Teva Can,30,23.14,0.7714
02239893,Apo-Terbinafine,Apotex,30,23.14,0.7714
02320134,Auro-Terbinafine,AuroPharma,28,21.60,0.7714
02357070,Jamp-Terbinafine,Jamp,30,23.14,0.7714
02031116,Lamisil,Novartis,28,102.27,3.6525
02240346,Novo-Terbinafine,Novopharm,28,21.60,0.7714
02294273,pms-Terbinafine,Phmscience,30,23.14,0.7714
02262924,Riva-Terbinafine,Riva,30,23.14,0.7714
02353121,Terbinafine,Sanis,30,23.14,0.7714
02385279,Terbinafine,Sivem,30,23.14,0.7714
02242735,Terbinafine-250,Pro Doc,30,23.14,0.7714
02241895,Apo-Fluconazole-150,Apotex,1,3.64,3.6400
02462168,Bio-Fluconazole,Biomed,1,3.64,3.6400
02521229,Fluconazole-150,Sanis,1,3.64,3.6400
02547864,JAMP,Fluconazole 150 Jamp,1,3.64,3.6400
02432471,Jamp-Fluconazole,Jamp,1,3.64,3.6400
02428792,Mar-Fluconazole-150,Marcan,1,3.64,3.6400
02433702,Priva-Fluconazole,Nora,1,3.64,3.6400
02255510,Riva-Fluconazole,Riva,1,3.64,3.6400
02281260,ACT,Fluconazole Teva Can,50,64.52,1.2904
02237370,Apo-Fluconazole,Apotex,50,64.52,1.2904
02517396,Fluconazole,Sanis,50,64.52,1.2904
02534886,Fluconazole,Sivem,50,64.52,1.2904
02245292,Mylan-Fluconazole,Mylan,50,64.52,1.2904
02236978,Novo-Fluconazole,Novopharm,100,129.04,1.2904
02245643,pms-Fluconazole,Phmscience,50,64.52,1.2904
02281279,ACT,Fluconazole Teva Can,50,114.45,2.2890
02237371,Apo-Fluconazole,Apotex,50,114.45,2.2890
02517418,Fluconazole,Sanis,50,114.45,2.2890
02534894,Fluconazole,Sivem,50,114.45,2.2890
02245293,Mylan-Fluconazole,Mylan,50,114.45,2.2890
02236979,Novo-Fluconazole,Novopharm,50,114.45,2.2890
02245644,pms-Fluconazole,Phmscience,50,114.45,2.2890
02310686,Pro-Fluconazole,Pro Doc,50,114.45,2.2890
02462559,Mint-Itraconazole,Mint,30,112.27,3.7423
02047454,Sporanox,Janss. Inc,28,106.21,3.7932
02484315,Jamp,Itraconazole Jamp,150,61.67,0.4111
02237235,Apo-Ketoconazole,Apotex,100,93.93,0.9393
02231061,Teva-Ketoconazole,Teva Can,100,93.93,0.9393
00247960,Etibi,Bausch H.,100,11.00,0.1100
00247979,Etibi,Bausch H.,100,30.00,0.3000
00577790,pdp-Isoniazid,Pendopharm,100,103.72,1.0372
00577804,pdp-Isoniazid,Pendopharm,100,90.76,0.9076
00618810,PDP-Pyrazinamide,Pendopharm,100,156.95,1.5695
02063786,Mycobutin,Pfizer,100,493.69,4.9369
00393444,Rofact,150 Bausch H.,100,60.38,0.6038
00343617,Rofact,300 Bausch H.,100,95.03,0.9503
02481227,Mar-Dapsone,Marcan,100,119.52,1.1952
01990403,PDP-Amantadine,Pendopharm,100,52.52,0.5252
02396769,Apo-Abacavir,Apotex,60,208.97,3.4828
02480956,Mint-Abacavir,Mint,60,208.97,3.4828
02399539,Apo-Abacavir-Lamivudine,Apotex,30,179.62,5.9873
02454513,Auro-Abacavir/Lamivudine,AuroPharma,30,179.62,5.9873
02497654,Jamp,Abacavir/Lamivudine Jamp,30,179.62,5.9873
02269341,Kivexa,ViiV,30,661.99,22.0663
02450682,Mylan-Abacavir/Lamivudine,Mylan,30,179.62,5.9873
02458381,pms-Abacavir-Lamivudine,Phmscience,30,179.62,5.9873
02416662,Teva-Abacavir/Lamivudine,Teva Can,30,179.62,5.9873
02513102,Jamp,Atazanavir Jamp,60,170.32,2.8386
02456877,Mylan-Atazanavir,Mylan,60,170.32,2.8386
02443791,Teva-Atazanavir,Teva Can,60,170.32,2.8386
02513110,Jamp,Atazanavir Jamp,60,171.31,2.8552
02456885,Mylan-Atazanavir,Mylan,60,171.31,2.8552
02248611,Reyataz,B.M.S.,60,651.87,10.8645
02443813,Teva-Atazanavir,Teva Can,60,171.31,2.8552
02513129,Jamp,Atazanavir Jamp,30,168.25,5.6083
02456893,Mylan-Atazanavir,Mylan,30,168.25,5.6083
02294176,Reyataz,B.M.S.,30,648.01,21.6003
02443821,Teva-Atazanavir,Teva Can,60,336.50,5.6083
02478579,Biktarvy,Gilead,30,1176.68,39.2227
02547465,Apretude,ViiV,30,795.47,26.5157
02497204,Vocabria,ViiV,30,795.47,26.5157
02547473,Apretude,ViiV,1,1710.00,1710.0000
02487268,Apo-Darunavir,Apotex,30,174.89,5.8295
02486148,Auro-Darunavir,AuroPharma,30,174.89,5.8295
02521350,Darunavir,Jamp,30,174.89,5.8295
02522292,M-Darunavir,Mantra Ph.,30,174.89,5.8295
02414945,Tivicay,ViiV,30,555.00,18.5000
02430932,Triumeq,ViiV,30,1216.99,40.5663
02491753,Dovato,ViiV,30,913.20,30.4400
02475774,Juluca,ViiV,30,1046.10,34.8700
