Registration No / Notification No,Product Name,Holder
MAL04125479AZ,GIONA EASYHALER 200 MCG/DOSE INHALATION POWDER,ORION PHARMA (MY) SDN. BHD.
MAL04125480AZ,GIONA EASYHALER 100 MCG/DOSE INHALATION POWDER,ORION PHARMA (MY) SDN. BHD.
MAL04125482AZ,YSP Ibuprofen Suspension 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125483XZ,Aqua Cream,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04125484AZ,Foban Hydro Cream,HOE PHARMACEUTICALS SDN. BHD.
MAL04125486AZ,PROVINACE TABLET 4 MG,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL04125490ACRZ,Zyprexa Zydis 5mg Orodispersible Tablet,ZUELLIG PHARMA SDN. BHD.
MAL04125491ACRZ,Zyprexa Zydis 10mg Orodispersible Tablet,ZUELLIG PHARMA SDN. BHD.
MAL04125494X,GNC Lecithin 1200 Plus softgel Capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04125495X,GNC Lecithin 1200mg Softgel Capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04125501X,GNC Natural E 400 IU Softgel,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04125502TC,CeleBeaute Spirulina 200mg Chewable Tablet,BIO-SCIENCE MARKETING SDN. BHD.
MAL04125504AZ,Zolterol SR Tablet 100mg,Duopharma Marketing Sdn. Bhd.
MAL04125505AZ,Zolterol SR Tablet 75mg,Duopharma Marketing Sdn. Bhd.
MAL04125514T,Raw Tienchi Powder,HAI-O MEDICINE SDN. BHD.
MAL04125549TC,SJ Joflex Capsule 300mg,J.D. ACADEMY
MAL04125559T,Long Xue Jie Capsule 430mg,GREEN PLUS NATURAL PLANT PRODUCTS
MAL04125579TC,"Wellrix""s Bi Min Yan Bao Capsule",SMART WELLMIN SDN BHD
MAL04125582T,Det-Cleansing Capsule,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL04125583T,live-well� OCCUSENTIAL� Capsule,PAHANG PHARMACY SDN. BHD.
MAL04125584T,M-Herbs Shu Re Qing Capsule,MULTI HERBS PHARMACEUTICAL (M) SDN BHD
MAL04125587T,Live-well� MENOFEM Capsule,PAHANG PHARMACY SDN. BHD.
MAL04125591T,MMKN C12 Capsule,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL04125593T,WHP Dong Chong Cao 500mg Capsule,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL04125600AZ,Vaxcel Heparin Sodium Injection 5000 iu/ml,KOTRA PHARMA (M) SDN. BHD.
MAL05012307AZ,Nudipin 10 (Nifedipine Tablet 10mg),MEDIDATA SDN. BHD.
MAL05012310AZ,IMDEX 60MG CR TABLET,Duopharma Marketing Sdn. Bhd.
MAL05012317AZ,AERIUS Syrup 0.5 mg/ ml,ORGANON MALAYSIA SDN. BHD.
MAL05012335T,"Firmo Capsule, kapsul, 500 mg",SERI MH UMMI SDN BHD
MAL05012344TC,Psyllium Plus Capsule 500mg,KIN BIO SDN. BHD.
MAL05012348TC,BIOFIZZ Maca 300mg Capsule,KIN BIO SDN. BHD.
MAL05012350T,Plus Danshen Tablet,ANHONG TRADING SDN. BHD.
MAL05012352T,Zuogui Tablet 300 mg,YANLING NATURAL HYGIENE SDN. BHD.
MAL05012356T,LAI YAO TING CHIN FONG POWDER (ORAL POWDER) 1G,HO POH ONN MEDICAL HALL (M) SDN. BHD.
MAL05012360T,Sanjin Yu Ye Tox-Ria Granules 12g,ANHONG TRADING SDN. BHD.
MAL05012361T,JIANG TONG CAPSULE,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL05012362T,E-PLUS VYTA SYRUP (ORANGE FLAVOUR),EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL05012364T,"E-PLUS COUGH SYRUP PLUS HONEY & BIRD""S NEST",EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL05012365TC,Hurix's Kinbeshu Capsule,JIN BIN CORPORATION SDN. BHD.
MAL05023177XZ,YSP Bisacodyl Suppositories 10 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05023180X,GNC COQ-10 30MG VEGETABLE CAPSULE,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL05023358TR,"NUTRILITE MILK THISTLE AND DANDELION PLUS, TABLET",AMWAY (MALAYSIA) SDN. BHD.
MAL05023369T,Sanjin Naomaitai Capsules 500mg,ANHONG TRADING SDN. BHD.
MAL05023370T,Tai Pak Po Sun (Oral Powder) 1g,HO POH ONN MEDICAL HALL (M) SDN. BHD.
MAL05023379T,PHARMANEX CHOLESTIN CAPSULE,NU SKIN (MALAYSIA) SDN. BHD.
MAL05023384TC,"Kapsul Asbab Anjaib 24 Plus, Capsule, 500 mg",SERI MH UMMI SDN BHD
MAL05023396X,Nutra-Life L-Carnitine Capsule,CAMBERT(M) SDN. BHD.
MAL05023414T,PANAX GINSENG CAPSULE,HERBAL LAND MANUFACTURING SDN BHD
MAL05023417T,THROAT MEDICATED POWDER,HERBAL LAND MANUFACTURING SDN BHD
MAL05032522AZ,Promedyl DM Linctus,Duopharma Marketing Sdn. Bhd.
MAL05032527XCR,Decostriol 0.25 mcg capsule,IMEKS PHARMA SDN. BHD.
MAL05032538ACZ,Carin Tablet 10mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05032541AZ,Trenlin SR Tablet 400mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05032545AZ,Carinox Capsule,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05032548ACRZ,XENICAL Capsule 120 mg,DKSH MALAYSIA SDN. BHD.
MAL05032549X,Poly C Tablet,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.
MAL05032550AZ,Ketovid Cream 2%,HOVID BERHAD
MAL05032554XC,Vicks Inhaler,PROCTER & GAMBLE (MALAYSIA ) SDN.BHD.
MAL05032570T,NCHK Cordyceps & Fritillaria Plus Cough Syrup 30ml,NCHK MEDICINE ENTERPRISE SDN BHD
MAL05032578T,Double Treasures Capsule 500mg,YI WANG HONEY GARDEN (M) SDN. BHD.
MAL05032605T,DXN Agaricus Blazei Murill 1g/g Powder,DXN PHARMACEUTICAL SDN. BHD.
MAL05032607T,DXN Agaricus Blazei Murill 200mg Tablet,DXN PHARMACEUTICAL SDN. BHD.
MAL05032621T,DXN TEA TREE 80mg/1g CREAM,DXN PHARMACEUTICAL SDN. BHD.
MAL05032625T,Millenium Ginkgo Biloba Plus Capsule 300 mg,F.A. HERBS SDN.BHD.
MAL05032641T,Noble Garden Beau Klenz Capsule,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL05032647T,WHP Wheatgrass Powder,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL05032648T,Goonao Capsule 500 mg,YI WANG HONEY GARDEN (M) SDN. BHD.
MAL05032663T,live-well™ LIVASENTIAL™ Capsule,PAHANG PHARMACY SDN. BHD.
MAL05032665T,E-PLUS OINTMENT NUTMEG COMPLEX,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL05032669T,EPIMEDIUM TONGKAT ALI CAPSULE,HERBAL LAND MANUFACTURING SDN BHD
MAL05032673T,Antidon Ling Capsule,MULTI HERBS PHARMACEUTICAL (M) SDN BHD
MAL05032677T,CordyMax Capsule 500mg,ACE HEALTH PRODUCTS SDN. BHD.
MAL05041840XZ,Panadol Children Suspension 120mg/5ml,Haleon Malaysia Sdn. Bhd.
MAL05041842X,AVM-Artrisa 500mg Capsule,AV MANUFACTURING SDN.BHD
MAL05041850ACZ,Erymin-400 Tablet,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL05041851TC,Bio Spektra Mas Aki Capsule 250mg,AK PHARMACY & NATUROPATHY CENTER
MAL05041852TC,DND N? 6 MAS KAL CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041853TC,DND N? 1 SPECTRA PLUS CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041854TC,Bio Spectra Glow Capsule 250mg,AK PHARMACY & NATUROPATHY CENTER
MAL05041855ACSZ,Salmax CR Tablet 4mg,Duopharma Marketing Sdn. Bhd.
MAL05041856TC,DND N� 3 T-QUIL CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041857TC,DND N? 12 RAPI CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041863TC,DND N? 11 SEMALU CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041865TC,Bio Spektra Angin Capsule 250mg,AK PHARMACY & NATUROPATHY CENTER
MAL05041866TC,DND N� 2 PAHIT CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041867TC,DND N? 8 NAFAS CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041873TC,DND NO 9 MIER CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041875TC,BIO SPEKTRA SEMA CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041876TC,DND NO 5 GINKGO PLUS CAPSULE,AK PHARMACY & NATUROPATHY CENTER
MAL05041880AZ,Aseptone Syrup 5mg/ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05041884TC,Cap Gunting Chai Teck Sang Siao Yee Ling Tan Powder,Chai Teck Sang Medical Hall Sdn. Bhd
MAL05041896T,"Wheatgrass Powder, sachet 2g",THE ORIGIN FOODS SDN. BHD.
MAL05041897T,"Wheatgras Plus, Tablet 600mg",THE ORIGIN FOODS SDN. BHD.
MAL05041910T,DXN Agaricus Blazei Murill 300mg Capsule,DXN PHARMACEUTICAL SDN. BHD.
MAL05041918T,LEMON PLUS U-PIN MEDICATED POWDER,U-PIN MEDIC TRADING SDN. BHD.
MAL05041919T,BIOFIZZ SAW PALMETTO PLUS CAPSULES 500MG,ACE HEALTH PRODUCTS SDN. BHD.
MAL05041922TC,Bioresis Cordyceps Sinensis 300mg Capsule,BIORESIS SDN. BHD.
MAL05041924T,Guarana Extract Capsule 500 mg,ORIENT LABORATORIES SDN. BHD.
MAL05041925T,Nn HEPA Milk Thistle Dandelion Plus Capsule,YANLING NATURAL HYGIENE SDN. BHD.
MAL05041935X,GNC CoQ-10 100 mg hardshell capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05041936AZ,Omesec Capsule 20mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL05041940AZ,MUCO-AID LIQUID,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL05041942X,GNC CO-Q10 50mg Softgel Capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05041943X,GNC DHA EPA Softgel Capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05041945AZ,Stavid Tablet,HOVID BERHAD
MAL05041947XZ,GNC Folic Acid 800 mcg,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05041949AZ,Tidact Capsule 300mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05041950AZ,Inox Capsule 100 mg,HOVID BERHAD
MAL05041957XC,ZEMAX SX Capsule,MEGA LIFESCIENCES SDN. BHD.
MAL05041959T,Phytovit Garlic Capsule,QD HERBS SDN. BHD.
MAL05041963T,"Nature""s Select Royal Jelly Capsule 380mg",YI WANG HONEY GARDEN (M) SDN. BHD.
MAL05041965TC,HLD Coriolus Versicolor Capsule 300mg,HLD MEDICAL INDUSTRIES SDN BHD
MAL05041966T,Phytogen Plus Capsule 300mg,HERBAL SCIENCE SDN. BHD.
MAL05041973TC,Proliverin B Capsule 400mg,TOP HERBALS (M) SDN BHD
MAL05041974TC,Tiens Dong Chong Cao Capsule,TIENS HEALTH DEVELOPMENT (MALAYSIA) SDN. BHD.
MAL05041978TC,HAN SECRETS Esenbo Capsule,TOP HERBALS (M) SDN BHD
MAL05041993T,Nn Pumpkin Seed Extract Tablet,PAHANG PHARMACY SDN. BHD.
MAL05041999T,U-PIN SALVIA PLUS MEDICATED POWDER,U-PIN MEDIC TRADING SDN. BHD.
MAL05042006T,Raw Tienchi Tablets,SEANG WAN TRADING CO SDN BHD
MAL05042008T,Shine Femwell Capsule,HERBAL SCIENCE SDN. BHD.
MAL05051050ACZ,Myleran Tablets 2mg,Aspen Medical Products Malaysia Sdn Bhd
MAL05051054AZ,Enoxin Tablet 500mg,Duopharma Marketing Sdn. Bhd.
MAL05051055XZ,GNC Vitamin C 1000 Tablet,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05051063AZ,Metazine Tablet 20mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05051065AZ,Dynaflex Tablet 275mg,DYNAPHARM (M) SDN. BHD.
MAL05051067TC,MyHerbs Capsule,TABIB CINA SAN MOON
MAL05051076AZ,Driminate Suppository 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05051079AZ,Diabetmin 850 mg Film coated Tablet,HOVID BERHAD
MAL05051080X,Visionex Tablet,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.
MAL05051089X,Live-well� J-FLEX Capsule,PAHANG PHARMACY SDN. BHD.
MAL05051091X,LIVIPIDS Capsule,PAHANG PHARMACY SDN. BHD.
MAL05051092X,LIVIPIDS FORTE Capsule,PAHANG PHARMACY SDN. BHD.
MAL05051093X,Live-well � LIVAGARD� Capsule,PAHANG PHARMACY SDN. BHD.
MAL05051100T,DYVESIL CAPSULE,NATURE'S GRACE (M) SDN. BHD.
MAL05051101T,LIBERSIL CAPSULE,NATURE'S GRACE (M) SDN. BHD.
MAL05051102T,Fabuline Capsule 350mg,NATURE'S GRACE (M) SDN. BHD.
MAL05051104T,Genyoung capsule 350mg,NATURE'S GRACE (M) SDN. BHD.
MAL05051105ACZ,Simtec Tablet 10mg,Duopharma Marketing Sdn. Bhd.
MAL05051113AZ,LODOZ 5 MG TABLET,MERCK SDN. BHD.
MAL05051115ASZ,LODOZ 2.5 MG TABLET,MERCK SDN. BHD.
MAL05051133XZ,SW Vitamin B6 Tablet 10mg,SUNWARD PHARMACEUTICAL SDN. BHD.
MAL05051140TC,Ho Sheng En Bao Tablet,HO SHENG ENTERPRISE
MAL05051141TC,Berkeley Ginseng Capsule,Kedai Ubat Berkeley Sdn Bhd
MAL05051142TC,Berkeley Ginseng Tienchi Danshen Capsule,Kedai Ubat Berkeley Sdn Bhd
MAL05051144TC,Tai Fong Shuang Liao Jing Feng Powder,SMART WELLMIN SDN BHD
MAL05051145TC,Tai Fong Headache & Toothache Capsule,SMART WELLMIN SDN BHD
MAL05051150TC,Kasly Dan Shen Plus Capsule,TASLY (MALAYSIA) SDN. BHD.
MAL05051152T,SKY WHEAT WHEATGRASS PLUS (Tablet 250 mg),THE ORIGIN FOODS SDN. BHD.
MAL05051157T,Xiaoyao Shan 300 mg Tablet,YANLING NATURAL HYGIENE SDN. BHD.
MAL05051160T,Xiangsha Liujunzi 300 mg Tablet,YANLING NATURAL HYGIENE SDN. BHD.
MAL05051162T,XTRMENPOLIN Capsule 410mg,THE MITOMASA SDN. BHD.
MAL05051165T,DANGGUI BUXUE 300MG TABLET,YANLING NATURAL HYGIENE SDN. BHD.
MAL05051166TC,PEARL CAPSULE,TEONG HUAT MEDICAL SDN. BHD.
MAL05051167TC,AMERICAN WILD GINSENG CAPSULE,TEONG HUAT MEDICAL SDN. BHD.
MAL05051173T,GUIPI 300 MG TABLET,YANLING NATURAL HYGIENE SDN. BHD.
MAL05051175TC,Ginseng & Tienchi Plus Capsule,TEONG HUAT MEDICAL SDN. BHD.
MAL05051192TC,Tiens Vigoros Capsule,TIENS HEALTH DEVELOPMENT (MALAYSIA) SDN. BHD.
MAL05051193TC,Tiens Benefi Capsule,TIENS HEALTH DEVELOPMENT (MALAYSIA) SDN. BHD.
MAL05051194TC,Tiens Spirulina Capsule,TIENS HEALTH DEVELOPMENT (MALAYSIA) SDN. BHD.
MAL05051203TC,Yi Gan Capsule 440mg,"WAN ONN LOONG MEDICAL HALL CO., SDN BHD"
MAL05061485AZ,Condep Injection 50mg/ml (3ml vial),DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061487AZ,LOXOF TABLETS 500mg,RANBAXY (MALAYSIA) SDN. BHD.
MAL05061511XZ,Cebion Orange Effervescent Tablet,PROCTER & GAMBLE (MALAYSIA ) SDN.BHD.
MAL05061512ACZ,Alkeran Injection 50mg,Aspen Medical Products Malaysia Sdn Bhd
MAL05061520X,Live-well � OSTEFLAME Capsule,PAHANG PHARMACY SDN. BHD.
MAL05061537XZ,Chewette C-100 Chewable Tablet Sour Plum Flavour,HOVID BERHAD
MAL05061541XCR,BiO-LiFE acnacare Softgel Capsule,MEGA LIFESCIENCES SDN. BHD.
MAL05061552AZ,Frotin Pessaries,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL05061554XZ,SW Vitamin B6 Tablet 50mg,SUNWARD PHARMACEUTICAL SDN. BHD.
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL05061558TCR,BLACKMORES MILK THISTLE TABLET,BLACKMORES (MALAYSIA) SDN. BHD.
MAL05061559T,LIVRELIF Capsule 400mg,THE MITOMASA SDN. BHD.
MAL05061609T,M-100 CAPSULE,NATURE'S GRACE (M) SDN. BHD.
MAL05061623TC,RAINFOREST HERBS MISAI KUCING PLUS CAPSULE,ASIA BOTANICALS SDN. BHD.
MAL05061624TC,RAINFOREST HERBS HEMPEDU BUMI PLUS CAPSULE,ASIA BOTANICALS SDN. BHD.
MAL05061627T,"SPIRULINA PLUS, Tablet 250 mg",THE ORIGIN FOODS SDN. BHD.
MAL05061643T,Felyoung Capsule 420mg,APB STANDARD SDN. BHD.
MAL05061644TC,Conforer Global Ure Capsule,CONFORER MEDI-CARE ENTERPRISE
MAL05061646TC,Opceden Tongkat Ali Plus Capsule,YANLING NATURAL HYGIENE SDN. BHD.
MAL05072014AZ,Novynette Tablet,PAHANG PHARMACY SDN. BHD.
MAL05072016AZ,Sporanox Capsule 100mg,JOHNSON & JOHNSON SDN. BHD.
MAL05072018AZ,Cetrizet D Tablet,PAHANG PHARMACY SDN. BHD.
MAL05072019AZ,Regulon Tablet,PAHANG PHARMACY SDN. BHD.
MAL05072020ASZ,Curam Powder for oral suspension 156.25mg/5ml,SANDOZ PRODUCTS MALAYSIA SDN. BHD.
MAL05072022AZ,SW Metformin 250mg Tablet,SUNWARD PHARMACEUTICAL SDN. BHD.
MAL05072028ASZ,Curam powder for oral suspension 312.5mg/5ml,SANDOZ PRODUCTS MALAYSIA SDN. BHD.
MAL05072029AZ,SOMIDEM TABLET 10 MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL05072030AZ,Sonap 275mg Caplet,IMEKS PHARMA SDN. BHD.
MAL05072036AZ,ARROX 7.5 MG TABLET,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.
MAL05072037XCR,Ural Effervescent Granules,ABBOTT LABORATORIES (M) SDN. BHD.
MAL05072052XCZ,Septidin 10% Solution,STERILINE SDN. BHD.
MAL05072056X,GNC L-Glutamine 1000 Tablet,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05072057X,GNC CoQ-10 300MG Capsules,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL05072061TC,VITABLUE CORDYCEPS LINGZHI CAPSULE 450MG,VITABLUE SDN BHD
MAL05072068TC,HAN SECRETS Proganic Capsule 550mg,TOP HERBALS (M) SDN BHD
MAL05072079T,Felfit Capsule 420mg,APB STANDARD SDN. BHD.
MAL05072080TC,Opceden Kacip Fatimah Plus Capsule,YANLING NATURAL HYGIENE SDN. BHD.
MAL05072081T,HERBS OF GOLD BLACK SEED + GARLIC CAPSULE,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)
MAL05072100ARZ,CONCERTA 18 mg Extended-release Tablet,JOHNSON & JOHNSON SDN. BHD.
MAL05072101ARZ,CONCERTA 36 mg Extended-release Tablet,JOHNSON & JOHNSON SDN. BHD.
MAL05072104XCR,VitaHealth Vitacal 600 + D Tablets,VITAHEALTH MALAYSIA SDN. BHD.
MAL05072106X,Live-well™ HOCYGARD™ PLUS Capsule,PAHANG PHARMACY SDN. BHD.
MAL05072107XR,BiO-LiFE Evening Primrose Oil 1000mg Plus Vitamin E Soft Capsule,MEGA LIFESCIENCES SDN. BHD.
MAL05072108XZ,Live-well™ XYLIVIT-™ 125 Children's Chewable Vitamin-C Tablet,PAHANG PHARMACY SDN. BHD.
MAL05072112X,Live-well™ KIDZSENTIAL™ with Lysine Children's Chewable Multivitamin & Minerals Tablet,PAHANG PHARMACY SDN. BHD.
MAL05072115X,Nn C-500 with Rose Hip Time-Release Tablet,PURE NUTRITIONAL PRODUCTS SDN. BHD.
MAL05072122TC,VITABLUE-WULING SHENBAO PLUS CAPSULE 500MG,VITABLUE SDN BHD
MAL05072131T,Losita Capsule 500 mg,HERBAL SCIENCE SDN. BHD.
MAL05072133T,"GNC Natural Brand Apple Cider with Cayenne, Ginger and Garcina Gambogia Tablet",GNC LIVEWELL MALAYSIA SDN. BHD.
